dates,nzd0383-0000,nzd0383-0001,nzd0383-0002,nzd0383-0003,nzd0383-0004,nzd0383-0005,nzd0383-0006,nzd0383-0007,nzd0383-0008
1999-08-17 22:12:26+00:00,136.32001358155324,132.8481127988767,142.6526463738277,139.63041100416254,148.69984346630608,146.86514212200316,131.86439405341972,125.42362469500088,122.68653021645021
1999-08-26 22:06:20+00:00,189.50459391589158,134.96185685070037,134.7600571351358,140.32554665301444,150.70689431890824,148.20268429180857,136.3812458386572,122.50968711599837,93.94885359661549
1999-09-18 22:12:27+00:00,141.20631441986816,142.71664426457022,,,,,,124.30272429019985,140.73592557278516
1999-10-13 22:06:24+00:00,126.7935817862839,141.45744742448395,151.83789415020192,153.09978772731574,158.07726213261395,159.71858381594168,159.09402283109029,138.7576353136336,139.49454858220454
1999-11-21 22:12:24+00:00,151.38752368548126,150.88786486047982,153.12019941244685,159.66850025428388,160.5596704136506,158.2701438959874,160.00118012941337,137.9362574536954,172.86661559677637
1999-12-07 22:12:29+00:00,141.1920751158715,138.05292747534818,,,,,144.46790996667409,140.5983608378064,122.80989632961722
2000-02-18 22:06:05+00:00,136.57578134322452,136.95987078757952,145.99164409612078,145.57626444627158,145.92389416374613,153.13114222341,145.98689064972632,138.51761395279829,113.27365607661295
2000-03-12 22:12:09+00:00,126.055043323876,156.0783597998981,,,,,159.63914997773423,145.9111687718728,126.28755034987799
2000-03-21 22:06:01+00:00,159.73828927617132,126.17148621423642,140.59602846858985,147.62359637082145,153.16302477225378,164.58832525181137,156.51698599885606,140.3262056540378,110.96492710499494
2000-04-13 22:11:54+00:00,171.49754150915103,141.3551399882212,155.0284026707622,158.93383083983136,163.05046276571778,160.22339551821705,158.7899002502445,148.30541756033887,100.88908104358084
2000-05-15 22:11:42+00:00,,121.78345525932198,143.08737856656197,155.86152965723014,162.32349945676836,,159.1222931389283,134.0509946888903,130.68582592745932
2000-05-31 22:11:30+00:00,,110.79098137383532,138.03006957431208,149.5298906812988,137.9439690769517,155.08374300023155,145.2914024280534,140.60681339652967,
2000-08-03 22:10:43+00:00,156.785909052148,133.46481218740993,141.42421104431344,151.28367335421842,151.98527673918045,150.32266308533067,153.37468269401867,132.09014692492138,
2000-08-19 22:10:38+00:00,133.31720324509112,135.7712888072736,134.55158950296075,144.66922981542416,143.34245891129137,142.95884997190564,132.4548355846552,125.84199642468344,79.09192771196125
2000-09-04 22:10:22+00:00,133.32998065597067,140.03648201570047,142.27778555097572,144.5472546385341,141.16560076112987,148.25214136347816,145.06532278983934,123.00689718355926,135.37804411353395
