dates,satname,nzd0383-0000,nzd0383-0001,nzd0383-0002,nzd0383-0003,nzd0383-0004,nzd0383-0005,nzd0383-0006,nzd0383-0007,nzd0383-0008
1999-08-17 22:12:26+00:00,L7,362.61,345.79,357.00,355.28,364.08,361.47,349.71,347.26,327.23
1999-08-26 22:06:20+00:00,L7,353.26,317.79,316.79,319.68,331.62,328.55,313.76,301.25,288.31
1999-09-18 22:12:27+00:00,L7,357.21,351.84,355.88,354.79,,,342.74,333.36,354.14
1999-10-13 22:06:24+00:00,L7,314.11,329.22,327.57,339.89,,,337.83,326.88,
1999-11-21 22:12:24+00:00,L7,311.06,331.06,330.61,335.75,336.70,334.44,332.13,309.30,362.49
1999-12-07 22:12:29+00:00,L7,312.98,325.70,329.31,342.93,,,324.48,322.07,329.32
2000-02-18 22:06:05+00:00,L7,321.23,314.48,320.75,319.77,319.25,327.15,315.47,307.31,295.54
2000-03-12 22:12:09+00:00,L7,368.99,373.94,382.86,374.99,,,382.64,368.61,332.90
2000-03-21 22:06:01+00:00,L7,264.48,305.10,302.49,325.94,,,331.94,307.58,
2000-04-13 22:11:54+00:00,L7,288.52,327.75,331.19,345.71,,347.10,347.58,334.73,
2000-05-15 22:11:42+00:00,L7,304.53,312.78,331.09,337.37,344.29,326.85,337.69,315.84,324.22
2000-05-31 22:11:30+00:00,L7,329.18,300.57,321.36,329.37,316.40,333.11,325.58,314.43,240.88
2000-08-03 22:10:43+00:00,L7,370.78,342.26,349.59,359.95,361.96,359.29,365.86,342.08,248.80
2000-08-19 22:10:38+00:00,L7,348.05,346.37,344.78,356.11,353.65,354.07,345.12,343.11,297.16
2000-09-04 22:10:22+00:00,L7,333.07,331.35,339.78,338.57,,,334.03,318.08,
2000-09-13 22:04:02+00:00,L7,255.37,308.50,307.46,311.89,,,287.91,264.02,218.84
2000-09-20 22:10:03+00:00,L7,330.53,329.50,358.94,355.55,,,331.74,333.28,
2000-11-07 22:09:53+00:00,L7,303.67,321.46,326.55,336.35,,,327.97,319.73,316.68
2000-12-18 22:03:49+00:00,L7,348.54,353.53,362.57,364.70,365.55,367.67,363.85,359.68,377.24
2001-01-03 22:03:48+00:00,L7,346.44,350.65,359.01,372.02,382.54,380.60,366.08,348.53,384.25
2001-01-10 22:10:03+00:00,L7,296.59,307.68,325.39,332.96,334.85,340.06,331.60,313.60,323.93
2001-03-08 22:03:44+00:00,L7,288.55,312.40,323.41,331.56,335.38,330.16,331.77,319.99,307.69
2001-03-15 22:09:51+00:00,L7,343.37,332.61,342.13,356.79,,370.32,365.95,353.51,
2001-03-31 22:09:43+00:00,L7,357.89,356.65,355.53,365.88,381.48,391.52,386.90,378.34,359.99
2001-05-02 22:09:39+00:00,L7,338.61,345.38,340.64,352.60,353.68,347.83,348.35,333.24,302.64
2001-05-11 22:03:21+00:00,L7,522.91,589.30,588.39,577.64,,,415.32,406.77,375.52
2001-06-03 22:09:16+00:00,L7,150.56,188.96,,,,,,457.11,553.05
2001-06-19 22:09:05+00:00,L7,368.76,312.81,327.85,327.96,328.41,327.43,319.91,312.31,234.41
2001-06-28 22:02:45+00:00,L7,379.45,338.06,339.53,340.95,350.02,350.61,348.69,333.37,215.21
2001-07-05 22:08:57+00:00,L7,355.08,319.72,320.64,323.86,333.48,333.12,329.33,312.53,248.86
2001-08-15 22:02:14+00:00,L7,354.27,323.26,329.78,341.32,334.70,338.95,324.59,316.79,281.96
2001-08-31 22:02:05+00:00,L7,322.53,318.07,324.00,323.85,325.76,332.29,319.79,302.17,269.01
2001-10-02 22:01:40+00:00,L7,312.73,324.62,321.78,331.65,343.57,341.02,327.80,319.93,339.29
2001-11-03 22:01:46+00:00,L7,310.65,318.32,313.07,328.15,,,316.84,311.50,301.07
2001-12-21 22:02:05+00:00,L7,362.82,359.57,364.06,375.15,373.47,368.90,363.70,349.96,387.49
2002-02-07 22:02:17+00:00,L7,337.37,330.12,341.41,345.01,346.71,344.24,333.64,324.50,354.15
2002-02-14 22:08:29+00:00,L7,340.28,344.16,354.13,349.63,354.25,357.02,346.52,332.11,369.25
2002-03-11 22:02:19+00:00,L7,311.31,321.35,330.70,336.72,334.19,339.03,335.30,320.34,354.15
