,dates,usa_HI_0013-0000,usa_HI_0013-0001,usa_HI_0013-0002,usa_HI_0013-0003
0,1991-10-25 20:18:11+00:00,204.09474542662858,206.77647699353284,221.2025632854236,
1,1991-12-12 20:18:31+00:00,,,,
2,1999-08-04 20:46:58+00:00,200.30863167699573,208.04820478309176,215.26631313067182,221.595095438052
3,1999-08-11 20:53:07+00:00,202.30826641555242,209.19402691037857,221.25221582035317,225.9947698938611
4,1999-08-20 20:46:55+00:00,,,,200.31991550616198
5,1999-09-12 20:53:05+00:00,202.62410225525326,212.28367356672672,216.24960375904408,223.7823425493915
6,1999-11-15 20:53:07+00:00,211.79387984571582,210.71533202800407,209.62666693533103,221.40328866354474
7,1999-12-17 20:53:11+00:00,211.15405396044278,208.79538119991398,219.07073663189306,228.63182999233769
8,2000-01-02 20:53:03+00:00,218.4946253257979,210.09110611824002,208.12465042059367,217.85104195510516
9,2000-01-11 20:46:54+00:00,214.35677390634456,209.23681849797356,214.1766241179784,212.24264355755625
10,2000-01-27 20:46:52+00:00,215.15463705747078,210.21522401807638,210.66555346224274,221.14509546525227
11,2000-02-12 20:46:47+00:00,207.26817098842997,206.14205745073315,209.58678722467724,210.47874462210453
12,2000-02-19 20:52:54+00:00,216.32717412433917,215.1670675539451,215.17782386001036,223.48828353041142
13,2000-02-28 20:46:42+00:00,213.949901717117,206.9638446816695,209.42058570922063,220.39485345018696
14,2000-03-15 20:46:37+00:00,203.66949068235354,199.47604556767917,201.53799114859788,212.0646309204583
15,2000-04-07 20:52:39+00:00,214.10087226138165,210.67589985770906,216.54720527437962,214.30198493278996
16,2000-04-16 20:46:20+00:00,216.0001331258517,210.97752306332262,217.30383823099575,226.4263527348251
17,2000-05-18 20:46:08+00:00,212.3802123064869,215.41264724353618,213.6594825347448,212.81572710391018
18,2000-06-03 20:45:56+00:00,206.97984619471396,210.4383894792977,215.7928910686732,222.71559486748532
19,2000-06-26 20:51:56+00:00,197.7266627480335,197.29920289866763,191.5194244102729,
20,2000-07-21 20:45:23+00:00,211.77643133286648,214.7695028071167,216.57702818630787,228.36116013993055
21,2000-08-06 20:45:09+00:00,216.0938503821736,222.0314883353369,225.68373688208715,238.5805212337556
22,2000-09-07 20:44:48+00:00,208.7584298959595,216.65718389831162,221.5552746416485,234.64440136695896
23,2000-09-30 20:50:41+00:00,208.2046169780965,206.9580314903537,211.01920269509571,218.15117511440627
