dates,nzd0387-0000,nzd0387-0001,nzd0387-0002,nzd0387-0003,nzd0387-0004,nzd0387-0005,nzd0387-0006,nzd0387-0007,nzd0387-0008,nzd0387-0009,nzd0387-0010,nzd0387-0011,nzd0387-0012,nzd0387-0013,nzd0387-0014,nzd0387-0015,nzd0387-0016,nzd0387-0017,nzd0387-0018,nzd0387-0019,nzd0387-0020,nzd0387-0021,nzd0387-0022,nzd0387-0023,nzd0387-0024,nzd0387-0025,nzd0387-0026,nzd0387-0027,nzd0387-0028,nzd0387-0029,nzd0387-0030,nzd0387-0031,nzd0387-0032,nzd0387-0033,nzd0387-0034,nzd0387-0035,nzd0387-0036,nzd0387-0037,nzd0387-0038,nzd0387-0039,nzd0387-0040,nzd0387-0041,nzd0387-0042,nzd0387-0043,nzd0387-0044,nzd0387-0045,nzd0387-0046,nzd0387-0047,nzd0387-0048,nzd0387-0049,satname
1999-07-18 22:00:01+00:00,317.96,290.58,286.05,,,,,,298.40,301.93,328.01,,,,,,,345.00,,,,,327.69,,,,338.61,327.56,326.00,,,,,,331.95,330.44,,,,,,345.16,,,,,,,,,L7
1999-09-04 22:00:09+00:00,306.22,304.28,304.47,316.89,330.75,334.54,335.14,333.14,313.73,318.01,329.36,333.40,327.22,331.01,354.70,342.39,335.78,342.09,337.14,331.29,335.31,336.45,333.66,335.60,336.83,335.45,335.37,333.17,334.32,340.29,348.56,345.62,342.89,335.64,333.75,333.66,335.06,341.23,340.78,350.96,348.69,347.82,345.48,347.93,345.19,359.29,362.73,368.56,372.54,379.24,L7
1999-10-22 22:00:04+00:00,319.26,314.40,314.64,324.52,332.57,333.59,333.99,331.63,317.08,321.66,332.10,334.50,329.24,332.38,354.31,339.56,336.31,342.32,341.12,337.61,338.28,335.22,333.19,336.10,336.65,335.50,335.29,334.87,334.36,340.05,343.64,341.79,339.52,334.64,332.55,332.36,331.04,335.40,339.71,348.07,346.68,345.92,342.81,349.69,349.43,359.26,364.89,370.20,374.32,378.06,L7
1999-12-09 22:00:09+00:00,324.35,316.85,317.48,324.28,330.74,332.83,331.56,329.51,319.67,323.12,332.30,333.01,328.71,332.36,352.55,339.95,337.21,341.83,341.21,337.07,336.64,333.39,331.87,334.92,335.65,334.51,334.84,333.66,334.20,337.32,341.04,338.22,336.48,331.46,331.09,330.28,329.05,332.81,337.54,345.15,344.78,344.23,341.32,347.46,347.59,358.77,364.24,369.32,373.42,377.61,L7
1999-12-25 22:00:04+00:00,325.46,316.51,316.82,320.39,328.71,331.47,329.31,327.60,318.68,322.50,329.49,329.00,325.66,329.88,350.19,337.03,334.63,339.21,337.93,334.30,333.48,330.56,330.47,332.62,332.44,331.84,333.14,332.10,333.04,336.31,337.92,334.90,333.36,328.49,328.74,327.24,326.13,331.39,335.64,342.85,342.44,342.48,339.02,344.76,345.48,357.84,364.74,369.10,373.33,376.81,L7
2000-01-26 22:00:02+00:00,327.37,321.96,323.72,319.37,328.84,331.46,329.58,326.95,323.10,326.43,328.70,327.94,325.64,329.88,348.63,336.94,333.34,336.74,336.45,333.44,333.20,329.61,330.43,332.54,332.90,331.71,330.87,331.94,334.22,335.50,336.74,333.91,332.18,328.52,327.97,327.20,325.56,332.01,335.44,342.40,341.51,340.25,337.39,343.77,345.19,358.05,365.35,369.29,373.74,377.67,L7
2000-02-11 21:59:57+00:00,328.68,322.13,324.07,319.45,329.26,332.42,330.52,327.51,324.02,326.13,328.83,328.68,326.69,329.51,348.75,337.89,334.37,337.92,336.86,333.22,333.02,330.86,331.09,332.99,332.73,331.17,330.80,332.57,335.03,336.37,337.37,334.47,332.48,329.19,328.00,327.49,325.48,332.10,335.83,342.61,341.90,340.04,337.29,344.41,345.86,358.62,365.50,369.83,373.63,376.92,L7
2000-02-27 21:59:52+00:00,328.85,322.17,324.65,319.78,329.70,332.42,330.77,327.22,323.65,325.38,327.75,328.74,326.99,330.44,348.96,338.50,335.60,339.10,337.97,333.28,332.32,330.46,330.48,332.88,332.49,331.12,330.60,332.03,335.01,335.45,336.75,334.29,332.21,328.87,327.55,326.85,325.32,331.71,335.92,342.25,342.65,340.82,337.96,345.11,346.33,358.68,365.61,370.14,374.19,376.97,L7
2000-03-30 21:59:45+00:00,333.56,323.04,325.33,321.00,329.59,331.78,330.13,326.29,323.43,324.59,327.86,329.16,327.63,332.67,348.41,338.07,335.57,339.97,338.99,335.10,332.79,330.97,329.82,333.05,332.71,331.63,331.20,331.80,334.30,335.45,335.20,333.04,330.84,328.77,327.08,325.38,324.83,331.22,336.44,342.57,343.13,341.14,339.06,346.83,348.63,358.73,366.06,370.58,374.09,376.74,L7
2000-04-15 21:59:31+00:00,332.09,322.94,324.96,322.46,329.22,331.27,329.95,326.01,323.24,324.49,328.20,329.64,328.09,333.76,348.46,338.49,335.60,340.03,339.05,335.16,332.32,331.07,329.94,333.33,332.95,331.70,331.10,332.12,334.19,335.72,335.78,333.35,331.22,328.48,326.92,325.49,325.17,331.02,336.52,342.82,343.58,341.65,339.93,347.97,349.55,359.07,365.98,370.38,373.90,376.28,L7
