dates,nzd0387-0000,nzd0387-0001,nzd0387-0002,nzd0387-0003,nzd0387-0004,nzd0387-0005,nzd0387-0006,nzd0387-0007,nzd0387-0008,nzd0387-0009,nzd0387-0010,nzd0387-0011,nzd0387-0012,nzd0387-0013,nzd0387-0014,nzd0387-0015,nzd0387-0016,nzd0387-0017,nzd0387-0018,nzd0387-0019,nzd0387-0020,nzd0387-0021,nzd0387-0022,nzd0387-0023,nzd0387-0024,nzd0387-0025,nzd0387-0026,nzd0387-0027,nzd0387-0028,nzd0387-0029,nzd0387-0030,nzd0387-0031,nzd0387-0032,nzd0387-0033,nzd0387-0034,nzd0387-0035,nzd0387-0036,nzd0387-0037,nzd0387-0038,nzd0387-0039,nzd0387-0040,nzd0387-0041,nzd0387-0042,nzd0387-0043,nzd0387-0044,nzd0387-0045,nzd0387-0046,nzd0387-0047,nzd0387-0048,nzd0387-0049,satname
1999-07-18 22:00:01+00:00,317.96,290.58,286.05,,,,,,298.40,301.93,328.01,,,,,,,345.00,,,,,327.69,,,,338.61,327.56,326.00,,,,,,331.95,330.44,,,,,,345.16,,,,,,,,,L7
1999-09-04 22:00:09+00:00,294.48,317.98,322.88,316.89,330.75,334.54,335.14,333.14,329.06,334.10,330.71,333.40,327.22,331.01,354.70,342.39,335.78,339.17,337.14,331.29,335.31,336.45,339.63,335.60,336.83,335.45,332.13,338.78,342.65,340.29,348.56,345.62,342.89,335.64,335.55,336.89,335.06,341.23,340.78,350.96,348.69,350.48,345.48,347.93,345.19,359.29,362.73,368.56,372.54,379.24,L7
1999-10-22 22:00:04+00:00,345.33,334.64,335.00,332.15,334.40,332.63,332.84,330.12,323.77,328.95,337.57,335.61,331.25,333.75,353.91,336.72,336.85,342.78,345.11,343.93,341.25,333.98,332.25,336.60,336.48,335.54,335.12,338.26,334.44,339.81,338.73,337.96,336.15,333.65,330.15,329.74,327.02,329.57,338.64,345.19,344.67,342.12,340.15,351.46,353.66,359.24,367.06,371.84,376.10,376.89,L7
1999-12-09 22:00:09+00:00,339.64,324.20,325.99,323.79,327.08,331.31,326.69,325.27,327.45,327.51,332.90,330.03,327.66,332.32,349.05,340.75,339.00,340.36,341.38,335.99,333.37,329.75,327.91,332.57,333.64,332.54,333.50,330.03,333.70,331.86,335.84,331.07,330.41,325.08,326.71,324.04,325.08,327.62,333.21,339.31,340.97,339.15,338.33,342.99,343.93,357.78,362.94,367.56,371.61,376.69,L7
1999-12-25 22:00:04+00:00,329.91,315.14,314.17,308.75,322.62,327.38,322.59,321.86,314.71,320.00,318.27,316.98,316.52,322.42,343.12,328.26,326.88,328.76,328.10,325.97,323.97,322.06,324.87,325.69,322.83,323.83,326.35,325.87,328.43,333.29,328.55,324.94,323.97,319.59,319.34,315.08,317.38,327.16,329.95,335.94,335.44,335.49,332.12,336.66,339.15,355.06,366.22,368.45,373.08,374.41,L7
2000-01-26 22:00:02+00:00,327.51,317.86,320.54,315.27,329.37,331.42,330.62,324.38,320.49,321.57,324.04,323.66,325.55,329.89,342.35,336.58,328.21,332.63,330.52,330.01,332.11,325.80,327.48,332.26,334.72,331.21,327.25,326.74,331.88,332.23,332.02,329.97,327.49,328.62,328.09,330.26,323.24,334.48,334.63,340.61,337.77,334.03,330.85,339.82,344.03,358.90,367.80,370.02,375.37,381.11,L7
2000-02-11 21:59:57+00:00,335.18,322.97,325.86,319.86,331.35,337.22,335.26,330.27,328.65,324.65,329.48,332.40,331.93,327.66,349.34,342.62,339.48,343.81,338.88,332.14,332.08,337.13,334.41,335.19,331.87,328.44,330.44,335.74,339.09,340.73,340.51,337.26,333.99,332.53,328.14,328.94,325.12,332.55,337.80,343.64,343.84,338.97,336.81,347.62,349.20,361.47,366.26,372.56,373.11,373.16,L7
2000-02-27 21:59:52+00:00,329.89,322.37,328.08,321.74,332.36,332.45,332.22,325.51,321.39,320.90,321.29,329.10,328.78,336.06,350.22,342.16,343.01,346.21,344.63,333.65,328.16,328.08,326.83,332.24,331.06,330.85,329.40,328.81,334.89,329.92,333.03,333.23,330.55,326.96,324.84,322.99,324.35,329.33,336.43,340.11,347.17,345.50,341.97,349.30,349.16,359.02,366.27,371.98,377.55,377.27,L7
2000-03-30 21:59:45+00:00,327.43,324.13,327.69,325.46,329.93,330.05,330.66,326.65,327.56,328.57,331.49,336.36,331.72,346.56,350.90,339.39,335.56,345.22,344.30,344.03,338.61,339.99,334.99,336.83,338.34,338.98,336.34,337.17,337.69,340.34,337.70,336.82,333.35,334.96,332.28,326.60,331.60,337.80,344.39,353.18,352.03,352.74,353.18,359.99,361.25,359.67,365.89,371.62,371.80,377.66,L7
2000-04-15 21:59:31+00:00,321.80,322.19,322.37,332.66,326.67,327.73,328.71,324.04,321.86,323.75,330.55,332.97,331.30,341.40,348.77,341.43,335.84,340.49,339.45,335.57,329.03,331.74,330.81,335.22,334.66,332.18,330.38,334.38,333.43,337.61,339.84,335.52,333.81,326.46,325.82,326.25,327.56,329.69,337.13,344.59,346.76,345.17,346.01,355.94,355.98,361.42,365.41,369.04,372.59,373.06,L7
