,dates,per0225-0000,per0225-0001,per0225-0002,per0225-0003,per0225-0004,per0225-0005,per0225-0006,per0225-0007,per0225-0008,per0225-0009,per0225-0010,per0225-0011,per0225-0012,per0225-0013,per0225-0014,per0225-0015,per0225-0016,per0225-0017,per0225-0018,per0225-0019,per0225-0020,per0225-0021,per0225-0022,per0225-0023,per0225-0024,per0225-0025,per0225-0026,per0225-0027,per0225-0028,per0225-0029,per0225-0030,per0225-0031,per0225-0032,per0225-0033,per0225-0034,per0225-0035,per0225-0036,per0225-0037,per0225-0038,per0225-0039,per0225-0040,per0225-0041,per0225-0042,per0225-0043,per0225-0044,per0225-0045,per0225-0046,per0225-0047,per0225-0048,per0225-0049,per0225-0050,per0225-0051,per0225-0052,per0225-0053,per0225-0054,per0225-0055,per0225-0056,per0225-0057,per0225-0058,per0225-0059,per0225-0060,per0225-0061,per0225-0062,per0225-0063,per0225-0064,per0225-0065,per0225-0066,per0225-0067,per0225-0068,per0225-0069,per0225-0070,per0225-0071,per0225-0072,per0225-0073,per0225-0074,per0225-0075,per0225-0076,per0225-0077,per0225-0078,per0225-0079,per0225-0080,per0225-0081,per0225-0082,per0225-0083,per0225-0084,per0225-0085,per0225-0086,per0225-0087,per0225-0088,per0225-0089,per0225-0090,per0225-0091,per0225-0092,per0225-0093,per0225-0094,per0225-0095,per0225-0096,per0225-0097,per0225-0098,per0225-0099,per0225-0100,per0225-0101,per0225-0102,per0225-0103,per0225-0104,per0225-0105,per0225-0106,per0225-0107,per0225-0108,per0225-0109,per0225-0110,per0225-0111,per0225-0112,per0225-0113,per0225-0114
0,1985-03-26 14:23:59+00:00,127.36430399077568,80.65823134071863,84.51720786573503,69.45367801642007,90.05603339750543,108.88066788431995,107.39573101011744,127.11141986125303,119.70571965598671,116.72426288305114,127.38916384371673,136.07216357299893,149.4421009237471,153.00159382853388,151.3578678095638,152.5182800224272,151.36753505691797,155.53224323923175,158.13335772068262,156.18974866982023,156.56305016679002,157.27109752738846,156.72016907946002,152.03323497246302,157.3974389969845,162.92124484377575,156.5384369097223,168.21742207139533,166.70884259334719,166.65135488291952,169.3473658646091,169.68992934174295,167.3224433669338,166.92601275917443,166.5598079196871,171.36033187234068,175.14663760640107,165.73413342724058,164.71941268623203,164.4032216969669,168.45950101019233,169.78944130608926,182.22059585720865,185.64271885144785,183.09289266687858,184.50814167004015,183.93368733889352,184.7242396564617,189.80778003211537,193.22490419515574,202.804211606948,209.94709239528765,205.67061560602176,207.8957556216355,198.67487675441785,191.14932695394106,192.80585022315103,201.37104900895673,194.6754512766472,187.47634961002854,182.74297041275895,189.5546317954171,194.6654069756466,201.5731788833524,191.73511573731926,191.965674033358,195.87750901799313,202.2747629832931,200.59810824776645,205.31261811035165,206.99629176637967,209.10360143666685,214.69759348049178,215.05540954428142,213.96157129631172,219.58078999888755,210.1720340868207,219.56799916624126,223.0611793653709,238.08051023307962,230.45193716477124,226.06143500449696,224.3360247986195,227.68100039811492,238.66424890414095,220.90571399612853,220.62284346838302,210.24185288354977,213.99219026373842,213.8332155197374,223.2144159868052,213.75981890687873,201.9783690394502,206.8415963078943,213.8838076974555,210.87472990062577,195.70215888610713,205.5804573036925,212.88586576254986,214.08304965424585,192.8974205644864,194.45583376436355,202.80043766650468,198.15574177059827,195.26168296337343,204.61449676630446,210.03537781556992,213.11261916767958,214.79038949804763,202.08446230249024,199.64237167065008,206.72845842415353,208.00660314098207,213.5444414650453,222.98830566731363
1,1986-12-26 14:12:44+00:00,131.10749408801837,80.90450213319812,77.67913925635722,93.72927860474366,105.10678416491376,114.01771159868588,115.85765736048297,127.75410143282346,131.45947015475724,141.57561072761925,140.71068964009152,133.7854356327748,138.2371831147362,147.62473356056827,150.4406591787438,138.7279012237089,145.63375421533158,142.73291530745402,142.57236081066432,137.80338388011413,145.99545310270915,162.71582901449779,157.29526957122695,145.90715852760025,156.2545034244548,166.61334274232178,155.1393921140327,150.2468514353014,161.65711684326558,171.06549917147655,169.73190222633903,186.20103184476545,184.00905598003425,168.1560788110259,174.25051443394077,182.73492069646662,181.6554128446896,179.16604772009507,176.93405457887937,162.3045064552974,177.5935753917985,188.03467555203028,180.36200946660423,166.7073086660567,177.44423525070567,187.91127102466933,190.7306878720347,175.6418417329206,181.5953499473305,199.18334194721163,201.80984649697083,192.93688638281643,182.3667749370594,191.87070893936206,189.57804371076605,196.3969475270357,196.25535232164597,193.21278685856743,179.70511349185907,183.2408186855455,181.9874556692219,194.72938308871215,194.65395421708456,192.26975366144984,191.42122189312244,191.10228124228104,205.99978551159361,209.64226580724213,210.33330952372083,212.90805734799477,215.66685120286522,207.99233373707227,209.42089157683594,218.08845477460108,216.6751736464554,207.2277661702046,216.64019836830482,225.31419105350815,223.42708057511476,215.57525686864645,213.54188240805172,212.51887889000875,204.21196157801197,207.21795892589168,211.99675020816753,220.96298968050823,198.40256507199038,207.30237415332113,219.09707698336442,224.04529401424483,219.03912263851316,214.03415129767933,205.07364417265308,205.13863732006595,202.49102405874862,206.80435667087463,195.72933675410962,191.81884871903884,192.58960457244285,204.7546892427564,199.20965349151697,194.61590901410608,191.31373983205444,193.12195421214966,197.68765793076062,195.59302615544902,199.7450399580417,198.4543162724611,200.8984866032412,188.3171305810242,194.75550992071425,193.0635556169449,205.95400581278318,216.25157515064754,217.29410590988766
2,1987-12-13 14:22:07+00:00,131.53320254512715,92.36967864311707,107.66693558445965,108.75247476808246,103.80937868449364,121.01754419396099,131.01921606642213,122.5639982511622,125.31337852744203,127.49420543601148,140.41181420148393,145.90448460965604,147.6345798160478,140.42460463613827,143.01075115092178,128.43487775149964,124.23435892489398,129.0762926592679,156.02551310161329,170.9029983731601,137.98319793913944,119.84587627485836,129.4736756367842,135.07469243271464,166.04072387474582,163.66587365222546,164.64407203060233,169.37838051969823,153.12019115549248,139.27582058332382,145.69694028660697,164.70497096469182,157.80273476967028,172.0687377647685,181.86409794599066,175.3844333394689,169.47954458390467,163.7754980288175,176.21854586537904,167.6672043294667,153.8901330424255,157.43443167335155,194.9680691399852,180.20198366285086,173.8520493711828,176.85446353746295,168.12502184055273,181.00318318876285,191.382895343386,197.32116373987458,199.9559062598383,192.15124188197197,184.53685980810138,195.67404657270953,189.12438054951272,186.58126461080937,183.68571899388058,186.2372132799983,188.51331298841404,205.72596458158563,184.59023240665806,178.91321584356857,195.76426686448937,190.71270146724493,173.20974561878035,180.61374742061435,170.82697171019214,177.49271538594596,186.3190917780837,197.2060943871304,209.89421962724174,209.88398648881176,215.44196111985002,223.66857932447655,212.6580160702801,207.7768063218303,218.2647966975848,212.2567067528579,223.40379664846657,226.81208460818294,233.37832781364864,226.65972650616868,211.45665370129822,210.8920989424631,221.36488959100018,215.84473326808123,214.38943437984486,228.8685588439235,229.59569427990905,208.47277527225506,210.50321692309203,215.9451937292241,201.8744023443062,194.0726242026266,200.96401998044325,215.55538201064184,197.8966003917718,196.09120909172327,192.91740298897145,194.9474964927549,198.7437440200236,203.5382185762062,201.5217565347395,187.21253231825204,192.26157366519382,200.0739004300344,202.00094813695534,196.32947211665052,208.0365680858163,218.88675534598414,188.04156053785687,160.21954026229974,169.4206769901232,205.78074000919364,224.63697117078675
3,1988-01-14 14:23:03+00:00,127.87676413130737,94.27789409780921,89.66175160864645,96.41097778985852,117.21174915484043,124.92177671262051,123.26376670653944,100.59645551358396,113.96099311015828,136.02639221098903,165.94026058679944,140.01373491230495,150.9515597068008,152.1407371918764,136.02682640772088,112.05296761489065,122.62031074606413,166.6057556170922,161.17677477826118,159.75657872327085,129.71449082686348,113.50895817680002,124.40199620154327,166.20816476213724,148.17861209390995,139.27638441919694,166.90948512530437,170.5230792263698,142.09319896982646,138.31481511649704,133.9781059889391,156.93306893434422,138.6474261333069,160.20620633321138,159.7104047839524,162.53262725187548,169.10785446220277,152.13201777215542,167.34188914766347,166.43471981125188,159.45561677610561,154.9885026972431,174.33481716101994,166.4071594204309,163.1085704041206,168.75373953617444,171.2161914199012,177.66522492869169,185.11782719891818,172.5708345933513,198.60254332869002,176.5238388010794,183.26499065263258,203.60334470462752,180.52283060081103,175.60014214766565,150.48164583337942,154.65020686076662,211.4339912790484,177.0853829184184,151.39331891022823,170.38790909115286,207.81896952670974,183.87353959005694,164.33831073749604,172.83665909270928,194.76331605262862,185.5047124406243,183.36730492506473,205.89556975651394,219.73478367209572,218.42131623007816,197.71764506302273,190.00853688940447,194.65239337424794,214.852617333609,215.61358395151058,193.2554350790077,189.73497859597845,189.64586948888913,205.91006591417104,199.83362287499588,184.1133590501611,198.9811087826361,200.71962174696566,210.4544739790753,212.01139485724437,209.61394612048224,206.86015479378102,200.43117251980314,207.99477178782632,195.17178277675927,186.399949571526,191.85208961057194,189.41570163120383,190.91032054420154,194.7270347839188,188.98064550486382,184.94379792804776,180.85409233001252,192.45055130303322,188.7792816150411,189.52403691238553,183.58144732300894,192.2886609765776,191.54418925285302,190.14862733284303,174.10476013962585,198.3328705115578,211.89192360610494,159.72539271207467,135.70987992127618,163.0785116597264,207.09469873535505,204.87413248591074
4,1988-02-15 14:23:13+00:00,145.0413266130402,133.80388610399686,115.416363937245,106.87016386155481,123.50819111741349,133.84505799389618,143.30723723239927,129.8443558433978,131.64023200497283,146.80961320456774,163.5506087838239,145.89166704707196,162.4537099060788,175.08670099437072,159.26188520808086,157.4502222304498,159.1826976363439,168.45968503932409,168.63830307271152,171.29569547117768,167.77621629655218,135.1758901695869,130.32232968819957,172.0295375954281,195.13236427957523,149.997171448939,153.56116127927805,187.9457068824966,179.83782368509193,165.34007106316722,165.34441942220846,177.8879770282781,174.2659946004174,165.99991413330307,177.21943633944875,179.79063287005422,193.24156664526737,184.12086098337005,160.96361196480643,186.79701883041906,210.1594946486487,185.63147516186672,181.7266029714325,203.78522539557147,199.9973541656248,186.9811709230006,196.5008855381935,206.03093472642382,205.0725897148765,215.0874245366129,205.11962835634247,208.2724199294104,196.95569608799414,210.04061182376986,204.9762675407335,187.26205429994496,186.68830920058807,200.65637638226536,218.4803613674288,202.03669371566687,166.63430867100595,175.51414929865973,210.6199948108803,208.0112508533455,187.1586732820308,184.14057255114255,206.06312571349457,213.53404087903095,200.0089909677714,214.25712261345438,228.2289920001347,230.11727432341164,214.7143495907217,214.80473678864334,223.9577699619872,234.3389996991806,229.85917351818364,222.4439865202157,220.02860215696788,233.12705667838068,234.76541115457738,236.58736231730728,213.83610356164905,226.71684032781613,231.92392681561623,230.65421705039245,226.92854984091247,223.00850511341042,216.79235064129327,219.83122910621844,227.55959225716447,225.13763269682553,232.0363256857415,197.01880744271887,204.12910065041905,219.42780741282616,219.35366566380316,217.4839677759413,214.01358640856492,212.16468179897552,205.21006091365052,205.35921119629094,227.1427719577758,215.92068110714197,214.22236449150697,208.60883605193348,205.69679786022292,198.5264314108189,219.2425243877055,220.37116168167088,179.6121146402669,174.09284970783045,211.55230435101552,219.69918746204243,225.195812226411
5,1988-03-02 14:23:24+00:00,154.4372815359123,146.78000394142822,139.45326197436373,107.40670913999273,125.59521280399898,137.0334185672565,158.30286495871377,151.99983814208736,141.58375707214816,163.40968483846416,173.88781451893556,153.9216267358803,163.1022120672231,184.8812056346269,168.21137398838013,175.68103847848138,173.04615906714855,178.0718844603534,174.53601789047562,189.5174460929905,183.71144538723019,150.09080377507482,143.43892982398629,179.27893765041296,197.08876729286223,165.8266243914163,164.54369914845697,196.54198357122374,196.78313562011508,181.94941177827954,168.38637021451228,188.22075688963463,200.27194306255328,179.067880707372,192.64579793435828,191.3757321685606,204.85341726036802,180.35973568639974,168.7443353481717,195.6884439798821,217.92382530258018,195.31935375676312,187.91064481324065,208.35444874330167,224.55363681449913,193.81276762975236,209.48469745221624,211.31626517090933,222.0390034240198,219.2522276130626,215.76251589142237,226.0610203798856,214.5868114840374,225.5522755941763,214.50757655358666,204.92998681740823,210.00951621576175,218.3127971450703,226.6280384769108,213.21640711444982,180.0629593353367,188.3370302658038,220.85332345703378,223.47623882785075,208.57985727257704,211.79549730710164,220.1029390414267,232.72277465818573,224.31684797441923,233.94206216170102,245.19647691251222,249.89436881751362,231.18743230244203,221.38648200166188,238.75559005645763,241.14041287074198,236.60921482209514,234.03889893647525,234.16748183049697,240.71631318329057,243.4034157618853,249.21564129468473,228.41528048833536,240.62690586042032,241.66735261914386,237.94160668719547,238.71073419221838,239.6378117487688,229.850066449472,234.75303542799642,230.46935983566715,239.25149759972265,236.56159913032633,223.68029353998634,216.7662536931807,229.99319665281118,222.40668750334584,228.4347420050463,221.44771696243595,221.59678839679708,220.6001681874609,211.37395226995764,223.10709523827614,224.74893219521817,218.17447870951298,218.63003935705748,200.01107669528972,200.617616361224,235.699873980006,227.41892990610492,188.0856435919742,179.13240631046483,218.4023474643727,221.6358142564881,231.8622602160108
6,1988-03-18 14:23:33+00:00,147.33284331883078,128.08610401007084,123.79031586438627,120.68737274479149,121.14468630426437,133.37007717494512,141.36330253515393,142.0066246652119,124.61149852898586,140.94261110071082,144.9861566473953,144.46660743415734,153.9338498816227,165.91760899545753,163.83077396585506,154.59702125199945,156.51382269759594,155.59142547881237,168.6280937353442,171.13403603781666,158.2111723982121,142.23415813731776,148.3270446918314,172.08695140573386,167.73517860286788,158.11667379687523,159.3946871614883,182.0077837809471,175.6232788519724,165.121941415239,172.1408109509296,181.8777858936978,180.0250423234028,175.26398671420415,183.1331702684167,190.99152152903952,180.57550680696647,174.38773239725637,171.79009586350978,188.27684215519977,189.83807917303216,179.9536434857965,183.39354698658977,196.68687106981312,184.45098963581037,189.73229879252,195.22151136871935,205.08475944483345,213.9616298488395,213.79420012182206,213.7993208576209,204.46929996116015,201.3200979770547,212.06765276209867,203.52307089904323,199.70639389697985,201.8828806068943,199.07778952202557,210.74374749124362,183.42546788020863,173.5210917625671,180.2481779804068,209.8576469990264,220.19004615635495,201.19600234794558,198.78844893018334,205.1746173615856,218.22135401062812,219.34943546822996,224.68927728616222,230.63105648010028,240.62592047888094,224.66463444334323,222.9769571962635,231.45024225351793,241.57526122982912,221.9199199026446,223.61203288235598,226.8422286667136,230.21542256602237,237.93959356933246,241.35296645023882,226.41041222090215,226.56027921826154,235.225083552163,234.39688687293534,229.34381596912996,226.83868352390803,223.54440307436576,224.3708528227842,222.77791011030962,215.4484965235957,216.81685331339511,205.9793351110721,207.0297541033643,213.57104670142581,217.23134689285644,213.32633793460897,216.21514540916368,219.76876806478,214.28353549401828,202.9675538403981,205.23265042880806,214.40633532899895,216.2686304053224,207.77705984366418,196.9355608928638,205.38862424875526,211.33236127008385,197.8401191365768,176.76078494310448,176.58898411386343,196.3408643323263,205.0187332171513,218.64931813044558
7,1988-04-19 14:24:08+00:00,149.6389659446777,128.65309731164496,131.15004797871168,136.713308980725,133.22009744483108,138.16936428194091,142.0561108344272,139.4787280352199,119.52503157414004,,166.38165838924044,163.03457690384388,167.32605506528387,175.29065308862116,169.00945945997944,165.0478578549849,155.69953335595346,153.75836196403208,165.33485641365255,176.33258586091304,168.93408025669746,149.86824613170555,146.36900803465838,176.00421646725516,179.4234542123861,167.04399837891538,165.824252916809,188.74714973930077,190.76411824314374,185.73570917020976,179.56385700315352,190.6829260204762,180.79294313792937,176.29433072465537,189.79719038081527,205.4793731618328,193.18760237728287,166.99080298062074,170.33868990437549,196.7233066088156,179.17762797075937,171.8319435879406,188.98467749494193,210.15747724079998,200.79901999357338,196.77268467190294,204.88518787515608,204.22224741346568,216.26441877091904,208.6936360720407,218.12483818449766,216.44933274290685,212.02772907721618,213.585930616747,206.81373333391144,206.94789812173894,214.62537493842524,209.59720932503964,215.3124332567799,202.75251975176502,185.62517775580667,185.5428038755903,206.41724135960874,226.69544306989712,216.04676910199785,204.9200596647908,215.12364397969958,219.86639279901323,223.6043129627878,225.2427422225467,232.71981151775563,242.6066696447461,233.05734545448075,225.0990332459159,229.4964148691509,231.4852361114871,218.69205403977804,218.42790792931012,231.41113657701524,228.98379217468022,232.87116147159205,254.48076861516725,247.98236732109396,230.4213600692792,243.82588463577767,241.6487565005317,239.74941799500516,230.99743015318037,224.3394998377383,230.97940013165874,228.7262438785097,223.44215600244357,225.0655787180243,224.4396742839183,214.67748175052236,218.51618292856438,217.82474419480045,216.78901017468888,218.8462555769712,224.9038776988957,216.80124030896025,204.88612699022173,205.63210982078365,218.0354520514998,214.26875658583765,204.50551473147144,201.81481807623848,206.70849642065352,206.3416978123328,195.66858563542957,191.5684364146474,195.30588689029346,199.48459789721164,206.58918277883407,211.8691520991857
8,1988-05-05 14:24:17+00:00,147.35556149241376,127.33017387067312,126.16113529154958,129.60119719049348,131.39776954375526,138.6230371805929,141.35397128061624,147.8034078109344,121.64827750666707,,,166.09914195386133,166.37406829386447,177.191033165651,165.33867062410485,158.5643531326507,156.21085842903761,160.9726061782913,166.583548796493,165.59538234237172,174.9511939749778,152.1289353117458,143.17904849279086,148.70722710117352,170.45656969785324,155.8742783157747,152.1082386390762,174.1356192079733,182.14091276022424,178.53087958666742,172.98527603801446,172.04110881537187,177.48055162192807,172.7628422305365,179.073568187403,204.3742913326125,186.7045345298405,164.64161334618825,174.23041692729777,196.34231931339173,176.60160336322627,170.2639592805134,178.87850042168924,206.21464569817726,187.7172753632088,187.50391245329354,201.13937934730848,209.10821300150178,216.17076246490387,215.1867293510401,217.8252190575845,214.15429450648986,217.36868623258567,212.59259563773026,206.46892196067392,204.10373365569092,207.51882655242346,210.4623315257093,219.55753664855052,204.73402143211212,185.82996682425875,171.2434333135492,185.20994361267742,212.6478634674965,209.29242771134673,204.91968330206706,215.7937225158658,213.2495934322884,212.30723502167473,218.63606028439563,226.0566473760527,233.8230755522269,232.99274219911297,224.72585074605522,222.01136441163308,228.75379019751654,223.50009801115377,218.23956915607317,222.54137693368787,233.31715836252627,230.6678475802509,244.8935508106701,235.75068526762374,227.26123822767258,233.3289489537576,235.74744979056678,232.98591794519777,236.13708823227088,226.2750898908398,228.90363248494097,233.58940589337737,223.37385025809417,224.0890405965936,222.4212479479187,212.6820537320051,212.61463284343967,214.6137141420597,215.6544943816073,206.55166682891203,221.2315830251544,222.53682399309596,204.4557611675314,199.70845602947404,205.05427041867262,208.56498347823896,201.19419475298508,203.39573463119729,201.228309529215,211.10755000403972,207.35019217413512,191.189898854337,186.067583942413,193.20172500960712,203.86738710246004,212.2038702217477
9,1988-05-21 14:24:26+00:00,141.19779406098777,111.94535419945336,125.46505171284917,125.76269069343735,136.84293519550653,123.63241070079312,142.77169634294825,142.05254458064752,109.81592067008206,,,164.37830972412266,161.10838475813964,169.90443303140782,164.85254544028572,156.7240435386478,154.55468428182598,153.074479318356,147.53493513305506,160.3424147752599,172.7148322212671,143.62492355216267,123.52141222671979,146.4421597205312,165.79024582949407,147.1782136036275,149.23971676156503,171.8747571026134,179.78831903566183,170.13854405404948,166.95564315337822,169.5339395618516,163.34583443603404,157.59468457496166,171.72545346262342,189.08001335274398,172.14717147467982,156.24403500031633,165.70511672129712,191.63145154514388,164.57925697873202,153.34713818893385,173.5118958166908,200.2766016509468,183.3049172529737,187.45999086140557,199.3816753919672,199.9695268230685,200.34085916363512,200.7521220477669,204.4727116278459,205.89820544048524,204.45841433273614,205.23492745124182,198.56804410120344,192.7843226187468,198.69329630761996,198.98906228932958,205.44337693893704,192.882039820941,172.31695311339013,160.46967094101538,180.67781206396205,203.66296939193438,191.0029095930774,195.2600500655376,199.60856771893782,197.0536017630845,201.84280017103234,216.56601963908327,225.59220406693558,225.0637380365064,223.37514053523412,214.13560104165717,212.13969622850604,227.23027028749337,220.55178213093936,218.31730866860022,223.54196061369188,223.27133271868928,216.6636235979583,240.40484383991907,233.59201650599638,223.36387035789926,231.04776538567185,230.3264384904686,231.50372421791826,228.91297831657837,223.59197710298298,226.72090955710996,230.57355166127095,217.43287497325466,221.64928161995275,215.48912659019277,213.4260232366854,211.24298294742476,,210.17523283074112,206.62113463586175,214.82536023705975,212.68004143876328,206.07673772130755,198.10541923022095,206.114202707314,,197.74055309716917,199.32696038725723,,207.36082536634657,209.8281287689939,179.7844881146704,180.54018614459437,187.9858277383392,199.36250944166983,216.5647773918355
