,dates,usa_CA_0214-0000,usa_CA_0214-0001,usa_CA_0214-0002,usa_CA_0214-0003,usa_CA_0214-0004,usa_CA_0214-0005,usa_CA_0214-0006,usa_CA_0214-0007,usa_CA_0214-0008,usa_CA_0214-0009,usa_CA_0214-0010,usa_CA_0214-0011,usa_CA_0214-0012,usa_CA_0214-0013,usa_CA_0214-0014,usa_CA_0214-0015,usa_CA_0214-0016,usa_CA_0214-0017,usa_CA_0214-0018,usa_CA_0214-0019,usa_CA_0214-0020,usa_CA_0214-0021,usa_CA_0214-0022,usa_CA_0214-0023
0,1984-05-02 18:13:15+00:00,234.40204729541387,227.27014923081032,237.6678220610323,236.46288002113636,230.04438779077887,238.61246657732943,245.13489201809676,250.12624869859093,257.3930398672994,244.5102117384674,239.23857494324469,244.5081182745496,249.3398677863685,268.0894540303649,280.87340168848675,280.21514603319855,278.69127329577367,273.97762052783423,269.4700099272449,239.6424678484331,233.7695237283392,257.2363296713393,258.25735336851517,237.43893872998137
1,1984-09-07 18:16:09+00:00,252.95035164690267,253.2290984660568,253.56883036664445,258.28723283421164,261.39881770542354,248.90646176894415,240.08480399120765,241.91171294806782,256.20036140386804,250.48137069809187,252.78940287391242,252.80410155655443,260.2301465104427,264.7552604969259,261.95534651027333,258.62222450471415,260.2690428579436,268.42669668439174,267.10400685839386,243.94856836985235,235.42155423035928,243.232224519815,244.53826300395488,235.40447534387013
2,1984-10-25 18:16:05+00:00,250.34207338474846,247.5099847725167,247.51325035365755,250.51058619689465,253.97927418807168,253.18919281936115,241.63892421714894,245.0237720537412,253.56545764474916,255.16895214607112,246.06004305073296,244.60414127960883,242.98564079241933,248.6848799211783,267.5465262796437,259.1198281970391,261.9912214263041,261.2432978983968,265.6578547470496,236.48925365492124,230.70843669211757,237.77497184164403,238.12263924999297,228.3071218888743
3,1984-12-12 18:16:08+00:00,224.57244048325163,222.0136086180368,223.9205675668162,235.07924863533682,,,,,,,,,,244.20073542403915,245.41122219169637,239.7952066938159,228.8270749593761,252.02464993205533,247.21324819638383,230.88727380233632,,,,221.35662040399768
4,1985-04-19 18:16:20+00:00,230.06945400734722,234.57403181464366,239.1128540763928,244.94136552598064,242.04678319631168,232.39760484216967,223.58988074204552,234.24284537754548,242.40984426390696,239.5382836165801,246.05196546679747,235.16137537718808,241.64135323981282,240.76343899284137,245.1148158362575,256.08114050761844,266.77346574440253,283.83116973949757,272.5474653467103,244.89190979475717,229.41367290754292,239.22539933567722,235.5405673748446,241.9642963381422
5,1985-10-12 18:15:03+00:00,238.36844287492917,238.05042973240305,245.2425111955405,243.85256581266526,245.39288780736064,231.561535859959,222.66403132773735,234.16918755126503,254.44236161748378,253.6738131951898,249.69274416555376,246.88737453939896,254.55416347503106,253.25735954087455,262.05630376410727,268.3186479417087,273.33787340842247,269.9735426561357,265.2980807340365,246.42487022478122,235.5364842947132,239.28363861833873,251.07534485132788,249.38650241288332
6,1985-10-28 18:14:51+00:00,234.09904997558021,240.07046992828066,238.34723990346075,243.45904247934587,236.92735862646686,232.4295461256104,215.15563863756068,240.5756828701156,254.07797845777625,259.5876954501833,257.8044684429469,241.71898279365934,239.37459548083777,247.01349513789307,248.18193774334037,249.45899424727935,266.5677994411645,267.1352709587237,268.37708782235933,249.0258728768866,231.2543272581379,236.57834998784176,239.95380021897572,227.67828916230496
7,1986-03-21 18:12:01+00:00,225.2330594693453,234.28945639589207,238.37530820883882,241.04505230262976,231.03427428159173,226.9856206434118,215.0872087657591,252.44965898771366,264.55357260584736,270.41955214808246,267.3596266771713,248.02817256392672,271.27124972947115,271.57494527741187,274.377834198427,273.75400196552744,283.768650201608,288.24953386484225,280.2856995909887,285.07393343469676,265.60189126842977,286.118619164135,295.36029848763513,291.3226869514554
8,1986-05-08 18:10:55+00:00,229.9183737033552,226.53029754698335,246.09460646459848,242.66436062150387,233.99365671965955,228.65814594364699,221.28195081840158,241.3056449229322,264.75667190227784,265.2768573939416,266.42465728797265,256.1241568334234,270.8290405693791,269.33782259920133,273.25517461303156,268.3575356303634,278.7096663060448,280.4028974100082,284.89022706636166,266.699498939148,247.6230296451658,264.11826943345415,269.02061199943205,264.2827621516103
9,1986-05-24 18:10:28+00:00,,,,238.93758526005635,241.3685010621661,241.59706879591994,240.92779554585152,259.44236771152873,282.7445107655636,285.5733077573937,271.4442010684613,269.6385627228925,277.30123257925055,274.95673010239284,282.77667883779804,277.8868987428127,296.54927183448814,279.0862885583012,278.52074274012796,272.961384024057,242.4489749894053,266.1183704443231,263.72634187478496,254.6568460530878
