dates,nzd0057-0000,nzd0057-0001
2009-08-21 22:01:35+00:00,145.60542408646108,136.39336318513932
2009-09-06 22:01:35+00:00,154.26674683544522,140.05480038197155
2009-11-25 22:02:09+00:00,159.68835769509784,156.7801306840165
2009-12-03 22:01:55+00:00,,
2009-12-27 22:02:38+00:00,,143.3753663847329
2010-01-12 22:02:53+00:00,147.42798318355483,139.05344508898202
2010-03-17 22:03:33+00:00,144.8464001233499,143.95792018983968
2010-04-18 22:03:37+00:00,158.91113343881702,150.3057471266513
2010-05-04 22:03:35+00:00,157.25273342318195,169.23017590782607
2010-07-07 22:03:37+00:00,,135.7863133597545
2010-07-23 22:03:38+00:00,152.76411160275936,133.47969425815003
2010-08-08 22:03:37+00:00,142.9596839181493,133.6837872295392
2010-09-25 22:03:41+00:00,155.47939986177946,146.88301024996878
2010-11-12 22:04:06+00:00,163.1154189760246,158.9271383745454
2011-01-15 22:04:42+00:00,146.80458217733707,139.26792202572946
2011-03-28 22:01:14+00:00,,
2011-06-24 22:04:57+00:00,145.17289514610823,142.1040762184902
2011-07-26 22:04:54+00:00,149.31770195798566,146.75594466008553
2011-08-19 22:00:12+00:00,,
2011-09-04 22:00:03+00:00,,
2011-09-12 22:04:41+00:00,,
2012-01-18 22:05:25+00:00,153.06908415167513,142.88471286546192
2012-04-07 22:05:28+00:00,144.1958759935958,141.5685641756392
2012-04-23 22:05:40+00:00,144.24724859402994,145.0575460515771
2012-05-09 22:06:03+00:00,126.04256228824272,118.85900461761082
2013-01-04 22:07:34+00:00,163.99163566872502,158.77449417914062
2013-03-25 22:07:27+00:00,147.64350216968143,140.67333070868827
2013-04-26 22:07:19+00:00,166.29847480085382,148.58570094614512
2013-05-20 22:13:26+00:00,,
2013-05-28 22:07:11+00:00,156.59144282167802,148.2504315511419
2013-06-05 22:13:27+00:00,,
2013-06-21 22:13:19+00:00,,
2013-06-29 22:06:57+00:00,,
2013-07-15 22:06:47+00:00,152.33352754861463,146.41271083336773
2013-10-19 22:07:27+00:00,154.8075728232147,145.82873219958236
2013-12-22 22:07:47+00:00,163.8300475140219,152.35642474152732
2014-02-24 22:08:07+00:00,153.3590356372335,147.16898909938163
2014-04-29 22:08:37+00:00,147.00762460503543,142.15367507353824
2014-05-15 22:08:44+00:00,153.07862081074248,172.55400892839975
2014-05-31 22:08:48+00:00,169.73333800716432,145.99450281173924
2014-07-10 22:11:40+00:00,,
2014-10-06 22:09:20+00:00,146.77557294833716,136.54931234766983
2014-12-09 22:09:48+00:00,152.16695182954552,150.76591046836958
2015-01-10 22:09:59+00:00,166.65931149425114,156.79330076323953
2015-01-26 22:10:02+00:00,,
2015-03-31 22:10:28+00:00,154.227713971873,147.0200389870198
2015-04-16 22:10:38+00:00,138.4482497153572,127.22670074695037
2015-05-02 22:10:44+00:00,143.21428652446275,140.4998455937002
2015-06-03 22:10:57+00:00,141.13535893025133,134.27731140100633
2015-07-05 22:11:06+00:00,156.6366214373253,142.26080279943938
2015-07-21 22:11:10+00:00,147.72559722427772,146.27102360138278
2015-08-06 22:11:13+00:00,,
2015-08-14 22:11:31+00:00,,
2015-09-23 22:11:22+00:00,150.24206787778454,144.7348034858904
2015-11-26 22:12:17+00:00,151.63166127915585,148.66692201056642
2016-01-29 22:13:12+00:00,157.6634793631912,148.2492727352301
2016-04-02 22:13:35+00:00,146.76459928126437,139.5291776580759
2016-05-20 22:13:50+00:00,153.59817583297047,138.86430036738287
2016-07-23 22:14:00+00:00,139.02924360531935,139.85226387111683
2016-08-08 22:14:02+00:00,,
2016-09-09 22:14:07+00:00,,
2016-12-06 22:11:43+00:00,,
2016-12-30 22:13:44+00:00,162.32428853540205,158.01515442247663
2017-01-31 22:13:25+00:00,162.86318795480847,157.31367044936673
2017-02-16 22:13:23+00:00,155.09154152184104,144.55348173980155
2017-03-12 22:11:33+00:00,,
2017-04-21 22:13:48+00:00,156.76415882929862,151.14577114764245
2017-04-29 22:11:06+00:00,,
2017-06-08 22:14:00+00:00,157.01093462010476,148.2168537201378
2017-06-24 22:14:03+00:00,,138.79337693374617
2017-07-10 22:14:04+00:00,147.7135476230115,146.611454428211
2017-09-12 22:14:00+00:00,,
2018-03-23 22:12:30+00:00,,
2018-04-24 22:11:59+00:00,156.05456823651147,147.19738522436657
2018-05-26 22:11:27+00:00,,
2018-06-11 22:11:11+00:00,146.5983699664837,129.84926145468864
2018-06-27 22:10:52+00:00,152.8716431168323,145.02858879638345
2018-07-13 22:10:33+00:00,,
2018-07-29 22:10:17+00:00,152.7879159161061,152.22402114581968
2018-08-14 22:09:59+00:00,155.89688035465173,146.79554405056217
2019-01-05 22:06:29+00:00,158.08382295887762,149.51246185703724
2019-01-21 22:05:59+00:00,158.30438179046413,153.30244506066373
2019-03-10 22:04:30+00:00,173.42407893115833,166.9089319379709
2019-04-11 22:03:24+00:00,,
2019-05-13 22:02:12+00:00,150.12968045114096,145.20580244309542
2019-06-30 22:00:26+00:00,151.43635207501947,126.14729098644781
2019-07-08 22:11:20+00:00,,
2019-07-16 21:59:49+00:00,,
2019-11-21 21:54:19+00:00,153.13097639426027,148.45568758657393
2019-12-23 21:52:44+00:00,,
2020-01-24 21:51:07+00:00,169.11586309943948,164.19650730381838
2020-02-09 21:50:18+00:00,,153.01701772631728
2020-02-25 21:49:28+00:00,,160.8564764288318
2020-04-13 21:46:48+00:00,156.22352343511915,147.8060260152181
2020-05-15 21:44:52+00:00,,
2020-07-02 21:42:01+00:00,160.4140774272145,153.9714761001499
2020-08-03 21:40:03+00:00,142.79132519074054,141.22826624903357
2020-10-06 21:35:55+00:00,145.0846643017191,143.5148867843654
2021-02-11 21:26:53+00:00,155.11273277529992,149.48233935711545
2021-04-16 21:21:47+00:00,158.16584687323854,149.79889322166758
2021-05-02 21:20:26+00:00,158.72046646769638,149.2410643736829
2021-05-18 21:19:05+00:00,159.9666030405646,146.49623310372633
2021-06-03 21:17:43+00:00,156.14716573990205,151.65561780365454
2021-06-19 21:16:25+00:00,153.29314539122478,138.74518877442046
2021-08-06 21:12:19+00:00,,
2021-10-25 21:05:14+00:00,147.9570358244179,147.07600645989547
2021-11-10 21:03:43+00:00,154.52816115673605,146.272157426814
2021-11-26 21:02:10+00:00,162.17522791101595,159.66981371662322
2022-02-14 20:54:21+00:00,161.52056743048325,152.8867856097331
2022-03-18 20:51:13+00:00,148.91674841632454,145.2029587739638
2022-06-09 20:42:42+00:00,,
2022-06-22 22:11:14+00:00,,
2022-06-26 20:41:40+00:00,170.2028692941959,
2022-07-30 20:39:09+00:00,,
2022-08-09 22:11:34+00:00,,
2022-10-23 20:30:21+00:00,,142.69141300083533
2023-01-04 20:25:07+00:00,,
2023-02-07 20:18:31+00:00,,
2023-03-01 20:19:07+00:00,164.4885025102543,153.43749691997533
2023-03-18 20:14:27+00:00,,
2023-03-29 22:11:13+00:00,,
2023-05-23 20:09:00+00:00,,
2023-07-11 22:11:00+00:00,,
2023-10-15 22:11:39+00:00,,
2024-01-19 22:11:40+00:00,,
2024-07-29 22:10:53+00:00,,
