dates,nzd0057-0000,nzd0057-0001,satname
1999-08-26 22:04:21+00:00,342.05,339.16,L7
1999-09-27 22:04:25+00:00,347.56,341.84,L7
1999-10-13 22:04:24+00:00,349.74,339.09,L7
1999-11-14 22:04:18+00:00,348.39,340.15,L7
2000-01-01 22:04:13+00:00,348.16,339.47,L7
2000-01-17 22:04:11+00:00,348.94,340.02,L7
2000-05-24 22:03:22+00:00,354.42,344.77,L7
2000-08-12 22:02:30+00:00,354.81,347.62,L7
2001-01-03 22:01:48+00:00,353.34,348.56,L7
2001-03-08 22:01:45+00:00,352.43,349.53,L7
2001-03-24 22:01:35+00:00,352.68,350.05,L7
2001-08-15 22:00:14+00:00,348.16,343.68,L7
2001-08-31 22:00:05+00:00,345.09,338.51,L7
2001-09-16 21:59:53+00:00,346.73,338.06,L7
2001-11-19 21:59:56+00:00,346.90,337.44,L7
2001-12-05 21:59:55+00:00,346.41,338.08,L7
2002-01-22 22:00:16+00:00,348.74,341.10,L7
2002-03-27 22:00:13+00:00,353.26,347.30,L7
2002-07-17 21:59:44+00:00,354.40,348.34,L7
2002-08-18 21:59:33+00:00,351.58,345.68,L7
2002-09-19 21:59:11+00:00,347.44,343.44,L7
2002-11-22 21:59:33+00:00,343.36,343.34,L7
2002-12-24 21:59:45+00:00,347.81,345.97,L7
2003-03-30 22:00:07+00:00,350.36,347.19,L7
2003-07-28 21:48:04+00:00,348.21,340.43,L5
2003-08-29 21:48:38+00:00,348.28,343.93,L5
2003-11-09 21:59:54+00:00,350.45,347.22,L7
2003-11-25 22:00:05+00:00,343.27,341.18,L7
2004-02-05 21:50:17+00:00,345.99,344.51,L5
2004-04-01 22:00:40+00:00,344.67,340.53,L7
2004-06-12 21:52:47+00:00,351.60,345.65,L5
2004-06-20 22:00:26+00:00,348.47,342.43,L7
2004-07-06 22:00:24+00:00,348.47,342.13,L7
2004-07-22 22:00:20+00:00,351.76,342.20,L7
2004-07-30 21:54:04+00:00,351.35,342.45,L5
2004-08-15 21:54:25+00:00,346.67,339.03,L5
2004-09-16 21:55:17+00:00,347.45,339.39,L5
2004-10-18 21:55:59+00:00,348.96,340.14,L5
2004-11-03 21:56:19+00:00,349.59,340.82,L5
2004-11-11 22:00:21+00:00,349.24,340.51,L7
2004-11-19 21:56:31+00:00,350.07,341.57,L5
2004-12-13 22:00:36+00:00,349.44,341.33,L7
2005-01-14 22:00:49+00:00,350.71,343.15,L7
2005-02-15 22:01:01+00:00,351.82,345.35,L7
2005-02-23 21:58:07+00:00,352.42,346.35,L5
2005-03-03 22:01:06+00:00,352.75,346.77,L7
2005-03-11 21:58:20+00:00,353.16,346.98,L5
2005-03-27 21:58:27+00:00,353.50,347.95,L5
2005-04-04 22:01:03+00:00,353.31,347.27,L7
2005-04-12 21:58:31+00:00,353.45,347.48,L5
2005-05-06 22:01:01+00:00,352.73,347.30,L7
2005-05-22 22:01:00+00:00,352.43,346.98,L7
2005-05-30 21:58:51+00:00,352.32,346.64,L5
2005-06-07 22:00:55+00:00,352.05,346.82,L7
2005-07-17 21:59:11+00:00,351.75,346.62,L5
2005-09-19 21:59:32+00:00,349.68,343.31,L5
2005-11-30 22:01:00+00:00,347.85,343.22,L7
2006-01-01 22:01:10+00:00,351.33,343.19,L7
2006-02-10 22:01:51+00:00,354.60,344.02,L5
2006-03-14 22:02:31+00:00,351.57,344.78,L5
2006-05-17 22:03:33+00:00,354.20,350.33,L5
2006-06-10 22:01:26+00:00,354.28,350.86,L7
2006-08-21 22:04:55+00:00,353.35,350.07,L5
2006-09-14 22:00:57+00:00,355.31,349.69,L7
2006-11-25 22:06:19+00:00,357.68,356.28,L5
2007-02-13 22:06:23+00:00,357.27,355.44,L5
2007-05-12 22:01:48+00:00,359.93,359.77,L7
2007-05-28 22:01:40+00:00,353.37,346.60,L7
2007-06-13 22:01:40+00:00,352.39,345.72,L7
2007-09-17 22:01:13+00:00,348.79,343.54,L7
2007-09-25 22:04:24+00:00,349.06,342.87,L5
2008-02-24 22:01:38+00:00,347.52,339.82,L7
2008-05-14 22:01:24+00:00,353.76,346.92,L7
2008-08-18 22:00:33+00:00,353.76,340.46,L7
2008-09-19 22:00:16+00:00,352.49,344.04,L7
2008-10-21 22:00:12+00:00,348.70,341.33,L7
2008-12-16 21:55:41+00:00,352.76,339.55,L5
2009-01-01 21:56:07+00:00,353.21,340.78,L5
2009-01-25 22:01:10+00:00,351.90,341.05,L7
