,dates,per0141-0000,per0141-0001,per0141-0002,per0141-0003,per0141-0004,per0141-0005,per0141-0006,per0141-0007,per0141-0008,per0141-0009,per0141-0010,per0141-0011,per0141-0012,per0141-0013,per0141-0014,per0141-0015,per0141-0016,per0141-0017,per0141-0018,per0141-0019,per0141-0020,per0141-0021,per0141-0022,per0141-0023,per0141-0024,per0141-0025,per0141-0026,per0141-0027,per0141-0028,per0141-0029,per0141-0030,per0141-0031,per0141-0032,per0141-0033,per0141-0034,per0141-0035,per0141-0036,per0141-0037,per0141-0038,per0141-0039,per0141-0040,per0141-0041,per0141-0042,per0141-0043,per0141-0044,per0141-0045,per0141-0046,per0141-0047,per0141-0048,per0141-0049,per0141-0050,per0141-0051,per0141-0052,per0141-0053,per0141-0054,per0141-0055,per0141-0056,per0141-0057,per0141-0058,per0141-0059,per0141-0060,per0141-0061,per0141-0062,per0141-0063,per0141-0064,per0141-0065,per0141-0066,per0141-0067,per0141-0068,per0141-0069,per0141-0070,per0141-0071,per0141-0072,per0141-0073,per0141-0074
0,1984-12-25 14:41:08+00:00,,,,,,,,69.38443702068126,46.138799739335866,40.24775682031408,60.05842338037782,64.08710077982184,76.91488483343898,84.84471442502097,101.90363758251871,109.29741801579581,115.55145581116454,115.97982934862051,116.10923793242422,121.19548874857892,118.45007283277492,112.69661949460158,115.3104363839515,114.49155593290925,105.17326848883171,105.89755026677737,108.49612824243152,81.60256463546429,87.42866209876239,92.95965982415181,75.45172921361987,68.24184921046918,,,,,,,,,,,43.78374405896527,27.488863557178792,34.97979988373531,43.01305334586023,25.546042341154873,35.08770679736399,51.993776761814246,50.65589599504936,28.4111687248363,37.88292577054772,42.95290548557767,14.50507339562299,23.12894436335184,17.113080216404406,33.142065516524966,34.94533360380574,9.410775693960165,,,,,,,,,,,,,,,13.40735427405837,
1,1986-04-19 14:36:16+00:00,139.0319434033534,128.05603647393878,,78.18275969599043,89.20971655513169,108.5534269720166,110.32113227744965,94.50997545435885,69.81179050797698,70.54208546729308,63.31808293706435,77.62044251837992,82.79787735494718,90.83602869187858,103.08557073524982,108.54044522484165,112.00932450137236,111.47178583061472,128.79750513235456,121.57773558894621,127.37026715428112,119.46583156559271,120.41971307017732,110.65085590456832,112.57055423773618,106.85358773616608,108.37799693775321,107.20780125137432,100.13505357478371,112.052110128127,95.93778674563565,87.24694182588,74.7851087824233,60.258834232744945,62.821114517232886,40.5708333977004,58.59186212833343,51.90065441807425,70.90291808745252,72.24798740769998,65.51484415073102,56.45712383058216,43.43634103957014,42.78362198461828,47.42861783012968,29.96467212605859,38.643713908427806,29.776064032394835,32.98062589975875,51.793748409352794,33.414634445962704,41.98076792213321,45.120802761247475,33.89143236152581,23.057096058685065,26.362944602625422,41.64777046076024,25.30687251519494,8.72437409861972,19.158042331697597,16.523743803645925,18.71397866595409,2.0249127798328077,,,,,,,,,,,,
2,1986-05-05 14:35:53+00:00,159.64714033041002,143.5055231034475,,58.85774446029056,63.88790830159439,68.64826814992082,73.98602979181004,74.97489987744004,71.95785339876582,67.5902195740058,66.81678904399644,66.84763652319391,76.78473972068637,86.69013071011457,89.11480027215217,91.44332179841123,97.8620681784146,101.36813880924687,107.15235492665784,109.48701443156078,109.0139308162419,104.58468933279761,99.35139154453819,93.05227923864716,92.37306713584215,88.55679519530308,79.1234765858012,73.5805682026581,76.9751768427358,66.28058442167209,71.18288475304536,66.46986912588606,56.92026261945807,54.05108445374911,51.09245420004832,44.725846599190135,42.38486918512804,41.7388183096532,43.76920528829684,43.736350471277255,36.35279436413565,36.95894561157498,41.8215445700514,36.14161573865522,41.52249793101671,37.1582453630159,34.56870983127155,25.11900507584913,18.128055751820206,17.407110061154746,15.554443250042443,20.407206360979707,14.895480379882963,11.401112362200786,7.890211895587649,11.427641365208169,8.701419955928177,9.20881799365129,5.012794126206915,,,,,,,,,,,,,,,,
3,1986-08-09 14:32:48+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1986-08-25 14:32:12+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1986-09-10 14:31:38+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1986-09-26 14:31:09+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1986-10-12 14:30:38+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1986-12-15 14:29:44+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.10701044918181,31.88659300134326,12.639179334762318,14.643682504317587,35.7710996026945,35.257278221191164,37.193987804049705,29.491425327556875,8.675848035634413,,,,,,,,,,,,,,,,,
9,1987-02-08 14:37:40+00:00,,148.70034908107587,96.872554747725,101.14404817548524,97.936631224457,100.80979996283781,102.71220139171807,117.42633337515767,110.01851578420161,82.81632285178402,96.16739838020982,108.98961703967454,107.67600171135348,119.87195626800285,115.69756433120443,114.136121046585,138.72156594429907,138.1290857673655,133.0335678909859,130.73897091170704,117.14385503028174,102.32970332576386,110.28300744688002,110.59789665242269,115.07705450117138,96.62906328304462,105.5473956890317,108.77162810617466,103.90311731920914,95.46875533601334,100.0019630334882,94.41318697098484,95.40398849999363,86.34080869501199,80.8915710035663,79.06414604928052,75.91367973937332,84.02463227875447,79.07995378981508,69.39542190227544,75.92123559000677,68.25258722137656,68.49356901222227,53.04321338507245,68.89146823055432,62.4084905719983,57.347833800821356,64.67556576265548,66.06584396536958,62.49694818062386,40.00105506047666,36.80411660507994,51.2322104147982,53.27120057946905,56.324112902932455,40.31913077549535,22.4230186926007,41.65956759426834,30.4590018664624,19.37225074054553,25.95127108172686,22.86644434303051,5.065842875139923,,,,,,,,,,,,10.480632957682708
