,dates,nzd0453-0000,nzd0453-0001,nzd0453-0002,nzd0453-0003,nzd0453-0004,nzd0453-0005,nzd0453-0006,nzd0453-0007,nzd0453-0008,nzd0453-0009,nzd0453-0010,nzd0453-0011,nzd0453-0012,nzd0453-0013,nzd0453-0014,nzd0453-0015,nzd0453-0016,nzd0453-0017,nzd0453-0018,nzd0453-0019,nzd0453-0020,nzd0453-0021,nzd0453-0022,nzd0453-0023,nzd0453-0024,nzd0453-0025,nzd0453-0026,nzd0453-0027
0,1999-08-08 22:19:28+00:00,250.10830390948965,,225.86250305127533,218.4808587642478,210.64876688538186,204.37209816214676,195.25069230912334,198.56226093929084,214.54958114154633,220.0502133251662,194.3971128999116,167.33782229055484,,,,220.1645586987547,203.17057624728105,208.068938304202,226.14540714575608,228.77680187367244,217.02878122865798,206.34943441185962,204.72703675984997,,-17.75046437328124,,80.8446730005107,
1,1999-09-25 22:19:33+00:00,271.55259722528746,267.93487286782965,255.8061142009166,253.15299964007335,249.76711416737464,233.3094631251975,218.8340635600885,224.55440650694266,213.90621940438075,195.27774940157457,181.9926803367075,184.15982516649942,208.19225857862767,218.41085571374427,202.40624801170503,203.69842393759964,224.65575814479823,229.8165462390325,238.31923351666913,231.33170485882562,233.28090868367426,206.56491458563818,181.8749628117882,,22.168902133206945,,122.24348219484112,156.44455736791897
2,1999-11-12 22:19:27+00:00,257.52358916723045,229.8506233098282,228.12055258293356,228.69993236713665,231.60896282413896,248.6937685903015,241.18585504261617,190.55406840556702,170.7750626344441,170.4392558170769,202.22151164888993,221.48507332997488,203.23608743949586,197.659361866719,209.727912265035,,242.84953092134532,232.01702467940734,204.79929472351034,,220.58726932636912,,161.89761668345855,,,,,
3,2000-01-31 22:19:21+00:00,256.8913716755269,247.31012490862324,239.9379037544589,231.11553954029486,230.1341129407792,227.63665264429608,215.57247958029924,195.49152959261252,182.36989010507455,183.40803306919892,195.0143335080633,198.38436199241687,209.39491771225642,212.58892304855388,201.640771244834,202.48804399290628,,226.1802835383781,219.9761068410957,216.2664741800362,202.26438323782682,189.93205562146377,187.43262827927913,,,,113.30494243068146,149.76347417230852
4,2000-04-04 22:19:00+00:00,,169.17428001845073,,,,,,,,,,,,,,,,,,,,,,136.04381659546593,-21.0917621995651,17.981393807992447,64.4147836076467,102.26285786950636
5,2000-04-20 22:18:51+00:00,,196.65983786660888,197.70835183466767,205.65543770788412,213.30225525102918,215.9304707458538,203.58974034161002,191.84953776134006,168.80499602388562,153.64756908245926,160.58819352989593,,203.5433253989675,216.38923505802026,219.54397205152424,197.91435386438764,,205.8315710487994,,249.90064853270934,,225.30247282648844,194.85133344790296,153.9774626952204,-16.53519885922838,,,128.12874325703928
6,2000-05-22 22:18:33+00:00,207.53143020089513,201.14358741956738,191.44002431880293,184.53172999498275,176.99370388647594,167.59662079123143,176.3888861852435,184.1390420266182,164.9753748678155,146.08268209035612,149.23613194901435,160.4322355802845,179.30627776389377,181.69120476798344,195.90706015884274,,,198.05300104056923,204.4444653949095,216.10149808798542,197.6567658366168,179.8480032180802,,,,-13.494100148467833,38.99809021225082,89.236271238004
7,2000-06-07 22:18:24+00:00,258.774871344682,234.2639277022563,214.5507792396183,202.85900881188087,210.14539099576865,212.7820154705453,,205.87000638173157,193.68474274725304,178.66706727109295,170.90465417728362,,,202.26915664340189,,216.33972549319765,215.00351644743563,,233.05444006884466,,,,,,-55.53105350225652,4.111025888628832,34.04152885447525,
8,2000-09-27 22:17:00+00:00,307.18799944260763,290.6846665485628,272.8401283185701,254.35681548130714,241.28895492673144,222.84346872500447,200.02335179298245,,188.08207243544,212.45780775289785,201.00446817627588,193.9763868263019,186.3133435770547,180.84565826912512,,,,196.2983125152463,,,,153.74068865979768,153.17132293745868,176.44098081505786,,,,157.44389833495097
9,2000-11-14 22:16:54+00:00,293.64412892921854,273.0724989236941,257.2616106519841,231.91389311754432,223.4173734651395,222.15160750891943,225.66894653430268,223.46121742331144,217.7977466945722,212.4695268582992,211.98268561966577,181.3613748359995,165.78385533627056,,179.6642929565033,196.7588324557678,203.82552967921538,197.7736071704002,,,178.19430564996162,165.68763412014175,158.50839590732102,,,,,
