dates,satname,nzd0541-0000,nzd0541-0001,nzd0541-0002,nzd0541-0003,nzd0541-0004,nzd0541-0005,nzd0541-0006,nzd0541-0007,nzd0541-0008,nzd0541-0009,nzd0541-0010,nzd0541-0011,nzd0541-0012,nzd0541-0013,nzd0541-0014,nzd0541-0015,nzd0541-0016,nzd0541-0017,nzd0541-0018,nzd0541-0019,nzd0541-0020,nzd0541-0021,nzd0541-0022,nzd0541-0023,nzd0541-0024,nzd0541-0025,nzd0541-0026,nzd0541-0027,nzd0541-0028,nzd0541-0029,nzd0541-0030,nzd0541-0031,nzd0541-0032,nzd0541-0033,nzd0541-0034
2001-12-21 22:03:17+00:00,L7,,,378.10,384.65,386.39,384.71,383.94,391.88,388.55,385.79,389.71,386.51,386.58,384.68,386.90,389.78,393.12,394.42,387.05,380.01,373.06,368.73,362.78,363.83,366.78,367.15,371.61,364.14,371.67,369.05,348.79,356.06,350.18,349.58,358.08
2002-03-11 22:03:31+00:00,L7,446.86,414.37,401.78,407.71,410.38,408.16,404.47,407.98,414.01,413.58,410.19,410.14,402.40,408.14,421.02,430.12,437.97,437.85,434.70,421.33,415.99,404.69,396.11,384.54,388.21,387.72,391.77,401.17,401.09,403.62,400.22,415.21,428.19,427.30,437.76
2002-04-03 22:09:32+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525.11,531.47,498.93
2002-04-12 22:03:25+00:00,L7,461.80,434.63,377.20,376.44,386.30,385.36,382.60,390.29,,,,385.99,386.84,,,,379.33,389.67,,,387.39,360.41,356.23,353.88,375.66,331.85,349.32,,367.47,357.47,359.82,385.92,398.00,400.73,401.19
2002-05-05 22:09:37+00:00,L7,349.92,345.55,321.52,,,,,,,,,,,,,,360.63,351.78,332.36,333.43,342.28,330.15,332.68,337.25,336.50,332.40,336.00,325.54,332.66,338.67,343.26,360.14,380.72,388.08,389.59
2002-05-14 22:03:19+00:00,L7,436.08,429.31,384.46,390.81,396.21,392.33,394.52,399.67,397.86,391.34,393.57,391.66,394.61,396.22,393.05,402.42,407.60,406.55,402.85,390.34,375.72,376.10,370.52,376.11,372.30,368.45,375.35,381.46,385.09,391.85,386.76,416.86,430.19,435.02,434.09
2002-06-15 22:03:07+00:00,L7,372.47,,,,,,,,,,,,,,,,,372.37,383.24,372.44,365.59,348.90,347.53,350.27,349.86,354.92,350.32,351.46,348.20,349.52,346.83,373.01,393.60,414.01,416.73
2002-06-22 22:09:15+00:00,L7,362.44,361.82,332.32,340.78,328.22,336.85,351.96,356.00,352.22,353.06,358.87,357.19,353.97,352.34,356.42,353.48,362.85,371.36,,348.26,349.82,342.48,342.83,343.63,332.46,330.75,338.20,330.71,323.28,330.34,338.09,352.15,376.06,385.60,388.10
2002-07-01 22:03:02+00:00,L7,,620.68,,,,,,,,,,,,,,,345.87,376.03,,,343.47,345.66,319.50,328.59,325.79,332.42,334.01,,320.06,315.36,265.60,344.97,386.53,380.73,398.12
2002-07-08 22:09:12+00:00,L7,375.27,380.70,357.02,334.94,356.15,377.37,384.50,377.19,371.92,364.83,368.35,374.22,366.94,365.73,369.39,370.57,385.76,385.62,374.66,374.08,369.53,362.86,362.53,362.21,360.76,354.10,346.74,,351.39,359.15,359.80,380.96,409.29,424.42,433.67
2002-08-09 22:08:57+00:00,L7,442.75,379.00,383.62,390.94,393.24,388.89,393.20,,,,392.35,388.95,380.61,378.56,374.52,385.07,389.34,390.87,388.42,380.18,376.56,378.08,378.06,371.34,369.65,364.41,362.66,375.64,389.88,400.99,397.25,403.35,435.22,447.61,453.23
2002-09-10 22:08:43+00:00,L7,429.08,424.62,368.95,365.93,373.73,374.00,371.90,377.60,373.59,372.09,378.70,378.49,375.88,379.20,376.38,374.18,388.02,391.69,381.83,378.97,373.35,369.39,366.03,369.90,373.81,371.80,370.20,379.83,386.20,382.91,388.91,409.76,432.89,430.66,434.66
2002-11-22 22:02:45+00:00,L7,448.48,443.64,379.86,381.63,383.73,381.20,379.00,381.37,378.46,378.18,381.33,383.69,380.39,378.81,384.76,392.24,401.29,402.07,381.59,372.64,368.38,373.89,374.17,375.14,376.67,376.54,378.08,384.70,386.69,377.92,378.25,432.06,391.36,408.24,413.97
2003-02-01 22:09:21+00:00,L7,375.02,364.58,353.83,359.99,357.90,,,,,,,,,,,,379.31,378.88,,363.90,358.94,355.58,362.69,356.49,358.78,362.65,370.43,371.10,372.58,374.54,364.08,370.10,375.53,401.10,412.98
2003-03-21 22:09:27+00:00,L7,455.05,447.57,380.93,397.86,408.57,411.34,404.81,406.30,399.11,399.35,413.93,422.50,426.18,442.28,453.66,455.26,456.13,449.62,405.90,390.62,391.09,387.79,391.66,403.64,409.49,418.45,413.27,427.97,426.14,427.62,416.54,430.99,409.93,392.00,392.03
2003-08-05 22:02:59+00:00,L7,340.75,342.06,335.67,333.94,330.15,335.97,336.55,346.41,352.93,352.86,362.90,363.88,359.98,353.57,,,,,,,,,,,,,,303.38,312.95,318.74,313.88,327.42,331.95,330.95,333.28
2003-08-13 21:51:32+00:00,L5,444.05,435.53,349.93,376.15,389.56,400.99,400.91,410.93,396.06,392.52,398.82,402.64,404.42,413.32,412.80,405.83,384.99,387.64,382.37,388.57,389.59,395.85,387.07,380.95,371.16,364.09,348.37,343.81,409.99,429.90,419.21,449.28,442.61,461.63,405.88
2003-10-07 21:58:35+00:00,L5,375.41,373.57,371.68,377.71,380.58,378.76,374.28,378.05,375.83,373.00,379.22,377.74,372.90,372.71,370.93,378.89,382.22,396.40,399.71,395.62,388.68,380.83,369.14,366.92,360.11,355.93,350.30,346.50,348.95,346.48,342.83,354.21,373.75,382.06,395.80
2003-10-15 22:08:58+00:00,L7,376.25,378.88,367.83,373.62,369.76,374.24,369.10,373.90,375.60,375.81,385.09,384.05,374.93,376.50,375.29,379.29,373.16,386.97,391.86,,,,,,,,,,344.84,348.14,348.95,363.51,375.03,382.13,398.34
2003-10-24 22:02:58+00:00,L7,337.53,350.16,355.44,363.57,383.10,407.04,408.48,412.15,407.28,403.24,404.38,400.46,395.97,394.22,406.44,405.24,408.71,420.48,423.30,435.91,429.16,409.55,383.79,375.79,,,,,,,,,,,516.81
