dates,nzd0394-0000,nzd0394-0001,nzd0394-0002,nzd0394-0003,nzd0394-0004,nzd0394-0005,nzd0394-0006,satname
1999-07-02 21:59:57+00:00,,,,,,580.75,,L7
1999-07-18 22:00:01+00:00,,299.64,322.35,320.45,,562.95,,L7
1999-09-04 22:00:09+00:00,342.18,317.49,326.67,323.75,320.85,485.27,337.94,L7
1999-10-22 22:00:04+00:00,339.43,323.40,328.29,324.99,326.04,447.62,337.15,L7
1999-12-09 22:00:09+00:00,338.53,324.16,326.99,323.09,323.03,422.53,335.44,L7
1999-12-25 22:00:28+00:00,337.69,322.51,329.96,321.27,318.89,405.23,332.66,L7
2000-01-26 22:00:02+00:00,339.57,327.00,329.13,320.54,317.10,326.48,332.96,L7
2000-02-11 22:00:21+00:00,341.81,327.15,328.70,319.89,315.26,325.83,334.09,L7
2000-02-27 21:59:52+00:00,342.56,326.79,327.77,320.45,315.75,326.47,334.93,L7
2000-03-30 21:59:45+00:00,341.28,325.28,327.81,320.93,316.76,327.40,335.05,L7
2000-04-15 21:59:55+00:00,340.22,325.21,327.12,321.17,317.41,328.00,334.16,L7
2000-05-01 21:59:54+00:00,340.61,324.63,326.69,321.59,317.49,328.47,333.59,L7
2000-06-18 21:59:27+00:00,341.16,323.01,326.56,321.92,318.54,329.65,333.41,L7
2000-07-04 21:58:50+00:00,342.16,319.85,324.24,323.05,320.26,331.21,334.71,L7
2000-08-05 21:58:44+00:00,341.88,320.04,325.08,323.55,321.88,332.06,335.51,L7
2000-09-06 21:58:22+00:00,338.14,318.13,326.13,326.22,326.00,334.86,334.56,L7
2000-10-08 21:57:36+00:00,339.63,318.84,325.51,325.29,325.47,334.30,333.41,L7
2000-11-25 21:57:34+00:00,336.81,315.65,323.24,321.15,321.55,330.44,330.04,L7
2000-12-11 21:58:00+00:00,335.53,316.19,322.86,321.12,320.38,329.47,329.40,L7
2001-02-13 21:57:39+00:00,335.42,321.28,322.41,321.79,317.52,327.97,327.94,L7
2001-05-20 21:57:04+00:00,325.99,317.10,317.12,317.63,313.29,324.34,324.80,L7
2001-06-05 21:57:16+00:00,327.41,316.59,319.41,320.26,317.25,327.15,329.43,L7
2001-07-07 21:56:36+00:00,322.47,315.71,320.36,320.15,317.36,328.42,330.57,L7
2001-08-24 21:56:00+00:00,320.38,314.58,315.06,318.50,317.81,328.67,328.86,L7
2001-09-25 21:55:40+00:00,325.08,315.97,316.73,319.54,317.86,329.86,332.56,L7
2001-12-14 21:55:53+00:00,329.64,315.58,312.79,316.62,313.65,327.96,330.79,L7
2001-12-30 21:55:49+00:00,327.49,315.08,312.91,315.92,313.38,327.61,329.77,L7
2002-02-16 21:56:30+00:00,331.56,314.29,312.76,315.42,312.42,323.29,326.80,L7
2002-03-20 21:56:00+00:00,333.48,317.01,317.73,316.11,313.10,322.44,327.02,L7
2002-05-07 21:56:27+00:00,331.94,317.59,317.92,315.14,312.56,318.92,322.90,L7
2002-09-12 21:55:07+00:00,344.11,328.04,325.20,321.25,317.97,323.01,334.78,L7
2002-10-14 21:54:55+00:00,340.08,325.19,323.80,321.42,316.35,322.05,336.86,L7
2002-10-30 21:55:25+00:00,341.28,326.72,323.93,321.51,316.66,324.16,336.09,L7
2003-01-18 21:55:42+00:00,340.18,326.49,323.14,322.38,317.91,327.56,338.19,L7
2003-03-23 21:56:16+00:00,335.59,321.23,321.05,320.31,317.23,328.27,335.20,L7
2003-04-08 21:56:23+00:00,332.90,318.13,318.74,318.13,314.37,323.81,332.56,L7
2003-04-24 21:55:58+00:00,329.46,316.73,317.43,316.56,313.71,323.44,331.28,L7
2003-05-10 21:56:22+00:00,329.47,315.10,317.31,316.08,313.25,321.44,330.48,L7
2003-07-21 21:44:09+00:00,330.08,313.54,316.47,313.41,310.67,318.96,327.61,L5
2003-07-29 21:55:41+00:00,330.08,312.10,315.35,313.15,310.77,318.43,326.35,L7
2003-08-30 21:55:34+00:00,326.26,310.34,315.29,313.79,311.42,319.27,324.95,L7
2003-10-17 21:55:27+00:00,331.27,316.49,320.57,317.57,315.06,323.06,327.74,L7
2003-11-18 21:55:51+00:00,333.18,316.46,321.36,317.97,316.31,325.19,330.15,L7
2003-12-28 21:46:21+00:00,340.21,319.54,321.56,317.60,315.19,326.35,331.89,L5
2004-01-21 21:56:38+00:00,337.87,319.34,320.03,317.85,316.44,327.76,333.11,L7
2004-03-09 21:56:51+00:00,342.29,325.01,323.89,319.83,317.30,330.49,337.68,L7
2004-04-02 21:46:30+00:00,342.14,325.78,324.25,320.23,317.66,329.55,335.51,L5
2004-04-10 21:56:26+00:00,342.25,326.23,325.49,321.26,317.77,329.46,336.32,L7
2004-05-04 21:47:27+00:00,340.85,323.83,322.48,320.13,315.88,326.63,331.77,L5
2004-05-20 21:48:20+00:00,336.02,321.45,320.81,319.27,315.34,325.27,327.65,L5
2004-06-21 21:49:16+00:00,336.02,321.45,320.81,316.93,316.65,328.65,327.65,L5
2004-07-07 21:49:44+00:00,331.80,318.54,321.16,317.50,317.71,327.99,327.57,L5
2004-07-31 21:56:03+00:00,334.52,320.20,323.49,318.51,318.71,329.25,327.60,L7
2004-08-08 21:50:02+00:00,334.52,320.20,322.58,317.80,315.72,326.73,324.61,L5
2004-09-01 21:56:21+00:00,337.06,319.30,322.05,316.81,315.07,325.84,323.77,L7
2004-09-25 21:51:19+00:00,338.77,321.69,322.26,317.22,316.09,326.51,324.78,L5
2004-10-19 21:55:55+00:00,338.56,320.42,321.60,316.52,315.79,326.75,323.65,L7
2004-10-27 21:52:23+00:00,338.06,320.60,322.09,316.21,315.54,326.39,323.81,L5
2004-11-04 21:56:07+00:00,339.21,320.53,321.89,315.18,315.10,327.34,326.12,L7
2004-12-06 21:56:23+00:00,342.88,322.08,321.66,314.59,313.77,326.45,326.13,L7
2005-01-15 21:53:21+00:00,344.40,324.74,321.81,316.54,311.98,324.61,324.39,L5
2005-02-24 21:57:17+00:00,345.43,322.28,321.50,317.19,313.51,324.62,325.69,L7
2005-03-04 21:54:27+00:00,344.06,324.40,322.91,318.86,314.76,326.66,329.34,L5
2005-03-12 21:57:20+00:00,343.97,325.04,322.55,318.02,313.93,326.49,330.46,L7
2005-04-05 21:54:19+00:00,343.91,324.49,323.06,318.77,314.38,326.55,330.58,L5
2005-04-13 21:57:12+00:00,341.45,322.52,322.48,318.66,314.44,326.94,330.62,L7
2005-04-21 21:54:22+00:00,342.65,322.34,321.63,319.35,316.16,328.37,332.17,L5
2005-05-31 21:56:47+00:00,342.86,319.58,319.79,319.15,315.38,327.74,330.20,L7
2005-06-08 21:54:44+00:00,344.69,318.37,320.66,319.80,317.68,329.25,331.71,L5
2005-06-24 21:54:49+00:00,343.50,314.81,320.17,318.66,317.57,328.61,331.30,L5
2005-07-10 21:54:55+00:00,343.50,313.93,319.66,318.27,316.78,327.60,331.70,L5
2005-08-03 21:57:01+00:00,343.50,312.68,319.43,318.74,318.14,327.11,331.43,L7
2005-08-27 21:55:43+00:00,340.45,312.05,318.92,318.73,318.33,327.96,332.74,L5
2005-09-20 21:56:18+00:00,336.60,308.10,316.78,316.27,317.15,326.63,329.67,L7
2005-09-28 21:55:44+00:00,336.68,310.00,317.90,316.26,317.17,326.92,330.44,L5
2005-10-06 21:56:37+00:00,335.37,309.47,316.85,314.86,315.65,325.98,329.25,L7
2005-10-22 21:56:27+00:00,334.45,309.11,316.75,312.46,313.24,323.02,327.00,L7
2005-11-07 21:57:03+00:00,335.95,310.76,317.16,313.04,312.91,323.59,328.17,L7
2006-01-10 21:57:28+00:00,336.29,320.03,318.96,313.76,312.20,324.37,329.75,L7
2006-01-26 21:57:12+00:00,336.83,319.01,319.51,314.55,312.58,324.43,329.47,L7
2006-02-11 21:57:16+00:00,334.51,317.34,317.73,313.29,310.07,322.71,327.93,L7
2006-02-19 21:57:51+00:00,334.02,316.70,317.99,314.19,310.59,323.28,329.16,L5
2006-03-15 21:57:19+00:00,334.91,318.25,318.32,314.10,310.99,323.27,329.66,L7
2006-03-31 21:57:18+00:00,336.83,318.87,319.24,317.73,312.46,324.18,329.67,L7
2006-06-19 21:57:12+00:00,336.07,314.32,318.02,318.60,313.91,325.32,330.63,L7
2006-06-27 22:00:00+00:00,336.07,314.32,316.95,317.64,312.98,324.59,329.14,L5
2006-07-21 21:56:57+00:00,331.36,310.20,316.91,318.62,313.67,325.15,328.55,L7
2006-08-22 21:56:53+00:00,332.18,313.51,316.31,315.78,313.70,323.55,324.11,L7
2006-10-09 21:57:00+00:00,334.17,313.68,316.20,313.50,312.40,321.19,321.63,L7
2006-10-25 21:56:53+00:00,335.09,316.87,316.77,314.77,312.10,320.11,321.00,L7
2006-11-02 22:01:56+00:00,336.70,319.75,317.67,315.45,313.11,321.03,323.11,L5
2006-11-10 21:57:06+00:00,338.79,320.85,318.54,315.73,312.20,321.44,324.18,L7
2006-12-28 21:57:50+00:00,340.38,326.25,322.58,316.93,311.54,321.37,324.66,L7
2007-01-05 22:02:04+00:00,342.49,326.49,321.27,315.92,311.02,320.50,324.45,L5
2007-01-21 22:02:09+00:00,348.24,330.81,323.21,317.65,311.04,320.92,325.07,L5
2007-01-29 21:57:57+00:00,346.57,329.60,322.94,317.41,310.56,320.98,326.01,L7
2007-02-06 22:02:11+00:00,347.02,329.55,323.65,317.46,310.52,321.09,326.91,L5
2007-03-02 21:58:07+00:00,344.75,328.95,322.90,317.07,310.06,321.32,328.50,L7
2007-03-18 21:58:09+00:00,343.30,328.88,323.07,317.06,311.43,322.28,328.57,L7
2007-04-19 21:57:43+00:00,342.80,329.78,323.51,317.64,311.98,322.85,329.51,L7
2007-06-06 21:57:29+00:00,341.74,330.03,324.97,318.08,312.97,323.52,330.65,L7
2007-08-25 21:57:35+00:00,332.15,328.30,323.36,317.20,318.30,325.79,329.67,L7
2007-09-10 21:57:03+00:00,336.88,328.83,325.67,319.15,319.85,328.71,332.54,L7
2007-10-12 21:57:23+00:00,335.83,326.71,325.60,319.20,317.69,328.08,332.48,L7
2007-10-28 21:57:34+00:00,334.46,323.55,323.14,315.85,312.92,323.09,329.72,L7
2007-12-31 21:57:58+00:00,335.33,319.25,321.56,314.21,309.69,322.05,328.67,L7
2008-01-16 21:57:59+00:00,335.89,318.24,320.61,312.99,309.47,322.36,331.93,L7
2008-02-25 21:58:00+00:00,336.00,315.49,319.17,312.54,309.61,322.41,332.46,L5
2008-03-04 21:57:24+00:00,339.79,312.22,319.17,311.42,309.50,321.79,330.70,L7
2008-04-05 21:57:22+00:00,338.80,310.65,319.14,311.12,309.55,321.16,334.39,L7
2008-05-07 21:57:40+00:00,344.56,305.63,315.59,309.25,309.67,318.25,332.95,L7
2008-06-08 21:57:01+00:00,344.56,305.63,313.97,309.56,309.14,318.35,332.72,L7
2008-07-10 21:57:04+00:00,346.24,303.22,313.75,307.76,309.80,317.97,331.32,L7
2008-08-27 21:56:17+00:00,344.17,301.82,314.64,310.36,311.07,320.99,331.00,L7
2008-10-14 21:55:54+00:00,324.41,308.92,315.75,313.33,313.48,324.40,329.02,L7
2008-11-15 21:56:23+00:00,332.11,315.40,318.60,317.38,317.42,331.74,334.24,L7
2008-12-01 21:56:35+00:00,333.45,315.97,317.87,318.05,319.32,332.79,334.70,L7
2008-12-17 21:57:08+00:00,332.34,313.79,319.48,318.81,321.17,335.28,335.99,L7
2009-03-07 21:57:43+00:00,333.33,317.48,318.39,319.49,323.32,334.35,335.72,L7
