dates,nzd0533-0000,nzd0533-0001,nzd0533-0002,nzd0533-0003,nzd0533-0004,nzd0533-0005,nzd0533-0006,nzd0533-0007,nzd0533-0008,nzd0533-0009,nzd0533-0010,nzd0533-0011,nzd0533-0012,nzd0533-0013,nzd0533-0014,nzd0533-0015,nzd0533-0016,nzd0533-0017,nzd0533-0018,nzd0533-0019,nzd0533-0020,nzd0533-0021,nzd0533-0022,nzd0533-0023,nzd0533-0024,nzd0533-0025,nzd0533-0026,nzd0533-0027,nzd0533-0028,nzd0533-0029,nzd0533-0030,nzd0533-0031,nzd0533-0032,nzd0533-0033,nzd0533-0034,nzd0533-0035,nzd0533-0036,nzd0533-0037,nzd0533-0038,nzd0533-0039,nzd0533-0040,nzd0533-0041,nzd0533-0042,nzd0533-0043,nzd0533-0044,nzd0533-0045,nzd0533-0046,nzd0533-0047,nzd0533-0048,nzd0533-0049,nzd0533-0050,nzd0533-0051,nzd0533-0052,nzd0533-0053,nzd0533-0054,nzd0533-0055,nzd0533-0056,nzd0533-0057,nzd0533-0058,nzd0533-0059,nzd0533-0060,nzd0533-0061,nzd0533-0062,nzd0533-0063,satname
1999-12-30 22:19:45+00:00,324.77,321.51,324.31,311.04,307.39,299.75,300.80,310.36,307.56,306.39,300.66,301.48,305.96,305.93,306.60,307.01,301.53,303.80,305.89,308.89,313.00,315.89,314.41,310.62,308.78,313.33,311.07,314.35,321.96,326.35,320.93,319.65,319.31,325.64,333.97,337.97,329.20,325.39,320.97,326.45,338.53,350.14,358.66,365.84,374.34,375.05,374.64,371.38,374.53,376.81,377.97,371.08,364.00,350.29,347.08,340.73,337.07,321.15,308.43,310.43,318.93,318.45,316.29,320.26,L7
2000-04-20 22:19:15+00:00,322.97,319.20,327.47,306.78,306.17,299.54,298.74,314.15,310.77,309.69,304.66,305.47,309.45,309.31,308.80,305.10,304.20,304.82,306.04,309.69,315.42,317.83,315.35,313.33,311.08,314.25,313.34,320.97,326.45,330.17,325.12,322.45,323.34,327.17,334.12,338.80,330.38,323.78,319.65,328.42,338.81,351.02,360.99,367.88,375.70,377.47,375.60,373.14,376.55,380.38,383.56,378.56,374.39,364.25,352.86,347.94,346.13,327.17,313.62,314.84,324.06,322.29,320.30,323.44,L7
2000-05-22 22:18:57+00:00,318.20,319.20,327.47,306.78,306.17,299.54,298.74,314.15,310.77,309.69,304.66,305.47,309.45,309.31,308.80,305.10,304.20,304.82,306.04,309.69,315.42,317.83,315.35,313.33,306.29,310.66,310.93,315.77,322.03,324.38,320.26,315.84,318.38,321.65,329.40,332.90,324.34,320.31,316.56,327.55,338.81,346.31,356.06,363.93,372.12,372.08,372.01,373.14,376.55,380.38,383.56,378.56,374.39,364.25,352.86,347.94,346.13,327.17,313.62,314.84,324.06,322.29,320.30,323.44,L7
2000-07-09 22:18:29+00:00,314.92,316.90,330.63,302.52,304.95,299.34,296.68,317.95,313.99,313.00,308.66,309.46,312.95,312.69,310.99,303.18,306.87,305.84,306.20,310.48,317.84,319.77,316.28,316.04,305.04,309.33,310.86,316.48,322.06,323.40,319.93,313.94,317.92,319.66,327.12,330.36,321.91,317.77,314.35,328.11,339.10,344.39,354.76,362.98,371.00,370.60,370.69,374.90,378.58,383.95,389.14,386.04,384.78,378.22,364.50,349.41,344.19,329.13,316.00,318.94,323.95,325.30,324.51,320.60,L7
2000-09-27 22:17:24+00:00,319.12,318.81,328.05,306.78,307.50,299.93,299.57,315.01,311.92,311.64,307.93,307.46,312.02,313.17,310.52,304.20,304.44,303.76,304.81,308.01,315.99,316.65,315.13,313.44,307.56,313.33,314.57,319.45,324.48,325.60,321.57,316.49,320.08,322.68,331.50,335.00,326.01,321.48,319.57,328.46,337.76,347.01,356.73,366.50,374.36,372.80,372.62,372.40,379.87,384.38,386.09,380.43,371.94,365.71,359.55,348.18,344.12,331.77,315.87,318.57,326.00,326.49,324.67,323.14,L7
2001-03-22 22:17:09+00:00,328.26,321.75,328.87,310.47,310.52,299.79,302.88,311.90,308.43,310.68,305.67,306.29,311.88,318.64,315.91,310.29,306.50,305.51,307.38,308.62,316.34,317.55,316.10,311.39,313.53,319.09,321.49,324.82,329.22,330.36,325.54,322.88,324.71,327.64,336.61,343.16,331.48,326.23,328.06,326.78,334.89,351.70,362.02,373.74,380.87,378.18,376.03,369.86,380.51,385.29,383.62,375.82,358.09,348.69,346.12,343.48,338.71,333.38,315.26,319.04,333.62,332.99,327.70,333.50,L7
2001-04-07 22:17:01+00:00,327.88,320.81,330.75,309.91,309.84,299.96,302.35,311.68,306.81,310.32,304.37,307.84,312.68,320.72,316.18,311.21,306.09,306.71,307.62,310.04,317.29,319.47,313.23,309.92,309.88,313.63,319.65,322.20,326.54,328.07,323.54,321.94,324.12,326.57,332.86,340.41,326.71,325.64,325.09,322.79,336.50,351.60,362.24,373.36,379.92,378.84,377.15,375.93,382.18,387.23,386.23,378.87,359.34,351.44,345.05,341.21,334.28,328.04,313.95,318.46,334.09,333.49,329.65,334.04,L7
2001-12-19 22:15:37+00:00,361.19,350.02,352.54,334.32,339.77,,325.61,340.73,334.73,343.46,327.37,329.67,330.69,334.56,331.63,328.38,324.17,321.27,316.64,318.17,319.82,322.66,318.35,318.32,322.22,323.32,330.47,335.51,337.58,341.64,336.36,332.49,330.96,333.52,340.66,341.35,333.75,339.72,339.72,310.86,354.78,367.04,388.68,,,,,,,,,,,,,,,,,348.20,361.61,357.11,358.14,361.47,L7
2002-07-31 22:15:11+00:00,,,,,,,,,,,,,,,,,,,,302.41,303.89,312.82,304.80,305.05,310.91,308.51,314.17,320.95,330.82,331.46,330.26,327.57,332.53,332.25,335.41,336.91,330.45,327.63,334.33,,,,,,,,,,,,,,,,,,,,,328.80,336.20,334.83,332.25,336.29,L7
2002-10-19 22:14:44+00:00,321.31,314.85,325.69,307.46,306.80,296.94,302.81,308.24,305.38,308.28,301.34,304.69,313.15,314.71,309.22,303.62,296.92,294.36,291.91,299.40,305.42,310.81,304.24,305.55,308.62,308.20,313.91,317.52,322.02,322.33,319.88,316.72,319.78,320.61,328.44,333.07,325.47,322.18,327.49,323.55,328.75,340.12,354.53,360.40,371.89,370.52,365.72,367.47,375.60,379.04,375.51,365.61,346.13,310.23,318.95,322.89,322.47,314.19,297.80,316.49,326.94,329.28,324.59,328.12,L7
