dates,satname,nzd0533-0000,nzd0533-0001,nzd0533-0002,nzd0533-0003,nzd0533-0004,nzd0533-0005,nzd0533-0006,nzd0533-0007,nzd0533-0008,nzd0533-0009,nzd0533-0010,nzd0533-0011,nzd0533-0012,nzd0533-0013,nzd0533-0014,nzd0533-0015,nzd0533-0016,nzd0533-0017,nzd0533-0018,nzd0533-0019,nzd0533-0020,nzd0533-0021,nzd0533-0022,nzd0533-0023,nzd0533-0024,nzd0533-0025,nzd0533-0026,nzd0533-0027,nzd0533-0028,nzd0533-0029,nzd0533-0030,nzd0533-0031,nzd0533-0032,nzd0533-0033,nzd0533-0034,nzd0533-0035,nzd0533-0036,nzd0533-0037,nzd0533-0038,nzd0533-0039,nzd0533-0040,nzd0533-0041,nzd0533-0042,nzd0533-0043,nzd0533-0044,nzd0533-0045,nzd0533-0046,nzd0533-0047,nzd0533-0048,nzd0533-0049,nzd0533-0050,nzd0533-0051,nzd0533-0052,nzd0533-0053,nzd0533-0054,nzd0533-0055,nzd0533-0056,nzd0533-0057,nzd0533-0058,nzd0533-0059,nzd0533-0060,nzd0533-0061,nzd0533-0062,nzd0533-0063
1999-12-30 22:19:45+00:00,L7,323.44,320.26,322.64,309.50,306.14,298.95,299.47,309.31,306.85,305.14,299.71,300.57,304.91,304.60,305.49,305.90,300.58,302.69,304.71,307.89,311.67,314.64,313.23,309.67,307.87,312.08,309.74,313.02,320.71,325.17,319.68,318.40,317.88,324.39,332.30,336.30,327.66,323.39,318.97,324.78,336.53,347.64,356.44,363.62,371.84,372.55,372.42,369.16,371.20,373.48,374.64,367.08,360.00,346.29,343.75,337.40,333.74,317.15,305.57,307.10,315.60,315.12,312.96,316.26
2000-04-20 22:19:15+00:00,L7,326.09,321.53,336.80,308.21,309.58,302.30,301.61,321.84,316.63,317.62,312.18,312.82,316.84,317.62,315.10,307.29,310.39,309.95,310.55,314.18,322.77,324.40,320.63,319.56,316.75,319.79,320.54,332.51,335.58,338.33,333.92,329.88,332.65,333.33,340.44,345.79,337.26,329.57,325.74,336.57,346.50,361.16,371.53,378.14,386.32,389.14,384.78,383.12,390.91,396.28,401.47,400.84,399.58,393.02,370.96,367.48,367.52,348.00,329.38,331.58,341.51,338.46,336.64,341.43
2000-05-22 22:18:57+00:00,L7,318.14,,,,,,,,,,,,,,,,,,,,,,,,303.15,312.36,315.57,314.86,322.04,321.16,319.43,311.49,318.62,319.50,331.79,332.93,323.18,327.57,324.56,337.64,,354.62,361.99,371.81,382.69,379.06,380.61,,,,,,,,,,,,,,,,,
2000-07-09 22:18:29+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,365.37,338.67,328.20,319.06,308.91,313.64,313.72,319.47,319.72,308.56
2000-09-27 22:17:24+00:00,L7,319.27,312.98,315.14,301.50,302.29,295.56,294.19,305.54,305.42,302.54,301.30,299.82,304.57,305.38,303.17,298.33,296.10,294.80,296.14,299.34,305.87,305.79,306.69,304.93,306.94,313.57,313.74,317.11,321.58,322.72,317.09,313.85,315.54,320.96,329.93,333.94,324.67,316.50,317.62,318.85,324.02,336.75,346.90,359.76,365.58,361.69,362.69,356.12,360.48,364.15,362.37,350.01,334.31,328.40,328.98,325.05,323.30,312.24,297.89,297.14,309.42,308.21,304.31,303.44
2001-03-22 22:17:09+00:00,L7,319.52,313.89,320.44,298.98,302.14,293.38,293.83,304.26,301.94,302.20,297.38,300.67,305.20,314.17,313.88,307.46,304.24,301.44,302.99,304.59,309.07,312.68,309.86,305.19,308.03,307.97,311.49,314.79,320.22,322.35,317.37,315.29,314.88,317.71,321.12,330.23,317.83,309.35,311.91,312.55,319.16,333.40,347.58,358.16,362.90,361.42,359.81,354.03,356.21,362.09,360.54,348.44,328.67,315.78,318.93,317.56,309.78,301.31,294.64,296.60,313.49,313.43,306.74,310.35
2001-04-07 22:17:01+00:00,L7,318.24,310.87,318.55,300.07,300.66,295.73,292.87,304.89,302.05,301.57,298.50,302.73,305.94,309.26,303.48,299.96,295.07,296.98,296.37,301.99,307.51,309.37,300.71,301.79,299.45,302.42,309.82,311.61,315.97,317.92,312.84,311.71,314.07,318.56,322.09,328.10,314.81,314.93,311.26,310.53,326.84,336.04,346.89,358.56,363.19,362.50,364.50,367.83,363.14,367.36,366.91,355.29,336.00,333.11,326.16,319.86,313.78,300.77,294.68,295.32,309.68,308.54,307.57,303.73
2001-12-19 22:15:37+00:00,L7,371.59,359.77,365.54,346.32,349.52,347.81,336.01,348.94,340.30,353.21,334.80,336.76,338.90,344.96,340.30,337.05,331.60,329.94,325.82,325.97,330.22,332.41,327.53,325.75,329.31,333.07,340.87,345.91,347.33,350.82,346.11,342.24,342.10,343.27,353.66,354.35,345.75,355.32,355.32,323.86,370.38,386.54,406.01,430.19,452.06,452.13,450.85,450.61,459.48,473.01,469.38,463.28,455.82,,,431.80,428.37,406.44,387.56,374.20,387.61,383.11,384.14,392.67
2002-07-31 22:15:11+00:00,L7,,,,,,,,,,,,,,,,,,,,306.71,309.62,318.20,309.86,309.15,314.82,313.89,319.90,326.68,336.20,336.52,335.64,332.95,338.67,337.62,342.58,344.08,337.07,336.23,342.93,,,,,,,,,,,,,,,,,,,,,343.13,350.53,349.16,346.58,353.49
2002-10-19 22:14:44+00:00,L7,311.98,306.10,314.02,296.69,298.05,291.34,293.48,300.87,300.38,299.53,294.67,298.33,305.78,305.38,301.44,295.84,290.25,286.58,283.67,289.40,297.62,300.06,295.43,299.37,299.96,299.15,304.32,304.76,304.48,304.97,300.74,297.11,297.04,300.22,309.79,317.55,309.72,302.73,306.65,311.88,314.75,322.62,338.97,344.84,354.39,353.02,350.16,351.91,352.27,355.71,352.18,337.61,318.13,282.23,295.62,299.56,299.14,286.19,277.80,280.84,294.36,300.41,293.59,291.95
