dates,nzd0196-0000,nzd0196-0001,nzd0196-0002,nzd0196-0003,nzd0196-0004,nzd0196-0005,nzd0196-0006,nzd0196-0007,nzd0196-0008,nzd0196-0009,nzd0196-0010,nzd0196-0011,nzd0196-0012,satname
1999-08-26 22:05:08+00:00,368.18,333.76,362.76,375.24,366.64,370.76,329.70,344.89,342.98,355.13,322.28,295.48,309.14,L7
1999-09-27 22:05:12+00:00,370.16,341.16,358.78,365.06,362.09,368.89,322.25,345.06,344.14,367.44,356.53,321.75,326.12,L7
1999-10-13 22:05:12+00:00,362.48,366.78,364.30,372.77,351.32,354.24,326.53,325.49,318.18,339.19,,304.65,327.95,L7
1999-11-14 22:05:06+00:00,384.41,377.29,374.59,379.56,381.91,,,,,,,,,L7
1999-12-25 21:58:52+00:00,,,330.90,,,,,311.67,313.42,334.96,,281.80,,L7
2000-01-01 22:05:01+00:00,373.24,369.78,370.35,371.15,369.23,354.49,343.05,376.54,366.29,386.03,376.59,,,L7
2000-02-18 22:04:53+00:00,372.49,354.95,369.21,373.09,371.47,373.63,348.03,357.49,356.07,373.44,365.90,,342.71,L7
2000-05-24 22:04:10+00:00,308.05,,359.62,364.84,365.93,369.30,351.02,369.57,372.49,387.76,255.51,262.76,248.85,L7
2000-06-25 22:03:56+00:00,328.59,378.18,393.59,404.24,394.53,,404.82,376.45,,424.31,262.37,260.12,267.94,L7
2000-07-04 21:57:38+00:00,,,351.76,353.46,352.73,360.31,376.29,365.52,332.51,,256.30,259.61,,L7
2000-07-11 22:03:41+00:00,,,,,,,,,,,274.51,235.25,248.23,L7
2000-08-05 21:57:08+00:00,329.74,,375.99,369.12,363.49,360.27,350.51,354.98,383.15,395.27,266.26,261.41,215.34,L7
2000-08-21 21:57:02+00:00,,,,,,330.92,,332.13,385.74,399.18,400.32,,,L7
2000-09-22 21:56:29+00:00,333.23,332.21,353.54,362.26,364.27,359.94,345.02,351.12,348.37,377.60,372.56,,,L7
2000-10-15 22:02:20+00:00,369.85,348.89,361.66,365.35,358.58,361.78,325.56,345.92,353.33,383.12,353.96,333.90,339.64,L7
2000-10-31 22:02:34+00:00,357.20,333.99,343.29,347.89,348.52,340.73,308.42,333.45,347.16,364.88,369.20,366.77,359.49,L7
2000-11-25 21:56:23+00:00,369.93,346.48,366.20,369.47,357.77,358.18,313.38,337.14,349.63,381.72,362.25,350.72,363.93,L7
2000-12-11 21:56:24+00:00,360.75,358.85,362.42,365.13,362.48,366.40,329.44,345.00,350.71,371.76,363.99,358.25,350.49,L7
2001-01-03 22:02:36+00:00,,,,,,,,,,409.68,419.94,423.76,422.26,L7
2001-02-04 22:02:38+00:00,336.98,378.00,383.85,380.07,373.12,374.09,,370.36,375.77,395.18,395.72,393.82,393.75,L7
2001-02-20 22:02:36+00:00,,,,384.55,377.85,372.66,361.16,348.80,354.12,387.01,392.77,380.12,369.17,L7
2001-03-01 21:56:21+00:00,,390.54,386.51,,,,,,385.54,391.05,409.40,409.51,404.21,L7
2001-03-24 22:02:23+00:00,366.07,,371.94,376.53,374.98,373.52,346.62,357.73,353.30,376.84,353.70,317.25,,L7
2001-06-12 22:01:48+00:00,,,360.84,368.67,361.98,390.31,,347.68,,411.17,240.62,236.03,,L7
2001-06-21 21:55:29+00:00,,,366.73,355.42,355.06,368.14,343.19,346.70,344.75,351.19,266.25,269.36,,L7
2001-08-08 21:55:01+00:00,339.82,,342.25,344.61,338.89,350.47,337.42,334.10,331.99,336.48,298.02,275.66,,L7
2001-08-15 22:01:02+00:00,333.97,,342.07,346.67,351.96,352.94,341.24,337.39,365.73,369.63,299.40,286.75,,L7
2001-09-09 21:54:36+00:00,378.99,385.67,382.56,381.40,362.96,365.10,349.28,341.33,397.98,401.59,402.56,404.42,389.20,L7
2001-09-25 21:54:28+00:00,385.79,381.09,376.38,375.27,371.46,375.22,372.68,350.56,381.47,393.60,393.54,397.22,401.75,L7
2001-10-11 21:54:09+00:00,376.60,372.95,364.81,361.22,359.74,365.15,359.86,339.41,341.59,364.60,373.43,373.12,381.31,L7
2001-12-30 21:54:37+00:00,367.87,362.11,367.82,367.07,360.87,365.59,331.67,343.99,349.60,,,,,L7
2002-01-06 22:00:55+00:00,404.66,391.32,377.63,380.00,374.73,,,375.87,428.51,406.40,398.59,375.10,386.78,L7
2002-01-22 22:01:04+00:00,380.13,371.57,364.76,378.14,380.65,382.83,371.32,355.38,396.48,387.40,386.58,383.76,386.72,L7
2002-02-16 21:54:54+00:00,359.41,324.27,360.32,369.26,377.78,383.79,380.61,375.01,369.51,375.12,368.96,363.00,370.15,L7
2002-05-14 22:00:55+00:00,349.98,329.64,365.70,371.02,365.40,355.30,321.02,336.98,333.79,339.26,,,,L7
2002-06-15 22:00:43+00:00,,284.90,320.40,326.67,327.68,345.78,341.95,328.85,303.40,306.42,,,,L7
2002-06-24 21:54:28+00:00,,307.94,348.89,347.41,330.51,346.77,327.60,340.29,333.11,,,,,L7
2002-07-01 22:00:39+00:00,,276.89,314.67,317.96,316.81,323.00,,322.29,302.19,296.13,,,,L7
2002-07-17 22:00:32+00:00,,266.12,300.43,305.57,,337.71,307.83,,,,,,,L7
2002-08-02 22:00:25+00:00,327.57,289.79,352.92,371.97,383.65,387.36,,354.21,,,378.36,265.17,,L7
2002-08-27 21:54:00+00:00,349.31,304.69,335.66,338.69,364.30,356.65,319.17,330.51,321.39,331.31,,286.22,,L7
2002-09-19 21:59:59+00:00,353.40,344.47,351.17,368.82,368.72,355.28,319.03,349.83,349.20,353.10,352.39,321.98,363.75,L7
