dates,satname,nzd0376-0000,nzd0376-0001,nzd0376-0002,nzd0376-0003,nzd0376-0004,nzd0376-0005,nzd0376-0006,nzd0376-0007,nzd0376-0008,nzd0376-0009,nzd0376-0010,nzd0376-0011,nzd0376-0012,nzd0376-0013,nzd0376-0014,nzd0376-0015,nzd0376-0016,nzd0376-0017,nzd0376-0018,nzd0376-0019,nzd0376-0020,nzd0376-0021,nzd0376-0022,nzd0376-0023,nzd0376-0024,nzd0376-0025,nzd0376-0026,nzd0376-0027,nzd0376-0028,nzd0376-0029,nzd0376-0030,nzd0376-0031,nzd0376-0032,nzd0376-0033,nzd0376-0034,nzd0376-0035,nzd0376-0036,nzd0376-0037,nzd0376-0038,nzd0376-0039,nzd0376-0040,nzd0376-0041,nzd0376-0042,nzd0376-0043,nzd0376-0044,nzd0376-0045,nzd0376-0046,nzd0376-0047
1999-08-17 22:12:26+00:00,L7,514.56,403.30,408.44,409.07,382.58,381.32,376.90,375.45,377.25,386.68,382.94,381.69,375.29,378.18,404.43,384.69,378.30,390.28,390.05,397.34,394.90,388.52,387.86,389.73,390.44,388.29,386.59,386.52,372.39,374.87,371.55,371.18,377.07,392.24,391.61,389.73,383.70,376.75,376.82,368.25,371.54,381.76,379.09,380.16,380.62,403.80,,478.94
1999-10-13 22:06:24+00:00,L7,481.14,367.74,400.92,391.46,360.78,355.00,358.39,355.13,361.62,368.34,371.12,371.73,370.20,371.57,389.21,373.44,359.09,362.42,365.21,369.53,369.05,367.71,364.18,361.94,364.10,373.69,369.17,366.51,356.83,353.61,355.83,356.84,362.97,366.87,362.74,353.03,352.54,340.27,350.86,349.25,357.47,365.97,370.92,370.78,361.21,372.08,395.04,399.70
1999-11-21 22:12:24+00:00,L7,377.31,318.72,346.86,342.81,322.71,318.31,328.27,326.19,332.86,345.27,349.12,351.83,344.17,337.82,353.89,343.42,330.74,341.75,343.42,345.48,342.95,339.87,339.00,341.53,347.47,351.74,343.40,340.49,332.42,326.03,320.14,316.91,315.57,325.37,321.04,323.84,328.24,322.00,330.57,324.72,327.94,332.11,334.76,329.87,311.19,315.49,330.96,309.82
2000-01-24 22:12:23+00:00,L7,,,,,,,375.84,366.92,369.53,380.75,394.23,410.00,400.35,389.48,407.61,397.75,388.60,403.76,390.00,384.12,374.63,374.69,378.74,391.49,392.85,396.73,401.29,386.82,376.10,377.29,373.69,366.41,361.16,365.09,362.81,361.03,366.46,364.60,372.95,376.50,386.95,391.29,382.38,380.19,379.05,401.81,464.71,425.09
2000-03-21 22:06:01+00:00,L7,587.11,,,,,,,,,,,,,354.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.15
2000-05-24 22:05:22+00:00,L7,546.84,398.16,399.67,402.78,379.65,379.76,375.22,371.27,374.60,384.50,391.87,,,,,,,,,,,,,,,,,391.91,384.42,374.58,370.37,368.47,367.80,370.01,365.00,363.53,370.80,366.67,381.86,379.15,391.22,395.77,392.43,390.22,,,,
2000-05-31 22:11:30+00:00,L7,463.26,289.86,302.59,321.55,310.63,311.57,314.23,304.96,313.71,324.30,328.69,330.95,329.67,321.27,340.60,334.64,323.20,333.11,331.94,331.15,329.98,329.87,329.91,334.90,333.62,339.12,337.88,334.59,320.08,315.02,304.92,303.69,302.89,314.23,316.83,308.50,316.11,312.08,325.85,320.83,319.97,327.57,,,,,,
2000-08-19 22:10:38+00:00,L7,497.06,,404.01,397.53,377.71,375.84,374.41,366.43,373.89,383.00,385.05,386.22,385.22,385.30,403.56,376.11,367.92,373.96,374.58,376.39,362.73,372.84,370.18,372.88,373.95,379.44,377.37,374.33,370.98,363.73,350.21,345.47,346.92,343.13,341.46,351.52,358.32,353.95,353.66,354.40,366.53,383.95,385.82,384.77,372.63,395.40,428.77,432.46
2000-09-13 22:04:02+00:00,L7,316.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.97
2000-09-20 22:10:03+00:00,L7,496.62,,408.32,412.05,390.71,388.97,381.44,375.71,380.90,394.06,399.47,397.34,390.33,399.12,416.07,405.64,395.02,396.90,386.15,391.62,380.77,379.04,375.14,371.38,375.56,373.73,362.21,361.06,351.17,351.96,345.33,346.54,344.12,351.82,348.80,357.77,364.51,364.07,372.45,369.31,373.48,381.55,379.96,383.50,381.35,402.05,417.65,424.06
2000-11-07 22:09:53+00:00,L7,443.98,348.33,375.51,369.05,347.22,347.65,346.65,342.01,337.06,346.31,349.19,343.15,345.03,343.68,364.11,354.28,339.97,351.75,355.27,354.92,346.72,349.72,349.85,347.24,349.66,353.54,352.19,346.98,341.16,329.95,317.27,308.67,310.89,320.15,323.75,326.62,329.83,324.28,336.99,334.21,338.14,344.97,346.51,341.52,334.77,344.55,361.01,360.94
2000-12-18 22:03:49+00:00,L7,529.36,,421.85,415.40,399.81,389.34,388.74,380.32,379.65,392.15,396.19,389.21,381.94,389.75,402.38,387.29,378.52,390.66,395.33,397.54,391.10,389.94,399.10,402.78,414.39,423.45,407.84,399.44,386.16,378.26,366.28,358.07,359.51,361.16,360.24,371.62,386.07,389.90,394.68,380.83,389.00,403.70,391.83,390.78,386.07,417.84,,605.43
2001-01-10 22:10:03+00:00,L7,443.96,354.28,375.37,365.67,343.96,339.76,341.87,333.83,339.25,346.63,350.45,347.91,339.78,334.64,346.53,336.63,330.16,341.67,342.93,345.77,344.76,339.26,339.21,340.94,351.80,356.67,355.37,343.89,336.18,323.50,318.10,310.61,310.14,313.48,313.09,320.92,330.66,322.14,331.77,329.73,335.76,342.24,342.23,336.48,317.42,322.73,348.98,357.00
2001-02-20 22:03:48+00:00,L7,478.09,360.07,383.43,373.83,352.50,355.20,357.26,352.72,357.81,364.68,370.21,367.03,359.64,352.12,366.02,347.36,337.67,347.52,349.75,350.11,347.89,347.92,356.42,369.15,382.54,386.67,382.52,368.12,355.74,342.41,329.77,319.54,319.60,318.67,318.99,324.51,331.50,324.98,342.17,339.54,344.38,354.70,363.23,359.55,344.96,353.90,376.19,388.53
2001-03-08 22:03:44+00:00,L7,427.77,303.27,333.30,335.69,313.88,315.23,314.86,312.36,316.80,324.33,327.99,327.17,316.58,316.40,334.38,327.26,318.14,327.71,329.20,330.55,329.12,325.36,326.08,336.59,337.80,345.13,342.22,337.62,320.70,309.92,300.45,295.85,292.14,303.36,297.05,297.44,308.38,304.53,320.44,310.25,313.96,322.22,322.10,315.95,294.16,296.22,302.09,304.85
2001-03-31 22:09:43+00:00,L7,497.51,,419.50,416.31,401.10,399.05,391.12,383.54,381.90,398.29,403.95,395.64,394.18,407.82,414.02,388.73,373.48,375.06,388.82,393.61,388.45,400.95,421.87,434.11,467.41,464.85,447.32,443.37,421.92,409.16,388.87,380.64,382.11,385.09,391.65,384.27,387.53,390.62,397.25,397.34,415.52,435.82,429.05,421.53,418.99,476.24,483.87,608.71
2001-06-28 22:02:45+00:00,L7,515.31,363.35,376.00,396.82,358.08,363.81,354.46,339.92,346.87,341.53,339.44,331.62,316.52,332.90,336.37,,,324.55,,357.37,360.41,375.19,380.07,399.01,417.94,420.77,411.95,411.40,401.30,377.77,370.18,366.59,371.93,377.65,374.91,381.85,373.46,373.24,375.67,367.90,386.19,402.60,394.45,396.06,398.23,,,607.97
2001-07-05 22:08:57+00:00,L7,514.25,342.56,336.84,337.59,321.67,318.48,327.52,318.60,315.17,323.53,321.78,323.28,325.10,321.55,340.14,336.15,332.51,335.50,342.30,341.55,337.43,331.61,341.06,344.45,356.92,364.27,357.53,352.08,341.96,329.62,320.40,312.65,313.48,316.11,319.19,318.25,318.59,312.71,324.78,320.15,324.28,328.17,330.80,,,,,
2001-08-15 22:02:14+00:00,L7,499.05,345.92,349.73,338.50,322.40,327.02,328.19,327.71,332.16,337.42,337.34,339.44,339.53,334.60,353.84,338.07,331.86,345.99,348.35,345.88,342.16,345.67,346.11,350.23,358.32,367.18,357.46,349.57,340.82,327.56,320.93,318.35,317.12,317.83,325.54,328.45,334.32,330.12,332.62,329.87,332.85,337.89,340.35,338.74,333.77,351.89,388.99,426.11
2001-08-31 22:02:05+00:00,L7,479.68,328.69,342.99,335.83,314.78,317.82,316.27,316.45,316.07,326.03,328.53,326.73,326.21,323.83,332.22,332.00,327.63,340.60,346.80,344.08,343.96,338.65,336.58,341.89,348.23,354.15,350.84,342.82,335.71,322.13,319.51,308.68,305.59,314.84,318.36,310.94,322.81,317.90,327.90,322.25,324.30,329.22,329.58,328.34,321.28,340.75,381.47,408.99
2001-09-23 22:08:02+00:00,L7,603.74,,,,,,,,,,,,,,,,,,,,,,,415.04,432.30,439.73,428.96,,,,,,,,,,,,,,,,,,,416.02,459.41,538.96
2001-10-02 22:01:40+00:00,L7,480.15,341.46,349.94,347.40,326.52,327.87,331.11,324.73,331.71,338.59,342.91,339.60,338.14,343.56,362.64,354.68,345.31,358.32,360.12,360.69,354.86,352.99,355.95,368.79,369.63,376.84,370.88,352.89,345.11,333.94,329.17,326.58,329.21,338.43,339.58,341.63,344.14,335.29,340.42,335.03,338.84,345.38,349.45,340.36,332.15,344.27,387.39,413.83
2001-11-03 22:01:46+00:00,L7,426.84,312.18,348.46,345.20,329.25,321.30,322.26,313.91,321.88,325.54,332.47,334.82,329.23,328.05,344.80,339.41,337.52,343.10,344.05,343.05,338.63,340.36,341.69,345.11,357.28,361.60,354.96,346.52,334.00,320.78,312.74,309.37,301.86,313.21,329.10,326.66,334.91,331.89,333.26,335.31,334.88,342.27,331.93,330.11,317.48,335.43,374.09,403.01
2001-12-21 22:02:05+00:00,L7,497.17,,,414.79,399.48,392.05,388.93,376.90,386.73,406.97,421.06,427.11,424.04,437.30,441.94,413.16,399.60,408.68,404.54,423.36,437.37,436.64,446.21,437.83,438.37,442.42,423.92,418.46,408.17,398.32,401.73,402.76,414.29,435.98,440.37,438.90,425.72,420.27,427.26,413.09,421.70,434.28,421.85,422.03,416.09,457.04,,621.52
2002-01-13 22:08:21+00:00,L7,427.06,319.67,348.99,340.28,330.32,325.58,328.42,321.91,330.21,334.21,341.76,344.00,342.16,328.75,335.07,336.84,335.63,345.14,351.82,353.68,346.74,344.18,344.38,343.63,344.83,346.32,344.99,340.39,335.44,322.84,315.68,316.05,,,,,,,,,,330.68,333.94,330.95,317.89,332.70,369.21,393.98
2002-02-07 22:02:17+00:00,L7,478.49,258.81,,327.49,317.59,339.58,356.55,344.09,355.97,368.40,375.39,371.63,372.64,375.62,395.57,375.71,367.59,373.60,377.76,380.16,375.76,375.87,376.36,376.01,379.05,380.08,376.67,370.60,363.90,359.60,351.75,351.24,351.94,360.35,359.26,358.57,363.39,353.03,358.18,354.81,353.69,357.65,364.25,362.46,354.19,371.15,411.15,426.01
2002-02-14 22:08:29+00:00,L7,478.91,363.49,384.71,377.23,362.33,363.16,368.45,364.21,366.94,372.00,376.21,370.63,371.88,376.11,396.89,376.45,374.20,379.73,384.61,382.75,384.53,379.54,380.66,375.50,379.81,378.55,371.76,373.70,373.67,363.87,358.22,356.19,362.16,365.19,365.87,363.69,365.52,359.78,360.84,357.79,360.22,367.76,367.94,367.00,362.83,377.56,411.66,444.78
2002-03-02 22:08:32+00:00,L7,,,,,,,,,,,,,529.36,,,,,,,,,,427.71,,453.26,,,,,,,,,,,,424.07,515.70,,,,,,,,,,632.84
