dates,nzd0376-0000,nzd0376-0001,nzd0376-0002,nzd0376-0003,nzd0376-0004,nzd0376-0005,nzd0376-0006,nzd0376-0007,nzd0376-0008,nzd0376-0009,nzd0376-0010,nzd0376-0011,nzd0376-0012,nzd0376-0013,nzd0376-0014,nzd0376-0015,nzd0376-0016,nzd0376-0017,nzd0376-0018,nzd0376-0019,nzd0376-0020,nzd0376-0021,nzd0376-0022,nzd0376-0023,nzd0376-0024,nzd0376-0025,nzd0376-0026,nzd0376-0027,nzd0376-0028,nzd0376-0029,nzd0376-0030,nzd0376-0031,nzd0376-0032,nzd0376-0033,nzd0376-0034,nzd0376-0035,nzd0376-0036,nzd0376-0037,nzd0376-0038,nzd0376-0039,nzd0376-0040,nzd0376-0041,nzd0376-0042,nzd0376-0043,nzd0376-0044,nzd0376-0045,nzd0376-0046,nzd0376-0047,satname
1999-08-17 22:12:26+00:00,500.56,379.30,380.44,381.07,358.58,357.32,355.90,354.45,353.25,362.68,358.94,360.69,354.29,357.18,385.76,366.02,359.63,371.61,369.05,376.34,370.90,364.52,363.86,365.73,362.44,364.29,362.59,362.52,348.39,350.87,347.55,343.18,353.07,368.24,367.61,365.73,359.70,352.75,352.82,340.25,343.54,353.76,355.09,352.16,352.62,370.20,,422.94,L7
1999-10-13 22:06:24+00:00,478.14,362.60,394.92,385.46,355.64,349.86,353.89,350.63,356.48,363.20,365.98,367.23,365.70,367.07,385.21,369.44,355.09,358.42,360.71,365.03,363.91,362.57,359.04,356.80,358.10,368.55,364.03,361.37,351.69,348.47,350.69,350.84,357.83,361.73,357.60,347.89,347.40,335.13,345.72,343.25,351.47,359.97,365.78,364.78,355.21,364.88,386.04,387.70,L7
1999-11-21 22:12:24+00:00,,358.72,393.53,389.48,362.71,358.31,363.27,361.19,372.86,385.27,389.12,386.83,379.17,372.82,385.00,374.53,361.85,372.86,378.42,380.48,382.95,379.87,379.00,381.53,394.14,391.74,383.40,380.49,372.42,366.03,360.14,363.58,355.57,365.37,361.04,363.84,368.24,362.00,370.57,371.39,374.61,378.78,374.76,376.54,357.86,371.49,400.96,403.15,L7
2000-01-24 22:12:23+00:00,,,,,,,365.09,356.17,357.24,368.46,381.94,399.25,389.60,378.73,398.05,388.19,379.04,394.20,379.25,373.37,362.34,362.40,366.45,379.20,378.52,384.44,389.00,374.53,363.81,365.00,361.40,352.08,348.87,352.80,350.52,348.74,354.17,352.31,360.66,362.17,372.62,376.96,370.09,365.86,364.72,384.61,,396.42,L7
2000-03-21 22:06:01+00:00,,,,,,,,,,,,,,374.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,431.82,L7
2000-05-24 22:05:22+00:00,,379.30,377.67,380.78,360.79,360.90,358.72,354.77,355.74,365.64,373.01,,,,,,,,,,,,,,,,,373.05,365.56,355.72,351.51,346.47,348.94,351.15,346.14,344.67,351.94,347.81,363.00,357.15,369.22,373.77,373.57,368.22,,,,,L7
2000-05-31 22:11:30+00:00,486.59,329.86,349.26,368.22,350.63,351.57,349.23,339.96,353.71,364.30,368.69,365.95,364.67,356.27,371.71,365.75,354.31,364.22,366.94,366.15,369.98,369.87,369.91,374.90,380.29,379.12,377.88,374.59,360.08,355.02,344.92,350.36,342.89,354.23,356.83,348.50,356.11,352.08,365.85,367.50,366.64,374.24,,,,,,,L7
2000-08-19 22:10:38+00:00,491.06,,392.01,385.53,367.42,365.55,365.41,357.43,363.60,372.71,374.76,377.22,376.22,376.30,395.56,368.11,359.92,365.96,365.58,367.39,352.44,362.55,359.89,362.59,361.95,369.15,367.08,364.04,360.69,353.44,339.92,333.47,336.63,332.84,331.17,341.23,348.03,343.66,343.37,342.40,354.53,371.95,375.53,372.77,360.63,381.00,410.77,408.46,L7
2000-09-13 22:04:02+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,360.64,L7
2000-09-20 22:10:03+00:00,480.29,,375.65,379.38,362.71,360.97,356.94,351.21,352.90,366.06,371.47,372.84,365.83,374.62,394.29,383.86,373.24,375.12,361.65,367.12,352.77,351.04,347.14,343.38,342.89,345.73,334.21,333.06,323.17,323.96,317.33,313.87,316.12,323.82,320.80,329.77,336.51,336.07,344.45,336.64,340.81,348.88,351.96,350.83,348.68,362.85,368.65,358.73,L7
