,dates,jap0232-0000,jap0232-0001,jap0232-0002,jap0232-0003,jap0232-0004,jap0232-0005,jap0232-0006,jap0232-0007,jap0232-0008,jap0232-0009,jap0232-0010,jap0232-0011,jap0232-0012,jap0232-0013,jap0232-0014,jap0232-0015,jap0232-0016,jap0232-0017,jap0232-0018,jap0232-0019,jap0232-0020,jap0232-0021,jap0232-0022,jap0232-0023,jap0232-0024,jap0232-0025,jap0232-0026,jap0232-0027,jap0232-0028,jap0232-0029,jap0232-0030,jap0232-0031,jap0232-0032,jap0232-0033,jap0232-0034,jap0232-0035,jap0232-0036,jap0232-0037,jap0232-0038,jap0232-0039,jap0232-0040,jap0232-0041,jap0232-0042,jap0232-0043,jap0232-0044,jap0232-0045,jap0232-0046,jap0232-0047,jap0232-0048,jap0232-0049,jap0232-0050,jap0232-0051,jap0232-0052,jap0232-0053,jap0232-0054,jap0232-0055,jap0232-0056,jap0232-0057,jap0232-0058,jap0232-0059,jap0232-0060,jap0232-0061,jap0232-0062,jap0232-0063,jap0232-0064,jap0232-0065,jap0232-0066,jap0232-0067,jap0232-0068,jap0232-0069,jap0232-0070,jap0232-0071,jap0232-0072,jap0232-0073,jap0232-0074,jap0232-0075,jap0232-0076,jap0232-0077,jap0232-0078,jap0232-0079,jap0232-0080,jap0232-0081,jap0232-0082,jap0232-0083,jap0232-0084,jap0232-0085,jap0232-0086,jap0232-0087,jap0232-0088,jap0232-0089,jap0232-0090,jap0232-0091,jap0232-0092,jap0232-0093,jap0232-0094,jap0232-0095,jap0232-0096,jap0232-0097,jap0232-0098,jap0232-0099,jap0232-0100,jap0232-0101,jap0232-0102,jap0232-0103,jap0232-0104,jap0232-0105,jap0232-0106,jap0232-0107,jap0232-0108,jap0232-0109,jap0232-0110,jap0232-0111,jap0232-0112,jap0232-0113,jap0232-0114,jap0232-0115,jap0232-0116,jap0232-0117,jap0232-0118,jap0232-0119,jap0232-0120,jap0232-0121,jap0232-0122,jap0232-0123,jap0232-0124,jap0232-0125,jap0232-0126,jap0232-0127,jap0232-0128,jap0232-0129,jap0232-0130,jap0232-0131,jap0232-0132,jap0232-0133,jap0232-0134,jap0232-0135,jap0232-0136,jap0232-0137,jap0232-0138,jap0232-0139,jap0232-0140
0,1984-07-06 00:50:57+00:00,283.5882788600468,305.47116728429944,319.43116347180757,,317.1756849020091,321.7738493069731,308.50186545031033,293.2739794706241,272.48781008065953,269.8006481838644,266.75653412307804,292.3285127079068,308.4071792241328,303.2938095943283,,298.2582879673106,292.3506859115165,280.49982665929844,275.0278393477243,264.04376527749275,239.69388207822163,237.38806900899093,234.4118185613782,239.5050927919171,231.292271705579,231.1096609022298,238.59368946991088,,227.6789450113753,211.61325388041004,219.5759918471043,223.28471363342285,230.07798521584309,213.55513976348274,,204.6167472776988,204.13891416322437,,192.96858546703652,193.54478917235704,185.54712407820458,188.52540337644893,179.54928291688586,175.85665542374963,171.02899817589972,154.52847611376146,,163.48618489409205,168.7373168678529,155.27832782911912,160.44227765573072,135.735891284537,124.96521159564152,134.76306742819955,135.51061708195775,143.87796187779978,142.05321466021462,148.64852911090279,147.26515719239663,147.97260146831994,151.96687552960043,162.64999176824347,,157.16665514434592,,163.58529662138906,161.15618482885213,,167.40710793218597,,166.49426412514518,169.28905936462837,,164.82883505222625,159.72876412533387,163.3287305249387,147.08892745976783,141.17048769827966,,167.67342831491422,165.22711731306202,171.4842589306707,,177.80981559764473,182.23344313179115,185.87057495315375,178.00589262902048,160.17327671626936,153.43569192606057,159.66505431618927,154.10073516058318,,128.27872233175614,131.1856918087251,141.69892308995645,149.03920106042858,148.7666996218277,153.2440676412755,152.00820110898812,152.70446024446306,152.19665534121927,142.03778562838144,137.02404745580225,,140.63106357559946,147.4512583883155,157.63101428793559,148.4770903278601,151.47495905325783,152.86520590692243,156.75899661972161,146.84416663954744,130.7176467689015,138.2520713026807,,156.9995178452322,,138.67312248730647,143.61547699803177,152.19220288771825,,151.7363777069768,154.3295275939605,160.70497988991247,161.94379151427947,155.5946685420591,169.12756206309015,154.4740230929722,150.3168229231454,161.76471640284717,152.47477608780932,145.07926906274693,143.28983124054236,140.67132289641867,145.68123249255436,154.4778442017465,159.69407671944273,159.44800309584986,154.5401411709531,167.61943132816847,
1,1984-10-26 00:52:25+00:00,267.20200753512734,282.1323709552108,291.0776138309606,312.0320713482698,314.5603539431052,324.24283407877,310.6007347294752,300.4550587856024,275.0064095579269,277.5447268659405,283.45966900748897,274.96786549840084,281.66110297966605,285.44053270281864,298.52027971331836,,292.41054470374416,290.43704183811485,283.1157292198627,272.9233039647293,255.7737353064887,242.65592003029812,228.67462644202982,236.7899632487293,238.15362359490683,243.3416562570452,239.201504374261,235.70452144419124,232.95889220676747,226.91559441770303,219.22213798306697,,214.0728345726068,215.08825934809423,219.23322731533514,219.12082549592307,217.8143383574363,204.0512630321285,200.72503628322005,198.1626325965837,190.60546202367303,192.05258495895984,,184.60053543576515,166.30573505459463,154.14223893438054,151.18488266846828,162.34859091906065,171.0321761941842,174.4036008190567,160.48041928910158,153.1547895519984,150.11440488251245,139.2982420017339,143.89340726215372,151.3422799818958,159.12899906424653,158.89154482729808,163.83818633967036,161.9483276830948,163.17735040903585,164.88477237154993,166.85862019672967,170.25501009580498,,163.93607872394728,163.13777555226437,,162.51076420584883,160.25453480219866,161.85000742119234,166.82071331502382,,170.96274941083746,179.73757556602206,183.19854825645393,179.75158037224554,,169.6126981924959,169.7922444468856,,183.23709867605206,176.60218223478492,176.25993191146173,174.92626514377895,171.61338582039318,167.4390590917933,,150.54794299157788,,153.98062502449136,,142.86742791839836,137.30282393312984,138.1183589590402,150.61126286637813,158.1433204815012,163.74947685138633,157.80400024363516,156.5518069148214,156.57592238283726,154.83756056843595,148.39457443826467,142.95497857020845,147.63153854907165,,162.22029334442018,149.9851610039917,142.86280641232992,135.27709957317802,,134.50674640745822,,137.6212703200599,,125.63539982339549,129.66308721596505,127.2039428364005,129.1586126991392,133.54964427092204,139.3405667116616,145.57185776778604,150.41084805114198,153.62648420573305,151.25113698718565,141.28675480253895,145.23786807311743,151.25853091667952,153.8548524447315,141.81730457321046,,152.3413634652589,153.81730549193603,160.7924151216287,164.05836669733486,172.18285834154423,176.8784682046464,184.07238251598648,184.62608214449415,196.36247764015332,194.62665861894308
2,1984-11-02 00:58:33+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.67149243912036,166.81415097302724,155.25457984441104,,143.54122108395086,140.4367584626257,147.24970649116437,143.36934061077073,,148.26243830306785,,157.04536393349838,,149.76686525860094,151.23351388246815,158.72551875145115,157.93859711881117,160.24202924927,161.87474006594275,162.19738930525008,157.9344364963936,153.36633655784573,155.04406649606184,155.4104689393229,152.12831151527809,154.02430698130695,161.4581916741765,172.09206505511904,,172.1463040598506,166.05201320762308,178.6677316583508,170.86444203289372,176.8798536191534,171.33451765902637,173.6595601562548,170.39378686249827,,165.03740963638316,,151.4330066482899,,145.81316934011463,152.04881874308185,140.68779266895478,138.5462550121037,142.01621716747667,149.27946959954622,158.20855240211878,152.47771389992505,,153.12273518914753,,152.71222220100034,153.66475849546177,140.4942754130305,,154.72492607750354,159.11608971174033,147.16916395053957,133.19496961449582,140.73808070475675,133.5688304346881,131.9948780701315,134.63820694711097,142.84452083348157,140.76480142139758,133.87575098567154,145.39170818236244,140.46009362074298,143.32756799012537,145.064819565172,140.41365687723115,134.13033617194793,129.546674369896,145.46847500322832,152.8302133320547,155.14199541103562,157.3125188597661,155.10579826010823,155.6299134805026,158.28813051067294,154.92840877852066,157.11514462030416,150.39088109874092,154.5329411759264,158.84115753168538,161.79590198801029,166.71433186160854,177.79135952075785,179.60701487529937,183.7536511974338,188.71049259902654
3,1984-12-13 00:52:28+00:00,279.1819891638041,284.2145928484883,297.56536885585996,317.89861478516474,319.8062536738334,326.8417807589306,310.57311447286816,289.03682190908796,262.8845837798014,271.6468443329344,269.9275235996937,280.0594119039498,282.1009572603548,282.2668845493307,284.8007822316255,287.3871614199804,287.82812571108065,290.74608863893894,268.9234410142848,,248.3539614351876,232.5840687630862,220.56561987014143,225.0505622393974,238.76679021019967,233.70834493265326,231.30475469690265,227.63349934228756,,224.58472558444228,223.56952278411745,211.79480036973493,209.9689822979157,219.59905966734425,204.96324262791316,192.44336876729201,191.98881067483651,,177.01986119241383,178.88131520414547,,173.57915124927547,177.63527372167783,188.94744071826906,174.6414582067105,151.12210012005514,138.90715909964578,141.19664014369863,164.90536232127909,157.0101437118568,147.54408921091076,,131.3770938647444,137.4103909168247,144.40082556737303,155.93937553944127,173.7902372000318,160.73411052423808,153.29372997085173,,145.80058443339442,153.10107910186306,,166.95385204743798,165.99513699290532,153.01736739716912,149.87688220693656,153.3865419742271,147.66276533293438,159.95748844108695,157.57613456215205,157.14408506106983,,168.13831247984672,176.99076308034884,183.2734012933344,184.1558708883258,158.30053411537781,,161.19177715542398,,188.47085053346427,190.6676642274815,192.65382198894002,199.0807119050188,192.84376708755636,163.655390731117,153.4645387456211,160.42043331072895,,170.057208477594,156.70318937141167,143.37552543679394,129.82061954356325,134.121141847457,,158.60377993800432,157.21232561644425,160.5614572372342,169.94978927784322,170.43589966106813,164.83705956907173,160.05074249679222,163.75588360943217,159.73035523686838,,156.96452055402617,145.79765304519972,137.1701754317314,145.45554063420892,135.0140728202481,130.08442826017298,,151.35558110992923,148.13957361360747,140.4611871622889,143.45237945485562,147.6313591278356,141.24191925267118,145.90198516197535,151.35783838888392,143.53147052854624,152.15970430805,160.07354251093545,157.45494084828596,148.66845811870982,163.7440102603164,159.88177557941205,152.6767430288578,151.87280384959791,,145.90945700203343,155.66871125333543,146.68934576563782,152.93697578735905,163.5579742774315,168.60842222441934,184.84932586488281,182.08449916947473,189.66892689368623,187.6329922175979
4,1985-01-14 00:52:44+00:00,290.6784320575261,307.84173631063675,302.17408915949875,311.384898137397,321.7146078553951,327.29268209303285,325.9169418528803,307.30920137991507,277.61668740362774,270.07938365484154,264.79493794808747,290.043980157111,293.15166791835725,294.8513722183318,303.87046116447436,295.00038469862403,288.9311327847004,286.1693605557104,278.9805712585262,263.9939206873047,257.30400288909163,248.76887169331314,233.79611612311888,232.82723590599502,,232.60067399582528,224.85948049102788,233.57150351000945,230.8192919202304,232.97611180990472,230.61037589170428,224.30496451212267,215.1097400783257,218.70049522030533,,205.26272956583117,195.13076324211667,,191.08197803348222,190.24064229552036,,180.05925460166063,178.85502554734936,178.53212102278349,173.55737293603073,156.52371966690987,152.85183081339733,,164.682175034626,,158.71123193910262,154.08105738116421,143.0144860476499,141.53367083997716,147.99876822673207,148.52595890918553,163.47285445413758,172.58289284957579,168.42629440371695,162.0822455287954,161.25920986144948,154.71796014126897,,161.85363185499745,171.27147233232765,164.75100465935813,168.04273166696265,,159.70362328214495,165.5666562296715,163.74720819475098,167.2070021003658,160.29386470166605,166.88336310153616,169.60193688356728,177.12891862386442,185.92991059282474,190.1266016560468,179.8174987564738,180.25121683567323,182.77441075865747,185.64022122963632,185.89094817046973,189.29155549230327,,192.672372912453,190.85014428159184,172.19063434132119,164.03724643275802,,167.50471525039794,,156.40089839447646,159.5351151241806,149.7157898716131,152.90103832976564,160.8850778412491,162.99706829654482,169.9030309146682,172.19315661418023,172.69984791776037,179.06791814566603,169.85197312213694,165.3101253145156,167.31945403684654,,173.14735159220754,168.6691144033778,150.79451882915137,154.263296562336,,142.70423514832723,,150.6401826300968,,159.77062602986553,,156.41687271138986,,147.75944768777606,151.02877074758402,152.20298829936937,153.1993667085587,160.1460530870103,161.02701275899423,160.747125944287,164.10461653230792,162.7839586031554,166.65448867274773,164.35084271528208,,157.19806150578341,157.50116450238676,159.4548325112701,161.5510405101331,165.6547167441264,170.39469420321066,183.17694134215523,189.42297684211627,197.72425345934025,186.58881870063607
5,1985-02-15 00:52:50+00:00,288.25235127331314,298.0804742295111,297.63380728800246,301.1129496625445,,319.927591711977,313.4700619576944,300.64708457552814,267.82347844823414,262.5238998655271,256.6996572054809,287.00719272189497,294.68309703217284,294.50896855838334,301.0216499733662,,278.3695858240755,278.2581673132322,,261.8998257429504,260.7342942787912,255.3737422183179,249.6020105177163,238.5459150538075,230.25206298562392,229.14352434102824,225.23811332589082,,229.53619949312153,230.21156491623034,,217.53478824156142,213.72889216027883,214.16932133497056,219.2639845180319,208.0880092795018,203.78902399012344,,196.2563943788831,196.6947979069778,188.15063643481096,189.77294103084023,174.52305652181747,179.73584645047725,169.9579934417979,171.9589229850486,164.19505364964667,166.40604037756412,173.4630459903189,179.11846881963586,168.7818685057482,168.18795708569473,161.53228570830368,150.1188936123377,154.42398589417684,154.56427619938955,167.86398296461715,173.92414407637338,168.8876102068113,,169.7243718474201,161.92095282820827,,169.08250522669007,169.4974589827258,164.7178277270595,169.93030906398062,167.20361450150335,171.62418619473516,173.52624827040773,185.0331490454727,179.56706377734716,,161.81294047294088,,173.4499781298882,189.75856007392488,189.34501585921078,192.5319240944195,,196.6730781039577,194.37396377627437,,185.02787342938385,183.88480572384594,194.40598400003083,,183.75080075211125,172.35610617206498,,165.8238699519538,,160.80413971517126,156.8784198892314,156.95870472678646,168.75755323123673,170.79571739769065,167.67018440929868,163.89631739599199,170.57244815832914,178.49735560410187,178.68429003239126,166.57187925927806,162.9702438900295,150.9556865100961,,163.8419950915557,,153.20756412229045,149.6216766753653,151.68531208608374,151.65968691396708,,147.22403650733537,,166.72793188479028,,164.20494579207076,,157.6363589252522,159.96858410957944,161.22700563129425,156.37871636163095,158.8292426579451,163.1617403157248,173.16416194508622,170.02907925529377,182.49573178721715,,174.07355331598728,171.2521728250439,161.2379006823576,,168.63985116430973,174.49112596941663,171.36773539162417,167.63807152856768,180.34974370465062,189.61116324050366,195.18371591581885,195.41537486200815
6,1985-08-26 00:51:56+00:00,267.12067249203733,275.034204283222,,310.4517225162053,320.39911196467887,314.59817467689567,301.5305054012248,289.2605880864118,269.6374228368534,258.26099018660466,254.60910638381088,270.8194737204657,281.4510879827329,300.5399452461704,285.17655749845005,,263.8413989546917,268.1239091218011,,253.20311466952703,240.10716499456842,236.4574424837971,227.7915743982106,218.84091054431596,213.65344748123854,,221.03044725886676,,209.57603531844885,203.3116428660081,200.15022178709157,,203.99494897880228,211.0023091477598,203.26621518504163,206.5804917737854,195.12906067840635,203.3746470144451,199.24033392802585,197.31611719945133,186.0976911452785,187.7563342742873,,173.8430698801286,170.84281264674388,,166.49746212726296,166.37845321394167,176.74017522493008,173.06959758765342,162.72154987540114,165.2099512686264,157.4914870808446,153.21317285586147,152.8329190235462,160.34540781020348,162.17790015089443,172.55849440340285,166.94226207517542,,164.0015412913372,,161.42385710549172,152.0948729550375,137.04348436922174,147.4150181536491,151.94864752235614,,167.7813810677378,,172.84095108828396,162.61420669183966,,161.72441345041247,,181.08932256984423,179.61845324009755,177.5455612374311,189.16784424897486,189.24220366793787,188.3859172378475,183.16902030962675,189.03933552099448,182.07885058838002,184.94477615526898,177.06909835071298,174.6478165668405,169.691919211334,160.76492757378122,,163.30491311373416,160.43491683065898,134.10067521437585,129.1838692022803,143.1972152766922,173.76016773842764,174.493906678627,148.56429125449841,153.9513874251889,163.75017216601174,167.9978054122391,,148.5578462246086,164.12831316166864,170.91831204590872,152.03902993450959,141.70056858985023,130.67447628268707,143.45371504423846,153.3102169410361,147.19481615463394,144.2044991338577,161.7367119500508,166.25965972448756,145.32452410559964,144.49260822163103,,171.39709571098186,171.37421529386495,155.9126361532358,151.34752191720904,145.76912191612627,143.75326538171865,143.50495581219283,152.52151903970238,163.02911016525044,,177.27599494312648,159.2447754073479,159.48502130842553,,170.28133685982974,,159.61804169889757,172.40280074953472,170.3872920905793,172.69005906570072,186.08323417445698,182.8485953014096,187.27342028031322,191.08985948170218
7,1985-11-21 00:57:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.0920191282997,179.86172381690727,183.92523467717612,161.6847979394975,166.5150740887748,181.43336882400757,174.6691128998071,178.93653084399895,185.3471757157772,160.82787933976823,160.80591912085728,162.61624579911958,160.10340145346802,184.09398367334566,186.53038535392622,202.26011963673628,195.11987208149517,182.08459003007042,185.20151342206356,199.21651424008567,188.437481487879,169.66221576806555,177.50106558180514,202.95317113627425,191.07971459783892,190.2642457914069,205.20718204293757,202.16463227816445,193.50065089945988
8,1986-01-08 00:56:06+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.31858910454275,161.76219408515672,154.49703084131858,,167.55818882533188,162.94880757359937,154.59114202582788,174.05507784355527,180.9065583658617,165.25103476653968,172.7348402062584,178.19000068204713,174.11448356229846,181.6439483277135,183.8579594732656,173.56896659163553,166.9225007712859,152.8029455031201,156.2273746040852,160.85269056495488,181.32978911727255,195.83522834232727,195.8433925934394,179.27400645116037,187.1593482223996,194.2623314426032,188.83243083496413,180.35290041277213,182.1956758975093,184.59098525167215,186.43034419603055,188.82998279946682,,200.6987593734215,,199.34602854921434
9,1986-01-17 00:49:45+00:00,284.13916415243926,295.2585928440546,316.2847864073332,,322.23778431054893,,328.75708604478336,310.99237634255127,278.7879539168171,277.68222841749105,288.8129142488103,292.30498162804525,295.5514758264706,308.3634053673225,304.95097896252304,304.0533970394341,307.99408510095077,293.76803511406945,,262.33062287311196,257.2136904215245,251.63404434185423,238.58223810187354,246.91810546608068,249.1486857307003,240.05034940735135,240.95765503597264,230.69756342725017,229.6650081638127,240.80425061651925,246.36319899278527,232.16523156497237,228.84139786292502,,223.6154448387259,227.35745814054366,219.84251139408013,210.89479047558936,212.79833140348407,203.7023633673218,209.11405194626758,205.73941277586712,193.66432827880524,191.1568936317173,175.31054742944727,161.63167100184646,,175.2291464964829,191.80310466027183,186.54705605113847,174.4949273154796,,163.9180895952366,172.0199793409534,169.4858687275186,173.00937176384608,176.65696128508552,175.7524841826106,173.68084446875824,163.87743223220477,162.4319629973219,,171.39467723549214,178.49058994287932,,173.99160766230884,171.406554272095,169.72919103880494,176.60310337227003,175.8732625700437,184.38792720438383,183.83246619776295,184.5420004111388,180.34091767219167,184.5635097036611,180.88151557498276,190.3223221529936,,205.07442497921522,208.93775908966086,209.79059357643922,198.58795639054037,207.96236261292987,217.86026066150498,,215.66831112722497,,205.19369020045326,194.8375759538099,,186.1578512438741,,166.91357028392125,171.20649250474088,,190.80749863674282,208.54736274093668,197.94758188356718,,196.53990464735844,194.10500603243926,185.1441661158002,175.82978667580898,192.13649154744775,191.91107189029893,187.70186546665502,178.52113012255705,174.603007940824,180.83727882858005,176.20560345629883,175.24836759288115,171.02899804111786,184.99060867207243,184.09220849759203,179.6010094928807,174.3048110687236,,180.54104166653534,,176.87097859955767,,177.98865086133316,166.4976928020883,163.29046572570746,158.32685893855853,180.8397754284735,200.73766824520337,195.3413330970472,189.97654388906787,190.58256495099445,,197.8504992582725,,179.68803001660478,195.39110392102043,192.52376733715442,195.04038667531583,209.2230986928265,207.8458197264051,210.99789368698265,198.3745571706214
