dates,satname,nzd0578-0000
1999-07-02 21:59:57+00:00,L7,214.05
1999-08-26 22:05:56+00:00,L7,222.01
1999-09-20 22:00:08+00:00,L7,224.80
1999-09-27 22:06:00+00:00,L7,217.93
1999-11-07 22:00:08+00:00,L7,210.62
1999-11-30 22:05:47+00:00,L7,220.91
1999-12-09 22:00:09+00:00,L7,218.80
1999-12-25 22:00:04+00:00,L7,219.44
2000-01-17 22:06:11+00:00,L7,218.71
2000-01-26 22:00:02+00:00,L7,221.69
2000-02-11 21:59:57+00:00,L7,236.50
2000-02-18 22:05:41+00:00,L7,216.70
2000-02-27 21:59:52+00:00,L7,235.47
2000-03-05 22:06:00+00:00,L7,217.64
2000-03-21 22:06:01+00:00,L7,218.41
2000-03-30 21:59:45+00:00,L7,236.67
2000-04-15 21:59:31+00:00,L7,
2000-05-01 21:59:30+00:00,L7,225.86
2000-05-08 22:05:33+00:00,L7,230.99
2000-05-17 21:59:19+00:00,L7,
2000-05-24 22:04:58+00:00,L7,228.33
2000-06-18 21:59:03+00:00,L7,
2000-07-04 21:58:50+00:00,L7,232.30
2000-07-27 22:04:12+00:00,L7,225.15
2000-08-05 21:58:20+00:00,L7,241.57
2000-08-12 22:04:29+00:00,L7,222.34
2000-09-13 22:04:02+00:00,L7,215.95
2000-09-22 21:57:41+00:00,L7,
2000-11-09 21:57:33+00:00,L7,216.49
2000-11-16 22:03:20+00:00,L7,219.80
2000-12-11 21:57:36+00:00,L7,206.99
2001-01-03 22:03:48+00:00,L7,220.90
2001-01-12 21:57:42+00:00,L7,218.11
2001-01-19 22:03:55+00:00,L7,220.76
2001-01-28 21:57:44+00:00,L7,220.83
2001-02-20 22:03:48+00:00,L7,215.85
2001-04-02 21:57:18+00:00,L7,236.89
2001-05-20 21:57:04+00:00,L7,
2001-05-27 22:03:12+00:00,L7,236.15
2001-06-05 21:56:52+00:00,L7,236.34
2001-06-12 22:03:00+00:00,L7,234.33
2001-06-28 22:02:21+00:00,L7,237.87
2001-07-07 21:56:36+00:00,L7,
2001-07-14 22:02:45+00:00,L7,241.69
2001-08-08 21:56:12+00:00,L7,231.58
2001-08-15 22:01:50+00:00,L7,222.12
2001-09-25 21:55:40+00:00,L7,223.45
2001-10-02 22:01:40+00:00,L7,219.84
2001-12-21 22:01:41+00:00,L7,212.17
2001-12-30 21:55:49+00:00,L7,206.96
2002-01-15 21:55:59+00:00,L7,
2002-01-22 22:01:52+00:00,L7,231.37
2002-01-31 21:56:02+00:00,L7,217.86
2002-03-04 21:56:09+00:00,L7,236.28
2002-03-11 22:02:19+00:00,L7,215.81
2002-03-27 22:02:13+00:00,L7,
2002-05-07 21:56:03+00:00,L7,
2002-05-14 22:01:43+00:00,L7,222.49
2002-05-30 22:01:37+00:00,L7,232.79
2002-07-01 22:01:51+00:00,L7,235.85
2002-07-17 22:01:44+00:00,L7,244.16
2002-08-02 22:01:37+00:00,L7,242.38
2002-08-18 22:01:09+00:00,L7,222.65
2002-08-27 21:55:12+00:00,L7,226.02
2002-09-12 21:55:07+00:00,L7,225.49
2002-10-05 22:00:43+00:00,L7,212.17
2002-10-14 21:54:55+00:00,L7,220.51
2002-10-21 22:00:48+00:00,L7,210.42
2002-10-30 21:55:01+00:00,L7,216.46
2002-11-06 22:01:17+00:00,L7,214.99
2002-11-15 21:55:12+00:00,L7,211.02
2002-11-22 22:01:33+00:00,L7,193.24
2003-01-25 22:01:54+00:00,L7,221.61
2003-02-03 21:55:49+00:00,L7,219.98
