dates,nzd0492-0000,nzd0492-0001,nzd0492-0002,nzd0492-0003,nzd0492-0004,nzd0492-0005,nzd0492-0006,nzd0492-0007,nzd0492-0008,nzd0492-0009,nzd0492-0010,nzd0492-0011,nzd0492-0012,nzd0492-0013,nzd0492-0014,nzd0492-0015,nzd0492-0016,nzd0492-0017,nzd0492-0018,nzd0492-0019,nzd0492-0020,satname
1999-08-26 22:07:32+00:00,309.71,327.75,336.41,331.47,328.89,319.98,319.72,317.02,310.94,315.38,318.04,322.96,347.61,344.56,325.24,345.15,351.08,346.99,332.25,329.91,333.99,L7
1999-11-30 22:07:23+00:00,316.25,332.75,339.20,334.04,328.54,317.38,316.78,318.89,312.68,317.41,317.30,320.69,348.40,341.65,333.74,341.51,344.14,344.79,335.79,340.09,335.42,L7
1999-12-16 22:07:33+00:00,316.25,332.75,339.20,334.04,328.54,317.38,316.78,318.89,312.68,317.41,317.30,320.69,348.40,341.14,336.95,340.38,342.11,344.79,335.79,340.09,335.42,L7
2000-02-02 22:07:23+00:00,316.25,332.75,339.20,333.47,327.37,316.79,315.61,317.04,312.12,318.52,316.89,322.30,352.10,342.71,336.41,340.11,338.88,339.79,331.87,333.87,331.97,L7
2000-03-21 22:07:12+00:00,329.61,340.69,339.86,337.08,328.96,319.97,317.92,317.04,312.71,320.09,314.14,321.98,354.34,343.09,338.56,336.97,334.81,336.19,334.24,335.50,333.08,L7
2000-05-08 22:06:44+00:00,328.79,347.42,344.62,340.37,328.42,317.56,320.17,319.10,312.87,319.91,316.62,321.43,354.34,344.48,340.32,338.91,335.85,337.50,331.64,334.31,335.20,L7
2000-05-31 22:12:42+00:00,331.80,352.25,345.94,341.62,328.50,318.49,322.28,318.26,312.10,320.14,316.64,319.35,359.48,339.73,336.94,337.29,335.24,336.05,329.08,332.81,336.76,L7
2000-06-25 22:06:19+00:00,326.02,348.75,346.73,341.41,328.88,315.99,320.48,321.66,314.10,318.54,315.75,321.09,359.48,334.98,339.10,341.05,339.32,342.15,334.93,336.17,339.95,L7
2000-07-11 22:06:05+00:00,322.68,342.77,342.83,339.72,328.98,317.80,320.08,321.96,313.12,317.63,315.75,321.09,359.48,334.98,339.10,341.05,339.32,342.15,334.93,339.31,341.75,L7
2000-07-27 22:05:48+00:00,320.69,338.71,341.06,338.74,329.74,318.71,322.52,325.79,317.44,319.82,318.37,323.15,359.48,336.21,341.38,342.80,342.81,346.02,341.07,343.58,345.65,L7
2000-08-03 22:11:55+00:00,320.22,337.66,339.62,337.95,329.64,319.13,323.94,327.59,318.15,320.45,320.19,323.12,,336.19,342.78,344.25,347.74,351.64,347.45,347.11,347.83,L7
2000-09-20 22:11:14+00:00,316.59,333.91,338.10,336.74,330.04,317.97,322.24,328.58,319.68,322.26,323.07,323.75,344.26,335.13,345.34,347.61,349.61,353.81,353.26,351.66,349.56,L7
2000-12-18 22:05:01+00:00,316.83,330.58,335.63,333.45,330.51,319.11,319.71,329.13,321.61,324.24,320.93,327.94,347.23,338.13,349.73,351.04,352.68,358.07,356.10,356.67,352.27,L7
2001-02-20 22:05:00+00:00,321.64,331.04,333.98,332.78,332.84,323.21,318.86,330.73,328.59,330.70,322.98,334.08,352.62,345.48,346.66,346.45,347.10,350.47,348.99,352.25,346.49,L7
2001-03-08 22:04:56+00:00,334.18,340.07,340.18,339.55,337.02,328.29,324.33,331.08,328.75,330.49,326.22,336.95,356.33,348.24,346.85,348.35,348.84,351.21,350.17,351.13,346.09,L7
2001-04-09 22:04:41+00:00,340.78,347.99,344.04,341.74,336.18,329.46,327.20,328.74,327.85,329.89,328.97,340.07,359.71,351.94,346.30,348.34,347.33,346.91,343.98,343.05,342.76,L7
2001-06-28 22:03:56+00:00,325.07,352.33,350.80,343.59,334.09,329.44,328.42,326.99,326.73,323.82,330.21,337.38,357.45,351.00,344.89,347.38,349.14,348.59,341.79,342.18,339.89,L7
2001-07-14 22:03:57+00:00,323.27,352.09,351.01,342.42,332.12,324.75,325.16,326.57,323.88,322.42,326.34,334.03,357.45,344.40,344.57,345.56,347.08,347.83,341.79,340.23,341.24,L7
2001-08-15 22:03:26+00:00,323.82,350.03,350.91,342.56,331.11,322.61,322.90,325.83,322.49,322.10,323.78,332.37,357.45,342.15,342.40,344.50,345.84,346.44,338.33,338.56,337.89,L7
2002-02-23 22:03:31+00:00,322.35,328.10,333.08,335.08,331.99,322.38,329.86,328.00,327.69,327.79,322.45,324.77,342.74,341.05,345.29,348.61,353.26,354.80,361.14,359.05,352.68,L7
2002-03-11 22:03:31+00:00,330.30,336.22,336.07,338.00,333.63,326.37,331.87,326.36,326.14,327.55,326.13,328.67,349.56,346.35,349.20,352.17,354.96,353.51,359.90,355.54,347.96,L7
2002-04-12 22:03:25+00:00,331.98,341.04,338.25,339.76,331.74,324.12,329.51,325.40,323.07,325.02,323.27,328.01,348.48,346.66,347.76,351.79,354.43,354.81,357.23,350.85,344.89,L7
2002-05-14 22:03:19+00:00,334.22,343.85,341.57,340.53,329.58,321.88,325.22,325.53,321.53,325.40,326.21,329.22,348.48,349.33,350.44,354.19,354.68,354.29,351.55,346.77,343.86,L7
2002-05-30 22:03:13+00:00,329.08,341.01,339.40,338.44,328.65,318.99,323.01,326.02,319.79,323.21,324.25,327.71,348.48,346.90,349.49,353.23,352.81,352.40,345.73,343.72,344.56,L7
2002-06-15 22:03:07+00:00,327.39,342.76,340.21,338.68,328.18,316.06,320.68,326.60,318.83,321.18,323.57,326.90,348.48,341.20,350.15,352.20,351.54,351.00,345.73,342.33,346.08,L7
2002-08-18 22:02:45+00:00,326.44,340.17,338.24,337.32,327.58,315.78,319.81,325.83,318.45,320.96,322.45,325.74,340.93,339.95,349.15,350.96,349.88,350.49,345.55,343.02,344.59,L7
2002-11-22 22:02:45+00:00,320.52,336.34,335.47,334.85,324.97,310.12,313.23,323.39,315.32,316.76,318.64,323.13,332.01,332.58,346.42,346.28,343.50,343.92,335.61,337.91,342.89,L7
2002-12-24 22:02:57+00:00,326.29,333.40,334.13,332.59,324.65,316.78,315.11,317.67,316.88,321.14,317.63,325.16,335.80,339.03,342.88,343.89,342.26,344.60,341.98,343.99,336.22,L7
2003-02-26 22:03:16+00:00,329.07,337.80,338.01,334.29,324.97,322.76,321.99,320.62,320.04,323.60,321.59,329.11,349.67,344.96,342.73,344.08,343.45,343.17,340.64,342.39,336.49,L7
2003-08-05 22:02:59+00:00,319.47,332.18,336.49,,,332.04,323.98,332.27,323.77,327.22,322.59,328.76,359.88,345.67,353.88,353.25,354.13,358.29,349.19,,,L7
2003-08-13 21:51:32+00:00,317.96,336.94,338.85,343.20,341.72,343.72,332.89,335.05,328.68,329.03,328.52,334.39,359.88,346.62,349.08,355.35,359.06,359.90,358.63,373.91,373.93,L5
2003-10-16 21:52:31+00:00,320.23,335.73,338.60,340.28,342.12,344.53,331.13,338.45,331.64,333.70,330.66,337.77,351.11,343.35,348.66,353.68,358.56,361.54,363.76,373.46,371.75,L5
2003-11-17 21:52:57+00:00,320.52,333.74,337.05,337.25,336.01,334.31,325.22,333.35,332.45,335.50,330.87,337.30,355.85,346.82,352.35,356.98,357.25,362.24,365.16,370.06,363.66,L5
2003-12-11 22:03:21+00:00,323.75,334.81,336.08,335.32,332.19,334.31,325.22,329.37,328.68,332.99,329.40,335.86,356.11,348.14,353.60,357.98,358.39,361.96,364.59,363.44,363.66,L7
2004-01-12 22:03:31+00:00,326.35,336.70,337.94,337.12,333.03,332.79,325.73,329.20,327.90,332.46,329.06,336.30,359.53,350.14,353.60,357.98,359.23,361.36,365.18,364.97,365.01,L7
