,dates,jap0149-0000,jap0149-0001,jap0149-0002,jap0149-0003,jap0149-0004,jap0149-0005,jap0149-0006,jap0149-0007,jap0149-0008,jap0149-0009,jap0149-0010,jap0149-0011,jap0149-0012,jap0149-0013,jap0149-0014
0,1984-07-15 00:44:31+00:00,119.72541893785414,128.34518293572546,162.11495444953985,175.5895881752252,186.47989022748294,195.004628000828,196.36068358969442,190.56785938811825,175.90845088170823,183.7511229115699,183.09240170769363,174.9704540407974,164.9313634877892,155.9042719628523,135.18508113830953
1,1984-07-31 00:45:05+00:00,127.81618395132524,145.54069818623995,,,,,,,,,,,,168.51870464670867,150.65088153502586
2,1984-08-09 00:39:12+00:00,141.19136704113777,158.03601953244282,173.7989610658627,187.62797760609683,213.44400584696217,217.96185637321298,218.42850519182724,216.74583671880657,209.7875777286922,203.38848965339517,199.6386884200479,192.9049785708861,183.3008545595477,173.0142829404113,161.88800164847584
3,1984-09-17 00:45:56+00:00,138.1630410398046,149.79158636441892,166.14162587310764,182.23961980822617,197.18943452445347,204.11308421597704,202.5506695752837,198.24797051227694,194.05518828727259,188.97079232703933,182.12955759498274,180.24076908730927,172.2891920503403,162.8550528954814,145.17678911383058
4,1984-11-04 00:45:46+00:00,134.2616381788267,151.6810893632577,168.672622324969,185.9505467884837,208.1161222721569,209.29400307792957,204.35543306779692,204.555688125256,198.83545258143326,195.44568646749894,189.0040432136412,179.17119267518632,175.94628729527253,162.9556285810272,154.70154987762902
5,1985-01-07 00:46:06+00:00,137.89510692643177,151.3341780702709,175.55294378383707,184.05139266844122,205.5796894539734,209.47673075859439,203.6716895171995,200.46090780225916,193.5498837414196,191.06628003630493,184.78021177429437,182.96767423346913,177.01061480503023,163.21105662433598,144.24041135509495
6,1985-04-06 00:39:59+00:00,,,,,,,,,,174.3760090347316,167.6783741212109,164.19737516558718,161.73881482766834,161.80000272958432,145.205205679222
7,1985-08-28 00:39:09+00:00,,156.04924025616955,158.9509092999342,174.85625814444214,193.7949535683997,201.7187142175848,202.84034320457144,202.28114674609583,204.9601287283706,205.54360213797037,197.5415518754875,187.98333802576704,188.40546959157507,172.41731655501647,163.6872197368477
8,1985-12-02 00:37:51+00:00,138.8954512522028,149.69927435973207,164.53381997938982,175.36145789015904,192.53584290541198,200.12524009271277,197.1085268865357,191.00513010243367,189.1905642967031,185.87204937422035,181.95680730875614,175.40241876247606,165.87660739175348,159.01720601502691,145.25722704362272
9,1985-12-09 00:43:54+00:00,130.5593086617822,138.6660176022287,154.8196511434784,166.94257487307718,179.78659450445295,190.22178680109917,182.34062708798555,,,,,,,,
10,1986-01-10 00:43:19+00:00,152.252616263423,161.0259846607962,179.35588563891753,192.88132172144637,210.08152094168878,215.34062479945902,210.38697664856767,209.0962867782776,211.19873512187408,204.94150631463583,204.95487569997164,194.92681478754383,192.4809226444313,179.13728049884804,164.4721876022775
11,1986-02-04 00:36:35+00:00,139.26415480772536,143.09651524286238,161.95614604152087,175.83780795321096,195.966332452026,207.19563231622766,206.5405389757502,200.20215046260088,198.6552662605658,197.39464553099688,189.87268920683988,183.11193996521965,170.0912488572262,163.5746796975294,148.28454771909847
12,1986-04-09 00:35:13+00:00,129.75105062688252,150.74258511085839,176.6418680410768,187.14402803872042,204.15720292938386,209.98906475365558,203.75070363018946,198.30672375219675,182.32616375006995,178.88703186019612,175.95241673274654,169.2890924323382,162.61725491969835,154.74734216660528,146.6762247442545
13,1986-04-16 00:41:14+00:00,136.20054044791442,146.7616023984695,171.53047209179164,188.90490618933111,206.21208155683362,206.20745880321616,211.19727778018878,194.29828035991113,191.58457863960234,187.97695195975103,180.45311702635132,178.53480546930925,174.42383006498395,164.80349520209728,155.40165960803674
14,1986-05-27 00:33:59+00:00,150.67567409262028,164.56904833028258,182.59529908010978,195.06363417329163,210.10835844405625,213.3323851410008,200.95242902905696,200.42456021579426,200.82171144315677,194.14633554103213,184.3473360521238,181.10813030113258,177.0325675176542,180.50762274806405,167.30889031517881
15,1986-06-12 00:33:30+00:00,139.96089350485082,157.04804927902583,178.53681708820335,195.5962683664677,209.51278142237936,211.5259331479047,206.84989462051686,208.4260609568044,208.22072927771868,199.87959219948908,188.1550824066329,181.87076883280014,181.12683092952275,165.0103598851372,150.09313140194558
16,1986-07-14 00:32:26+00:00,136.21816421105342,152.00849783972623,169.32971256028762,179.80843947077503,196.26324547141505,198.40371662034627,196.36758190696722,202.34169813837772,201.8781989938673,199.02784566292056,189.6581606257554,185.51345963781205,186.6344292869228,172.74884528658416,150.4308286630482
17,1986-07-30 00:31:53+00:00,134.94285325746685,149.4723135036178,176.47086505970267,193.60379206432304,200.57152104363243,204.4099276635356,194.11586837132205,205.4194642844308,193.09837880804648,177.71465311624948,183.79773402689497,182.28495961088856,183.835674105569,177.00773236191,149.2448719841664
18,1986-10-18 00:29:08+00:00,122.12276324465523,146.5193300631375,171.62944210255606,187.34385455688746,195.65858134753105,201.70726528477414,200.95833996410687,195.1093923025232,195.9854347102503,193.6121650257383,187.70149729429707,185.73353026410243,176.87938264233688,172.78207157596609,153.4123360328825
19,1986-11-10 00:34:29+00:00,124.21451390988437,139.14482131207885,161.10524233925008,180.42444034867958,196.3181394328223,194.5135186026937,191.35013731253323,186.93946646418823,184.82763829521707,184.1071272555349,181.415082037264,177.33438149880226,175.42752328392194,166.7776454572084,151.11271884409993
20,1987-01-13 00:35:28+00:00,135.31683098260166,150.81795914867607,168.3115868609365,183.4343597754065,198.07629807255697,201.90657027440244,200.36387613456188,193.11283423515764,193.4138679203421,192.95393815796245,186.33139857438294,187.02304545422848,184.39547933131547,176.20003740663893,159.3952116251094
21,1987-02-14 00:36:34+00:00,143.97143708349384,159.83378557393013,169.80088029182153,190.43599617269894,198.48576371652223,201.82819879075606,204.54422580536934,202.93754328432075,202.8640938512358,193.9988657160558,193.81593177217127,193.0504662512107,194.92224913152975,186.6046621481654,170.94194196545416
22,1987-03-02 00:37:11+00:00,142.43078556382648,159.56582015842827,177.6941550117177,194.05051183238044,203.06665788617227,208.8650900927228,205.5507996259957,202.66993147758865,199.54640597696476,199.37630061412574,195.78239021224644,192.25727431923548,190.2995746037493,179.8392150637632,165.78174268714588
23,1987-03-18 00:37:47+00:00,136.13309550863582,154.301106140653,173.3371907767068,189.01270805117804,199.87096087580863,205.75915851009117,200.45583360173217,204.48723937091955,202.6986192783824,197.95335543811774,194.55955862175958,187.7988735386134,188.28719528919336,178.89441043330092,166.71801315408206
24,1987-04-28 00:32:58+00:00,137.2187432460521,159.56230341093374,172.80428459429308,186.32603151492648,210.16752018887757,216.5419339832244,209.27795640058443,205.15434447285136,198.69504385367264,198.62602954387418,194.07119880190098,187.0853947611731,181.16775131474506,171.27877473910758,163.9893987163242
25,1987-05-05 00:39:21+00:00,140.14985607595563,158.06111962222036,174.00832326151132,192.01447627258622,207.06047024294656,210.93219984078704,216.7301005187369,204.96755204557192,194.18620241804874,195.62463381201195,190.50814926822005,184.2633794736842,176.62771906971426,164.4045272293598,161.6399245102871
26,1987-05-21 00:39:47+00:00,152.11718801727136,169.23425293153423,187.87669419463649,201.9403362390729,216.83378705746645,222.3706666840247,221.26020117823575,210.0047130174262,204.79344452467512,198.93042883388202,194.87099882418022,197.6029561773769,188.32838023435588,178.9597727579342,170.99323689641562
27,1987-06-06 00:40:10+00:00,141.89567335573156,158.36787616794987,176.3562257150441,192.22897791859285,204.44098922809263,210.15828911102759,207.91901728544246,202.79631961851052,192.78042175916667,191.63962640448634,186.8988911799275,184.01832971695933,179.4524934395021,167.81096279975168,154.89631212789996
28,1987-06-22 00:40:32+00:00,140.93692891548565,152.45559235945169,165.58314112956623,182.70473143625296,197.73026896958547,208.2012411728575,202.9937745643657,199.3504437474938,187.14261494719884,185.31344813678763,183.68734010186608,184.46016943650534,181.35258251326104,168.50405653700648,155.12668475722452
29,1987-07-24 00:41:10+00:00,152.89872013197808,171.70532530280232,185.83527435347253,198.09955147215746,211.4419516693861,217.5182955244006,209.63229610677558,210.18345653936552,201.03979441822273,197.9523385808163,194.3026568322304,186.42170103237186,182.44352989530447,167.5134574801902,167.71841870546305
30,1987-08-09 00:41:41+00:00,156.6637805661438,170.32468274517424,186.3160284739935,197.59613123456379,211.06639631375984,216.61926031725042,212.26003708821753,210.46986870911036,203.98134365141325,204.13512068308256,198.1901038932458,187.9154522523691,186.0562882734597,174.5786267092134,161.20580344131898
31,1988-02-10 00:39:10+00:00,134.9523601411859,142.35823999729348,158.1708323433394,171.89979742917697,187.1233137776654,189.61366849164855,189.15437920899078,187.95528887107724,185.10644705752858,181.81436531499028,172.15968502216364,172.39000922017746,169.00428821455154,158.86982506880875,154.02770955009507
32,1988-02-17 00:45:27+00:00,145.91813759843356,155.2431456725858,175.3683441953064,192.23864992571455,205.7133525623137,203.96779273920086,206.00800750210155,205.62328926642434,195.37000139260599,188.09651244882505,180.6670343877183,176.36722957031867,179.11296495658993,170.07736054143825,160.19148087555513
33,1988-11-08 00:40:15+00:00,151.79438322219823,168.8678454447235,183.06971297771145,198.1549870451847,207.87820438556673,210.9924557062744,203.9410337187824,193.28279289197522,187.1781476761462,184.4211093761878,177.05746712137213,171.57396796837415,169.3130749110346,160.58453846441702,149.7798633834765
34,1988-11-15 00:46:25+00:00,128.97592280408716,156.2225093154572,178.53500697962835,187.5952697778737,195.7448820136228,200.21948054011952,194.65676473418873,190.93977757315687,188.356182493349,,,,,,
35,1988-12-01 00:46:24+00:00,131.23043758561036,144.81675950715405,160.9150230001205,173.48064744131636,188.7110397010416,191.3346727911815,184.85683770584944,174.91642552261666,166.461743961957,167.49014939048303,162.29482851253763,148.17234074125625,142.67548525057492,132.61935875033657,125.17227549746858
36,1988-12-26 00:39:57+00:00,139.46004556387186,150.86278205050522,172.68662496433817,181.64881699996863,196.36081270402374,197.87252502736078,190.92052601965358,185.30543375949154,184.00176273215698,175.35445837175493,164.00541847816882,163.4103188270721,159.8264029853583,148.11234907572873,138.47875146537206
37,1989-01-11 00:39:51+00:00,120.96766835957466,123.68043622255001,,,,,,,,,,,,,86.35803819498078
38,1989-01-27 00:39:36+00:00,135.7726855885805,139.7763518179026,155.2622989965929,171.50160034110587,182.85629109589797,187.58351853603,182.5489888343086,175.24413062888974,173.53203563736372,169.08828741457216,163.43757845757537,151.01409512327504,147.33171832547185,137.34818424980864,124.14351428640542
39,1989-03-23 00:44:46+00:00,125.12412301070903,129.204124469239,156.5204691230079,172.880550878222,180.41561516496034,183.84811937210202,181.941389965397,163.39724372391703,143.60002869443184,168.65821468760066,,,,,
40,1989-08-14 00:42:33+00:00,159.72982171796696,163.43827895840693,181.00459639080046,189.92708655023114,199.78715343956998,197.6827513601005,193.60962886108737,193.98292298089655,185.3547205282925,177.58301178378142,171.3304722432668,168.8440778031117,174.32127976355955,154.1301221541388,149.15867750373366
41,1989-08-23 00:36:11+00:00,160.79419335679032,167.10007658938855,175.38770793282006,190.29645382530418,204.1056654611216,200.75245695823781,198.39202749485705,192.33698470424972,185.11910707774302,179.7874761837521,175.91780189480156,177.12321921342138,175.82733113289495,161.26321723812364,158.71137961759825
42,1989-11-02 00:40:32+00:00,122.48032939753358,140.6765498030823,163.64270279978004,181.21713191035218,190.95594593807144,185.10260338194686,172.9196720807823,169.5941653450177,174.49356882954007,161.8345728767098,156.20547202283012,150.865266003159,139.0755084190225,130.63808871886172,122.2496479081988
43,1989-12-13 00:33:10+00:00,149.5467980485761,154.907090777655,166.09901949333047,181.2949923528206,196.72578929663095,199.0325779228092,192.05834732136594,181.69883237648156,183.20217772869952,175.568207870486,167.71634262201928,159.69313564894057,159.1606345088212,151.18112488492105,140.26800281824282
44,1989-12-20 00:39:08+00:00,140.9782391090091,147.99460809510063,171.0380474978043,185.45388341727573,198.5866396205751,197.32380208583623,189.88876326035947,181.5456023919833,182.65819093914945,173.4843849392401,168.09202914614377,156.0398547803415,146.84700641127745,141.08014239944976,135.16780261161762
45,1990-01-05 00:38:33+00:00,121.73413489525349,129.79735290657888,,,,,,,,175.83160076044578,172.19403639780177,163.78128776289932,156.75851681387158,142.26843743290283,133.48237315108696
46,1990-01-30 00:31:40+00:00,135.46142660553642,141.19840306591766,158.18406657275696,170.17356277462966,186.0396319052375,188.2826829135156,183.73450059316156,182.27981957693504,183.1236076363006,157.9769879742127,,,154.91865111115246,144.4398569497468,133.26436701972034
47,1990-02-22 00:37:07+00:00,143.508258573632,149.658248357184,168.08535851486948,182.6258913836702,197.48640149897182,198.02513603466176,192.88137104560005,192.7524316419719,183.3198277795357,184.98137410286313,178.11627567667796,168.44707531661314,164.24985283484247,155.24356934440638,152.1043702990811
48,1990-03-26 00:36:02+00:00,,,,,,,,,,,,,,,
49,1990-04-11 00:36:00+00:00,147.56843453583738,155.42298117942906,179.47437709606393,190.65104474344392,195.42808666164674,197.71110561812088,196.14543390100613,193.3368518702624,184.99290618211194,181.00103571249295,171.55155055888346,166.80570462891254,166.15201206300782,160.97454452042678,152.85612736305634
50,1990-05-29 00:36:00+00:00,149.53028757550877,161.1016081720916,176.3072502076034,193.49724951706065,202.00482687808778,202.3323327830357,195.98931492876008,194.9438870312407,189.2549588042966,185.1529253048194,181.77180407817812,176.32761686194456,169.2997997313026,160.06800007604636,
51,1990-09-11 00:29:29+00:00,161.13444589236323,168.5917615333582,180.43844155010336,193.39987555584224,202.44467009215768,197.72593347989084,193.25460443894184,188.50688650120242,179.70138021497675,168.28500084868895,166.6530242677292,163.4444002551702,156.83657861359333,154.86903106516164,152.04415556352265
52,1990-10-20 00:35:21+00:00,152.06560196956514,155.85522735872894,175.96989595382718,190.6100739647169,197.01382273952572,197.1512648137175,189.23697317402753,182.98544030342123,166.18228569168343,162.4724421952556,166.38377994804955,163.46314857873165,150.17875152394961,141.280373983635,138.79722098890173
53,1990-11-05 00:35:16+00:00,130.63321402530656,122.19781058404749,162.08615445383768,175.61372343968347,185.0934307798776,185.6628781953045,177.61967960486834,177.27721276576256,172.50460661644766,156.59745689406463,153.69247550544426,148.5329352269231,137.19698999603273,136.0169103929289,128.40271072336142
54,1990-11-14 00:29:08+00:00,136.22194575609473,125.78880598865643,154.0249588947471,166.56118464949307,180.30488604499013,181.426133397535,172.82847589984092,171.2023947638348,153.63503579377561,153.50240030777294,150.65229775086166,145.1072414823136,138.79143049260142,129.06421213661477,126.36147926897492
55,1990-12-07 00:35:04+00:00,143.5750572780498,147.97707119753656,166.7847390728542,179.4995848296382,193.16007846482069,194.18050494669995,189.67350722169854,183.06440494783982,176.65215381349776,168.15305620519925,162.24513535939923,156.4840437576618,143.55269593280312,139.56349967109387,137.41039950798583
56,1991-01-08 00:35:50+00:00,148.99320648668876,158.36847569213293,169.50500583927976,183.49245211446012,196.17993024262486,200.6329979111778,190.0297431878138,183.7648004800191,183.00262986079824,170.86023772754663,167.76537914718622,161.64393769606264,153.94372779582542,138.04498112559835,136.71992329650035
57,1991-01-24 00:36:18+00:00,139.4386603651486,152.01553453280815,168.07949657759679,184.8215542752222,193.9371904490983,198.62766198836957,188.2221791717526,180.01095676937666,178.04200599668977,173.10989790073347,161.10750377458805,154.62289013888287,142.4071363780014,143.551453343573,136.29096511728022
58,1991-02-02 00:30:12+00:00,142.21539531232563,151.93243554258336,171.36231114403472,185.43754447139227,194.0422163890747,195.76114674045508,189.287212521832,185.13050942470602,182.57906323601338,178.9568882881717,169.66943515048257,162.93278161909564,155.0639821790273,145.39413774150617,151.6897989619396
59,1991-02-25 00:36:50+00:00,139.5468722023583,138.0731381413829,162.74659854727943,177.8944833522307,186.58818847327424,184.32189777672235,177.95965287658734,168.2917689007226,159.26871463392737,165.75707899332002,165.85256368006614,164.18188809992688,159.9492103169092,151.21703997807273,134.47717402294546
60,1991-06-26 00:32:41+00:00,148.1198236638299,159.79684648936612,175.34803710017408,187.1971634762043,196.31758843383554,193.96403007399132,192.82257918225744,188.35570985075202,181.78545634786624,181.45747653500646,176.14972576405083,169.08852153800586,164.8295846618568,151.14213376278244,152.96491380939693
61,1991-10-23 00:39:57+00:00,147.20420024601523,150.16689854201348,162.07536217958986,171.71498414402123,179.83797635379372,185.5681130722032,186.9750117789014,170.62678135612677,156.51198487517084,162.92680725269102,164.8970073810929,159.16275799313578,153.1190129735779,152.20851400336502,145.08667735409512
62,1991-12-10 00:40:18+00:00,150.0606509312005,152.14068719943472,169.33630844913387,181.00837037178042,188.75479901803797,185.42379109911874,177.5452579354032,171.60177799961622,172.33062074583677,164.9880400348179,159.27997446011017,160.32073095590238,156.10172068639756,148.32883620356878,144.41507302046358
