dates,nzd0113-0000,nzd0113-0001,nzd0113-0002,nzd0113-0003,nzd0113-0004,nzd0113-0005,nzd0113-0006,nzd0113-0007,nzd0113-0008,nzd0113-0009,nzd0113-0010,nzd0113-0011,nzd0113-0012,nzd0113-0013,nzd0113-0014,nzd0113-0015,nzd0113-0016,nzd0113-0017,nzd0113-0018,nzd0113-0019,nzd0113-0020,nzd0113-0021,nzd0113-0022,nzd0113-0023,nzd0113-0024,nzd0113-0025,nzd0113-0026,nzd0113-0027,nzd0113-0028,nzd0113-0029,nzd0113-0030,nzd0113-0031,nzd0113-0032,nzd0113-0033,nzd0113-0034,nzd0113-0035,nzd0113-0036,nzd0113-0037,nzd0113-0038,nzd0113-0039,nzd0113-0040,nzd0113-0041,nzd0113-0042,nzd0113-0043,nzd0113-0044,nzd0113-0045,nzd0113-0046,nzd0113-0047,nzd0113-0048,nzd0113-0049,nzd0113-0050,nzd0113-0051,nzd0113-0052,nzd0113-0053,nzd0113-0054,nzd0113-0055,nzd0113-0056,nzd0113-0057,nzd0113-0058,nzd0113-0059,nzd0113-0060,nzd0113-0061,nzd0113-0062,nzd0113-0063,nzd0113-0064,nzd0113-0065,nzd0113-0066,nzd0113-0067,nzd0113-0068,nzd0113-0069,nzd0113-0070,nzd0113-0071,nzd0113-0072,nzd0113-0073,nzd0113-0074,nzd0113-0075,nzd0113-0076,nzd0113-0077,nzd0113-0078,nzd0113-0079,nzd0113-0080,nzd0113-0081,nzd0113-0082,nzd0113-0083,nzd0113-0084,nzd0113-0085,nzd0113-0086,nzd0113-0087,nzd0113-0088,nzd0113-0089,nzd0113-0090,nzd0113-0091,nzd0113-0092,nzd0113-0093,nzd0113-0094,nzd0113-0095,nzd0113-0096,nzd0113-0097,nzd0113-0098,nzd0113-0099,nzd0113-0100,nzd0113-0101,nzd0113-0102,nzd0113-0103,nzd0113-0104,nzd0113-0105,nzd0113-0106,nzd0113-0107,nzd0113-0108,nzd0113-0109,nzd0113-0110,nzd0113-0111,nzd0113-0112,nzd0113-0113,nzd0113-0114,nzd0113-0115,nzd0113-0116,nzd0113-0117,nzd0113-0118,satname
1999-08-26 22:04:44+00:00,278.3333333333333,280.17857142857144,292.8933333333333,294.7,282.62333333333333,261.3233333333333,254.7785714285714,273.9733333333333,,253.29857142857142,247.28,267.53857142857146,265.15857142857146,283.3885714285714,294.00857142857143,294.08857142857147,300.60857142857145,303.53,302.97,307.99857142857144,308.75857142857143,309.94,312.5,320.08857142857147,328.27857142857147,326.4433333333333,341.49333333333334,345.6333333333333,314.29857142857145,331.53857142857146,329.74,336.17555555555555,332.02,335.72555555555556,339.3355555555555,339.23555555555555,343.3355555555555,322.28555555555556,334.2055555555555,341.36,346.1355555555555,322.35857142857145,319.97857142857146,320.41857142857145,318.68857142857144,322.16857142857145,322.3985714285715,333.3,341.09,349.86555555555555,351.16,356.80555555555554,363.37,370.25,380.80555555555554,382.00555555555553,377.19,375.94,377.29636363636365,372.7763636363636,371.4163636363636,369.37636363636364,367.99636363636364,365.6363636363636,365.1766666666667,363.9666666666667,364.22230769230765,362.6666666666667,364.37636363636364,368.8666666666667,366.68636363636364,364.2866666666667,367.96230769230766,366.71230769230766,360.6623076923077,360.0123076923077,362.5423076923077,364.1823076923077,357.5723076923077,359.8566666666667,360.00666666666666,351.3023076923077,347.08230769230767,345.4866666666667,343.22230769230765,338.9166666666667,337.3623076923077,342.9423076923077,349.7666666666667,348.75666666666666,353.0766666666667,357.1323076923077,361.64230769230767,372.3066666666667,373.12555555555554,375.22,376.06857142857143,371.05,357.81,354.74555555555554,359.33000000000004,358.68,359.89000000000004,359.34000000000003,357.3963636363636,356.6066666666667,350.4266666666667,352.6663636363636,349.9266666666667,355.9866666666667,354.0123076923077,352.9666666666667,354.2063636363636,353.0363636363636,351.6766666666667,353.8863636363636,356.9123076923077,346.32428571428574,345.43636363636364,L7
1999-09-27 22:04:48+00:00,291.8866666666667,287.33,297.69666666666666,312.53,304.5866666666667,281.7366666666667,274.0,,,226.92,250.25,271.03999999999996,275.09,284.6,295.43,303.25,306.93,305.29,315.14,316.21,316.32,309.29,310.2,315.73,319.38,325.1366666666667,324.94666666666666,328.1666666666667,327.55,324.69,318.47,320.67777777777775,322.87,323.3777777777778,320.3777777777778,321.65777777777777,325.7077777777778,319.5677777777778,320.29777777777775,324.83,321.98777777777775,320.42,314.33,315.81,312.57,308.36,308.63,320.69,332.02,332.5177777777778,339.74,347.22777777777776,358.25,362.37,371.5177777777778,372.1877777777778,370.57000000000005,370.21000000000004,371.10818181818183,371.2681818181818,373.53818181818184,365.2781818181818,367.7781818181818,367.8181818181818,372.2233333333333,362.49333333333334,361.4369230769231,358.56333333333333,360.0081818181818,356.4233333333333,364.0581818181818,366.43333333333334,371.5969230769231,358.7069230769231,352.4569230769231,349.4269230769231,352.0769230769231,356.5969230769231,361.5369230769231,361.3433333333333,357.8433333333333,351.5569230769231,349.1369230769231,348.37333333333333,341.4869230769231,346.1633333333333,348.10692307692307,349.2569230769231,352.6033333333333,356.06333333333333,360.2033333333333,356.1969230769231,357.8469230769231,368.49333333333334,384.0077777777778,391.89,388.85,386.96,372.17,,,367.71000000000004,375.38,371.42,364.8881818181818,358.05333333333334,360.0733333333333,354.8981818181818,350.8233333333333,348.0133333333333,351.35692307692307,363.0433333333333,364.7781818181818,365.28818181818184,367.00333333333333,374.8381818181818,364.9769230769231,355.14,365.8781818181818,L7
1999-11-14 22:04:42+00:00,281.6133333333333,291.73285714285714,318.6133333333333,324.28999999999996,296.56333333333333,279.4133333333333,264.1928571428572,242.76333333333335,211.99285714285713,228.96285714285713,241.85,270.8228571428572,279.1128571428572,281.60285714285715,289.72285714285715,300.1328571428572,305.3128571428572,312.56,316.05,319.16285714285715,317.35285714285715,315.87,318.07,320.33285714285716,323.8228571428572,322.3633333333333,322.5833333333333,322.6633333333333,322.5028571428572,317.40285714285716,311.98,315.1622222222222,324.03,323.65222222222224,326.1022222222222,323.1822222222222,315.1222222222222,315.33222222222224,326.4822222222222,328.44,321.71222222222224,322.21285714285716,318.48285714285714,316.45285714285717,309.53285714285715,304.8128571428572,300.73285714285714,306.71,316.21,320.9922222222222,334.34,340.21222222222224,347.46,355.18,365.6622222222222,361.76222222222225,357.68,360.94,361.68363636363637,355.6036363636364,357.2836363636364,350.69363636363636,345.01363636363635,351.07363636363635,354.6466666666667,350.81666666666666,354.2169230769231,357.8266666666667,357.5336363636364,352.4666666666667,350.6636363636364,348.9566666666667,350.3469230769231,353.0269230769231,350.4469230769231,350.8869230769231,352.3969230769231,355.0969230769231,361.0869230769231,363.8266666666667,360.81666666666666,352.9769230769231,336.60692307692307,336.4666666666667,329.9669230769231,331.8066666666667,334.4469230769231,335.5769230769231,341.4266666666667,350.0566666666667,350.7966666666667,365.7069230769231,367.9569230769231,371.4666666666667,367.2422222222222,373.26,374.64285714285717,374.1,352.2,358.4822222222222,353.97999999999996,358.32,362.62,365.08,364.24363636363637,355.6566666666667,354.87666666666667,349.0236363636364,346.1066666666667,352.6166666666667,347.8069230769231,347.0966666666667,357.64363636363635,345.5436363636364,356.0766666666667,352.5436363636364,355.0669230769231,348.52142857142854,349.9036363636364,L7
2000-03-30 21:58:09+00:00,,,343.7333333333333,331.26,329.3633333333333,,,,,,,293.83714285714285,311.08714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,342.39,335.90222222222224,321.02714285714285,317.15714285714284,319.5071428571428,322.22714285714284,319.96714285714285,313.35714285714283,322.52,340.57,343.7322222222222,346.29999999999995,346.84222222222223,347.71,371.60999999999996,370.88222222222225,374.0022222222222,370.65,365.45,374.2136363636364,378.1136363636364,372.39363636363635,369.69363636363636,363.12363636363636,357.0936363636364,372.0566666666667,381.7866666666667,373.5761538461539,372.5766666666667,370.0236363636364,369.2166666666667,366.25363636363636,361.9866666666667,363.5861538461539,363.59615384615387,368.5261538461539,359.12615384615384,363.43615384615384,366.2161538461539,357.7061538461539,361.1066666666667,352.3366666666667,356.23615384615385,357.98615384615385,352.8066666666667,348.98615384615385,335.6166666666667,330.30615384615385,344.68615384615384,348.9166666666667,354.7966666666667,359.5466666666667,358.3161538461539,358.3161538461539,367.7766666666667,368.6022222222222,366.53,361.08714285714285,373.75,367.78,372.4122222222222,359.52,362.95,374.75,373.2,369.7936363636364,363.37666666666667,360.7966666666667,368.44363636363636,361.6166666666667,359.4766666666667,361.9661538461539,357.62666666666667,353.7136363636364,348.31363636363636,342.9666666666667,350.5336363636364,350.35615384615386,338.03857142857146,344.93363636363637,L7
2000-06-02 21:57:31+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289.5257142857143,285.3457142857143,282.10571428571427,276.5357142857143,293.62,291.2,308.5333333333333,313.54,322.5833333333333,324.95,333.06,341.9433333333333,345.1633333333333,350.1,341.7,349.33727272727276,345.5072727272727,,,,,,,,,352.9372727272727,344.28,344.9372727272727,337.54,352.2476923076923,340.4476923076923,341.1376923076923,335.9976923076923,338.28769230769234,341.0776923076923,350.29769230769233,342.83,343.11,341.41769230769233,335.65769230769234,316.69,336.5176923076923,332.11,321.79769230769233,324.04769230769233,,,352.41,362.3276923076923,365.6476923076923,346.4,354.24333333333334,365.91,354.3857142857143,,,,341.25,351.1,358.04,351.73,352.5072727272727,349.99,350.1,344.3172727272727,339.29,340.77,343.29769230769233,341.39,334.99727272727273,342.51727272727277,338.32,337.0672727272727,332.29769230769233,,,L7
2000-07-11 22:03:17+00:00,,,275.3933333333333,266.36,,,,,,,,,,,,,,,268.29,267.8457142857143,268.68571428571425,271.42,269.82,,,257.8833333333333,254.97333333333333,,257.3857142857143,258.7057142857143,269.92,274.8255555555555,272.65,272.17555555555555,270.21555555555557,261.7655555555555,252.44555555555553,258.22555555555556,,,,,,,,251.41571428571427,250.5157142857143,255.86,271.5,286.84555555555556,291.47999999999996,300.97555555555556,317.78,323.65999999999997,317.75555555555553,318.27555555555557,317.19,321.81,,,,,,,,,,,,,,,,,313.2607692307692,317.08076923076925,320.6107692307692,318.0507692307692,321.4807692307692,325.6466666666667,318.4566666666667,316.28076923076924,313.1707692307692,,307.5007692307692,298.9866666666667,299.0007692307692,301.29076923076923,304.4866666666667,315.1466666666667,319.2666666666667,323.3007692307692,328.3207692307692,337.18666666666667,336.59555555555556,,316.6557142857143,311.97,,,307.91999999999996,308.71999999999997,312.2,309.84999999999997,311.0490909090909,,,,,,,,,,,,320.3107692307692,315.1228571428572,310.6190909090909,L7
2000-07-20 21:56:59+00:00,,,278.6533333333333,286.06,271.73333333333335,257.7733333333333,,,177.39285714285714,207.12285714285713,215.57,,,244.12285714285713,254.02285714285713,,264.4428571428572,,283.04,283.33285714285716,284.1328571428572,284.29,287.41,288.04285714285714,,272.79333333333335,274.1433333333333,,271.34285714285716,267.34285714285716,273.91,284.1888888888889,283.49,288.5288888888889,277.7888888888889,280.30888888888893,261.1988888888889,268.1588888888889,,,,263.64285714285717,265.4428571428572,263.22285714285715,262.95285714285717,267.89285714285717,273.5728571428572,283.25,293.15,300.7788888888889,311.41999999999996,320.8488888888889,329.34999999999997,329.07,340.8388888888889,344.1388888888889,337.22999999999996,333.39,,,,,,,,,,,,,,,,,,317.3376923076923,323.6276923076923,325.78769230769234,325.0776923076923,325.5966666666667,329.8066666666667,331.4376923076923,321.34769230769234,321.75666666666666,317.15769230769234,319.6766666666667,301.59769230769234,302.3176923076923,312.4766666666667,324.94666666666666,322.6066666666667,327.0176923076923,337.72769230769234,337.5466666666667,337.5888888888889,,342.08285714285716,334.56,,,313.46999999999997,320.90999999999997,325.34,324.46999999999997,322.7518181818182,319.9766666666667,318.19666666666666,321.1818181818182,313.2166666666667,,,,,,,,325.2376923076923,318.45142857142855,319.9718181818182,L7
2001-01-03 22:02:12+00:00,,,,,,,,,,,,,,,,,,310.48,311.25,314.97285714285715,312.6228571428572,322.5,324.29,328.78285714285715,325.0528571428572,312.6733333333333,310.0833333333333,324.2233333333333,310.0128571428572,300.8128571428572,295.86,297.97222222222223,298.81,306.5422222222222,301.5422222222222,302.38222222222225,300.72222222222223,303.8522222222222,312.3522222222222,313.14,313.28222222222223,297.03285714285715,290.2628571428572,297.9428571428572,288.8128571428572,294.0728571428572,287.28285714285715,291.02,303.49,317.13222222222225,326.45000000000005,323.6022222222222,337.72,352.48,357.08222222222224,352.9822222222222,347.29,354.18,343.0490909090909,352.20909090909095,356.38909090909095,346.9790909090909,338.69909090909096,347.62909090909096,347.3966666666667,342.7666666666667,316.7446153846154,341.75666666666666,347.06909090909096,351.8666666666667,339.9990909090909,335.49666666666667,344.13461538461536,345.72461538461533,342.13461538461536,338.90461538461534,339.62461538461537,347.1046153846154,351.7946153846154,344.3066666666667,333.6166666666667,339.46461538461534,330.28461538461534,332.8966666666667,328.4946153846154,329.0966666666667,325.09461538461534,322.7946153846154,320.7966666666667,334.9666666666667,343.5566666666667,344.5546153846154,343.0446153846154,353.3866666666667,355.19222222222226,360.6,355.7628571428572,352.23,346.98,348.7922222222222,348.53000000000003,350.79,345.92,342.26000000000005,339.69909090909096,341.74666666666667,340.8366666666667,331.19909090909096,321.3266666666667,331.4266666666667,322.45461538461535,330.4666666666667,331.52909090909094,333.38909090909095,339.1666666666667,338.4190909090909,345.75461538461536,341.1014285714285,339.1090909090909,L7
2001-03-01 21:55:57+00:00,275.4533333333333,277.29,285.6933333333333,301.1,291.30333333333334,268.31333333333333,,218.41333333333336,256.15999999999997,266.12,277.65,283.26,282.39,290.38,299.9,304.77,302.6,300.64,312.63,315.51,314.91,321.76,330.16,337.91,331.61,315.8833333333333,323.1933333333333,324.87333333333333,319.32,319.26,309.82,304.5188888888889,312.43,305.8888888888889,310.8388888888889,310.3888888888889,303.35888888888894,313.17888888888893,319.80888888888893,320.98,323.5188888888889,315.5,309.24,304.23,292.47,292.14,296.8,298.05,309.74,325.55888888888893,325.85,325.7488888888889,345.54,357.36,365.2588888888889,359.5288888888889,358.37,360.07,351.3690909090909,353.88909090909095,354.03909090909093,348.1090909090909,344.69909090909096,347.6690909090909,345.62666666666667,345.00666666666666,342.13846153846157,347.7066666666667,353.31909090909096,350.6066666666667,351.8090909090909,346.3366666666667,345.84846153846155,351.23846153846154,347.83846153846156,342.85846153846154,350.04846153846154,349.42846153846153,346.78846153846155,349.19666666666666,347.69666666666666,340.9484615384616,334.42846153846153,332.3566666666667,335.89846153846156,331.24666666666667,328.04846153846154,330.1284615384615,333.37666666666667,341.4266666666667,346.7266666666667,348.9984615384615,349.23846153846154,355.4066666666667,358.3188888888889,367.33,364.88,360.91,354.27,347.7288888888889,354.29,358.89,354.1,346.11,349.4290909090909,339.8066666666667,340.1566666666667,333.77909090909094,328.75666666666666,332.7966666666667,331.45846153846156,333.18666666666667,340.3690909090909,340.27909090909094,336.62666666666667,337.1090909090909,338.97846153846154,335.66,335.14909090909094,L7
2001-05-11 22:01:45+00:00,281.4866666666667,286.99,301.5766666666667,314.57,304.2866666666667,287.0566666666667,,,263.96000000000004,249.9,,281.73,282.39,275.27,273.78,268.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299.53,,,324.47999999999996,337.32111111111107,,,,,,,,,,,,,,,,,,,,,,339.8961538461539,331.5061538461539,326.65615384615387,340.0133333333333,339.6733333333333,348.8361538461539,338.0161538461539,323.7333333333333,316.68615384615384,306.6733333333333,,,,318.5933333333333,,,,,,,,,,,312.44,334.14,330.29999999999995,327.16999999999996,331.99,326.1333333333333,330.3933333333333,322.26,,,327.0261538461539,,,,331.1433333333333,336.17,335.4661538461539,329.64,335.72,L7
