dates,satname,nzd0113-0000,nzd0113-0001,nzd0113-0002,nzd0113-0003,nzd0113-0004,nzd0113-0005,nzd0113-0006,nzd0113-0007,nzd0113-0008,nzd0113-0009,nzd0113-0010,nzd0113-0011,nzd0113-0012,nzd0113-0013,nzd0113-0014,nzd0113-0015,nzd0113-0016,nzd0113-0017,nzd0113-0018,nzd0113-0019,nzd0113-0020,nzd0113-0021,nzd0113-0022,nzd0113-0023,nzd0113-0024,nzd0113-0025,nzd0113-0026,nzd0113-0027,nzd0113-0028,nzd0113-0029,nzd0113-0030,nzd0113-0031,nzd0113-0032,nzd0113-0033,nzd0113-0034,nzd0113-0035,nzd0113-0036,nzd0113-0037,nzd0113-0038,nzd0113-0039,nzd0113-0040,nzd0113-0041,nzd0113-0042,nzd0113-0043,nzd0113-0044,nzd0113-0045,nzd0113-0046,nzd0113-0047,nzd0113-0048,nzd0113-0049,nzd0113-0050,nzd0113-0051,nzd0113-0052,nzd0113-0053,nzd0113-0054,nzd0113-0055,nzd0113-0056,nzd0113-0057,nzd0113-0058,nzd0113-0059,nzd0113-0060,nzd0113-0061,nzd0113-0062,nzd0113-0063,nzd0113-0064,nzd0113-0065,nzd0113-0066,nzd0113-0067,nzd0113-0068,nzd0113-0069,nzd0113-0070,nzd0113-0071,nzd0113-0072,nzd0113-0073,nzd0113-0074,nzd0113-0075,nzd0113-0076,nzd0113-0077,nzd0113-0078,nzd0113-0079,nzd0113-0080,nzd0113-0081,nzd0113-0082,nzd0113-0083,nzd0113-0084,nzd0113-0085,nzd0113-0086,nzd0113-0087,nzd0113-0088,nzd0113-0089,nzd0113-0090,nzd0113-0091,nzd0113-0092,nzd0113-0093,nzd0113-0094,nzd0113-0095,nzd0113-0096,nzd0113-0097,nzd0113-0098,nzd0113-0099,nzd0113-0100,nzd0113-0101,nzd0113-0102,nzd0113-0103,nzd0113-0104,nzd0113-0105,nzd0113-0106,nzd0113-0107,nzd0113-0108,nzd0113-0109,nzd0113-0110,nzd0113-0111,nzd0113-0112,nzd0113-0113,nzd0113-0114,nzd0113-0115,nzd0113-0116,nzd0113-0117,nzd0113-0118
1999-08-26 22:04:44+00:00,L7,279.00,280.75,293.56,295.50,283.29,261.99,255.35,274.64,,253.87,247.78,268.11,265.73,283.96,294.58,294.66,301.18,304.03,303.47,308.57,309.33,310.44,313.00,320.66,328.85,327.11,342.16,346.30,314.87,332.11,330.24,336.62,332.52,336.17,339.78,339.68,343.78,322.73,334.65,341.86,346.58,322.93,320.55,320.99,319.26,322.74,322.97,333.80,341.59,350.31,351.56,357.25,363.77,370.65,381.25,382.45,377.59,376.34,377.66,373.14,371.78,369.74,368.36,366.00,365.51,364.30,364.53,363.00,364.74,369.20,367.05,364.62,368.27,367.02,360.97,360.32,362.85,364.49,357.88,360.19,360.34,351.61,347.39,345.82,343.53,339.25,337.67,343.25,350.10,349.09,353.41,357.44,361.95,372.64,373.57,375.72,376.64,371.55,358.31,355.19,359.73,359.08,360.29,359.74,357.76,356.94,350.76,353.03,350.26,356.32,354.32,353.30,354.57,353.40,352.01,354.25,357.22,346.61,345.80
1999-09-27 22:04:48+00:00,L7,259.22,259.33,265.03,273.33,271.92,249.07,246.00,,,198.92,225.75,243.04,247.09,256.60,267.43,275.25,278.93,280.79,290.64,288.21,288.32,284.79,285.70,287.73,291.38,292.47,292.28,295.50,299.55,296.69,293.97,298.90,298.37,301.60,298.60,299.88,303.93,297.79,298.52,300.33,300.21,292.42,286.33,287.81,284.57,280.36,280.63,296.19,307.52,310.74,320.14,325.45,338.65,342.77,349.74,350.41,350.97,350.61,353.29,353.45,355.72,347.46,349.96,350.00,355.89,346.16,346.36,342.23,342.19,340.09,346.24,350.10,356.52,343.63,337.38,334.35,337.00,341.52,346.46,345.01,341.51,336.48,334.06,332.04,326.41,329.83,333.03,334.18,336.27,339.73,343.87,341.12,342.77,352.16,362.23,367.39,360.85,362.46,347.67,,,348.11,355.78,351.82,347.07,341.72,343.74,337.08,334.49,331.68,336.28,346.71,346.96,347.47,350.67,357.02,349.90,341.14,348.06
1999-11-14 22:04:42+00:00,L7,266.28,278.59,303.28,305.89,281.23,264.08,251.05,227.43,198.85,215.82,230.35,257.68,265.97,268.46,276.58,286.99,292.17,301.06,304.55,306.02,304.21,304.37,306.57,307.19,310.68,307.03,307.25,307.33,309.36,304.26,300.48,304.94,312.53,313.43,315.88,312.96,304.90,305.11,316.26,316.94,311.49,309.07,305.34,303.31,296.39,291.67,287.59,295.21,304.71,310.77,325.14,329.99,338.26,345.98,355.44,351.54,348.48,351.74,353.32,347.24,348.92,342.33,336.65,342.71,346.98,343.15,347.14,350.16,349.17,344.80,342.30,341.29,343.27,345.95,343.37,343.81,345.32,348.02,354.01,356.16,353.15,345.90,329.53,328.80,322.89,324.14,327.37,328.50,333.76,342.39,343.13,358.63,360.88,363.80,357.02,361.76,361.50,362.60,340.70,348.26,344.78,349.12,353.42,355.88,355.88,347.99,347.21,340.66,338.44,344.95,340.73,339.43,349.28,337.18,348.41,344.18,347.99,341.95,341.54
2000-03-30 21:58:09+00:00,L7,382.32,385.70,361.40,352.46,347.03,340.03,323.30,,,,,308.98,326.23,338.40,,,,,,,,,,,,,,,,,,,,,,,,,,355.64,347.68,336.17,332.30,334.65,337.37,335.11,328.50,335.77,353.82,355.51,356.90,358.62,358.31,382.21,382.66,385.78,381.25,376.05,383.85,387.75,382.03,379.33,372.76,366.73,380.89,390.62,381.73,381.41,379.66,378.05,375.89,370.82,371.74,371.75,376.68,367.28,371.59,374.37,365.86,369.94,361.17,364.39,366.14,361.64,357.14,344.45,338.46,352.84,357.75,363.63,368.38,366.47,366.47,376.61,380.38,379.78,376.23,387.00,381.03,384.19,370.12,373.55,385.35,383.80,379.43,372.21,369.63,378.08,370.45,368.31,370.12,366.46,363.35,357.95,351.80,360.17,358.51,345.61,354.57
2000-06-02 21:57:31+00:00,L7,,,,,,,,,,177.25,144.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285.24,281.06,277.82,272.25,289.87,287.45,305.20,310.54,319.25,321.95,330.06,338.61,341.83,347.10,338.70,346.61,342.78,,,,,,,,,350.21,341.78,342.21,335.04,349.94,338.14,338.83,333.69,335.98,338.77,347.99,340.33,340.61,339.11,333.35,314.19,334.21,329.61,319.49,321.74,,,349.91,360.02,363.34,343.90,350.91,362.16,350.10,,,,338.25,348.10,355.04,348.73,349.78,347.49,347.60,341.59,336.79,338.27,340.99,338.89,332.27,339.79,335.82,334.34,329.99,,
2000-07-11 22:03:17+00:00,L7,,,303.06,299.56,,,,,,,,,,,,,,285.18,289.04,291.56,292.40,292.17,290.57,291.68,289.26,285.55,282.64,282.67,281.10,282.42,290.67,293.27,293.40,290.62,288.66,280.21,270.89,276.67,282.98,,,,,,,275.13,274.23,276.61,292.25,305.29,308.08,319.42,334.38,340.26,336.20,336.72,333.79,338.41,,,,,,,,,,,,,,,,,326.03,329.85,333.38,330.82,334.25,339.48,332.29,329.05,325.94,,320.27,312.82,311.77,314.06,318.32,328.98,333.10,336.07,341.09,351.02,355.04,,340.37,332.72,,309.55,324.52,325.32,328.80,326.45,326.14,,,,,,,,,,,,333.08,326.98,325.71
2000-07-20 21:56:59+00:00,L7,,,256.32,259.26,249.40,235.44,,,158.25,187.98,198.82,212.67,220.77,224.98,234.88,238.10,245.30,252.81,266.29,264.19,264.99,267.54,270.66,268.90,257.78,250.46,251.81,254.80,252.20,248.20,257.16,269.30,266.74,273.64,262.90,265.42,246.31,253.27,257.23,254.40,248.09,244.50,246.30,244.08,243.81,248.75,254.43,266.50,276.40,285.89,298.02,305.96,315.95,315.67,325.95,329.25,323.83,319.99,,,,,,,,,,,,,,,,,,307.03,313.32,315.48,314.77,314.43,318.64,321.13,311.04,310.59,306.85,308.51,291.29,292.01,301.31,313.78,311.44,316.71,327.42,326.38,322.70,,322.94,317.81,255.66,291.81,300.07,307.51,311.94,311.07,310.57,308.81,307.03,309.00,302.05,,,,,,,,314.93,308.88,307.79
2001-01-03 22:02:12+00:00,L7,,,,,,,,,,,,,,,,,,314.73,315.50,319.83,317.48,326.75,328.54,333.64,329.91,318.34,315.75,329.89,314.87,305.67,300.11,301.75,303.06,310.32,305.32,306.16,304.50,307.63,316.13,317.39,317.06,301.89,295.12,302.80,293.67,298.93,292.14,295.27,307.74,320.91,329.85,327.38,341.12,355.88,360.86,356.76,350.69,357.58,346.14,355.30,359.48,350.07,341.79,350.72,350.23,345.60,319.36,344.59,350.16,354.70,343.09,338.33,346.75,348.34,344.75,341.52,342.24,349.72,354.41,347.14,336.45,342.08,332.90,335.73,331.11,331.93,327.71,325.41,323.63,337.80,346.39,347.17,345.66,356.22,358.97,364.85,360.62,356.48,351.23,352.57,351.93,354.19,349.32,345.66,342.79,344.58,343.67,334.29,324.16,334.26,325.07,333.30,334.62,336.48,342.00,341.51,348.37,343.53,342.20
2001-03-01 21:55:57+00:00,L7,259.12,263.29,269.36,281.50,274.97,251.98,,202.08,242.16,252.12,265.40,269.26,268.39,276.38,285.90,290.77,288.60,288.39,300.38,301.51,300.91,309.51,317.91,323.91,317.61,299.55,306.86,308.54,305.32,305.26,297.57,293.63,300.18,295.00,299.95,299.50,292.47,302.29,308.92,308.73,312.63,301.50,295.24,290.23,278.47,278.14,282.80,285.80,297.49,314.67,316.05,314.86,335.74,347.56,354.37,348.64,348.57,350.27,342.46,344.98,345.13,339.20,335.79,338.76,337.46,336.84,334.60,339.54,344.41,342.44,342.90,338.17,338.31,343.70,340.30,335.32,342.51,341.89,339.25,341.03,339.53,333.41,326.89,324.19,328.36,323.08,320.51,322.59,325.21,333.26,338.56,341.46,341.70,347.24,347.43,355.08,350.88,348.66,342.02,336.84,344.49,349.09,344.30,336.31,340.52,331.64,331.99,324.87,320.59,324.63,323.92,325.02,331.46,331.37,328.46,328.20,331.44,328.66,326.24
2001-05-11 22:01:45+00:00,L7,255.82,264.99,275.91,283.77,278.62,261.39,184.96,,241.96,227.90,,259.73,260.39,253.27,251.78,246.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.13,,,309.08,320.21,,,,,,,,,,,,,,,,,,,,,,328.05,319.66,314.81,327.18,326.84,336.99,326.17,310.90,304.84,293.84,,,,305.76,,,,,,,,,,255.64,297.04,318.74,314.90,311.77,317.99,313.30,317.56,308.26,,,315.18,,,,318.31,322.17,323.62,318.64,321.72
