dates,nzd0238-0000,nzd0238-0001,nzd0238-0002,nzd0238-0003,nzd0238-0004,nzd0238-0005,nzd0238-0006,nzd0238-0007,nzd0238-0008,nzd0238-0009,nzd0238-0010,nzd0238-0011,nzd0238-0012,nzd0238-0013,nzd0238-0014,nzd0238-0015,nzd0238-0016,nzd0238-0017,nzd0238-0018,nzd0238-0019,nzd0238-0020,nzd0238-0021,nzd0238-0022,nzd0238-0023,nzd0238-0024,nzd0238-0025,nzd0238-0026,nzd0238-0027,nzd0238-0028,nzd0238-0029,nzd0238-0030,nzd0238-0031,nzd0238-0032,nzd0238-0033,nzd0238-0034,nzd0238-0035,nzd0238-0036,nzd0238-0037,nzd0238-0038,nzd0238-0039,nzd0238-0040,nzd0238-0041,nzd0238-0042,nzd0238-0043,nzd0238-0044,nzd0238-0045,nzd0238-0046,nzd0238-0047,nzd0238-0048,nzd0238-0049,nzd0238-0050,nzd0238-0051,nzd0238-0052,nzd0238-0053,nzd0238-0054,nzd0238-0055,nzd0238-0056,nzd0238-0057,nzd0238-0058,nzd0238-0059,satname
1999-07-20 21:46:27+00:00,,364.51,358.06,363.60,367.05,369.99,366.98,374.03,380.97,382.25,393.44,394.37,402.18,407.91,406.89,399.78,391.82,395.25,393.91,394.31,389.69,395.24,391.08,388.99,394.94,380.31,397.78,406.40,405.68,393.45,398.95,399.26,388.58,367.57,378.58,371.55,373.32,378.94,382.49,379.22,365.52,352.33,355.33,366.48,371.80,382.48,390.21,383.59,377.69,374.10,374.17,383.95,368.25,360.15,,351.16,359.36,360.35,360.89,356.19,L7
1999-08-21 21:46:33+00:00,358.02,357.32,357.50,360.45,362.44,365.18,368.75,371.03,378.42,380.07,386.50,389.08,397.90,406.06,398.26,393.15,389.04,392.48,388.68,388.29,384.81,390.23,388.07,387.93,391.72,383.73,393.00,402.10,401.87,397.09,398.95,399.26,389.72,375.72,380.37,372.92,372.25,373.18,375.47,379.97,370.62,362.99,361.00,363.11,369.68,380.56,393.02,379.76,373.36,374.10,374.17,383.95,368.25,360.15,,351.16,359.36,360.35,360.89,356.19,L7
1999-09-22 21:46:36+00:00,366.30,360.88,360.68,363.66,365.32,368.61,370.69,374.25,381.35,384.79,389.22,392.55,399.80,407.63,401.98,396.25,393.31,394.84,392.09,391.76,389.41,393.02,391.54,392.46,394.87,389.51,396.56,402.39,402.38,399.77,403.40,401.12,392.87,382.55,384.42,379.28,377.66,377.93,378.35,380.23,373.07,366.28,364.60,367.00,372.14,383.44,393.80,380.64,373.95,375.95,378.96,386.47,373.89,366.17,370.79,359.69,365.48,369.71,366.12,360.37,L7
1999-09-29 21:52:52+00:00,371.29,365.40,363.14,365.67,368.72,371.13,373.30,377.07,383.26,386.89,391.29,395.18,402.59,409.88,405.63,400.21,397.17,398.23,395.39,394.85,393.04,395.37,393.89,394.66,397.50,394.22,398.91,404.03,404.79,402.51,405.83,401.59,396.20,387.89,388.29,383.86,381.51,381.94,381.63,381.99,375.35,368.45,364.49,366.34,371.07,384.19,394.81,381.88,374.46,375.98,381.83,388.48,375.17,366.68,372.38,363.67,370.91,373.61,369.31,364.44,L7
1999-10-08 21:46:42+00:00,366.42,362.40,358.32,360.03,363.95,367.20,369.81,371.78,378.96,382.85,387.62,392.52,398.78,405.73,402.33,396.68,393.07,392.38,390.12,390.16,387.71,388.42,387.85,390.43,392.32,391.58,396.21,400.66,401.00,400.36,400.73,395.66,392.77,385.74,386.13,380.75,377.90,377.99,378.35,378.54,371.18,365.59,362.89,362.62,369.17,380.07,391.49,379.66,372.41,370.65,378.19,385.76,373.62,366.84,372.38,363.67,370.91,373.61,369.31,364.44,L7
1999-10-15 21:52:49+00:00,366.42,362.40,358.32,360.03,365.31,368.60,371.02,373.61,379.92,383.76,389.18,393.86,400.56,407.04,404.00,399.36,394.76,393.73,392.10,391.93,389.88,390.34,390.02,392.62,394.32,393.87,397.95,402.08,402.23,402.20,403.08,398.31,394.70,388.19,387.98,383.27,380.61,380.05,380.68,379.65,372.29,366.82,363.61,363.74,370.47,380.42,391.66,378.92,370.88,369.04,377.40,385.69,372.77,367.26,368.23,363.73,369.79,372.43,368.50,364.82,L7
1999-10-24 21:46:32+00:00,367.71,363.19,359.20,361.14,365.81,367.62,371.21,374.12,380.19,383.76,389.94,394.32,400.61,407.12,404.31,399.39,395.54,394.89,392.97,392.86,390.75,391.06,390.54,393.27,395.19,394.96,398.47,401.94,402.69,402.82,404.13,399.75,395.57,389.20,388.62,384.42,381.74,381.13,381.48,380.44,373.37,368.17,364.91,364.19,370.96,380.96,392.00,379.59,372.22,371.19,379.79,387.46,374.58,368.93,369.31,365.56,371.03,375.08,369.61,366.31,L7
2000-01-12 21:46:30+00:00,367.71,363.19,359.20,361.14,365.81,367.62,371.21,374.12,380.19,383.76,389.47,394.40,399.40,406.63,404.00,399.55,395.93,394.33,392.87,392.65,390.95,390.96,390.64,393.00,394.21,394.78,398.49,402.12,402.62,402.80,403.68,399.75,395.57,389.20,388.62,379.51,381.70,381.58,381.67,380.44,373.37,368.17,364.91,364.19,370.96,380.96,392.00,379.59,372.22,371.19,379.79,387.46,374.58,368.93,369.31,365.56,370.38,377.88,371.60,368.26,L7
2000-02-04 21:52:37+00:00,367.47,362.18,358.55,360.62,365.33,366.43,371.02,373.58,378.99,383.03,388.26,393.61,397.79,405.13,402.40,398.95,395.87,393.68,392.59,391.67,390.67,389.97,390.39,393.10,393.84,395.89,397.70,400.53,401.36,403.27,403.36,398.98,396.18,392.30,389.51,380.80,382.30,381.38,380.52,379.15,373.22,369.24,365.05,362.29,369.38,380.29,391.39,378.51,370.83,370.00,380.21,386.99,374.91,368.88,368.82,367.93,371.46,379.19,372.50,369.95,L7
2000-02-20 21:52:29+00:00,368.40,364.42,358.58,360.03,365.46,366.70,370.66,374.28,378.74,383.12,388.98,394.37,397.94,405.00,403.54,399.98,396.76,393.90,393.43,391.74,391.14,390.25,391.14,393.89,394.13,396.66,398.30,400.29,401.38,403.19,403.30,398.61,396.89,393.43,390.75,382.48,384.11,383.28,381.50,378.15,371.94,367.49,364.15,360.56,368.68,379.86,390.19,379.32,372.01,370.93,380.83,386.99,375.03,368.20,367.63,367.69,370.90,378.13,372.60,369.70,L7
