dates,nzd0238-0000,nzd0238-0001,nzd0238-0002,nzd0238-0003,nzd0238-0004,nzd0238-0005,nzd0238-0006,nzd0238-0007,nzd0238-0008,nzd0238-0009,nzd0238-0010,nzd0238-0011,nzd0238-0012,nzd0238-0013,nzd0238-0014,nzd0238-0015,nzd0238-0016,nzd0238-0017,nzd0238-0018,nzd0238-0019,nzd0238-0020,nzd0238-0021,nzd0238-0022,nzd0238-0023,nzd0238-0024,nzd0238-0025,nzd0238-0026,nzd0238-0027,nzd0238-0028,nzd0238-0029,nzd0238-0030,nzd0238-0031,nzd0238-0032,nzd0238-0033,nzd0238-0034,nzd0238-0035,nzd0238-0036,nzd0238-0037,nzd0238-0038,nzd0238-0039,nzd0238-0040,nzd0238-0041,nzd0238-0042,nzd0238-0043,nzd0238-0044,nzd0238-0045,nzd0238-0046,nzd0238-0047,nzd0238-0048,nzd0238-0049,nzd0238-0050,nzd0238-0051,nzd0238-0052,nzd0238-0053,nzd0238-0054,nzd0238-0055,nzd0238-0056,nzd0238-0057,nzd0238-0058,nzd0238-0059,satname
1999-07-20 21:46:27+00:00,,364.51,358.06,363.60,367.05,369.99,366.98,374.03,380.97,382.25,393.44,394.37,402.18,407.91,406.89,399.78,391.82,395.25,393.91,394.31,389.69,395.24,391.08,388.99,394.94,380.31,397.78,406.40,405.68,393.45,398.95,399.26,388.58,367.57,378.58,371.55,373.32,378.94,382.49,379.22,365.52,352.33,355.33,366.48,371.80,382.48,390.21,383.59,377.69,374.10,374.17,383.95,368.25,360.15,,351.16,359.36,360.35,360.89,356.19,L7
1999-08-21 21:46:33+00:00,358.02,350.14,356.95,357.30,357.83,360.37,370.53,368.04,375.87,377.90,379.57,383.79,393.63,404.21,389.63,386.53,386.27,389.70,383.44,382.27,379.93,385.21,385.07,386.87,388.49,387.15,388.21,397.79,398.05,400.72,,,390.85,383.86,382.15,374.29,371.17,367.42,368.45,380.71,375.73,373.64,366.67,359.73,367.56,378.65,395.83,375.93,369.02,,,,,,,,,,,,L7
1999-09-22 21:46:36+00:00,374.58,367.98,367.02,370.07,371.07,375.46,374.57,380.69,387.22,394.23,394.65,399.49,403.60,410.76,409.42,402.45,401.85,399.58,398.93,398.69,398.62,398.61,398.47,401.53,401.17,401.08,403.68,402.99,403.42,405.13,407.85,402.97,399.18,396.23,392.52,392.01,388.49,387.44,384.10,380.75,377.97,372.86,371.81,374.78,377.05,389.19,395.36,382.40,375.13,377.80,383.75,388.99,379.54,372.20,370.79,368.21,371.60,379.07,371.36,364.55,L7
1999-09-29 21:52:52+00:00,381.27,378.96,370.55,371.70,378.92,378.71,381.11,385.51,388.98,393.20,397.52,403.05,410.93,416.64,416.57,412.08,408.72,408.37,405.28,404.14,403.91,402.42,400.93,401.27,405.40,408.35,405.97,408.95,411.99,410.75,410.70,402.55,406.20,403.89,399.93,397.59,393.07,393.95,391.49,387.28,382.16,374.97,364.16,364.37,367.87,386.44,397.84,385.58,376.00,376.03,387.58,392.49,377.72,367.69,373.98,371.63,381.77,381.42,375.67,372.57,L7
1999-10-08 21:46:42+00:00,351.83,350.41,339.01,337.49,344.87,351.48,355.84,350.62,361.75,366.66,372.91,381.89,383.57,389.15,389.12,382.54,376.67,369.00,369.04,371.41,366.42,360.63,363.69,373.49,371.58,381.02,385.43,387.19,385.85,391.74,385.40,377.86,379.06,377.15,377.45,368.33,363.46,362.18,365.24,364.74,354.54,354.15,356.49,347.72,361.56,363.58,378.22,370.80,364.23,354.67,367.26,377.62,368.98,367.32,,,,,,,L7
1999-10-15 21:52:49+00:00,,,,,372.10,375.60,377.06,382.76,384.73,388.34,396.96,400.57,409.48,413.55,412.36,412.77,403.21,400.51,401.97,400.77,400.73,399.90,400.89,403.54,404.34,405.30,406.65,409.14,408.41,411.42,412.52,408.90,404.34,400.45,397.23,395.86,394.14,390.38,392.29,385.20,377.83,372.97,367.19,369.37,376.99,382.17,392.53,375.21,363.21,362.60,374.25,385.41,369.37,368.94,359.92,363.93,366.41,368.87,366.08,365.98,L7
1999-10-24 21:46:32+00:00,372.86,367.15,363.64,366.69,368.80,361.73,372.36,377.17,381.84,383.71,394.55,397.07,400.91,407.62,406.21,399.59,400.26,401.81,398.19,398.42,395.95,395.41,393.62,397.20,400.43,401.53,401.59,401.13,405.43,406.52,409.35,406.93,400.80,395.26,392.49,391.32,388.51,387.58,386.27,385.20,379.85,376.24,372.71,366.85,373.92,384.22,394.01,383.60,380.28,381.91,391.71,396.29,383.60,377.28,372.53,372.85,376.02,385.71,374.06,372.26,L7
2000-01-12 21:46:30+00:00,,,,,,,,,,,386.17,395.00,390.92,403.23,401.80,400.69,398.61,390.46,392.21,391.18,392.38,390.28,391.41,391.14,387.32,393.52,398.58,403.35,402.13,402.68,401.02,,,,,345.11,381.47,384.78,383.04,,,,,,,,,,,,,,,,,,367.10,391.89,381.51,377.98,L7
2000-02-04 21:52:37+00:00,366.29,358.43,354.15,360.50,363.75,361.68,365.69,370.27,372.51,377.20,383.76,387.98,389.25,395.92,394.08,394.92,391.37,389.99,391.65,386.44,387.42,387.33,389.06,389.72,392.01,389.17,391.50,393.73,395.60,397.18,396.68,394.68,392.82,389.23,384.80,381.93,378.06,377.34,373.24,370.15,364.43,359.87,356.35,353.22,360.70,377.80,385.91,376.07,367.92,366.96,376.74,381.13,370.26,359.88,366.89,363.03,365.89,368.20,366.31,366.39,L7
2000-02-20 21:52:29+00:00,363.60,363.58,357.14,353.70,358.73,362.26,367.99,372.91,374.18,378.47,385.32,389.92,394.89,403.10,398.78,394.83,393.38,391.51,390.13,382.90,383.70,387.42,391.07,393.20,390.78,393.28,392.98,395.82,398.22,400.06,402.91,396.40,395.80,391.78,390.80,387.68,385.69,382.58,376.31,373.75,366.81,361.36,360.32,347.62,362.65,375.64,387.44,381.55,377.27,376.51,384.53,387.03,375.75,364.10,361.67,366.51,367.50,371.73,373.24,368.18,L7
