dates,satname,nzd0238-0000,nzd0238-0001,nzd0238-0002,nzd0238-0003,nzd0238-0004,nzd0238-0005,nzd0238-0006,nzd0238-0007,nzd0238-0008,nzd0238-0009,nzd0238-0010,nzd0238-0011,nzd0238-0012,nzd0238-0013,nzd0238-0014,nzd0238-0015,nzd0238-0016,nzd0238-0017,nzd0238-0018,nzd0238-0019,nzd0238-0020,nzd0238-0021,nzd0238-0022,nzd0238-0023,nzd0238-0024,nzd0238-0025,nzd0238-0026,nzd0238-0027,nzd0238-0028,nzd0238-0029,nzd0238-0030,nzd0238-0031,nzd0238-0032,nzd0238-0033,nzd0238-0034,nzd0238-0035,nzd0238-0036,nzd0238-0037,nzd0238-0038,nzd0238-0039,nzd0238-0040,nzd0238-0041,nzd0238-0042,nzd0238-0043,nzd0238-0044,nzd0238-0045,nzd0238-0046,nzd0238-0047,nzd0238-0048,nzd0238-0049,nzd0238-0050,nzd0238-0051,nzd0238-0052,nzd0238-0053,nzd0238-0054,nzd0238-0055,nzd0238-0056,nzd0238-0057,nzd0238-0058,nzd0238-0059
1999-07-20 21:46:27+00:00,L7,,365.67,358.82,364.33,368.01,370.80,368.03,375.08,381.76,383.06,394.32,395.25,403.28,408.96,407.99,400.88,392.87,396.21,394.83,395.19,390.69,396.16,392.04,389.99,395.99,381.36,398.74,407.40,406.64,394.41,399.95,400.22,389.68,368.73,379.68,372.77,374.42,380.04,383.71,380.38,366.57,353.43,356.18,367.36,372.85,383.53,391.31,384.69,378.57,375.06,375.27,385.00,369.17,361.11,,351.95,360.36,361.27,361.85,357.29
1999-08-21 21:46:33+00:00,L7,360.65,355.40,360.40,360.63,362.18,364.07,375.29,372.80,379.44,381.60,383.57,387.79,398.63,408.97,394.63,391.53,391.03,394.05,387.61,386.27,384.48,389.38,389.42,391.42,393.25,391.91,392.56,402.34,402.40,405.07,,,395.85,389.12,387.15,379.85,376.17,372.42,374.01,385.97,380.49,378.64,370.52,363.73,372.32,383.41,400.83,380.93,373.02,,,,,,,,,,,
1999-09-22 21:46:36+00:00,L7,377.74,374.30,371.16,374.07,376.29,379.90,380.28,386.40,391.51,398.67,399.45,404.29,409.60,416.47,415.42,408.45,407.56,404.80,403.93,403.49,404.07,403.61,403.69,406.98,406.88,406.79,408.90,408.44,408.64,410.35,413.30,408.19,405.18,402.55,398.52,398.68,394.49,393.44,390.77,387.07,383.68,378.86,376.43,379.58,382.76,394.90,401.36,388.40,379.93,383.02,389.75,394.70,384.54,377.42,376.24,372.50,377.05,384.07,376.58,370.55
1999-09-29 21:52:52+00:00,L7,376.32,369.07,364.07,365.43,370.75,371.75,372.16,376.56,382.27,386.24,390.00,395.53,401.53,407.69,407.17,402.68,399.77,400.20,397.45,396.62,395.36,394.59,392.76,392.72,396.45,399.40,397.80,400.40,403.82,402.58,402.15,394.38,396.80,394.00,390.53,387.15,383.67,384.55,381.05,377.39,373.21,365.57,356.93,356.85,358.92,377.49,388.44,376.18,368.48,367.86,378.18,383.54,369.89,359.52,365.43,364.92,373.22,373.59,367.50,363.17
1999-10-08 21:46:42+00:00,L7,353.04,352.83,340.60,339.02,346.87,353.18,358.03,352.81,363.39,368.36,374.75,383.73,385.87,391.34,391.42,384.84,378.86,371.00,370.96,373.25,368.51,362.55,365.69,375.58,373.77,383.21,387.43,389.28,387.85,393.74,387.49,379.86,381.36,379.57,379.75,370.89,365.76,364.48,367.80,367.16,356.73,356.45,358.26,349.56,363.75,365.77,380.52,373.10,366.07,356.67,369.56,379.81,370.90,369.32,,,,,,
1999-10-15 21:52:49+00:00,L7,,,,,367.75,371.90,372.30,378.00,381.16,384.64,392.96,396.57,404.48,408.79,407.36,407.77,398.45,396.16,397.80,396.77,396.18,395.73,396.54,398.99,399.58,400.54,402.30,404.59,404.06,407.07,407.97,404.55,399.34,395.19,392.23,390.30,389.14,385.38,386.73,379.94,373.07,367.97,363.34,365.37,372.23,377.41,387.53,370.21,359.21,358.25,369.25,380.65,365.20,364.59,355.37,360.36,361.86,364.70,361.73,360.98
1999-10-24 21:46:32+00:00,L7,373.65,368.73,364.67,367.69,370.10,362.84,373.79,378.60,382.91,384.82,395.75,398.27,402.41,409.05,407.71,401.09,401.69,403.11,399.44,399.62,397.31,396.66,394.92,398.56,401.86,402.96,402.89,402.49,406.73,407.82,410.71,408.23,402.30,396.84,393.99,392.99,390.01,389.08,387.94,386.78,381.28,377.74,373.86,368.05,375.35,385.65,395.51,385.10,381.48,383.21,393.21,397.72,384.85,378.58,373.89,373.92,377.38,386.96,375.36,373.76
2000-01-12 21:46:30+00:00,L7,,,,,,,,,,,381.13,389.96,384.62,397.23,395.50,394.39,392.61,384.98,386.96,386.14,386.65,385.03,385.93,385.41,381.32,387.52,393.10,397.62,396.65,397.20,395.29,,,188.74,,338.11,375.17,378.48,376.04,,,,,,,,,,,,,,,,,,361.37,386.64,376.03,371.68
2000-02-04 21:52:37+00:00,L7,366.08,358.01,353.87,360.23,363.40,361.38,365.31,369.89,372.22,376.90,383.44,387.66,388.85,395.54,393.68,394.52,390.99,389.64,391.32,386.12,387.06,387.00,388.71,389.36,391.63,388.79,391.15,393.37,395.25,396.83,396.32,394.33,392.42,388.81,384.40,381.49,377.66,376.94,372.80,369.73,364.05,359.47,356.04,352.90,360.32,377.42,385.51,375.67,367.60,366.61,376.34,380.75,369.93,359.53,366.53,362.74,365.53,367.87,365.96,365.99
2000-02-20 21:52:29+00:00,L7,360.71,357.79,353.35,350.03,353.95,358.19,362.75,367.67,370.25,374.40,380.92,385.52,389.39,397.86,393.28,389.33,388.14,386.73,385.55,378.50,378.70,382.84,386.29,388.20,385.54,388.04,388.20,390.82,393.44,395.28,397.91,391.62,390.30,385.99,385.30,381.57,380.19,377.08,370.20,367.96,361.57,355.86,356.09,343.22,357.41,370.40,381.94,376.05,372.87,371.73,379.03,381.79,371.17,359.32,356.67,362.58,362.50,367.15,368.46,362.68
