dates,nzd0506-0000,nzd0506-0001,nzd0506-0002,nzd0506-0003,nzd0506-0004,nzd0506-0005,nzd0506-0006,nzd0506-0007,nzd0506-0008,nzd0506-0009,nzd0506-0010,nzd0506-0011,nzd0506-0012,nzd0506-0013,nzd0506-0014,nzd0506-0015,nzd0506-0016,nzd0506-0017,nzd0506-0018,nzd0506-0019,nzd0506-0020,nzd0506-0021,nzd0506-0022,nzd0506-0023,nzd0506-0024,nzd0506-0025,nzd0506-0026,nzd0506-0027,nzd0506-0028,nzd0506-0029,nzd0506-0030,nzd0506-0031,nzd0506-0032,nzd0506-0033,nzd0506-0034,nzd0506-0035,nzd0506-0036,nzd0506-0037,nzd0506-0038,nzd0506-0039,nzd0506-0040,nzd0506-0041,nzd0506-0042,nzd0506-0043,nzd0506-0044,nzd0506-0045,nzd0506-0046,satname
1999-08-26 22:07:32+00:00,,300.07,300.47,305.40,285.02,283.90,,,,,,,,282.96,288.55,292.21,296.47,286.29,288.63,286.77,291.84,304.74,313.83,325.63,322.06,319.25,321.33,327.77,330.62,328.47,332.77,345.22,357.00,351.23,348.26,358.52,356.05,360.57,352.12,355.23,350.12,349.86,347.45,352.77,377.27,372.60,,L7
2000-02-18 22:07:16+00:00,357.91,308.56,306.26,312.48,297.77,303.08,334.84,327.99,323.34,345.27,,,322.50,296.72,297.56,296.57,300.02,294.28,293.68,297.46,305.46,311.47,317.60,328.57,326.87,326.37,326.72,332.86,331.59,327.24,332.85,346.15,357.56,353.80,351.76,363.94,356.76,360.33,349.86,353.37,353.24,349.86,347.45,352.77,377.27,372.60,,L7
2000-03-21 22:07:12+00:00,361.45,323.55,320.62,323.70,311.25,318.46,328.42,324.14,326.93,341.52,324.77,323.30,320.62,311.71,312.50,305.54,307.62,303.80,303.12,307.14,315.00,312.53,321.82,329.80,329.20,325.39,328.75,332.99,332.58,324.01,327.43,342.76,355.81,352.15,349.83,361.00,351.60,355.31,345.54,347.68,353.51,350.64,340.95,349.97,367.05,361.39,,L7
2000-05-08 22:06:44+00:00,361.45,320.82,319.60,320.85,312.57,317.16,324.76,322.67,326.25,336.56,325.51,323.18,319.09,311.73,309.72,307.19,306.97,304.55,303.47,306.81,311.95,312.91,322.18,331.37,328.99,328.02,331.06,334.96,335.66,332.26,333.30,342.73,354.22,351.13,350.80,356.44,350.08,354.84,349.59,351.00,355.52,355.10,350.95,359.82,373.69,373.79,417.39,L7
2000-06-25 22:06:19+00:00,361.45,320.82,312.52,316.08,311.89,312.35,317.17,314.63,318.47,327.57,319.70,315.60,315.11,310.01,308.15,305.09,306.12,303.39,304.28,305.63,311.47,313.50,321.53,328.27,327.33,328.77,331.17,335.38,339.60,338.21,342.15,345.71,354.97,351.86,352.87,354.67,350.94,354.62,352.79,352.77,356.55,357.13,360.58,366.73,374.11,382.23,420.50,L7
2000-07-11 22:06:05+00:00,361.45,320.82,309.21,312.67,308.04,308.49,310.44,307.98,311.64,320.65,313.01,309.78,310.58,305.51,304.88,302.34,303.58,301.52,301.97,303.02,310.00,312.36,319.21,325.50,325.31,324.83,328.27,332.28,338.61,339.18,343.55,346.01,354.84,351.00,351.83,352.46,349.92,352.44,351.99,352.32,354.37,357.13,360.58,366.73,374.11,382.23,420.50,L7
2001-03-08 22:04:56+00:00,351.36,332.24,338.62,,,,,,,,,,,,,,,343.35,345.59,336.84,333.43,328.36,341.97,352.40,349.69,353.82,349.75,349.81,341.33,331.23,331.10,342.13,353.39,348.29,346.57,359.54,357.86,361.87,359.29,360.56,361.78,352.65,339.97,346.22,369.75,414.05,,L7
2001-04-09 22:04:41+00:00,344.73,325.90,327.40,322.25,306.97,310.35,312.75,319.84,322.26,327.57,325.94,327.86,318.07,313.35,321.26,318.61,323.75,331.40,332.76,329.20,327.11,324.38,334.93,343.52,343.20,345.93,343.65,340.35,338.36,328.43,327.36,339.52,351.02,344.58,342.27,357.31,353.32,360.19,355.86,358.50,358.04,352.65,339.97,346.22,369.75,414.05,,L7
2001-06-28 22:03:56+00:00,344.73,325.90,316.34,310.96,307.25,307.07,308.78,312.81,322.72,325.42,325.33,321.23,316.73,315.62,316.07,313.63,314.24,322.32,325.29,325.85,323.91,326.03,334.29,343.52,343.20,345.62,345.12,340.89,343.40,339.19,338.56,346.69,353.66,350.86,347.03,353.48,354.72,359.86,358.71,359.02,356.45,355.16,357.68,359.82,368.69,400.80,428.00,L7
2001-07-14 22:03:57+00:00,344.73,325.90,307.74,308.34,309.36,307.22,308.83,310.47,317.05,323.71,323.35,316.86,315.33,316.31,313.35,314.30,312.55,318.37,320.69,323.08,321.29,324.84,333.31,339.11,339.66,342.81,342.19,338.59,342.82,341.98,342.07,347.24,351.98,350.56,345.95,350.17,353.26,356.86,356.64,357.65,352.89,354.51,358.95,360.22,367.18,398.51,434.27,L7
2001-08-15 22:03:26+00:00,344.73,328.27,307.74,311.45,311.08,307.02,306.80,307.11,312.52,317.35,319.19,313.37,311.35,313.17,309.67,311.32,310.05,316.20,317.28,320.91,319.35,323.58,330.60,334.27,336.58,340.45,338.96,336.16,340.31,341.03,341.57,345.60,349.75,348.81,344.54,345.96,350.54,353.40,353.68,355.20,350.71,352.28,355.85,358.19,364.31,392.70,425.25,L7
2002-04-12 22:03:25+00:00,,289.52,286.65,295.66,290.51,289.95,296.43,299.52,300.45,301.66,306.52,309.47,303.90,304.94,311.79,318.56,323.19,325.00,324.58,329.28,331.74,335.37,340.62,342.33,336.30,336.63,336.50,342.02,338.84,328.40,327.32,332.62,340.98,332.99,334.44,350.09,346.42,359.85,350.07,346.19,349.02,346.55,337.18,347.32,366.94,363.88,,L7
2002-05-30 22:03:13+00:00,,289.52,280.78,294.96,285.35,289.95,288.85,290.47,292.88,292.13,295.29,296.55,295.38,297.29,301.88,309.46,311.95,313.57,312.32,317.05,320.78,322.23,326.12,329.38,326.58,330.96,331.29,330.58,331.49,326.49,329.81,333.92,342.60,338.24,335.84,348.48,345.70,352.62,345.95,344.55,350.81,347.34,346.25,356.19,371.96,374.78,415.91,L7
2002-06-15 22:03:07+00:00,,289.52,276.87,296.70,290.70,293.69,290.42,291.64,291.99,292.85,294.42,296.87,295.58,297.21,300.78,308.14,309.73,313.03,309.28,315.61,316.36,318.56,321.03,325.15,323.09,325.88,324.06,325.27,328.31,327.84,330.08,334.48,341.22,339.18,335.79,344.34,342.54,347.34,341.80,342.06,345.48,345.21,347.23,357.68,369.99,376.28,406.52,L7
2002-08-18 22:02:45+00:00,,291.49,282.38,295.57,293.07,292.16,288.97,290.21,292.64,293.43,295.43,296.61,294.93,297.48,299.05,304.75,305.32,308.75,306.95,312.54,313.59,316.17,319.08,323.19,321.88,321.52,320.55,321.86,326.65,327.14,330.66,333.13,336.62,336.16,331.86,337.15,335.44,339.47,336.84,336.72,339.77,341.64,346.18,355.64,366.99,376.12,405.23,L7
2003-03-14 22:03:20+00:00,298.21,302.18,305.60,295.33,301.79,289.80,291.49,288.99,290.30,287.79,289.80,290.99,287.29,289.05,290.42,279.72,291.09,286.02,300.34,308.35,308.13,320.06,329.00,329.44,327.64,330.37,336.93,341.83,338.72,347.48,342.84,347.63,343.45,347.06,349.89,339.57,343.00,341.74,343.13,345.48,337.62,343.14,337.90,340.88,336.96,354.00,384.77,L7
2003-08-05 22:02:59+00:00,298.21,302.18,305.60,295.33,301.79,289.80,291.49,288.99,290.30,287.79,289.80,290.99,287.29,289.05,290.42,279.72,291.09,286.02,300.34,308.35,308.13,324.23,329.00,329.44,327.64,330.37,336.93,341.83,338.72,347.48,362.05,332.40,343.45,347.06,349.89,339.57,333.78,341.74,354.40,345.88,340.08,343.14,337.90,340.88,336.96,354.00,384.77,L7
2003-09-30 21:52:18+00:00,,,292.91,285.06,284.77,283.11,280.26,283.48,289.94,295.60,304.81,303.79,304.76,303.46,308.45,304.93,304.14,301.67,304.17,310.12,313.29,321.40,317.92,320.32,319.43,322.86,326.46,327.85,331.83,328.07,381.26,320.70,332.97,333.45,333.98,331.19,330.41,337.50,349.67,336.82,332.51,316.95,322.61,313.63,312.26,323.28,355.34,L5
2003-12-11 22:03:21+00:00,,312.00,295.70,294.03,291.24,293.46,291.17,295.97,301.86,307.19,315.98,319.87,322.63,323.46,308.45,304.93,325.72,321.11,319.43,323.77,322.95,327.26,332.00,336.36,336.71,337.17,338.63,338.79,331.83,328.07,363.75,331.76,348.92,345.65,344.21,343.65,338.13,349.35,351.26,341.40,338.91,328.41,326.68,313.63,312.26,336.74,349.52,L7
2004-04-25 21:54:35+00:00,,312.00,298.49,303.00,336.58,303.81,302.09,308.45,313.77,318.77,327.14,335.94,340.51,343.46,,,347.30,340.55,334.69,337.42,332.60,338.97,346.08,352.40,353.99,351.48,350.80,349.73,,,346.25,353.87,364.86,357.86,354.44,356.12,353.57,361.19,354.45,350.56,351.70,339.87,330.74,,,350.20,343.70,L5
2004-05-03 22:03:47+00:00,,306.60,302.43,304.66,336.58,305.82,311.52,314.98,320.73,325.19,325.91,327.89,330.19,332.50,318.42,316.51,336.42,335.17,334.69,335.83,332.22,336.56,340.79,345.36,348.82,349.12,347.08,343.28,335.71,330.97,338.96,349.84,364.86,357.86,351.71,356.89,351.76,359.26,351.12,351.79,354.22,347.16,336.64,343.30,354.19,346.70,339.59,L7
2004-06-12 21:55:59+00:00,,301.20,291.63,318.21,356.16,319.55,327.03,331.43,335.96,341.03,340.28,333.53,337.23,335.62,334.59,333.39,336.20,337.78,348.66,336.35,337.59,340.85,343.48,346.29,346.98,350.20,352.83,349.72,356.89,352.40,352.88,358.44,376.02,373.51,358.65,360.81,359.87,362.70,358.44,358.87,361.46,361.77,357.27,361.60,365.16,361.87,365.57,L5
