dates,satname,nzd0506-0000,nzd0506-0001,nzd0506-0002,nzd0506-0003,nzd0506-0004,nzd0506-0005,nzd0506-0006,nzd0506-0007,nzd0506-0008,nzd0506-0009,nzd0506-0010,nzd0506-0011,nzd0506-0012,nzd0506-0013,nzd0506-0014,nzd0506-0015,nzd0506-0016,nzd0506-0017,nzd0506-0018,nzd0506-0019,nzd0506-0020,nzd0506-0021,nzd0506-0022,nzd0506-0023,nzd0506-0024,nzd0506-0025,nzd0506-0026,nzd0506-0027,nzd0506-0028,nzd0506-0029,nzd0506-0030,nzd0506-0031,nzd0506-0032,nzd0506-0033,nzd0506-0034,nzd0506-0035,nzd0506-0036,nzd0506-0037,nzd0506-0038,nzd0506-0039,nzd0506-0040,nzd0506-0041,nzd0506-0042,nzd0506-0043,nzd0506-0044,nzd0506-0045,nzd0506-0046
1999-08-26 22:07:32+00:00,L7,288.59,316.57,315.14,312.00,299.69,295.90,286.82,289.64,288.34,293.02,296.70,296.67,294.36,299.46,300.55,305.41,305.90,298.29,299.63,298.77,305.04,319.41,327.03,336.63,336.73,333.92,336.00,342.44,349.48,354.87,359.17,364.08,370.20,367.73,364.76,363.41,368.05,370.00,366.79,368.43,360.27,366.36,373.85,379.17,396.13,405.60,517.88
2000-02-18 22:07:16+00:00,L7,361.86,335.81,328.73,327.05,327.19,335.91,344.84,339.53,338.34,361.94,387.95,378.96,339.17,329.23,320.20,315.94,314.28,315.92,311.23,321.79,334.09,334.86,336.37,344.01,348.34,350.15,348.78,354.61,353.98,356.00,362.92,368.51,373.11,375.12,374.02,374.93,371.12,370.80,364.26,366.50,367.90,,,,,,
2000-03-21 22:07:12+00:00,L7,369.57,351.79,348.52,336.55,331.32,330.47,333.60,333.68,347.92,357.10,346.52,340.70,338.08,334.68,334.26,327.54,324.10,321.15,322.00,321.96,328.31,326.20,339.68,342.59,346.06,336.63,344.71,347.36,357.46,356.83,356.74,363.30,370.91,369.68,366.14,359.08,361.53,362.97,362.82,361.25,364.04,372.39,375.75,384.77,391.91,404.89,429.88
2000-05-08 22:06:44+00:00,L7,199.03,313.86,316.23,314.56,313.86,313.46,316.64,318.79,323.68,325.30,324.75,321.85,314.69,310.27,303.08,309.28,304.80,304.95,303.18,305.04,304.66,312.35,321.69,333.50,327.24,331.95,334.36,337.57,340.12,346.34,342.64,340.97,349.85,347.59,351.25,346.86,345.95,353.04,356.37,356.46,358.63,358.05,358.56,367.27,378.61,383.19,413.39
2000-06-25 22:06:19+00:00,L7,183.75,,278.18,295.85,296.75,287.20,286.52,281.43,283.35,287.51,293.34,288.66,290.04,290.13,292.69,286.99,295.16,289.17,296.87,291.38,298.20,302.16,307.80,309.14,309.25,317.92,318.37,323.54,334.54,332.48,345.10,337.77,345.42,339.29,344.30,345.00,342.82,345.53,349.27,346.27,350.53,346.44,356.22,356.96,358.10,369.60,384.27
2000-07-11 22:06:05+00:00,L7,233.00,,288.15,295.54,284.86,286.71,278.88,276.00,277.32,285.17,284.19,285.33,284.72,278.75,285.45,284.33,288.40,287.67,286.92,286.20,297.15,300.00,302.90,308.61,309.43,301.30,308.90,312.09,324.67,329.04,335.14,337.22,347.33,338.83,338.96,341.01,339.44,338.71,341.03,343.52,340.28,,,,,,
2001-03-08 22:04:56+00:00,L7,355.62,352.49,356.62,,,,,,,,,,,,,,,358.08,359.09,351.57,349.63,346.36,358.17,365.90,367.69,371.82,367.75,367.81,364.47,363.63,363.50,365.27,369.59,368.54,366.82,365.54,372.59,373.44,377.29,376.76,374.24,372.90,372.37,378.62,392.89,454.55,579.16
2001-04-09 22:04:41+00:00,L7,342.77,341.82,335.96,331.15,326.75,326.53,324.62,333.53,340.06,347.35,348.19,345.66,337.85,335.60,337.44,336.41,336.46,335.63,334.76,337.74,338.59,340.19,345.68,349.47,356.49,357.82,357.34,350.66,360.81,361.22,359.22,362.35,366.45,363.12,360.23,361.66,364.96,371.21,372.21,374.23,367.99,,,,,,
2001-06-28 22:03:56+00:00,L7,215.22,222.43,277.11,291.96,290.42,289.79,294.55,293.94,307.77,306.17,305.47,299.20,298.28,298.65,296.89,293.25,293.73,290.16,297.51,305.15,302.12,312.20,317.61,438.38,,327.89,330.95,324.87,331.49,329.91,330.16,339.01,343.53,344.18,337.29,340.12,343.52,348.22,347.29,344.66,341.42,338.42,344.59,342.62,345.62,349.05,376.67
2001-07-14 22:03:57+00:00,L7,199.10,,269.95,297.71,301.57,297.71,301.72,297.47,294.91,308.27,305.88,297.32,300.52,304.17,298.08,304.84,301.45,296.71,297.91,304.96,302.63,309.29,319.58,321.29,320.58,322.39,321.39,319.68,325.67,328.75,331.00,333.47,336.14,336.13,329.20,336.26,339.06,340.13,338.45,342.77,333.91,339.70,339.88,339.43,348.74,366.92,404.54
