dates,sar2312-0000,sar2312-0001,sar2312-0002,sar2312-0003,sar2312-0004,sar2312-0005,sar2312-0006,satname
1984-04-13 09:27:07+00:00,210.22,185.34,195.84,194.54,194.14,204.15,188.23,L5
1984-05-06 09:33:03+00:00,211.85,179.84,191.4,191.38,190.63,196.28,180.37,L5
1984-06-07 09:33:54+00:00,,,,,,165.15,151.13,L5
1984-07-18 09:28:22+00:00,213.78,185.1,188.19,192.85,188.93,209.13,184.67,L5
1984-08-03 09:29:20+00:00,206.87,186.49,197.06,201.2,190.94,200.62,194.06,L5
1984-08-19 09:29:27+00:00,213.51,180.03,191.94,190.09,189.41,200.76,185.62,L5
1984-08-26 09:35:45+00:00,214.7,189.13,196.45,190.37,195.0,197.76,181.49,L5
1984-09-04 09:29:37+00:00,204.92,178.89,191.04,192.79,184.42,196.58,185.88,L5
1984-09-11 09:35:50+00:00,213.74,179.62,189.91,191.38,186.51,199.67,184.9,L5
1984-09-20 09:30:04+00:00,207.24,186.6,191.51,194.51,191.83,200.6,193.58,L5
1984-10-22 09:29:36+00:00,,184.15,199.24,194.58,194.48,203.72,191.72,L5
1984-11-07 09:29:29+00:00,214.07,183.83,196.64,188.63,184.58,209.42,194.42,L5
1984-12-09 09:29:58+00:00,213.56,190.63,198.95,199.81,186.76,204.26,190.51,L5
1985-01-17 09:36:05+00:00,214.31,181.35,189.42,189.5,184.15,204.71,183.35,L5
1985-02-02 09:36:09+00:00,208.77,180.05,185.53,188.19,183.82,202.14,183.72,L5
1985-04-23 09:35:59+00:00,203.55,177.35,183.69,182.51,180.69,197.92,179.86,L5
1985-05-02 09:30:07+00:00,213.85,185.13,192.81,194.08,188.19,200.84,187.12,L5
1985-05-18 09:29:40+00:00,214.51,189.41,199.88,199.18,190.16,203.19,184.53,L5
1985-06-03 09:30:04+00:00,213.4,188.94,194.27,197.27,185.59,202.16,194.45,L5
1985-06-26 09:35:47+00:00,204.99,183.18,183.32,183.39,181.31,199.83,181.36,L5
1985-07-05 09:29:57+00:00,212.37,185.93,197.43,196.48,190.11,211.06,196.13,L5
1985-07-12 09:35:41+00:00,199.69,177.59,181.51,187.53,181.51,192.57,181.04,L5
1985-08-13 09:35:25+00:00,198.4,173.91,180.57,185.32,177.44,191.8,171.93,L5
1985-08-22 09:29:32+00:00,216.36,189.17,189.7,189.0,190.29,202.15,184.47,L5
1985-10-09 09:28:59+00:00,218.5,190.77,200.15,197.73,192.48,210.22,195.64,L5
1985-11-10 09:28:33+00:00,198.58,188.42,189.09,192.36,191.79,210.81,197.29,L5
1985-11-26 09:28:17+00:00,194.47,,,,,,,L5
1985-12-03 09:33:55+00:00,215.38,191.73,195.22,191.91,192.3,208.37,189.87,L5
1986-01-04 09:33:20+00:00,212.57,187.67,192.27,191.09,192.27,202.75,183.57,L5
1986-01-13 09:27:22+00:00,214.4,192.48,202.56,195.45,186.57,212.78,195.1,L5
1986-03-18 09:25:58+00:00,216.4,187.83,191.79,189.78,186.78,198.25,185.85,L5
1986-03-25 09:31:37+00:00,209.38,183.22,187.22,194.55,186.65,212.04,184.43,L5
1986-04-10 09:31:17+00:00,,154.77,171.26,161.69,162.23,174.58,174.84,L5
1986-05-12 09:30:29+00:00,201.79,184.55,188.19,183.91,182.22,197.05,182.18,L5
1986-05-21 09:24:03+00:00,209.89,184.51,189.79,189.84,183.16,199.07,178.87,L5
1986-06-22 09:23:04+00:00,212.05,181.03,193.13,196.97,192.15,204.68,192.09,L5
1986-07-08 09:22:57+00:00,209.49,184.92,196.99,196.78,184.61,210.56,193.74,L5
1986-07-24 09:21:59+00:00,205.46,177.17,190.31,193.78,188.3,197.12,178.86,L5
1986-07-31 09:27:55+00:00,,177.05,185.47,188.48,184.13,196.71,178.43,L5
1986-08-16 09:27:20+00:00,214.24,184.93,192.77,188.68,181.19,195.79,182.64,L5
1986-09-17 09:26:13+00:00,209.83,184.47,190.33,188.75,185.74,209.11,190.51,L5
1986-10-12 09:19:14+00:00,213.75,181.57,183.59,190.0,184.58,202.21,182.42,L5
1986-12-31 09:19:14+00:00,214.17,186.95,192.86,200.03,192.82,199.18,184.8,L5
1987-01-07 09:25:13+00:00,206.18,182.79,184.77,187.79,181.85,203.06,180.72,L5
1987-01-16 09:19:41+00:00,213.46,191.05,197.47,197.66,197.45,220.04,188.79,L5
1987-03-21 09:21:38+00:00,213.64,187.14,196.19,202.22,199.33,214.9,197.58,L5
1987-04-06 09:22:12+00:00,214.78,185.36,195.15,190.75,184.96,203.48,188.86,L5
1987-04-29 09:29:06+00:00,212.92,184.92,188.34,191.69,191.7,198.27,190.58,L5
1987-05-08 09:23:35+00:00,213.19,186.01,192.24,192.27,192.68,208.36,197.58,L5
1987-05-15 09:29:33+00:00,205.81,184.07,185.03,188.77,178.06,200.66,185.12,L5
1987-06-09 09:23:59+00:00,197.99,177.83,188.22,182.94,182.3,197.58,182.9,L5
1987-06-25 09:24:20+00:00,216.19,190.05,197.29,199.92,191.97,214.03,187.74,L5
1987-07-11 09:24:39+00:00,213.46,187.01,196.57,193.76,189.06,203.36,191.11,L5
1987-07-18 09:30:57+00:00,198.34,174.8,182.8,182.11,177.67,189.64,180.11,L5
1987-07-27 09:25:25+00:00,212.88,183.78,192.2,196.4,193.21,202.78,190.07,L5
1987-08-03 09:31:25+00:00,202.49,181.25,186.62,192.43,187.75,196.84,186.01,L5
1987-08-12 09:25:31+00:00,212.79,189.1,194.05,189.33,184.53,209.46,191.61,L5
1987-08-19 09:31:54+00:00,204.97,178.78,187.46,190.24,183.86,206.46,184.36,L5
1987-08-28 09:26:22+00:00,198.15,180.26,184.14,186.83,189.53,202.41,193.8,L5
1987-09-04 09:32:19+00:00,217.53,183.8,190.51,186.95,180.48,190.35,188.86,L5
1987-09-13 09:26:45+00:00,212.5,180.09,193.26,190.9,186.64,210.02,189.5,L5
1987-09-20 09:32:42+00:00,212.76,181.61,189.04,188.32,184.43,199.4,185.18,L5
1987-11-16 09:28:03+00:00,200.17,178.6,188.25,190.75,186.59,200.44,183.76,L5
1987-12-02 09:28:18+00:00,224.84,196.69,203.96,205.01,196.52,218.09,196.7,L5
1988-01-10 09:34:42+00:00,182.93,168.8,179.01,167.9,174.53,196.21,173.67,L5
1988-01-19 09:28:41+00:00,189.64,169.1,170.23,178.49,163.3,191.9,168.76,L5
1988-02-11 09:35:17+00:00,205.54,182.6,196.31,184.59,183.53,196.99,181.5,L5
1988-02-20 09:29:14+00:00,210.21,182.21,183.57,183.63,184.11,202.61,180.99,L5
1988-03-14 09:35:39+00:00,219.46,191.73,195.3,201.89,189.99,207.78,194.99,L5
1988-05-01 09:35:57+00:00,211.46,183.13,187.97,189.99,186.03,212.27,187.63,L5
1988-05-17 09:36:08+00:00,214.28,177.28,181.92,184.59,181.15,195.93,188.74,L5
1988-06-02 09:36:14+00:00,199.81,180.23,184.29,187.21,185.55,202.27,182.2,L5
1988-06-11 09:30:29+00:00,213.11,187.6,193.08,194.88,185.62,210.09,192.7,L5
1988-06-18 09:36:19+00:00,195.16,172.11,178.75,178.37,177.3,191.99,176.92,L5
1988-07-04 09:36:24+00:00,213.56,178.87,189.09,189.56,181.39,193.92,182.0,L5
1988-07-13 09:30:39+00:00,202.99,179.71,196.75,200.4,193.75,213.58,192.34,L5
1988-07-20 09:36:27+00:00,185.66,170.71,179.74,176.08,169.91,180.22,170.73,L5
1988-07-29 09:30:42+00:00,202.44,175.37,183.83,185.46,175.44,194.51,169.21,L5
1988-08-05 09:36:28+00:00,211.9,183.76,188.82,188.15,184.23,195.51,185.61,L5
1988-08-14 09:30:40+00:00,204.38,181.41,188.68,186.55,184.72,208.34,187.12,L5
1988-08-21 09:36:29+00:00,216.96,191.01,195.95,193.12,185.09,201.02,193.01,L5
1988-09-06 09:36:31+00:00,218.42,188.86,179.08,188.99,181.6,197.04,183.01,L5
1988-09-22 09:36:26+00:00,196.9,176.22,183.07,188.48,183.63,196.46,176.37,L5
1988-10-01 09:30:34+00:00,206.74,183.98,191.09,188.68,182.84,203.22,186.19,L5
1988-10-08 09:36:21+00:00,215.28,189.25,195.1,195.84,190.69,202.52,194.66,L5
1988-11-02 09:30:34+00:00,205.77,183.91,191.49,190.61,184.11,206.4,182.74,L5
