dates,nzd0062-0000,nzd0062-0001,nzd0062-0002,nzd0062-0003,nzd0062-0004,nzd0062-0005,nzd0062-0006,nzd0062-0007,nzd0062-0008,nzd0062-0009,nzd0062-0010,nzd0062-0011,nzd0062-0012,nzd0062-0013,nzd0062-0014,nzd0062-0015,nzd0062-0016,nzd0062-0017,nzd0062-0018,nzd0062-0019,nzd0062-0020,nzd0062-0021,nzd0062-0022,nzd0062-0023,nzd0062-0024,nzd0062-0025,nzd0062-0026,nzd0062-0027,nzd0062-0028,nzd0062-0029,nzd0062-0030,nzd0062-0031,nzd0062-0032,nzd0062-0033,nzd0062-0034,nzd0062-0035,nzd0062-0036,nzd0062-0037,nzd0062-0038,nzd0062-0039,nzd0062-0040,nzd0062-0041,nzd0062-0042,nzd0062-0043,nzd0062-0044,nzd0062-0045,nzd0062-0046,nzd0062-0047,nzd0062-0048,nzd0062-0049,nzd0062-0050,nzd0062-0051,nzd0062-0052,nzd0062-0053,nzd0062-0054,nzd0062-0055,nzd0062-0056,nzd0062-0057,nzd0062-0058,nzd0062-0059,nzd0062-0060,nzd0062-0061,nzd0062-0062,nzd0062-0063,nzd0062-0064,nzd0062-0065,nzd0062-0066,nzd0062-0067,nzd0062-0068,nzd0062-0069,nzd0062-0070,nzd0062-0071,satname
1999-10-04 22:10:38+00:00,374.60,369.59,391.65,407.98,418.20,398.95,389.75,383.04,381.10,364.64,,371.45,363.39,367.80,362.11,356.64,363.23,366.24,371.42,388.47,406.78,,388.21,382.28,378.30,379.90,386.30,391.06,394.79,402.34,387.62,388.18,399.78,403.12,411.91,417.87,411.22,405.57,407.89,405.14,399.05,401.23,403.06,394.64,387.72,384.88,408.10,406.43,402.34,388.46,386.75,355.45,370.99,370.30,365.39,357.35,350.48,348.46,360.73,348.33,365.71,368.20,,,372.50,377.01,362.83,360.02,368.12,,384.19,,L7
2000-08-03 22:08:44+00:00,382.21,376.91,382.00,383.57,379.30,399.65,405.92,397.78,393.37,380.36,374.34,369.83,,,,,,,,,,,,390.60,399.34,402.50,397.70,394.44,383.75,380.28,386.53,394.81,392.77,396.06,407.65,409.21,417.52,414.73,402.91,401.86,413.22,419.96,423.41,416.13,411.40,392.24,378.15,371.89,375.63,364.54,376.67,359.67,365.95,368.23,372.69,379.53,388.47,370.23,374.36,358.68,369.03,374.46,370.89,367.49,338.33,363.53,362.87,,363.57,362.05,379.69,,L7
2000-08-19 22:08:38+00:00,376.91,370.59,377.25,383.57,374.03,390.83,392.01,384.63,379.72,369.93,362.07,371.53,,367.88,367.08,368.69,,,,,,,,390.60,399.34,402.50,389.52,387.47,379.19,373.65,376.44,386.44,379.46,390.34,400.06,397.58,409.85,406.29,392.72,394.40,410.12,416.20,417.24,411.26,406.31,384.44,370.54,360.95,365.19,358.28,368.25,350.50,359.57,367.36,366.59,374.90,382.94,365.48,368.58,353.41,363.13,367.71,367.29,370.43,340.21,360.03,359.36,351.61,354.62,355.30,374.04,322.76,L7
2000-09-20 22:08:03+00:00,379.09,374.67,383.67,381.87,376.19,384.85,381.75,378.03,374.70,365.74,362.07,370.89,,362.60,362.86,362.13,351.69,346.61,353.73,366.84,366.80,361.70,368.33,381.77,387.93,389.87,385.35,381.04,373.92,369.13,372.71,383.95,381.08,390.95,394.97,393.00,404.83,402.05,386.34,395.28,409.07,411.51,408.97,402.97,399.32,384.39,373.63,362.03,364.99,359.37,372.61,345.82,360.79,367.00,366.13,374.83,380.20,362.10,367.46,352.22,359.94,366.97,365.36,367.93,340.21,360.85,359.03,348.50,350.25,354.07,374.72,315.23,L7
2000-11-07 22:07:53+00:00,382.28,377.48,386.67,384.30,376.19,385.52,381.49,378.71,377.70,372.03,367.61,373.81,,364.23,363.30,366.16,367.65,370.08,374.43,380.32,375.11,369.72,370.99,378.67,383.98,388.73,385.90,383.25,377.58,374.17,374.46,385.07,385.81,394.76,399.43,397.25,406.21,401.87,391.71,395.86,408.76,406.68,404.16,401.62,401.37,388.95,379.28,368.04,369.65,365.50,376.86,345.82,364.84,369.89,367.27,373.60,378.25,363.01,367.41,353.18,361.88,370.19,371.71,365.69,356.01,363.66,360.56,351.84,352.76,357.88,379.23,323.96,L7
2001-05-18 22:07:26+00:00,419.69,415.23,418.20,417.03,,412.33,398.04,398.12,403.02,392.01,405.97,393.20,382.25,382.60,386.79,387.68,379.66,378.50,379.08,383.44,394.35,404.95,402.30,399.87,382.63,370.83,371.76,387.84,403.74,407.03,387.75,395.20,392.84,398.21,417.58,422.37,418.30,413.70,412.44,422.04,435.92,434.47,427.82,411.40,400.98,398.51,374.80,389.67,399.54,390.68,402.47,,396.65,394.09,381.74,388.83,388.76,375.45,390.90,359.35,375.21,375.67,374.82,397.43,370.21,392.20,391.28,,382.62,384.88,399.58,368.79,L7
2001-12-12 22:06:14+00:00,399.22,404.60,408.21,,363.90,390.38,384.22,382.91,,375.91,375.24,375.94,373.69,364.86,369.18,350.78,342.57,351.00,355.80,355.81,352.76,,,376.20,389.54,390.56,388.12,387.49,379.97,383.13,380.02,379.40,375.61,376.34,,,408.76,400.73,391.49,399.45,416.99,412.27,411.51,405.06,397.37,376.76,360.56,362.59,365.02,359.63,373.49,353.52,369.11,372.16,361.85,355.48,356.76,355.89,364.85,356.11,364.46,374.98,377.62,386.08,356.33,356.92,361.75,354.87,352.41,359.76,375.42,344.28,L7
2002-03-02 22:06:33+00:00,407.85,416.71,419.87,424.11,386.71,395.72,391.93,389.34,402.01,394.07,390.14,387.62,384.97,379.14,387.12,373.28,369.09,369.34,365.89,368.03,367.97,395.75,393.40,383.60,393.16,396.00,402.03,399.00,392.62,391.38,393.00,390.33,387.14,393.17,417.71,423.27,420.37,415.23,406.11,411.79,424.55,421.49,417.30,415.25,408.42,387.07,374.01,379.49,379.94,372.31,379.06,362.72,375.04,375.90,368.21,368.86,368.45,364.29,371.81,361.12,370.42,380.37,384.14,393.35,366.68,366.30,369.09,366.35,361.28,365.33,382.49,362.76,L7
2002-03-18 22:06:22+00:00,410.37,417.76,422.36,424.11,394.25,398.07,391.38,386.91,402.01,394.07,391.23,391.16,388.16,382.26,390.40,373.93,374.37,368.20,364.80,369.60,371.28,385.15,385.38,384.75,391.61,396.61,402.58,398.63,392.39,393.75,393.05,391.14,390.72,396.09,413.79,418.79,420.93,417.36,409.05,415.30,427.07,423.38,419.23,414.90,408.15,386.40,372.03,381.74,381.19,373.13,379.92,361.62,374.64,375.34,369.79,371.38,371.61,364.54,373.85,361.48,370.99,381.75,385.94,394.31,368.30,366.41,369.76,364.34,360.40,366.72,385.00,363.30,L7
2002-05-21 22:06:17+00:00,405.72,410.98,414.50,424.11,392.19,393.89,388.76,384.25,393.15,394.07,383.98,386.45,385.02,377.87,381.00,373.68,378.03,371.04,365.79,369.34,372.02,380.75,383.56,387.42,391.42,393.97,398.91,393.56,386.35,389.36,388.73,390.10,393.69,398.28,411.19,414.76,414.67,411.64,403.45,411.50,422.18,416.72,412.54,407.12,402.81,385.89,363.32,382.10,380.90,371.65,379.17,357.59,372.26,372.46,368.45,373.17,375.91,361.83,372.76,356.39,370.88,376.49,381.09,385.96,367.01,368.46,367.06,364.34,365.70,362.17,380.85,355.48,L7
2002-11-13 22:05:30+00:00,391.77,390.64,388.75,,390.71,377.52,371.15,361.48,384.30,,361.36,370.63,375.59,361.44,350.44,362.11,371.25,368.99,362.92,369.39,375.49,370.75,377.50,395.44,390.84,381.06,381.88,375.14,368.26,377.52,370.98,376.69,383.29,392.31,388.38,396.81,394.37,392.25,369.44,391.86,403.37,402.11,398.07,386.65,385.14,384.46,357.16,389.76,377.14,365.37,377.00,345.51,365.10,358.33,361.02,368.84,377.02,358.02,374.88,351.45,375.39,365.74,371.12,362.21,359.34,361.16,357.81,364.33,375.92,359.94,378.78,332.02,L7
2003-01-16 22:06:02+00:00,404.47,410.12,404.46,426.74,407.89,393.32,386.21,377.94,401.43,404.61,386.37,388.50,407.89,359.56,363.25,362.26,361.48,368.73,377.71,390.24,394.62,382.29,377.97,383.05,387.09,387.25,392.69,371.97,368.32,398.03,366.20,378.00,382.20,392.25,390.69,401.07,410.78,411.70,352.23,412.65,423.29,423.70,421.65,413.25,404.40,393.43,385.31,401.61,384.89,373.01,374.05,357.03,363.17,363.12,371.12,376.75,382.04,376.93,385.84,370.31,389.34,380.85,383.45,384.76,364.94,356.66,366.15,370.48,381.14,377.87,395.77,381.16,L7
2003-04-22 22:06:19+00:00,398.30,404.24,400.23,393.18,398.21,389.40,384.93,382.48,404.04,403.25,383.35,383.99,390.01,363.66,363.25,374.29,368.69,371.28,378.39,388.87,395.31,387.97,388.59,391.15,387.97,380.41,383.56,375.33,371.82,392.00,364.07,388.41,394.92,400.71,395.16,397.21,406.01,408.98,368.00,409.57,418.26,419.34,420.34,413.10,400.17,391.07,383.51,391.32,379.89,369.20,370.41,351.15,356.46,361.02,369.02,370.76,370.36,363.72,376.49,360.84,377.25,371.79,377.90,379.35,366.61,365.24,366.51,365.99,371.95,366.12,388.76,376.90,L7
2003-05-08 22:06:20+00:00,396.27,401.27,397.58,387.27,396.81,388.24,383.61,381.27,396.99,387.35,381.12,382.98,384.94,366.65,359.36,376.31,372.48,372.10,380.19,388.83,394.58,387.08,385.61,387.23,385.70,379.38,380.33,374.08,371.75,390.53,370.50,389.63,396.33,401.21,399.42,398.59,405.42,408.28,367.66,409.57,417.23,417.59,417.48,408.77,397.51,388.49,377.56,387.51,377.40,369.11,372.94,352.30,360.30,361.54,369.12,373.25,372.96,366.91,379.61,360.38,373.45,372.95,378.91,376.74,365.40,365.14,367.03,365.99,369.57,362.70,386.59,376.90,L7
2003-05-24 22:06:17+00:00,396.27,401.27,401.25,387.27,397.28,393.08,391.01,392.80,396.99,387.35,388.00,387.66,384.94,369.48,365.00,384.66,378.81,372.70,387.89,395.03,400.53,392.93,389.13,387.23,385.70,380.49,381.82,375.14,373.46,394.43,372.64,397.38,406.88,409.91,411.14,406.28,409.14,413.93,387.53,421.61,420.32,417.75,419.93,413.56,401.85,390.69,375.06,379.44,375.68,369.05,372.58,355.25,361.83,364.33,372.49,377.96,375.53,371.22,381.67,359.81,370.94,374.87,381.24,381.15,369.36,374.31,375.18,366.82,370.22,358.84,384.02,375.80,L7
2003-11-16 22:06:11+00:00,,,,,408.10,394.28,378.43,371.17,361.43,349.32,352.53,354.86,350.03,360.11,347.76,388.33,375.25,361.95,,,,,378.72,385.09,380.57,377.76,385.17,380.80,383.75,381.86,356.34,381.57,393.87,402.03,408.54,409.26,409.15,412.61,411.84,419.72,411.56,397.10,401.76,397.85,393.06,389.58,368.14,374.05,370.25,365.23,382.36,361.80,372.72,369.66,369.56,362.67,,379.54,388.47,359.48,368.94,378.12,384.93,368.65,381.36,377.42,376.95,358.32,367.11,353.94,381.15,370.70,L7
2004-04-16 21:57:19+00:00,378.61,382.06,385.38,402.49,400.08,389.82,380.00,375.56,371.24,366.15,366.34,360.00,351.94,356.55,347.09,376.70,373.54,369.83,383.10,386.41,388.33,383.14,378.98,386.37,384.07,386.26,394.61,390.37,385.90,385.21,366.61,383.36,383.91,393.13,401.91,405.62,415.72,411.63,392.66,412.54,407.98,392.90,395.75,395.37,391.26,383.35,364.85,372.87,363.99,360.86,380.28,358.56,375.50,380.29,376.50,374.69,384.57,373.03,377.77,370.32,369.17,376.84,382.16,380.14,374.31,360.12,359.94,355.97,361.00,354.88,383.72,367.82,L5
2004-05-18 21:58:14+00:00,387.80,389.07,391.26,405.48,397.40,394.73,394.79,394.00,392.72,389.72,389.45,378.73,365.87,369.47,363.18,375.25,380.82,382.94,385.13,386.18,386.36,382.14,381.95,392.40,397.41,404.94,410.88,406.14,397.42,396.72,393.81,396.92,398.02,402.30,405.76,411.76,421.73,415.50,401.35,417.64,412.45,403.67,409.72,403.74,397.24,380.90,360.54,361.68,354.83,354.58,371.46,357.61,371.99,385.28,385.01,386.71,384.57,373.03,377.77,370.32,370.67,375.88,379.45,391.63,357.25,349.79,355.25,353.61,360.65,357.79,384.05,,L5
2004-05-26 22:06:45+00:00,387.80,390.80,390.96,406.65,398.25,396.77,395.74,399.70,401.13,397.24,386.92,383.29,365.87,369.22,363.18,375.25,380.82,382.94,385.13,386.99,388.65,385.62,389.38,395.55,401.14,406.42,409.73,407.45,401.05,398.84,399.48,406.10,407.60,405.18,404.88,411.76,421.73,413.27,399.58,415.70,409.87,402.80,407.97,397.32,391.21,378.58,368.75,374.10,364.64,362.19,373.78,361.84,378.75,389.50,385.01,386.71,384.57,376.08,378.88,368.06,371.58,376.11,381.15,391.63,358.06,351.24,363.44,353.61,360.65,358.63,381.93,,L7
2004-06-03 21:58:42+00:00,384.74,387.71,381.89,403.36,396.15,390.19,390.04,392.71,401.13,397.24,380.94,373.62,355.65,369.22,363.18,375.25,380.82,382.94,385.13,386.99,388.65,385.62,389.38,399.31,401.01,406.57,409.73,407.45,401.05,398.84,399.48,406.10,407.60,405.18,404.88,411.76,421.73,413.27,399.58,415.70,409.87,402.80,407.97,397.32,391.21,378.58,368.75,374.10,364.64,362.19,373.78,361.84,378.75,389.50,385.01,386.71,384.57,376.08,378.88,368.06,371.58,376.11,381.15,391.63,358.06,351.24,363.44,353.61,360.65,358.63,381.93,,L5
