dates,nzd0062-0000,nzd0062-0001,nzd0062-0002,nzd0062-0003,nzd0062-0004,nzd0062-0005,nzd0062-0006,nzd0062-0007,nzd0062-0008,nzd0062-0009,nzd0062-0010,nzd0062-0011,nzd0062-0012,nzd0062-0013,nzd0062-0014,nzd0062-0015,nzd0062-0016,nzd0062-0017,nzd0062-0018,nzd0062-0019,nzd0062-0020,nzd0062-0021,nzd0062-0022,nzd0062-0023,nzd0062-0024,nzd0062-0025,nzd0062-0026,nzd0062-0027,nzd0062-0028,nzd0062-0029,nzd0062-0030,nzd0062-0031,nzd0062-0032,nzd0062-0033,nzd0062-0034,nzd0062-0035,nzd0062-0036,nzd0062-0037,nzd0062-0038,nzd0062-0039,nzd0062-0040,nzd0062-0041,nzd0062-0042,nzd0062-0043,nzd0062-0044,nzd0062-0045,nzd0062-0046,nzd0062-0047,nzd0062-0048,nzd0062-0049,nzd0062-0050,nzd0062-0051,nzd0062-0052,nzd0062-0053,nzd0062-0054,nzd0062-0055,nzd0062-0056,nzd0062-0057,nzd0062-0058,nzd0062-0059,nzd0062-0060,nzd0062-0061,nzd0062-0062,nzd0062-0063,nzd0062-0064,nzd0062-0065,nzd0062-0066,nzd0062-0067,nzd0062-0068,nzd0062-0069,nzd0062-0070,nzd0062-0071,satname
1999-10-04 22:10:38+00:00,374.60,369.59,391.65,407.98,418.20,398.95,389.75,383.04,381.10,364.64,,371.45,363.39,367.80,362.11,356.64,363.23,366.24,371.42,388.47,406.78,,388.21,382.28,378.30,379.90,386.30,391.06,394.79,402.34,387.62,388.18,399.78,403.12,411.91,417.87,411.22,405.57,407.89,405.14,399.05,401.23,403.06,394.64,387.72,384.88,408.10,406.43,402.34,388.46,386.75,355.45,370.99,370.30,365.39,357.35,350.48,348.46,360.73,348.33,365.71,368.20,,,372.50,377.01,362.83,360.02,368.12,,384.19,,L7
2000-08-03 22:08:44+00:00,382.21,376.91,382.00,383.57,379.30,399.65,405.92,397.78,393.37,380.36,374.34,369.83,,,,,,,,,,,,390.60,399.34,402.50,397.70,394.44,383.75,380.28,386.53,394.81,392.77,396.06,407.65,409.21,417.52,414.73,402.91,401.86,413.22,419.96,423.41,416.13,411.40,392.24,378.15,371.89,375.63,364.54,376.67,359.67,365.95,368.23,372.69,379.53,388.47,370.23,374.36,358.68,369.03,374.46,370.89,367.49,338.33,363.53,362.87,,363.57,362.05,379.69,,L7
2000-08-19 22:08:38+00:00,371.61,364.26,372.50,,368.76,382.02,378.11,371.48,366.07,359.50,349.80,373.24,,367.88,367.08,368.69,,,,,,,,,,,381.35,380.50,374.62,367.02,366.36,378.07,366.15,384.62,392.48,385.96,402.17,397.85,382.52,386.95,407.02,412.45,411.06,406.39,401.23,376.64,362.94,350.01,354.74,352.02,359.82,341.34,353.19,366.49,360.49,370.28,377.41,360.73,362.79,348.14,357.24,360.96,363.69,373.37,342.09,356.53,355.85,351.61,345.67,348.54,368.40,322.76,L7
2000-09-20 22:08:03+00:00,383.44,382.83,396.51,380.17,380.51,372.87,361.23,364.83,364.67,357.37,,369.59,,357.32,358.64,355.57,351.69,346.61,353.73,366.84,366.80,361.70,368.33,372.94,376.53,377.23,377.01,368.19,363.38,360.09,365.24,378.97,384.31,392.17,384.78,383.83,394.80,393.56,373.59,397.03,406.98,402.12,392.43,386.39,385.32,384.28,379.81,364.19,364.59,361.55,381.34,336.46,363.23,366.27,365.21,374.67,374.73,355.33,365.23,349.85,353.54,365.49,361.51,362.93,,362.50,358.36,345.38,341.51,351.61,376.06,307.70,L7
2000-11-07 22:07:53+00:00,391.86,385.90,395.66,389.15,,387.53,380.68,380.75,386.70,390.90,378.70,382.60,,367.49,364.18,374.23,383.62,393.54,395.12,393.81,383.41,377.73,373.64,372.48,376.08,386.46,387.54,389.88,388.57,389.29,379.72,388.42,400.00,406.21,412.82,409.98,410.34,401.35,407.83,397.61,407.83,392.19,389.72,397.55,407.54,402.66,396.23,386.09,383.66,383.88,389.61,,376.98,378.59,370.70,369.92,372.41,365.74,367.26,356.04,367.71,379.83,390.75,358.99,387.62,372.08,365.14,358.54,360.28,369.32,392.78,341.42,L7
2001-05-18 22:07:26+00:00,419.69,415.23,418.20,417.03,,412.33,398.04,398.12,403.02,392.01,405.97,393.20,382.25,382.60,386.79,387.68,379.66,378.50,379.08,383.44,394.35,404.95,402.30,399.87,382.63,370.83,371.76,387.84,403.74,407.03,387.75,395.20,392.84,398.21,417.58,422.37,418.30,413.70,412.44,422.04,435.92,434.47,427.82,411.40,400.98,398.51,374.80,389.67,399.54,390.68,402.47,,396.65,394.09,381.74,388.83,388.76,375.45,390.90,359.35,375.21,375.67,374.82,397.43,370.21,392.20,391.28,,382.62,384.88,399.58,368.79,L7
2001-12-12 22:06:14+00:00,399.22,404.60,408.21,,363.90,390.38,384.22,382.91,,375.91,375.24,375.94,373.69,364.86,369.18,350.78,342.57,351.00,355.80,355.81,352.76,,,376.20,389.54,390.56,388.12,387.49,379.97,383.13,380.02,379.40,375.61,376.34,,,408.76,400.73,391.49,399.45,416.99,412.27,411.51,405.06,397.37,376.76,360.56,362.59,365.02,359.63,373.49,353.52,369.11,372.16,361.85,355.48,356.76,355.89,364.85,356.11,364.46,374.98,377.62,386.08,356.33,356.92,361.75,354.87,352.41,359.76,375.42,344.28,L7
2002-03-02 22:06:33+00:00,416.48,428.82,431.52,424.11,409.52,401.06,399.64,395.77,402.01,412.22,405.04,399.29,396.25,393.42,405.06,395.79,395.61,387.68,375.98,380.26,383.18,395.75,393.40,391.00,396.78,401.45,415.95,410.50,405.26,399.64,405.99,401.26,398.68,410.00,417.71,423.27,431.97,429.73,420.72,424.13,432.11,430.71,423.09,425.43,419.47,397.39,387.46,396.38,394.85,384.99,384.62,371.92,380.97,379.64,374.57,382.23,380.15,372.69,378.77,366.13,376.38,385.75,390.67,400.62,377.03,375.67,376.43,377.82,370.15,370.90,389.56,381.25,L7
2002-03-18 22:06:22+00:00,415.41,419.87,427.34,,409.32,402.78,390.29,382.05,,,393.41,398.26,394.54,388.49,396.96,375.22,384.93,365.91,362.63,372.73,377.90,374.56,377.35,387.04,388.52,397.82,403.66,397.91,391.94,398.47,393.15,392.76,397.86,401.93,409.87,414.31,422.07,421.62,414.95,422.31,432.11,427.15,423.08,414.21,407.60,385.06,368.08,386.25,383.69,374.78,381.64,359.42,373.85,374.21,372.96,376.43,377.93,365.04,377.92,362.21,372.13,384.52,389.52,396.23,371.54,366.64,371.11,360.33,358.65,369.51,390.02,364.38,L7
2002-05-21 22:06:17+00:00,391.77,390.64,390.95,,386.01,381.36,380.91,376.26,384.30,,362.23,372.31,375.59,364.71,352.79,372.93,389.00,379.58,368.76,368.56,374.23,371.95,379.93,395.44,390.84,386.06,387.91,378.32,368.21,376.21,375.76,386.98,402.61,404.86,406.00,406.70,395.86,394.49,386.65,400.10,407.52,396.75,392.49,383.76,386.80,384.34,337.20,383.18,380.04,367.20,376.94,345.51,365.10,363.82,364.42,378.55,388.80,353.71,369.52,341.11,370.53,360.71,366.56,360.90,363.16,374.61,358.96,,381.58,348.52,368.38,332.02,L7
2002-11-13 22:05:30+00:00,,,386.55,,395.41,373.69,361.40,346.70,,,360.48,368.95,,358.18,348.08,351.29,353.51,358.40,357.09,370.22,376.74,369.56,375.07,,,376.05,375.86,371.97,368.32,378.83,366.20,366.39,363.97,379.77,370.75,386.91,392.87,390.00,352.23,383.61,399.22,407.47,403.65,389.55,383.48,384.59,377.12,396.35,374.24,363.53,377.06,,,352.84,357.63,359.12,365.25,362.34,380.25,361.79,380.26,370.76,375.67,363.52,355.52,347.71,356.67,364.33,370.27,371.36,389.18,,L7
2003-01-16 22:06:02+00:00,404.47,410.12,422.36,426.74,420.38,412.96,411.02,409.19,401.43,404.61,412.25,408.04,407.89,360.94,378.43,373.23,369.44,379.06,398.34,410.26,412.51,395.03,380.87,383.05,387.09,398.46,409.53,,,417.24,,389.62,400.43,404.74,410.64,415.22,428.69,433.40,,441.69,447.36,439.93,439.65,436.94,425.33,402.28,393.51,406.86,395.54,382.50,371.04,357.03,363.17,373.40,384.61,394.39,398.84,391.53,391.43,378.83,398.41,390.93,391.23,406.00,374.35,365.62,375.63,376.63,392.02,384.37,402.36,381.16,L7
2003-04-22 22:06:19+00:00,392.13,398.36,391.79,359.61,378.85,381.54,382.38,391.55,406.65,401.89,377.33,374.98,372.13,371.87,,398.36,383.11,376.38,379.75,386.13,396.69,399.31,409.83,399.26,388.85,366.73,365.29,378.68,375.33,379.94,361.95,409.21,420.35,417.63,404.08,389.50,396.48,403.54,383.77,403.41,408.20,410.63,417.71,412.81,391.70,386.34,379.90,370.75,369.90,361.57,363.12,345.28,349.74,356.82,364.83,358.77,346.99,337.28,357.80,341.89,353.08,353.69,366.80,368.54,369.97,382.38,367.23,357.00,353.57,342.62,374.75,372.65,L7
2003-05-08 22:06:20+00:00,392.22,395.32,389.60,375.47,392.60,384.75,379.63,377.66,382.90,355.55,374.43,379.95,374.79,375.63,351.57,382.38,383.87,374.56,385.57,388.71,392.38,384.44,376.68,379.37,381.17,376.28,370.64,371.60,371.59,386.10,383.34,393.32,400.56,402.69,412.22,402.72,403.64,406.18,366.99,,414.15,412.32,408.92,395.80,389.52,380.76,359.69,376.10,369.91,368.82,380.53,354.58,367.98,363.09,369.39,380.72,380.77,376.51,388.97,359.03,362.06,376.41,381.93,368.91,361.76,364.85,368.60,,362.42,352.44,380.05,,L7
2003-05-24 22:06:17+00:00,,,,,,,,,,,,,,,,,,360.81,,,,,,,,,,,,,,,406.17,414.58,417.61,417.69,407.74,412.61,411.84,419.72,411.56,408.11,413.46,408.71,400.84,393.36,367.13,364.05,367.37,363.31,375.61,364.09,366.42,364.01,371.15,,,379.54,388.47,359.48,370.21,378.44,384.98,,371.36,384.39,389.26,,372.86,355.93,378.93,373.58,L7
2003-11-16 22:06:11+00:00,,,,,408.10,394.28,378.43,371.17,361.43,349.32,352.53,354.86,350.03,360.11,347.76,388.33,375.25,363.09,,,,,378.72,385.09,380.57,377.76,385.17,380.80,383.75,381.86,356.34,381.57,381.57,389.48,399.47,400.84,410.56,,,,,386.09,390.06,386.99,385.28,385.79,369.16,384.05,373.14,367.14,389.10,359.51,379.01,375.31,367.98,362.67,,,,,367.66,377.80,384.88,368.65,391.36,370.45,364.64,358.32,361.35,351.96,383.38,367.82,L7
2004-04-16 21:57:19+00:00,378.61,382.06,385.38,402.49,392.05,385.37,381.56,379.94,381.04,382.98,380.15,365.15,353.85,352.98,346.42,365.08,371.83,376.58,383.10,386.41,388.33,383.14,379.23,387.65,387.58,394.76,404.05,399.94,388.05,388.55,376.88,385.14,386.26,396.78,404.35,410.40,420.88,411.63,392.66,412.54,407.98,399.72,401.45,403.74,397.24,380.90,360.54,361.68,354.83,354.58,371.46,357.61,371.99,385.28,385.01,386.71,384.57,373.03,377.77,370.32,370.67,375.88,379.45,391.63,357.25,349.79,355.25,353.61,360.65,357.79,384.05,,L5
2004-05-18 21:58:14+00:00,396.99,396.08,397.14,408.46,402.75,404.08,408.02,408.06,404.40,396.46,398.75,392.31,377.88,385.95,379.94,385.42,389.82,389.31,387.17,385.95,384.39,381.14,384.66,397.16,407.25,415.11,417.71,412.34,406.79,404.88,410.75,408.71,409.79,407.83,407.18,413.12,422.58,419.36,410.04,422.75,416.92,407.62,417.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
2004-05-26 22:06:45+00:00,,394.27,390.36,409.00,399.95,400.86,397.65,411.09,417.95,412.29,381.85,392.40,,368.72,,,,,,388.61,393.22,392.59,404.24,401.83,408.59,409.39,407.43,410.08,408.31,403.09,410.81,424.44,426.76,410.93,403.12,,,408.81,396.04,411.80,404.70,401.07,404.48,390.90,385.17,376.26,376.97,386.52,374.45,369.79,376.11,366.07,385.52,393.71,,,,379.14,380.00,365.81,372.49,376.33,382.86,,358.86,352.68,371.64,,,359.47,379.81,,L7
2004-06-03 21:58:42+00:00,378.61,378.42,354.70,393.48,389.84,370.46,372.93,371.74,,,362.99,344.62,335.22,,,,,,,,,,,410.61,400.62,407.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L5
2004-07-29 22:06:27+00:00,,,,,,,,,,,,,,,,369.09,357.50,,,,,,,,,,,,,,,,,,382.02,385.18,393.54,391.12,368.50,384.40,385.86,378.52,373.45,374.70,374.82,366.90,352.01,373.90,354.03,342.67,,,,,,,,,,,,,,,,,,,,,,,L7
2004-08-30 22:06:20+00:00,379.96,381.07,386.57,418.51,423.40,418.33,403.98,,,389.22,394.83,366.05,371.02,384.51,381.03,395.86,378.84,380.50,385.62,,,,,,386.03,,,,399.97,393.95,402.65,390.88,398.15,396.71,395.69,398.43,416.71,416.30,407.68,418.62,414.06,399.59,400.24,407.61,,,,395.34,383.68,359.61,364.53,357.66,372.28,381.11,374.52,376.45,377.66,377.56,389.31,376.65,361.81,361.84,370.80,408.25,,,,,,354.54,,,L7
2004-10-17 22:06:14+00:00,369.69,369.73,373.98,,,,402.19,392.61,,367.36,369.32,339.98,364.76,373.75,372.64,388.87,378.09,366.28,352.17,354.38,357.13,,,,,398.62,396.14,387.24,382.60,389.94,388.05,391.52,396.69,399.04,396.92,390.72,398.95,398.63,385.84,382.93,,,,402.21,394.50,373.06,374.17,391.45,384.97,363.01,371.88,358.76,361.82,372.83,373.82,368.81,368.84,364.85,367.59,358.99,,,,,369.20,357.52,365.22,355.48,356.50,355.55,373.51,336.52,L7
