dates,satname,nzd0062-0000,nzd0062-0001,nzd0062-0002,nzd0062-0003,nzd0062-0004,nzd0062-0005,nzd0062-0006,nzd0062-0007,nzd0062-0008,nzd0062-0009,nzd0062-0010,nzd0062-0011,nzd0062-0012,nzd0062-0013,nzd0062-0014,nzd0062-0015,nzd0062-0016,nzd0062-0017,nzd0062-0018,nzd0062-0019,nzd0062-0020,nzd0062-0021,nzd0062-0022,nzd0062-0023,nzd0062-0024,nzd0062-0025,nzd0062-0026,nzd0062-0027,nzd0062-0028,nzd0062-0029,nzd0062-0030,nzd0062-0031,nzd0062-0032,nzd0062-0033,nzd0062-0034,nzd0062-0035,nzd0062-0036,nzd0062-0037,nzd0062-0038,nzd0062-0039,nzd0062-0040,nzd0062-0041,nzd0062-0042,nzd0062-0043,nzd0062-0044,nzd0062-0045,nzd0062-0046,nzd0062-0047,nzd0062-0048,nzd0062-0049,nzd0062-0050,nzd0062-0051,nzd0062-0052,nzd0062-0053,nzd0062-0054,nzd0062-0055,nzd0062-0056,nzd0062-0057,nzd0062-0058,nzd0062-0059,nzd0062-0060,nzd0062-0061,nzd0062-0062,nzd0062-0063,nzd0062-0064,nzd0062-0065,nzd0062-0066,nzd0062-0067,nzd0062-0068,nzd0062-0069,nzd0062-0070,nzd0062-0071
1999-10-04 22:10:38+00:00,L7,385.43,382.59,406.09,426.55,432.64,415.20,411.42,404.71,402.77,390.64,,390.02,385.06,389.47,383.78,375.21,379.48,380.68,385.86,400.29,418.60,413.78,400.03,395.28,394.55,398.47,404.87,409.63,413.36,418.59,413.62,409.85,416.03,416.12,424.91,432.31,429.79,424.14,426.46,423.71,417.62,417.48,421.63,416.31,409.39,399.32,422.54,418.25,413.17,399.29,397.58,364.74,380.99,378.97,373.52,369.17,362.30,357.75,370.73,356.46,375.71,376.33,,435.90,383.33,386.30,370.96,368.69,378.95,,391.41,
2000-08-03 22:08:44+00:00,L7,373.04,365.91,369.78,367.86,367.08,385.90,387.59,379.45,375.04,358.36,356.01,354.12,,,,,,,,,,,,379.60,385.59,386.79,381.99,378.73,368.04,366.53,364.53,376.48,379.02,385.06,396.65,396.99,401.81,399.02,387.20,386.15,397.51,406.21,407.70,397.80,393.07,380.02,365.93,361.89,366.46,355.37,367.50,351.81,357.49,360.90,365.81,369.53,378.47,362.37,365.90,351.80,360.57,367.59,364.02,353.74,329.16,355.67,355.99,,354.40,355.94,373.58,
2000-08-19 22:08:38+00:00,L7,364.94,356.26,363.61,,359.87,372.02,364.78,358.15,352.74,343.50,336.47,361.81,,354.55,353.75,357.26,,,,,,,,,,,369.92,369.07,363.19,357.02,350.36,364.74,356.15,376.62,384.48,377.07,390.74,386.42,371.09,375.52,395.59,402.45,399.63,393.06,387.90,367.75,354.05,342.74,348.07,345.35,353.15,335.63,347.04,361.16,355.49,363.01,370.14,355.02,356.64,343.14,351.09,355.96,358.69,363.37,335.42,350.82,350.85,346.28,339.00,344.10,363.96,312.76
2000-09-20 22:08:03+00:00,L7,394.94,396.63,411.84,399.88,395.84,390.12,384.23,387.83,387.67,384.97,,389.30,,380.32,381.64,375.28,368.94,361.94,369.06,379.39,379.35,374.25,380.88,386.74,393.78,396.94,396.72,387.90,383.09,377.34,392.84,401.97,401.56,405.97,398.58,399.16,414.51,413.27,393.30,416.74,426.69,419.37,412.14,409.39,408.32,399.61,395.14,376.74,376.09,373.05,392.84,346.32,373.85,375.47,373.84,387.22,387.28,365.19,375.85,358.47,364.16,374.11,370.14,380.18,,372.36,366.98,354.58,353.01,359.28,383.73,324.95
2000-11-07 22:07:53+00:00,L7,397.69,392.90,403.44,399.15,,396.28,392.35,392.42,398.37,404.90,390.37,392.60,,379.16,375.85,384.23,392.37,401.32,402.90,400.17,389.77,384.09,380.00,379.48,384.83,396.46,397.54,399.88,398.57,398.04,393.72,400.09,408.75,413.21,419.82,417.76,420.34,411.35,417.83,407.61,417.83,400.94,399.72,409.22,419.21,410.44,404.01,392.45,389.49,389.71,395.44,383.81,382.36,383.26,375.08,376.28,378.77,370.74,372.64,360.41,373.09,384.21,395.13,367.74,393.45,377.08,369.52,363.21,366.11,373.21,396.67,350.17
2001-05-18 22:07:26+00:00,L7,424.02,420.43,423.98,424.46,430.58,418.83,406.71,406.79,411.69,402.41,414.64,400.63,390.92,391.27,395.46,395.11,386.16,384.28,384.86,388.17,399.08,409.68,407.03,405.07,389.13,378.26,379.19,395.27,411.17,413.53,398.15,403.87,399.34,403.41,422.78,428.15,425.73,421.13,419.87,429.47,443.35,440.97,435.25,420.07,409.65,404.29,380.58,394.40,403.87,395.01,406.80,402.18,400.65,397.56,384.99,393.56,393.49,379.16,394.90,362.60,379.21,378.92,378.07,403.93,374.54,395.91,394.53,,386.95,387.77,402.47,375.29
2001-12-12 22:06:14+00:00,L7,391.22,395.00,397.54,,353.23,378.38,368.22,366.91,,356.71,359.24,362.23,357.69,348.86,353.18,337.07,330.57,340.33,345.13,347.08,344.03,341.24,342.08,366.60,377.54,376.85,374.41,373.78,366.26,371.13,360.82,363.40,363.61,366.74,366.89,370.39,395.05,387.02,377.78,385.74,403.28,400.27,397.80,389.06,381.37,366.09,349.89,353.86,357.02,351.63,365.49,346.66,361.73,365.76,355.85,346.75,348.03,349.03,357.47,350.11,357.08,368.98,371.62,374.08,348.33,350.06,355.75,348.47,344.41,354.43,370.09,332.28
2002-03-02 22:06:33+00:00,L7,404.31,414.22,415.30,403.25,393.30,382.81,375.31,371.44,377.68,383.02,380.71,378.43,371.92,369.09,380.73,374.93,377.36,371.46,359.76,366.99,369.91,382.48,380.13,376.40,378.53,380.59,395.09,389.64,384.40,381.39,376.79,376.93,380.43,395.40,403.11,407.05,411.11,408.87,399.86,403.27,411.25,412.46,402.23,401.10,395.14,381.17,371.24,383.11,382.68,372.82,372.45,361.49,369.74,369.91,365.45,368.96,366.88,362.26,367.54,357.01,365.15,376.63,381.54,382.37,364.86,365.24,367.30,368.09,357.98,362.79,381.45,363.00
2002-03-18 22:06:22+00:00,L7,407.74,410.67,417.12,,399.10,391.28,374.96,366.72,,,378.08,385.12,379.21,373.16,381.63,362.08,373.43,355.69,352.41,364.37,369.54,366.20,368.99,377.84,377.02,384.68,390.52,384.77,378.80,386.97,374.75,377.43,386.36,392.73,400.67,404.09,408.93,408.48,401.81,409.17,418.97,415.65,409.94,398.88,392.27,374.84,357.86,377.89,376.02,367.11,373.97,352.85,366.77,368.08,367.21,368.07,369.57,358.47,370.84,356.46,365.05,378.77,383.77,384.73,363.87,360.07,365.36,354.20,350.98,364.40,384.91,352.88
2002-05-21 22:06:17+00:00,L7,404.27,405.64,407.62,394.26,402.68,400.11,405.91,401.26,409.30,393.16,387.23,393.74,400.59,389.71,377.79,394.36,407.75,396.25,385.43,382.20,387.87,385.59,393.57,410.44,409.59,407.49,409.34,399.75,389.64,394.96,405.76,411.98,421.36,419.86,421.00,423.37,417.29,415.92,408.08,421.53,428.95,415.50,413.92,408.76,411.80,401.01,353.87,396.82,392.54,379.70,389.44,356.22,376.64,373.82,373.79,392.19,402.44,364.42,381.06,350.48,382.07,370.09,375.93,379.65,375.66,385.32,368.34,,394.08,356.85,376.71,350.77
