,dates,jap0169-0000,jap0169-0001,jap0169-0002,jap0169-0003,jap0169-0004,jap0169-0005,jap0169-0006,jap0169-0007,jap0169-0008,jap0169-0009,jap0169-0010,jap0169-0011,jap0169-0012,jap0169-0013,jap0169-0014,jap0169-0015,jap0169-0016,jap0169-0017,jap0169-0018,jap0169-0019,jap0169-0020,jap0169-0021,jap0169-0022,jap0169-0023,jap0169-0024,jap0169-0025,jap0169-0026,jap0169-0027,jap0169-0028,jap0169-0029,jap0169-0030,jap0169-0031,jap0169-0032,jap0169-0033,jap0169-0034,jap0169-0035,jap0169-0036,jap0169-0037,jap0169-0038,jap0169-0039,jap0169-0040,jap0169-0041,jap0169-0042,jap0169-0043,jap0169-0044,jap0169-0045,jap0169-0046
0,1984-06-06 00:37:47+00:00,192.94029917763942,198.37292977766424,202.65154241187744,210.36191083966986,213.4779420946751,224.16377826788832,226.8011523891023,226.87929625092653,228.14507028980842,226.53497110777792,230.218288142549,226.69962827549534,222.58248409067875,226.79441032595332,211.14435224099265,208.09047366205922,199.69365556385216,172.41182368123754,165.70156968366194,177.61539259050033,169.8073795205777,159.9723173412531,163.62120823800137,165.97052982140627,165.23330505629124,163.7799124824485,166.90736085594426,168.16789101141455,168.49309718970704,166.193054070269,164.03322029031096,159.71349772250412,151.73895755544893,144.1459200000111,141.05899978225557,137.61561125630766,145.18793889794173,142.9266489961729,149.11204710131602,148.43716433499011,145.69413740679352,143.37799526223415,147.349050179543,146.2452764902628,144.63832221227426,131.67105079701372,125.33808682024225
1,1984-07-15 00:44:31+00:00,188.50279228671397,197.05470745724833,207.73040480818474,214.55991781604126,221.20868460100127,222.48436412659237,223.28132277063543,223.30688564261123,223.93784878674083,221.1332157024288,224.67014335865667,220.83109133837627,210.9485599466859,207.06191677522148,203.15983604612535,207.3893400210955,192.15979649815057,176.46063954959223,172.6366539549871,170.0933039166278,165.22431277247256,154.38904547568194,159.26017107647596,165.5886357793549,158.6170889346821,160.7255294102871,159.25479639052725,161.84667179446797,165.02169543123273,165.9540757180888,165.70928162911233,159.67999860663087,156.89316129416423,157.0179206301412,152.42983938259346,143.51366562363327,137.65696169448387,138.21811394106746,140.3337261297375,133.88232583486337,134.1127022389819,130.17257368165707,134.70345672460428,132.51823587069805,131.19045740535216,121.83098221886988,127.08355094999723
2,1984-07-31 00:45:05+00:00,176.86180956454672,186.7435826209615,197.0770984957866,202.32989803831092,207.43968880308165,216.46330481376762,219.2549675553651,218.18808044964186,217.75833924783797,216.39076656457877,214.14954880916173,213.72035255950306,202.26181940927603,202.51210705596202,195.17626914604568,197.14152044193312,182.63854358658438,,163.99097314040762,160.4820511622484,162.49597838456106,152.12698375082022,156.0531044501688,154.50671225449776,155.96792120371776,157.81098102875188,157.76975893384616,156.8712579767781,153.14048255291277,156.57462672802097,158.5594539152072,156.7199343531944,145.50853350731566,136.52733091025374,137.80759433956575,140.5198467970733,136.88035828746067,137.6320002971523,137.5490912929156,139.18889429129126,135.15151541115517,133.53675861821384,126.1363484266642,126.04764067741006,125.693360511385,124.05062390700587,119.80200434021873
3,1984-08-09 00:39:12+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1984-08-16 00:45:37+00:00,191.25437151642814,202.03081888148853,204.69796033545992,215.69812295221885,223.5007067140157,233.29703587233956,236.1599700436027,237.84026533607803,232.06680521930292,233.03975912876305,229.27957027203632,225.82697811310317,223.78885502728178,214.15719129372303,206.84087096256752,202.00463907863684,195.05336312947716,169.89007406446498,180.5672623993578,174.80549934232107,173.36628016566806,176.4883249119345,178.52295180909772,172.34045720487285,174.69411694736306,175.22877007890742,175.71761233402378,174.6023408169371,172.41355427427732,171.2059576236683,170.64132991997556,170.12258764656872,161.35893097872344,159.90927120761071,155.33700418114879,151.74386075819515,152.34607286544218,150.73773559818193,149.6697675478976,146.18308042240113,146.77643982574745,145.47741449332392,146.24140980338632,144.10913898214932,139.38426126782377,140.9084560655606,135.4765773034879
5,1984-11-04 00:45:46+00:00,192.74321996328936,193.45529938598588,205.46623447483972,215.39990130667377,220.22289105341315,229.43359703460158,257.0139889303517,,,,,,,,,,,,,,,,,180.35025325973544,167.51865279569057,164.46714999423253,,,,,,,,,,,,,,,,,,,145.01540308644246,132.83405492924916,
6,1985-01-07 00:46:06+00:00,196.1364074702162,204.40596660292962,213.80451500373903,221.35746057016124,232.5466779704219,243.96072312703976,240.85197550762146,234.1247862884252,230.23303909010207,235.04486831672233,233.97786283965712,234.4206512613325,223.26909492587433,214.23906988508583,209.46867091413236,203.6932369261326,192.8162259539996,194.2919089393402,197.40919695019141,195.12101438703712,196.0168690372352,184.00552410986984,175.9145152645647,173.4234319044611,172.34332119796824,179.48379281482238,173.10065437420982,170.5219241119838,166.95354647569116,163.26407306978064,166.1589695322828,161.98417601482242,160.89841149070622,156.49395379913602,152.07832923210867,151.28575935249836,154.46645451698544,147.31882278194666,147.83990894387222,149.6281618836121,145.90413318345367,140.89762701623027,142.32155977590432,141.51558977777444,138.0195294001024,130.17234221128768,125.82932021926527
7,1985-01-16 00:39:59+00:00,188.1063439901993,196.78838324029596,205.0827830453237,212.77448901549775,224.56268625416908,224.51679346988874,222.94990405404525,219.529451146181,217.10593842757382,216.77390177254028,219.45115656880938,213.91007085380494,213.19598089898795,212.68846360532436,201.38946223155494,199.70678215225456,182.46547811545923,185.9513845711945,189.02432908215383,183.76489225959625,182.47008929840962,166.23379006292927,158.61378504572826,159.3937400939817,161.65722486680068,162.8156716742589,159.39296413484118,164.1531227022182,162.98463436353796,164.9384528421371,163.8015959631071,156.51701210809287,157.10365388731788,154.93819378333845,151.31365271924375,147.2563279350588,141.14585662259873,138.48060127595153,132.2118716587877,136.94417527778333,134.05347149025204,128.5409266380075,131.2471238455242,136.97980816464133,134.56032808547408,128.36200882902298,118.92500217501615
8,1985-04-06 00:39:59+00:00,185.3658488116446,197.13954301255308,203.9684894636843,210.29779891887094,226.13086028692277,230.1350245484707,231.74443610607855,230.83955586294547,229.4952167989092,229.0168020253929,229.62003405313047,220.99653538522728,208.9112847360206,206.7198789420769,209.80293450924154,199.28228155755738,193.61680977953347,189.27398565612805,183.63908409889115,185.95872411556758,185.3888663771176,172.7413016482452,180.70784748101,187.10665843411044,188.85777753561217,185.28553946039244,182.58913884232427,169.12901986983294,172.05064107317844,169.65324679374507,166.78704802111235,160.8999463231141,165.15215967405885,159.8246186070667,162.1783089044937,157.81495011893833,158.7980178043032,159.1091067282699,164.15773238002862,156.53564252664052,155.1863961744029,154.47629040281512,147.2974548652279,141.40988958025815,137.7109517406122,136.7515226624362,130.03927847924004
9,1985-07-27 00:39:29+00:00,200.72340756805653,207.13536881980664,212.06223661780768,222.6063131559627,234.39564002184312,245.4760073809554,251.7552245001104,244.75136344890313,238.4988697000211,238.89073097921437,238.16032239051424,236.55849771537788,237.44296989067124,225.09235164594,216.68317049358956,210.47036757659072,204.1289595363535,194.5657558321276,201.95458613793738,202.84444603198165,201.30991998036248,205.993993069245,206.95189917782838,203.21854986822052,196.54122308267193,197.3243915486555,194.9858257940455,194.05099333217325,193.70929267100553,186.707655933335,182.24157901340533,175.29176368671,171.68728944369073,169.89262664008308,170.5874022783305,165.81269886178993,172.86114290732172,170.94416893259208,167.34125205283368,163.08975293809743,160.99051584735184,161.62778973801736,156.32885769202014,152.74705857861372,138.64560421733816,136.19440994945586,142.29529002706894
