,dates,chi0436-0000,chi0436-0001,chi0436-0002,chi0436-0003,chi0436-0004,chi0436-0005,chi0436-0006,chi0436-0007,chi0436-0008,chi0436-0009,chi0436-0010,chi0436-0011,chi0436-0012,chi0436-0013,chi0436-0014,chi0436-0015,chi0436-0016,chi0436-0017,chi0436-0018,chi0436-0019,chi0436-0020,chi0436-0021,chi0436-0022,chi0436-0023,chi0436-0024,chi0436-0025,chi0436-0026,chi0436-0027,chi0436-0028,chi0436-0029,chi0436-0030
0,1986-02-04 14:07:59+00:00,239.15430028005287,215.7498504692771,211.39277049826478,198.97766591443067,223.71588830560404,220.7918716711831,218.0726109066212,187.20906575103564,176.5315149852185,166.09121129485052,172.4661802648982,186.12143012197194,184.79553573523634,180.63712354588498,187.12442116198946,195.54574889996715,202.50265068734535,196.86330604901255,190.7663971754143,205.80515189147548,203.58324369132814,197.7196532084775,203.01313530995574,205.54666090145565,210.2621613952728,202.9540599749806,200.87616708445358,197.34005583853593,206.38549969065375,202.88633237956827,195.35934669369578
1,1986-08-15 14:02:41+00:00,236.2165864034472,203.47362787793995,197.85537716259884,194.5944890580467,229.72758025014312,226.7678938902983,219.71092622876,194.02497743083944,181.79153726841162,159.94671696480174,147.51260498406012,165.4630540641104,159.80951511679496,169.72939902736084,165.9624217455312,185.77282696668107,192.13167393456007,185.6718494584081,180.81063166817157,,190.7886046125819,210.28514197351146,201.08534354065938,208.84769282741362,213.00545485884345,204.16057332553385,214.15141376323425,215.43500109307843,216.97950753647672,221.73224452599715,218.09425186219073
2,1986-12-21 14:00:01+00:00,234.19157609766475,205.78737856474112,203.70617291133354,197.2198777457039,215.92177650532759,214.9863760947317,207.87547672076525,184.23472704991573,174.28615201156398,166.64674634990283,170.34503164077356,186.87356204838827,182.35448779851316,182.5593252333356,187.8935404732428,199.9109104476672,228.66799714170122,236.2604476056855,202.8359000645336,222.03164188032875,207.66924065002567,205.05891693206343,207.3791052137552,206.5899847010654,210.72479692876132,198.6019115839989,207.4767979916862,218.10445237502137,224.3309653339557,,
3,1987-01-06 14:00:30+00:00,231.91903553499034,202.71993744409212,199.7782024908143,198.26297301784788,220.47862272992057,214.5240566078001,209.4808538523948,184.52926871830198,173.9922609964587,164.70449379657725,166.83023455860598,181.41628653182835,186.25498299009095,181.1294958531162,187.76237804395956,195.00967835655996,217.79730218441964,227.65559554725763,187.951140122654,199.77523476339024,197.51247476474512,190.6868352497927,197.37146586611067,197.896365924255,201.01346205681045,194.41826330898317,204.1942909791702,213.15076857304211,211.65949923562235,219.3888377632778,210.968153677708
4,1987-01-22 14:00:58+00:00,235.11139621289135,207.97472192724499,197.9898907049938,198.22943626765266,215.01266804438626,216.5193116679626,212.15554247008998,187.39173254297842,172.23993712526294,162.1809307345238,166.04712798647572,182.18609746821846,182.74879046153112,180.65554056074848,193.1776469314721,204.44701371305771,230.33239732451202,235.52272205106738,199.24932800881473,209.2491454849834,201.0843951190084,201.16219228837875,203.94011695191557,203.6097371578199,203.2459429594315,205.88124437885728,214.2205339767798,214.27798583493774,213.1421775451695,229.28311430872353,225.79599995424965
5,1987-02-07 14:01:33+00:00,242.69773037783295,210.54632589756878,209.39243239400503,204.24822164323578,225.38917601797792,228.18062955251085,224.2872412215062,195.49770898269372,177.23548067897383,169.34056789094012,173.83667714153077,193.9247438259167,199.9026004249065,194.14995468732704,207.53027732879335,218.33991544799892,237.68994092541388,243.223341921211,210.23232491686557,219.3775487824982,208.50616153413068,202.14960745348915,208.6427663564673,208.45716819234855,214.9985739686814,214.47449473461992,215.05935264375316,221.91794792708174,214.34157244674958,247.36203578540736,234.14862022799667
6,1998-03-09 14:17:33+00:00,252.01451629903764,207.2655307111776,188.3526781428149,191.18520073112194,209.79438727880077,217.08006501217577,224.9384571637047,194.08432992613407,163.84090071549875,159.13273408239363,164.8873395390297,178.59083004508517,179.64003596119827,175.55857503630372,190.77925317066575,201.54327956728423,235.4094489410332,217.9809904864071,193.09596319892154,197.65201145792494,187.65932094856325,183.61247785981445,185.2611829352394,179.63209381397584,187.385874780094,190.9867463920042,193.83486883687448,194.7404106348745,213.87199688850868,225.21592703812883,219.4043283038716
7,1998-03-25 14:17:47+00:00,268.1635146296809,216.26458139901618,191.01532349961178,197.65118922186576,220.40581937583175,226.83810934709925,227.9383320754375,202.6485747658342,168.42906931816154,161.5316376388648,168.11713894425947,178.8774770074955,179.00932129186512,176.29280938196595,188.68452651721756,204.82884128340228,233.7128194113829,219.0363297396932,192.73894723065757,201.0342066888157,195.40224950901012,184.72178602074686,188.25851841437571,183.2454776153417,195.1991478541478,194.0224331705647,195.14406215407084,195.86361327238424,200.28084880020367,216.6958293142292,221.59666053581464
8,1998-07-31 14:19:24+00:00,237.55680290951346,187.95658346640033,165.777161319284,192.3914297611738,227.12950080382114,229.43079489903283,230.5201772695087,203.8506176853845,156.07852349632523,145.41818133852806,138.6416338216386,144.51391920164772,144.6140928316801,157.43624255033473,,,,,,,,,,,,,,,,,160.29388278093793
9,1998-09-17 14:19:50+00:00,260.7223680130257,214.3449762878666,190.35043276821594,199.83289327013048,220.11848760528153,229.75875099206334,231.30998860189038,203.25659171926728,170.1489669718202,163.64669206600274,167.46895346165496,178.2484718325285,188.50211520985152,178.8887894481347,184.77347350534532,201.40694043894186,220.72908167708792,191.36482368388198,185.962381846454,182.2389387415157,190.93142382693472,182.48244117068944,188.21152271773732,181.29203853632353,190.5448359669101,189.9054166434255,191.4349710543704,193.4120975997727,203.3825517413546,209.4788719343864,199.3527474291706
