dates,satname,sar2123-0000,sar2123-0001,sar2123-0002,sar2123-0003,sar2123-0004,sar2123-0005,sar2123-0006
1984-04-13 09:27:07+00:00,L5,263.96,180.88,196.95,163.93,201.34,245.35,256.60
1984-05-06 09:33:27+00:00,L5,257.52,182.56,193.55,161.23,200.07,249.47,257.82
1984-06-07 09:33:54+00:00,L5,248.88,180.82,189.02,171.34,202.49,243.91,248.86
1984-07-18 09:28:46+00:00,L5,255.54,186.74,197.39,178.88,204.71,250.07,259.50
1984-08-03 09:29:20+00:00,L5,255.59,198.69,198.82,175.89,201.87,249.41,256.68
1984-08-19 09:29:51+00:00,L5,256.93,185.53,194.07,168.18,201.47,246.39,253.23
1984-09-20 09:30:04+00:00,L5,256.31,189.19,196.94,176.91,203.64,246.46,254.52
1984-10-22 09:30:00+00:00,L5,256.33,188.26,193.39,173.98,213.82,248.64,266.64
1984-10-29 09:35:44+00:00,L5,,,,,,,
1984-11-07 09:29:53+00:00,L5,255.14,184.06,195.45,164.81,201.73,244.50,255.80
1984-12-09 09:29:58+00:00,L5,252.23,189.85,200.44,165.36,203.69,244.94,252.70
1985-01-17 09:36:29+00:00,L5,224.93,171.26,175.75,152.29,262.15,83.55,92.93
1985-02-02 09:36:09+00:00,L5,254.24,190.88,190.07,167.18,203.38,243.61,253.34
1985-02-11 09:30:23+00:00,L5,255.03,188.70,192.38,173.40,199.83,242.48,250.27
1985-05-02 09:30:07+00:00,L5,254.10,190.75,201.49,172.97,195.91,241.98,250.06
1985-05-09 09:35:50+00:00,L5,,,,,,,
1985-05-25 09:36:15+00:00,L5,247.95,185.41,176.87,159.58,196.59,236.82,247.22
1985-06-03 09:30:04+00:00,L5,251.84,176.58,185.88,163.19,195.29,242.24,253.61
1985-06-10 09:35:50+00:00,L5,243.15,177.35,188.88,168.32,194.79,235.17,254.45
1985-06-26 09:35:47+00:00,L5,244.24,171.06,175.17,156.85,194.80,245.61,256.40
1985-07-05 09:29:57+00:00,L5,210.42,117.04,127.72,126.29,194.60,310.34,326.72
1985-07-28 09:35:58+00:00,L5,333.65,288.45,245.66,291.33,359.76,169.44,308.38
1985-08-13 09:35:25+00:00,L5,252.28,183.74,185.93,163.25,189.94,238.51,247.84
1985-08-22 09:29:32+00:00,L5,258.24,195.91,201.89,171.26,201.68,244.11,255.42
1985-08-29 09:35:38+00:00,L5,297.56,254.13,237.87,245.42,174.59,228.56,266.46
1985-10-09 09:28:59+00:00,L5,260.16,188.99,195.50,169.16,201.03,246.44,255.58
1985-11-10 09:28:33+00:00,L5,254.52,194.14,201.72,176.85,204.72,242.90,252.53
1985-11-26 09:28:17+00:00,L5,245.01,184.61,193.29,167.80,199.45,235.94,242.36
