,dates,nzd0200-0000,nzd0200-0001,nzd0200-0002,nzd0200-0003,nzd0200-0004,nzd0200-0005,nzd0200-0006,nzd0200-0007,nzd0200-0008,nzd0200-0009,nzd0200-0010,nzd0200-0011,nzd0200-0012,nzd0200-0013,nzd0200-0014,nzd0200-0015,nzd0200-0016,nzd0200-0017,nzd0200-0018,nzd0200-0019,nzd0200-0020,nzd0200-0021,nzd0200-0022,nzd0200-0023,nzd0200-0024,nzd0200-0025,nzd0200-0026,nzd0200-0027,nzd0200-0028,nzd0200-0029,nzd0200-0030,nzd0200-0031,nzd0200-0032,nzd0200-0033,nzd0200-0034,nzd0200-0035,nzd0200-0036,nzd0200-0037,nzd0200-0038,nzd0200-0039,nzd0200-0040,nzd0200-0041,nzd0200-0042,nzd0200-0043,nzd0200-0044,nzd0200-0045,nzd0200-0046,nzd0200-0047,nzd0200-0048,nzd0200-0049,nzd0200-0050,nzd0200-0051,nzd0200-0052,nzd0200-0053,nzd0200-0054,nzd0200-0055,nzd0200-0056,nzd0200-0057,nzd0200-0058,nzd0200-0059,nzd0200-0060,nzd0200-0061,nzd0200-0062,nzd0200-0063,nzd0200-0064,nzd0200-0065,nzd0200-0066,nzd0200-0067,nzd0200-0068,nzd0200-0069,nzd0200-0070,nzd0200-0071,nzd0200-0072,nzd0200-0073,nzd0200-0074,nzd0200-0075,nzd0200-0076,nzd0200-0077,nzd0200-0078,nzd0200-0079,nzd0200-0080,nzd0200-0081,nzd0200-0082,nzd0200-0083,nzd0200-0084,nzd0200-0085,nzd0200-0086,nzd0200-0087,nzd0200-0088,nzd0200-0089,nzd0200-0090,nzd0200-0091,nzd0200-0092,nzd0200-0093,nzd0200-0094,nzd0200-0095,nzd0200-0096,nzd0200-0097,nzd0200-0098,nzd0200-0099,nzd0200-0100,nzd0200-0101,nzd0200-0102,nzd0200-0103,nzd0200-0104,nzd0200-0105,nzd0200-0106,nzd0200-0107,nzd0200-0108,nzd0200-0109,nzd0200-0110,nzd0200-0111,nzd0200-0112,nzd0200-0113
0,1999-08-26 22:05:08+00:00,288.46092668119707,304.98867963766617,316.3102082811525,,,,,285.6357048740464,275.43737331852344,257.91547176731467,256.49703693086445,278.52838457041184,262.9439362392994,263.934980619926,258.6608850290695,259.5834186925916,250.6152020007788,246.00878752627315,246.44109006954125,256.72532016407143,254.34860051699505,255.59418618334712,224.06504870135936,240.9461720454693,253.8676094647862,,,,,,,229.27835122047352,222.52130264921993,,,,,,,,,,,,,,,305.68323182547067,,,309.4427628181135,,,,,,,,,,,,,,,,,,,,308.2554323373499,243.17641760323625,239.8250724217132,,,,,,,296.59355897457556,,,304.33726209114343,,,,334.3726725565423,,,,,,351.09731302496186,323.528719758003,346.21643045706486,,,,,301.2974136670573,,,,,,,,,,,114.35816814857293,,,170.36876003225575
1,1999-09-20 21:58:56+00:00,264.4978540404207,295.86235872297425,299.7093568115241,,,189.05473580569938,,256.6989688479659,248.35804099908998,253.73021114797174,240.99638278211964,,210.83859874462706,231.53987552648644,,237.6290045854003,211.68578745677834,193.8595505287385,240.6113357385007,,202.12018101482056,206.5446907389957,170.27416882901295,186.85222950194145,179.5532225514394,179.77723662762727,173.5244455405361,158.8820921291939,143.49105482176537,163.23917708381697,127.8491003967094,173.8584085563286,154.44148847007364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1999-09-27 22:05:12+00:00,267.83563469678177,,,,182.3095341656624,207.09852030997575,226.09730354048023,,,,,,225.77988074355414,233.48264894976748,229.91597483387108,238.67751190880375,231.56059409969933,221.37610135663576,,223.20521163263865,225.14634626864947,219.30419413132205,194.04558663166904,205.97047647225514,212.0233759729477,206.726037571703,200.31602777683688,193.86517766698108,184.991614661732,202.10136268592504,156.60061605169523,209.939238795675,199.09095604181874,183.75313607936295,193.91853241431645,196.86842536515204,219.18951145760488,237.37772056896074,232.58618614932197,208.9584394698108,215.62110459744898,209.22986799462842,,199.06579087586934,257.9384871287131,,263.37184545890256,,,,270.443450668504,,,222.94388693461786,234.81613858195726,235.212390803606,,,287.2557421874396,,,252.75532990690502,,256.7110247309737,241.4275515073525,,,,,,271.25190483465303,241.68471056008832,239.25061274749612,262.33810390924407,234.12432575908673,246.32885840873138,249.28681696091988,,,262.55980076176127,,,272.6352190423806,,,,297.73576448080547,,304.34275405723696,,,,322.73956535464373,286.352684953398,310.9420638526021,,,,,,223.7953089114457,192.2882834174265,219.4578533763521,236.1256598140847,218.61117791987277,207.7821722867011,,,,,108.03245175257801,,,162.9420205138785
3,1999-10-13 22:05:12+00:00,271.730652707912,285.3325067474129,,,180.39159032514726,208.41852243632712,215.39662302042356,,,,238.61032653658927,239.3449465244281,226.42826624196707,232.07713675375967,227.9114452300001,233.54007500295103,227.78039107733005,222.7831868159992,215.57460394323488,217.8776774352945,222.20003257788537,229.52625002195472,220.82095873629478,214.35619807011122,212.64964296158638,,204.18683553785345,194.40585509372653,178.40305543046983,192.16800519965685,157.05654056418624,206.20750897677954,196.26870471596288,180.96833784847956,195.2853545266997,195.2717210654641,220.75102966510784,224.82401399904745,209.13221987373814,198.7872036845721,202.9527945858397,199.08157681926744,,196.51783207547476,268.37482431458994,,265.6797209152246,278.1340990886229,,,274.592820577223,,,238.2212424526202,248.6010189497619,238.8013858195031,,,283.28187408424697,,,238.1525894717647,,244.51923806789225,228.73709961569725,,,,,,275.1756262758763,,,238.84928398691594,225.695564289463,235.58161493206495,238.49528887446016,,,,,,,,,,,,323.5050538151158,,,,334.00587281031176,326.564409449513,,,,,305.4421271101398,283.08835995106557,234.649820430705,198.9166541591277,232.7693461676369,242.4990333861873,236.26592986366478,217.65587852098216,,276.2744690749509,,,,,,
4,1999-11-14 22:05:06+00:00,,,,,,,,284.00858807396173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.9382800298783,,,,,,,,,,,,,,337.4189142716261,,,,,,,,,,,,,,,,,,,,,,,,,,,,307.5769510104125,,
5,1999-12-25 21:58:52+00:00,276.176799235421,277.4365147052442,299.19379888716026,,,,242.94373868240046,,,,,238.99246735047504,228.9671365743333,231.4678533764085,228.13931518457116,232.30267473828724,229.06458081134394,224.8019412794817,214.76042900731863,221.5206568232605,227.83315306995632,223.63226012846084,207.3844721218708,211.90031782140093,214.2079423514574,205.80316084259877,202.7147052446681,191.17944744437622,179.10885346036886,190.6932213290295,154.32218663510858,209.65004897847342,196.920604006364,183.5646279769473,197.61940764248476,197.81947929097683,224.62720909555924,227.26779328560048,213.9055935039484,199.38606784662417,205.39504081063998,196.74107773324027,,189.4417830491755,238.12153574394515,,254.68772110002544,270.97205496826626,,,281.43024640645206,,,262.3106282225108,249.8622032715897,257.26398918552627,,,293.9411835329836,,,,,258.39969074113196,239.98653623407884,,,,,,287.7177445591827,,,,,258.12405494870245,246.86466141651104,,,252.8930853154398,,,288.4302186503233,,,,,,326.18197934915327,,,,336.68081928158966,331.27949527271534,334.54220070347384,,,319.28396841753073,307.2114236903015,297.1132810458349,,207.27825218752545,234.43765615298008,252.7193708757604,236.65306976981122,239.3556518481225,,267.2647548387281,,,,,,
6,2000-01-01 22:05:01+00:00,,,,,,,,284.8432924295818,276.26696585502765,274.0057683764028,,,,,,,,,263.2114241503591,,,,,,,256.4467950244509,,,,228.300604988903,,245.6877475383221,,,,280.77977935285,,252.85018999495725,,,,,,,,,,,,326.60531031480133,,,,,,,,,,,,,,,,,,,,327.2863301530582,,,,,,,,305.3384909485801,305.97521304052526,298.2422455743403,331.5018988335022,,,333.9772587294069,,,,,,,354.3801722642791,357.79476236513483,355.22840679744087,,347.7029724615167,,343.48907716627906,,,,,,,,,,,,309.88003886317426,,,298.656964875859,301.15665930203517,
7,2000-02-18 22:04:53+00:00,310.52226567025605,324.1578269728436,331.3525632813368,,273.2528958440713,289.82890058436624,305.8987049576983,,292.01274785642886,276.83193489551854,272.90832300902395,279.6342090418493,256.4590227079526,264.95845856276424,256.2255321893224,264.77307739919326,262.2826064810684,259.06238332108717,253.58958404933543,265.26526566628985,268.0950398006581,263.73280692906064,243.62346073707852,261.6863841415792,257.294720794791,255.10384631065236,237.63193403709755,,217.4202881980883,,,,,,251.17059182218705,,257.04461952824016,275.08187072826047,,,,,,,,,320.5687030336869,331.71267047945423,,,341.02785486154403,341.43859724065777,,,,,338.6706300999188,347.04919648093886,,310.4820949240027,322.52769589700625,,,,,,,,,,332.2737018142228,,,,,,,313.2436609674115,313.60934240705114,334.4874404467684,332.79165328850837,,317.20072934569737,,,,356.0489421625789,355.8405581427136,354.23130015685916,369.5974387160269,370.27264786760514,426.42414561538976,386.06469674198775,355.37409563714857,362.7444980729123,,351.3319556560731,350.69967805977353,330.20440874687097,320.4204868806853,313.96097759426675,,,298.1447972397836,,288.32115644353905,312.6966846520261,313.7145301870371,340.63644033911396,,,308.8442136156886,331.0418420667389,
8,2000-05-24 22:04:10+00:00,,,,,,,,,,,190.83722725648872,207.8788008540331,,,,273.5935062601753,267.26621422942094,252.7794675226586,195.46273996170808,194.63510648771094,223.95253436457804,240.7888911084188,,,185.82530840327527,,179.09532440154672,,160.10532787799264,187.89441062487236,,268.0814649001049,,,,269.3954922064653,,,,,,,,,,,,,,300.2273332868377,294.4349068296372,299.97412018138186,,,,,286.3216134704779,309.13400951488484,,278.127524458028,292.5673813342645,,,,,,316.0465807293313,,,344.87580103529467,318.58864146794275,,,,,,,290.763455491678,,281.55484414291146,,,321.4473408869492,318.61398423380035,347.6708454397193,350.9665701157947,336.36554121537296,327.30490260015733,325.4544237545247,335.7442784027307,340.181757086961,335.31084314673234,346.297607498011,347.3054011476802,339.4200246093041,340.41194384600254,342.8461875599631,345.32386876702805,,,326.8953741861919,,,,,271.71268642679075,289.4074661526624,286.28592248329664,,62.553884175973835,54.49554983079766,296.35932648264145,,
9,2000-07-04 21:57:38+00:00,,270.0223111363359,,,255.3456096950307,275.1988047913715,269.1560671692074,,242.66138545847505,252.42494178403035,254.66303658302107,270.61780133563406,272.213905010899,,,266.28907077945433,256.24582174160736,226.99426528600105,225.83481279366583,237.64916403934257,238.82100681586707,,214.92057978854405,221.03848683606688,227.29836281340505,237.1433957603799,,,210.80582448351424,224.35513111706956,,260.3059576965201,,,244.46226173691085,254.6871638100287,239.6203957972062,247.49097352996966,,,,,,,,,,,,,,,,,,,,,276.0263919464469,,,,,215.22369376609566,,,316.35651582435116,,,,316.9524949597386,182.59840623267323,189.48656054016598,219.60807991692946,,,237.52042962223445,,,286.0117020692307,304.9804725790178,,309.970073926337,324.0947507366136,351.92946454564577,361.04664623906024,343.36544926587146,332.8625867583976,321.54747727099976,346.218491987155,330.37369298495094,343.9321351264232,337.282301617717,346.3986128691595,351.6787564257236,340.13547473819676,340.772806775011,360.27784025144,348.096455970138,,335.7683246142205,161.85622897217593,,,,,,,,110.30936863728834,77.35301333476205,,,140.0066306520129
