,dates,per0066-0000,per0066-0001,per0066-0002,per0066-0003,per0066-0004,per0066-0005,per0066-0006,per0066-0007,per0066-0008,per0066-0009,per0066-0010,per0066-0011,per0066-0012,per0066-0013,per0066-0014,per0066-0015,per0066-0016,per0066-0017,per0066-0018,per0066-0019,per0066-0020,per0066-0021,per0066-0022,per0066-0023,per0066-0024,per0066-0025,per0066-0026,per0066-0027,per0066-0028,per0066-0029,per0066-0030,per0066-0031,per0066-0032,per0066-0033,per0066-0034,per0066-0035,per0066-0036,per0066-0037,per0066-0038,per0066-0039,per0066-0040,per0066-0041,per0066-0042
0,1985-03-04 14:58:44+00:00,188.47574387506847,191.31243954928541,188.19517663822486,190.7344702336741,193.16217186025162,185.1840698331927,191.9366243181183,196.60307793255956,200.8032810315349,203.74888133823657,196.68046453132348,181.71182668237364,179.10838621458174,188.56885754244306,186.68985467910994,184.67265377923974,183.14098657985505,185.13676246220012,186.058735130765,184.90180072597468,187.04500215174556,189.99279376793862,182.88889603363359,190.6957069812225,193.02067587094928,185.54248849463622,187.0365009166388,190.72498948683395,193.44189108312688,195.76540644089746,185.40919050717073,180.22122224753198,185.6034411629631,188.52651045520963,185.5987823907493,172.527818768667,173.91730273740296,178.91340195793055,178.995543076641,175.78404418368285,180.89940775549366,181.19283539946727,184.32883674436707
1,1985-09-28 14:57:26+00:00,206.2597737248917,199.98595698511423,193.6782958458911,192.23022457116258,190.7836782732047,182.82630830014728,194.04675853574824,196.40298799686224,197.2191332673629,205.10761297454934,200.0567771627362,191.75061874665855,192.0193932991093,195.19911258549345,193.7917469248836,197.03506396649416,195.9160126867251,195.19342536924077,192.3158262339826,189.94833353507593,194.5889974906453,192.3690533325508,187.82519872362278,196.08748734647645,194.54164893398044,187.62395618620891,189.4731235693464,187.56076059535923,187.0454065325102,186.97751842579942,180.30548510157237,178.15049371294094,180.88614750469307,185.1315364414224,185.37553108889577,172.20483118351382,173.22615530929716,183.30904334736977,183.27683958747585,188.3197938022361,189.4281248960166,184.98589485330186,183.67662370172158
2,1986-02-19 14:54:53+00:00,225.40543701259827,233.1842456409456,238.24220321897297,236.12760764219428,217.42761596655274,215.1588499640586,222.06703754524082,229.96745481794355,228.71730967200088,227.5673753997688,226.11151175524495,217.98884692486405,215.79033564727163,215.86017522774173,208.4001004466354,209.72369670600042,209.37039918449474,212.92990984225435,214.8528709638628,212.93062346104264,217.90550316424424,215.74628364813273,210.29012967567013,210.94494551501347,214.22555334806418,212.88577704992906,209.9406482273463,203.54281752531926,207.68742598013762,206.5457419406435,200.08532878563975,197.74730366226333,197.85619319488086,201.97238259048441,200.77073131912232,196.74258867515368,192.916977800803,194.8991881808892,208.02365926942764,205.50790747877772,200.03685892546775,197.27037173677417,191.8337539657346
3,1986-03-07 14:54:31+00:00,224.22088612824444,235.93298579006358,232.74587784004342,232.92041757987465,223.54725144785866,220.55165227097507,218.12294595930558,222.65048292902222,232.95327991098785,229.25648629965886,,,,,,,,,,,,195.32399746559634,,,,201.63921756308153,200.2421217837282,207.80114438763104,200.82328804314855,200.76459216580014,194.08619925696706,189.8685008944002,198.727038114054,206.35731701056898,198.65151206564704,186.3294832198837,192.48720539635283,190.4784059007535,191.41858784693574,196.26179021168625,196.48141035199154,196.96533362018016,198.44627044829758
4,1986-04-24 14:53:30+00:00,229.24023160709052,227.73273119393903,224.3123674509555,211.17520156158275,208.14447269447862,215.2843684372007,215.7546350203493,224.89611415749434,237.2938036164737,235.44393322778524,228.8689719819712,221.24535434381178,221.39143206265976,223.8610750893867,222.14894227341782,212.36210070540494,213.233914917283,209.94268130330047,211.29464619917732,206.88922515930636,207.1742728743973,212.0688676814004,207.3609338818222,206.75722153792745,208.63585066364396,204.30801960307062,206.75840225055086,205.77062758366858,202.61968975881976,198.0120204945089,192.72281719826577,185.73115347597738,193.57093318207515,198.5991884920961,195.33606981410668,183.887959110646,183.12338718537356,191.31060977412173,192.6591151222365,191.70355019545744,189.0058539133212,187.23085054969877,188.5800176950123
5,1986-09-15 14:48:50+00:00,246.14619163362022,245.83352512967713,242.7847926933883,241.82717826785432,237.48458998571826,235.7030637010709,240.7495761169564,247.42373546104352,254.87027844621304,250.70992255584062,240.38022373824492,233.95828685629525,231.48337062112577,226.1679861980155,222.45288341900275,216.1534556648679,215.29085275012304,215.12394649725653,213.12739372703768,212.68991679774416,213.95678603940536,210.99944347006783,212.07545569753654,216.67153705367988,214.54080492823013,212.54682420921674,212.97453624861615,207.06569365832317,212.84588082289912,212.49096092840443,202.65088088801423,198.58970955803727,199.2505305106789,205.0081738160604,200.60520859970353,185.64735777469213,185.38660615758485,192.23934860430313,192.8588720604721,198.1371981337387,190.9290855306346,188.3092754196206,184.70026316650117
6,1986-12-20 14:47:14+00:00,244.39899163405417,245.56299484305143,251.40772327386765,252.66276841378098,240.95921687449223,242.36551692665455,255.33503498567032,258.08747238456635,257.5512011264448,253.40314358952034,249.3717718296131,244.92705656865135,245.09893723608334,247.94965966134157,244.03698299477756,244.5746969387251,235.84138900221583,233.4926847081302,235.27358743592552,236.63224755531385,237.645806303336,236.6614073963224,227.18165893260263,230.71302880645445,226.4261714057742,228.40068560592437,232.36123526271197,232.29632729488708,225.62304164820546,220.10608891576365,206.01348882684027,195.67963420929243,200.10346308001382,209.03164702235242,201.76043412989432,184.38311432540394,190.3851524266349,196.46225185705484,189.32773085909864,188.5349790697398,201.31552620159573,204.21346111035277,203.48788959289286
7,1987-03-26 14:50:34+00:00,268.72077795225147,270.87465146671417,273.15519759806693,271.43452813466286,265.2671561075387,265.73272887225414,270.2879100352654,272.8194316193883,272.4089961816547,269.4888864513095,263.0663243983478,262.33463646400577,259.1920987676152,260.5353687575759,256.16465182843734,252.0684218875707,248.61866687098941,246.86172836790954,247.59330274865488,250.12073515449907,252.4950369109264,249.92028962765335,240.4083182770639,239.17773006037373,237.33313553543803,236.19188475307453,235.31964518727236,235.7692084360967,234.57219251632415,226.96760248798026,216.59672536828515,207.93406504404342,216.56611303704574,223.77765526339073,216.76445650015535,206.6539565326024,205.72208334490534,206.68563168274198,208.08134251973362,205.38507371880888,210.6417872207287,207.7353996435475,208.21877535969577
8,1989-12-12 14:51:50+00:00,,,,,,,,,,265.37137326202287,263.0735211095676,257.77285044647596,253.65326409072847,254.2726830706276,251.54041163419149,250.079725893639,253.9434919897228,254.20479229249878,254.47455717079464,254.3436265646376,257.873814788832,258.0625430439147,261.68183626188,269.7041180513454,,273.6695845554966,271.23158669059393,267.9399196024927,,,,,,,,,,,,,,,
9,1991-04-22 14:50:18+00:00,180.19238224857247,176.7724648119741,170.34182172617753,182.61315939800676,189.47580149192865,189.0724860997587,197.717259927116,213.3107427710628,214.6773826318194,214.2342088822434,218.131443599235,216.06976801760104,217.38988100556224,218.6134243313836,217.09781914658308,214.3910200405746,216.53526857690102,217.9050235040406,228.96827617533066,231.4108978837507,235.75749409234146,238.0485391628821,238.37177394240612,246.00295708046198,247.2487343004653,251.18532340849038,253.62580049651507,253.55893526980742,256.2008124974948,249.76848413805448,243.22488770530674,232.98801051749876,239.4858860209201,247.00258745890278,245.20461833956978,237.34405767139629,235.9613769067674,242.89324897166043,246.1441857377025,249.00618646206897,256.37762401717544,246.54093337835684,240.52775738098862
10,1991-07-11 14:51:29+00:00,172.42492739378704,164.78314049317794,161.5711366672523,168.5909314778661,169.42182215951715,,,183.64810786890024,193.23602307378079,199.58009090132583,191.06599533654463,185.64368764155643,188.352285769987,196.29599238239805,194.54124726022934,199.68417441917222,200.57659797026105,204.92673165879185,200.5506759122036,208.1934461889328,214.75005693793545,222.03199657194668,214.33371499082904,216.4868197629624,223.9185680142915,226.3640455512545,224.72719867622814,231.99182493829096,235.29362666052606,226.3035860119553,215.9293495777767,208.67993648236074,209.27200534880893,217.28165582097216,217.0290557268264,209.7172894520681,214.40007978895454,215.6429868542665,219.98580749358464,217.64022069590214,222.84299244792805,218.5145174285583,224.97976998836407
11,1991-11-16 14:52:30+00:00,175.0212825135479,166.19009875913184,160.94343071565365,176.96506374248452,171.64787851659668,177.58069705135938,182.4467082168378,190.7806432184494,199.29197355708303,196.82680055286525,191.71969278598192,191.91641683116012,192.66878302040075,194.61179197326044,191.79947082546335,196.68796532672863,195.5815577772643,195.82812784529287,198.42076385148613,208.2179956852575,209.62303237391814,210.74324998459647,218.82109088715924,223.65365199805538,228.18821831834126,230.68957291613657,236.74744396033103,237.36554291589485,236.87775840480487,228.49689687923356,219.1062657010051,204.8604863646114,204.98360373543213,211.73462649382586,213.65955019507535,210.43183311141104,210.4873776442528,214.7320379707326,212.9452277757153,208.1724563395323,209.84421230872164,211.13022972558895,212.4215005487246
12,1996-07-08 14:42:19+00:00,,,160.77699339434318,178.92330035221914,173.32232550953162,,163.16520941056055,,,167.4909774048348,,185.76256930270998,188.67699270752152,188.32501894361008,185.62684659506934,185.84671032893453,181.55010484642466,184.5781654159614,179.43205847230527,179.09557160130709,185.68967118920727,184.30172900839509,176.09139415862475,,170.26729495491836,187.83925089074174,187.90791346992083,186.83582694637263,186.4298784482178,180.78927536688732,175.51728257327366,171.61056863784395,179.84850450688376,184.07649869691622,169.42008517435332,168.7903961519651,169.92718552489782,175.9815563078917,170.39278616051487,164.74294639023344,174.31339221926723,174.9723845330624,178.18324690188922
13,1996-08-25 14:44:52+00:00,164.36479784226108,166.69905061261414,126.29966203271677,,,,,177.31173119211468,193.46118242737998,195.87233460795107,,,,,187.6579090794722,188.3839663426917,186.54971864408563,180.92431320097788,183.50344938067704,177.23299386408218,194.03319888209327,185.83592428587758,179.71498661659692,175.09725765571315,,,,,199.30040930061034,196.96034204921582,185.87292945690828,178.25277326159653,182.72160647778904,189.53245592572588,176.11677869467135,174.17807114919773,181.48812994972624,182.82375736323777,180.14590629416685,179.9449106303357,186.4972934656591,188.18975448531003,189.18710685021145
14,1996-09-26 14:46:38+00:00,177.35355601362807,174.25981395543457,161.55286058872298,178.91518247666758,180.99238774500276,171.28702942808607,174.52402342439498,175.02250483099226,197.4390232871537,195.4386893549476,184.8639146008564,182.20098025477827,188.47185417410884,190.59989080751143,182.96864947896916,179.95866756325233,182.37648659902874,182.9220051895657,183.54681522720804,183.8383143252121,183.44766023051017,183.10041945191182,181.74021614067027,185.2033570389645,184.62934912095906,179.33611642715871,176.31368224019815,180.30891214768803,182.6809034466183,191.87700390804386,189.2251444867517,185.63042416617586,189.05155191009524,192.8447503951246,183.8591398418143,178.2761435382962,179.35492994846723,187.48570706083677,185.61290703086274,186.46610553235135,188.9926008361826,190.09134869646192,188.51201756778238
15,1996-10-28 14:48:15+00:00,182.48354642433802,169.74031885691937,163.28846330639269,179.3787986995657,183.85749602025712,171.19394048080417,170.74571143091535,181.36607237786419,200.44200016842606,197.38268869948465,183.63798054805855,183.20251727656955,187.4356718624061,186.12727137465168,182.85365530155892,183.58840337685055,185.71351319158336,188.10760196986138,181.8629773756733,184.25886699122313,184.92124093859653,184.0434443137855,181.9164995589791,181.12028806006967,177.7456700156095,177.0981124528306,171.90607132578836,170.05744937231682,183.97592238797571,187.18654216572727,182.2813833608823,173.0329159809564,179.98268046864547,188.16866357413917,178.5412492808791,178.42515725473706,179.77659636487556,186.27438244118827,186.94715475977696,184.03266151376496,185.69740352422582,185.59884995783588,189.15263976015066
16,1997-05-08 14:56:25+00:00,175.0662875684715,166.59558784357557,156.26512390501466,170.34725913795324,175.04585114798502,167.98373628441178,174.7541326639034,182.46243194991345,194.33700626859712,192.08763889748812,191.8200182039714,187.15034795398088,182.81209873822135,192.4629054991302,193.53429571841727,190.08652488903286,189.04915997900113,184.3841975069717,187.70063918426493,187.84532602107288,185.0557297277513,188.95671144842143,184.2590740759354,180.14583649989294,176.7943571411766,176.51278153303826,176.32888292504637,176.27106351246022,182.379959645995,179.3952276483835,176.48574380383795,177.3840905891221,178.7179610384357,179.7459642806879,179.45450883939847,169.8466964154866,175.9367931918194,180.4796053702028,187.24119388498093,179.94192845273864,181.2577084661868,183.72458012919256,183.86607500490956
17,1997-05-24 14:56:59+00:00,168.21006331263504,157.5465396285529,155.5346604455918,167.21727233738088,171.84306999889247,166.97118411724338,174.841743458967,179.58853290261914,183.18700022309756,190.46060979013697,186.14374590160418,183.44324623598166,180.76254331358513,186.01171329308184,180.83701591144444,185.24115943161934,184.9030524111727,181.55743366983089,182.65994836571454,184.6835048344445,181.85045032097955,179.65590040862082,178.0944945908141,176.89646134080166,177.14162486594842,174.24137496649695,167.53670537397204,171.95073393828932,174.4192695763605,169.97075585369143,168.49532653925797,169.12254901960378,177.11123365389795,177.17276754444754,170.4302185384025,163.75198134941655,162.82559112727088,174.27251100748344,176.53414806036972,177.58592589168953,175.5362798183878,173.44453900238773,176.12312101727474
18,1997-06-09 14:57:32+00:00,176.44485815985604,165.52670885855045,160.09795659434826,175.334865834896,185.56764089912582,176.64901690032247,182.48084821589882,191.42183773351587,202.49372975549275,200.97314134902172,192.20895054529157,190.0332070691684,195.22783847259683,198.32245406043626,199.87042947493524,195.69170621785435,194.36574677882587,191.3765227270305,190.93601111178154,189.74574871741464,189.94684200542892,193.512000662544,193.77845559204027,190.9177544250992,187.0631161557851,182.83447298486044,180.29068203184968,185.59051181126216,189.12737166961924,191.5892490957271,177.86715656679087,181.8756336938692,185.67090175049998,186.01957871664231,179.84560264585994,176.08014178855424,179.83951885230005,180.37724519699165,184.43487207499905,184.8438638873718,185.99014676135562,186.90912270728924,193.73693881342902
19,1997-06-25 14:58:05+00:00,162.21956219375102,150.48721688180242,141.89909956015038,157.79083336537084,170.96222440343027,158.01301547688345,164.5680061709356,167.07829173177467,177.06995637525256,174.98551125224398,168.4762316914051,170.27918352383617,167.68114189372025,173.4981452372183,172.31180268783177,165.1819383408707,153.53050029795386,170.4875179928955,177.97242425374185,175.2625271769955,170.4269493272017,172.97142821117848,175.5731472477753,170.80404777797503,167.46684800394837,167.88745439739307,172.2123971528958,170.58145529134896,175.0759467320842,173.48861571362255,159.54783578814394,164.8022470386123,173.3706021328121,179.9461400072581,173.63979730984178,162.6854327192242,169.28894700797315,170.95317918837273,169.01780457036728,180.30908987614364,184.97890549336117,182.96491148233142,188.29097241575946
