,dates,chi0364-0000,chi0364-0001,chi0364-0002,chi0364-0003,chi0364-0004,chi0364-0005,chi0364-0006,chi0364-0007,chi0364-0008,chi0364-0009,chi0364-0010,chi0364-0011,chi0364-0012,chi0364-0013,chi0364-0014,chi0364-0015,chi0364-0016,chi0364-0017,chi0364-0018,chi0364-0019,chi0364-0020,chi0364-0021,chi0364-0022,chi0364-0023,chi0364-0024,chi0364-0025,chi0364-0026,chi0364-0027,chi0364-0028,chi0364-0029,chi0364-0030,chi0364-0031,chi0364-0032,chi0364-0033,chi0364-0034,chi0364-0035,chi0364-0036,chi0364-0037,chi0364-0038,chi0364-0039,chi0364-0040,chi0364-0041,chi0364-0042,chi0364-0043,chi0364-0044,chi0364-0045,chi0364-0046,chi0364-0047,chi0364-0048,chi0364-0049,chi0364-0050,chi0364-0051,chi0364-0052,chi0364-0053,chi0364-0054,chi0364-0055,chi0364-0056,chi0364-0057,chi0364-0058,chi0364-0059,chi0364-0060,chi0364-0061
0,1985-01-25 14:04:27+00:00,,250.07475864074505,240.2076714920039,240.50880926398327,,,229.6948205443959,222.7875383656102,213.70321820166,216.4961217074472,,233.3416241781695,218.94970443388823,230.67650079133657,237.04404900620426,238.56442867257306,252.2317623091604,267.1727962442247,264.33996212888036,246.59096627212116,236.46033076733457,230.93182246153222,221.55372199342594,236.51710201449055,234.4670249783738,231.98005294811526,222.29285256858677,236.50441322578044,232.38158123221285,235.7317260337961,237.17962753172418,237.21007797541645,235.8331144987218,234.55373955834568,244.44226064715798,236.9908202800401,240.0764332931572,247.3630538001184,249.14139364794403,256.84339879049884,,,261.6875689307952,245.19419946315355,239.26157099240007,234.56528132095883,228.43100134483552,234.08966708864986,234.16887474945912,223.8991697948633,210.17053032239056,213.6111754175095,197.1648963347926,193.36234675035237,189.42492316523507,169.47989146190884,,199.00804132241416,190.85037487343473,191.54866719172014,192.65177073666032,214.60864663903865
1,1986-01-28 14:01:10+00:00,215.85938679409648,227.190155153854,239.29199996281477,237.10749752936172,,,221.0336240281925,207.74652163080015,195.76502610458604,187.92702885713177,182.28724605096428,224.52087943761998,251.16565212216315,262.17580857148863,262.61602188486995,252.42577033740415,242.64419148709888,244.02914925786635,241.52765084421665,239.56635201771434,218.92402496873078,219.37128013115105,224.68273975078645,235.98540014310439,238.53981338405802,243.2300379030335,240.6617674719479,234.27568511740859,230.0832004972627,226.62691763863089,218.40528846618437,221.73055723352417,227.05689761052489,233.09245464439726,238.17119356488305,243.38892894139485,238.260173818731,231.7431128020777,241.31845767252244,246.69879375125961,241.56812068102386,254.74013743739556,247.58290848415984,240.98243123523918,243.50981536664057,249.89347607008813,246.73510161947235,232.39296000442857,218.33679517960852,213.575485858368,204.02009027536553,198.7253965823429,196.07846800207167,187.15852263438154,187.79578071156797,195.49055996941595,183.273112241726,190.05377677040318,197.72648043394358,197.94812067878067,195.88793378449984,216.59396267275906
2,1986-05-04 13:59:02+00:00,238.52259150984315,251.54465412315162,243.48471303825727,234.12706020061432,,,220.21713671532854,219.6624324648545,221.23775979023816,222.99494554981212,219.09476083347718,229.6944906221053,216.06895815549913,213.2793881117642,229.4163509548286,235.43249326882477,239.0139214875156,250.010339748043,232.24951118457312,234.3333139023184,221.5730427018415,223.7378057071099,233.90540847924095,224.29360496303875,222.89518916129643,211.22584850293092,210.02975840695368,213.06001312248608,215.26117774785507,204.40352993827815,208.4130598845401,219.28530104049022,224.96888271298758,224.14164429750917,220.6389339345717,233.35993661519143,230.61349314574764,243.65373491120874,247.00881103769606,245.28272313357704,259.5882990961162,270.17591359655074,262.00273969991474,247.8187004983078,235.55489487291388,217.4816187195606,218.47027959391963,220.84730972286292,219.2688460840984,214.7025089801267,207.94172620872632,202.32390973116057,196.045526375469,179.88691378892264,185.66126426539455,174.4862659726907,164.96271768112524,185.81583306172686,183.10907349323026,177.82563363966204,177.6522152403844,
3,1986-08-15 14:01:53+00:00,261.23482878759444,251.3188261126217,247.68191514629578,,,,239.18853253760642,242.17031866997527,226.27203111538,218.57653323718034,208.53756993059898,224.0605581818953,236.81278025823053,240.31668120538393,243.41872867916027,254.81463851798202,275.1972374696439,270.30866635815556,268.24216007130326,253.1031749102649,250.46659832691586,253.4289596472956,243.88155606176204,244.90103353116012,253.9129943566263,262.11293249436585,251.77180050425267,230.1048843589803,231.42731579916875,233.2807410496761,232.9024431191128,238.02626037464455,238.18893161000125,233.35481645790662,240.18136647360825,228.4135206759816,242.30017891170831,252.19911438426118,256.16277378700863,252.49871802851453,259.4742610270871,281.47496345960667,263.7930037527185,237.69988432995507,236.9276771354559,240.13591409373032,253.5023335373877,242.99944825829257,239.83044629039506,224.92174565059284,200.4496425792679,194.5128790944031,214.4380798656301,197.4024452241026,191.3817197493587,197.14529746518025,174.34205380927557,167.1024279262491,176.97954169226242,184.20700576371715,191.44443105704724,201.66396597450412
4,1986-10-11 13:53:47+00:00,238.83926735858742,,,,,,211.56619025985324,215.9024589198373,198.78071224471765,224.7088633096883,201.24708207686763,204.82121769214822,220.88874652957517,220.47285642986748,221.56514814269212,231.1080338075663,242.88842816102454,261.14025002538926,263.05768090706744,256.6231501883167,239.03451620041395,230.23785987589812,237.1803289307799,240.64097676436748,229.00356771859072,226.91418757863647,236.45909856321745,228.11161549888436,222.08371618560193,228.8894860911956,234.13602980594877,224.609198330451,218.50683268425385,219.83667756287323,212.63552150476403,226.75151479093077,236.29084398470934,233.91669118728925,247.65605604019547,244.59381063411888,,257.9630729061935,255.79177363426672,250.47350284053326,223.3505889628312,224.54982567517092,216.5296525662618,218.00598658732676,212.07917799533928,219.35594003220527,189.30305701075054,186.41892697532066,195.39420314857176,183.66920235128842,175.50490153776187,181.2278192889967,165.85463316301647,164.68803126363161,180.08944932225722,175.1996203404619,155.24984138137302,183.7021193455648
5,1986-11-03 13:59:10+00:00,253.747267641367,,,,,,222.04617906390285,233.25342942869318,229.39780310914068,229.23865096892052,223.68278265654206,224.97875368171958,236.02257955643356,231.7871015070172,233.11942163515124,257.2728406851596,254.52910661024788,265.596186592869,268.46651650188267,255.89898775627336,255.74861008153366,248.65534677069982,247.34751175764805,254.57486908877027,263.20981953741244,249.51871007404614,241.1627791338461,236.19793201436477,231.1914680139222,232.1927144441935,229.204903282477,233.47205504086514,243.77625934681646,243.73234851410834,236.6833011716533,245.87134230898613,249.54869273220612,257.4523461637482,258.46867654656114,256.8489270495059,268.8936698336304,260.9432978745534,260.58570062469477,250.79951876110562,252.41241413179034,246.17432237263128,237.88799110238483,229.62792786502843,229.94198946801686,218.63963905618888,208.96471039636063,210.16384861464687,206.85257902071362,189.71124179771613,191.82629202114782,191.6972167428005,186.6727989475108,168.09735513326657,182.06072791377505,183.5521190778788,179.29419401341048,198.24453511094717
6,1986-11-12 13:52:38+00:00,235.85053100294846,235.3405945666453,,,,,210.8647568892096,218.28122448941016,214.6933872626739,214.3283262549448,218.17240307635714,227.03755864780885,231.3849674254122,238.67397319631186,234.58415426846665,249.46841762580993,249.7481954600875,253.63705619991973,253.95595239663803,254.7638934315245,238.8444730931929,240.29520919317804,240.35718013985348,247.14733459753856,251.19272561964235,237.24967499224087,242.48044031363446,228.2180995806713,214.6493378078288,212.58085844534097,214.48924706089394,223.0144106284308,231.92205959179532,233.99254789581065,229.5256277374074,234.5874380967088,238.3426173658151,242.77669486879694,244.75693022582414,246.84344344682015,249.55597314897557,257.0936319242885,257.46360339803243,246.7001124484303,240.76727012907398,233.0584553200067,218.74599304637673,220.96323662982687,212.89495780408316,205.0202133467376,195.1230585260033,202.26749418011778,196.20414800222574,200.31927165778524,195.99680270772328,188.66892457279445,174.17282380468404,166.3255862425959,168.91292764443412,167.5299190647624,177.0687904773536,200.8430520910713
7,1986-12-14 13:52:49+00:00,224.8504660619641,,,,,,212.77115278468818,218.78942024661086,219.49122869890238,217.28497847494268,222.281586941173,235.13172371836785,231.05205552067576,234.22765331160028,229.33577013511183,248.19879243817547,261.44574292350495,259.35691109876063,259.6433013990056,255.45552081539853,246.44992357924545,240.63298040659194,241.43337638199583,243.08249458269543,238.1525529236624,239.30952521750189,230.27868273011484,239.88006740703796,231.61375232305687,227.86874587877062,230.90486310367584,241.89915280799877,245.5263900931732,233.08456336662377,231.40825326735393,245.36886238962913,234.051726357275,231.668426270136,244.16213142784756,240.38069086832724,253.434770082639,273.09315967937624,269.7668512293914,261.4152251293981,249.07360863440329,251.63031840678576,233.54982071418362,225.80224609928672,230.28290557106143,220.9535885437141,210.08707848846433,208.82982604252464,214.84770803794262,215.38461765225225,199.3943776927597,183.3753524461638,191.00524150634493,182.39812258093326,166.69501850738303,163.7467966918154,155.3539052800503,206.90392188728416
8,1986-12-21 13:59:13+00:00,234.2791460723807,215.51982150301805,,,,,222.2484194075269,226.70735680485632,232.44177895416084,235.56866192672513,230.5194519142415,236.3430455385597,231.8113874807823,227.16074604282696,238.74331237192453,243.67429115762766,266.5680645933068,272.8104855815427,265.83524237428406,255.0828358178853,258.63367107037175,245.22137606149516,237.28335168014723,235.40658606753146,247.7491997500524,238.33184402728259,235.31175644107677,235.46974424707673,239.62629910845826,239.2632542571631,242.41990095086572,256.5718336175032,248.31458521223482,239.01292230120993,238.09518722481621,234.18362421590217,243.45090181811705,249.25780465236687,241.68056688424082,241.66386118434048,255.29700136868058,270.36436631777127,271.1350146607963,265.606185613944,249.936144739715,235.60134590685487,234.8816177838702,232.15671011956064,239.86929882872943,227.31174364373308,224.08380993198418,216.62910109757175,209.35628101694394,211.13917964644884,205.3085244903054,186.55173225304094,193.91691131627624,187.2810236561629,185.73758628624356,195.02281178234554,195.58405304651677,212.17111644497828
9,1986-12-30 13:53:19+00:00,230.15006621037435,186.68148916838695,,,,134.7704559947057,,224.3507119627347,223.49389155730105,231.09763169812302,240.1909919521131,236.0282954177749,224.3056188490909,226.8516924177475,224.4501281472805,249.288849566874,267.737895428783,276.4589519500299,273.10429516872176,267.8339612753704,260.66522264451356,252.8932377271561,247.22812418853627,234.02448315311125,239.16096459139186,226.21491459457155,231.8518795813331,233.06775223839898,237.40795842317434,239.17611460922095,250.3536705161735,249.956662851161,241.60661887012688,237.1869892306071,238.20027857823715,247.85236703852954,246.97486527038367,252.6909964423736,252.48529430641096,254.94049388900066,263.8684658286871,275.58667047793114,276.9877705393017,266.9533911578241,249.83809784427052,241.6016553728712,238.50195912094904,243.35824727949094,246.79263044954257,231.32898549612082,226.13954709731104,222.93117986500533,212.95081110036756,208.9270871765076,205.2363027297964,197.9000124939199,200.40326043789153,205.16260047187092,197.93534453625853,201.93241424892352,208.61814486035695,218.51221894884384
