dates,sar2192-0000,sar2192-0001,sar2192-0002,sar2192-0003,satname
1984-06-07 09:34:18+00:00,227.27,206.00,199.61,200.52,L5
1984-06-14 09:40:36+00:00,223.36,201.50,197.55,191.61,L5
1984-06-30 09:40:49+00:00,216.38,198.22,185.88,191.11,L5
1984-08-01 09:41:13+00:00,199.80,217.06,214.85,,L5
1984-10-13 09:36:13+00:00,220.39,197.50,193.00,195.97,L5
1984-10-29 09:36:08+00:00,227.55,209.31,191.84,204.26,L5
1984-12-07 09:41:55+00:00,231.39,209.15,190.07,,L5
1985-04-30 09:42:06+00:00,202.71,177.23,184.85,,L5
1985-05-25 09:36:15+00:00,211.83,201.55,197.00,194.84,L5
1985-08-13 09:35:48+00:00,224.91,203.67,198.19,196.96,L5
1985-08-20 09:41:31+00:00,224.82,199.00,196.15,195.02,L5
1985-09-05 09:41:19+00:00,208.40,197.95,199.97,201.03,L5
1985-09-14 09:35:25+00:00,221.57,200.97,195.65,198.12,L5
1985-09-21 09:41:31+00:00,227.29,204.80,198.89,200.82,L5
1985-10-23 09:41:10+00:00,222.22,197.74,195.45,203.78,L5
1986-01-20 09:33:24+00:00,219.83,193.43,197.78,,L5
1986-03-16 09:38:22+00:00,232.33,207.93,197.38,,L5
1986-05-03 09:37:18+00:00,224.83,196.51,187.61,192.03,L5
1986-05-12 09:30:53+00:00,232.73,205.20,197.93,202.68,L5
1986-07-15 09:28:53+00:00,214.41,201.59,197.93,200.89,L5
1986-07-22 09:34:49+00:00,218.74,193.22,193.90,191.33,L5
1986-07-31 09:28:19+00:00,221.54,196.24,197.38,,L5
1986-08-23 09:33:15+00:00,221.70,197.83,192.27,195.94,L5
1986-09-24 09:32:35+00:00,223.63,197.54,193.07,,L5
1987-01-23 09:26:04+00:00,226.49,208.37,194.27,,L5
1987-04-20 09:35:01+00:00,229.22,198.11,198.69,,L5
1987-05-15 09:29:57+00:00,209.29,199.35,198.53,197.16,L5
1987-06-07 09:36:18+00:00,230.62,206.74,201.62,203.82,L5
1987-06-23 09:37:03+00:00,210.20,200.50,192.91,191.18,L5
1987-07-18 09:31:20+00:00,230.06,202.49,196.55,,L5
1987-08-03 09:31:49+00:00,220.71,203.83,201.69,203.76,L5
1987-08-10 09:37:49+00:00,221.00,195.46,193.56,191.03,L5
1987-08-19 09:32:18+00:00,222.37,196.61,196.48,201.89,L5
1987-08-26 09:38:40+00:00,219.28,202.59,193.90,198.98,L5
1987-09-04 09:32:43+00:00,219.50,197.23,206.93,204.98,L5
1987-09-11 09:38:40+00:00,232.67,209.96,198.23,,L5
1987-09-20 09:33:05+00:00,230.69,212.72,200.79,199.76,L5
1987-10-06 09:33:26+00:00,219.23,197.56,192.03,182.38,L5
1987-11-07 09:34:02+00:00,227.16,207.38,200.65,199.91,L5
1988-01-01 09:41:07+00:00,216.46,209.03,201.93,197.98,L5
1988-02-11 09:35:41+00:00,215.54,199.52,192.77,193.47,L5
1988-03-14 09:36:03+00:00,220.59,210.06,204.56,197.01,L5
1988-04-15 09:36:14+00:00,224.59,200.78,202.19,,L5
1988-04-22 09:42:04+00:00,214.29,195.44,193.86,203.83,L5
1988-05-01 09:36:21+00:00,220.55,195.50,193.59,199.14,L5
1988-06-02 09:36:38+00:00,202.85,200.95,190.87,196.66,L5
1988-06-09 09:42:27+00:00,212.65,192.44,189.47,188.82,L5
1988-06-18 09:36:43+00:00,225.47,200.93,194.15,198.67,L5
1988-07-04 09:36:48+00:00,219.80,197.07,203.92,204.44,L5
1988-07-11 09:43:00+00:00,223.37,209.24,195.83,191.01,L5
1988-07-27 09:42:39+00:00,213.82,203.09,207.15,198.18,L5
1988-08-12 09:43:01+00:00,214.50,202.06,196.78,189.95,L5
1988-08-21 09:36:53+00:00,208.05,208.35,207.49,,L5
1988-08-28 09:42:43+00:00,226.46,198.01,195.80,201.47,L5
1988-09-06 09:36:55+00:00,225.99,217.12,209.48,195.31,L5
1988-09-22 09:36:50+00:00,228.93,200.05,198.09,,L5
1988-09-29 09:42:55+00:00,231.59,202.14,179.08,173.83,L5
1988-10-31 09:42:55+00:00,227.08,200.08,190.48,200.03,L5
1988-11-09 09:36:45+00:00,218.87,202.25,198.74,197.86,L5
1988-12-11 09:36:33+00:00,209.04,197.49,200.63,201.90,L5
1988-12-27 09:36:27+00:00,220.32,198.96,193.04,,L5
1989-01-12 09:36:20+00:00,224.70,194.50,178.67,184.64,L5
1989-01-19 09:41:56+00:00,217.53,198.12,204.27,195.14,L5
1989-01-28 09:36:07+00:00,223.22,204.60,197.57,,L5
1989-02-13 09:36:09+00:00,204.73,188.97,,203.95,L5
1989-04-02 09:35:12+00:00,222.50,206.28,204.20,198.47,L5
1989-05-20 09:34:32+00:00,227.99,210.22,197.19,197.50,L5
1989-06-12 09:40:19+00:00,211.51,194.61,200.42,200.11,L5
1989-06-21 09:33:55+00:00,223.96,208.33,194.43,196.51,L5
1989-07-23 09:33:21+00:00,227.31,201.89,195.65,196.35,L5
1989-07-30 09:39:00+00:00,213.83,198.93,204.05,203.75,L5
1989-08-24 09:32:39+00:00,225.46,202.94,191.89,193.57,L5
1989-09-25 09:31:52+00:00,231.65,201.18,197.02,,L5
1989-10-02 09:38:00+00:00,232.06,207.48,192.49,192.45,L5
1989-10-11 09:31:29+00:00,211.67,197.03,201.23,201.77,L5
1989-10-18 09:36:54+00:00,219.28,199.96,186.53,197.76,L5
1989-10-27 09:30:51+00:00,220.14,209.59,206.08,,L5
1989-11-03 09:36:37+00:00,224.76,196.61,194.26,,L5
1989-11-12 09:30:31+00:00,229.87,214.95,203.31,199.10,L5
1989-12-14 09:29:38+00:00,214.73,187.52,192.82,,L5
1989-12-30 09:29:08+00:00,216.70,200.29,206.28,,L5
1990-01-31 09:28:06+00:00,220.54,211.22,198.95,192.33,L5
1990-02-07 09:33:40+00:00,224.83,188.82,,227.53,L5
1990-03-04 09:27:02+00:00,222.45,191.32,195.00,206.51,L5
1990-04-21 09:26:22+00:00,228.30,197.70,194.82,190.01,L5
1990-05-07 09:26:19+00:00,220.89,202.02,208.28,208.01,L5
1990-05-14 09:32:11+00:00,222.93,206.07,205.31,203.83,L5
1990-06-15 09:32:04+00:00,215.57,190.99,189.57,,L5
1990-07-26 09:26:12+00:00,217.92,207.72,202.81,197.75,L5
1990-08-11 09:26:07+00:00,227.27,200.60,192.33,197.61,L5
1990-08-27 09:26:01+00:00,212.56,191.12,190.69,202.72,L5
1990-09-03 09:32:09+00:00,216.96,201.27,199.53,201.59,L5
1990-09-12 09:25:59+00:00,227.33,195.77,192.55,201.52,L5
1990-10-14 09:25:44+00:00,214.64,193.37,186.35,194.99,L5
1990-10-21 09:31:26+00:00,210.25,197.21,190.98,199.46,L5
1990-10-30 09:25:35+00:00,212.71,195.68,194.15,197.54,L5
1991-01-25 09:32:50+00:00,238.84,209.22,188.81,,L5
1991-03-14 09:33:17+00:00,231.61,204.06,199.58,200.10,L5
1991-03-30 09:33:30+00:00,218.81,193.97,197.32,203.97,L5
1991-04-24 09:28:10+00:00,202.11,197.68,204.27,206.17,L5
1991-05-26 09:28:46+00:00,228.79,201.88,203.64,,L5
1991-06-11 09:28:57+00:00,213.51,212.30,204.69,195.63,L5
1991-07-04 09:35:30+00:00,218.64,191.18,194.11,203.98,L5
1991-07-20 09:35:42+00:00,228.21,205.90,195.40,191.01,L5
1991-07-29 09:29:36+00:00,225.23,201.52,201.23,205.26,L5
1991-08-05 09:35:48+00:00,223.42,198.48,193.15,198.40,L5
1991-08-14 09:29:39+00:00,223.97,206.03,199.93,199.02,L5
1991-08-30 09:29:49+00:00,226.12,195.26,192.37,197.74,L5
1991-10-01 09:30:07+00:00,208.55,190.56,205.37,209.60,L5
1991-10-17 09:29:54+00:00,225.28,202.52,201.66,205.37,L5
1991-10-24 09:36:03+00:00,225.35,200.61,204.34,,L5
1991-11-02 09:30:16+00:00,219.49,205.00,202.17,205.05,L5
1991-11-25 09:36:36+00:00,206.26,195.48,196.75,197.48,L5
1991-12-04 09:30:36+00:00,221.78,188.20,187.10,,L5
1992-01-05 09:30:23+00:00,212.00,192.99,179.13,206.37,L5
1992-01-12 09:36:34+00:00,223.95,203.15,195.78,192.21,L5
1992-01-28 09:36:14+00:00,217.06,194.78,183.16,197.74,L5
1992-02-22 09:30:17+00:00,219.42,201.90,200.12,,L5
1992-02-29 09:36:28+00:00,221.87,205.59,205.03,,L5
1992-03-09 09:30:19+00:00,223.42,194.60,194.49,205.80,L5
1992-04-26 09:29:58+00:00,232.19,201.66,197.49,200.29,L5
1992-06-13 09:29:31+00:00,209.03,194.55,202.76,,L5
1992-06-29 09:29:20+00:00,221.36,203.14,207.01,,L5
1992-07-15 09:29:08+00:00,226.02,197.13,202.06,209.87,L5
1992-07-31 09:28:56+00:00,214.90,198.51,202.37,201.90,L5
1992-08-07 09:34:38+00:00,218.53,191.39,192.75,202.74,L5
1992-08-16 09:28:41+00:00,219.02,203.56,194.80,190.87,L5
1992-09-08 09:34:07+00:00,224.22,188.20,178.22,193.13,L5
1992-09-24 09:34:13+00:00,218.21,197.79,193.72,202.49,L5
1992-12-22 09:27:31+00:00,218.88,192.14,190.18,197.51,L5
1993-01-07 09:27:40+00:00,,155.23,196.49,,L5
1993-01-23 09:27:51+00:00,218.91,204.03,203.02,,L5
1993-02-08 09:28:02+00:00,,188.33,,,L5
1993-03-12 09:28:18+00:00,242.02,211.67,191.00,193.74,L5
1993-03-19 09:34:05+00:00,226.73,201.77,199.32,,L5
1993-04-20 09:34:18+00:00,231.06,207.48,187.63,193.24,L5
1993-05-06 09:34:46+00:00,229.23,198.71,196.43,193.62,L5
1993-05-15 09:28:37+00:00,215.21,203.89,206.84,206.63,L5
1993-06-07 09:34:51+00:00,225.01,203.46,197.75,188.71,L5
1993-07-09 09:34:19+00:00,221.25,199.80,198.91,195.70,L5
1993-07-18 09:28:32+00:00,232.79,206.45,203.85,200.25,L5
1993-07-25 09:34:19+00:00,227.43,208.28,204.63,196.33,L5
1993-08-03 09:28:32+00:00,224.27,198.44,195.49,,L5
1993-08-19 09:28:32+00:00,225.09,210.06,202.02,199.88,L5
1993-09-11 09:34:39+00:00,225.06,205.52,199.01,197.67,L5
1993-10-06 09:28:23+00:00,224.53,209.32,196.88,196.40,L5
1994-01-17 09:33:39+00:00,202.91,181.36,188.95,,L5
1994-03-06 09:32:40+00:00,238.10,211.01,204.63,,L5
1994-03-22 09:32:26+00:00,224.03,208.03,203.04,200.98,L5
1994-03-31 09:26:30+00:00,233.58,203.79,198.14,201.60,L5
1994-04-23 09:32:14+00:00,228.77,207.52,201.32,,L5
