dates,satname,sar2192-0000,sar2192-0001,sar2192-0002,sar2192-0003
1984-06-07 09:34:18+00:00,L5,227.27,206.00,199.61,200.52
1984-06-14 09:40:36+00:00,L5,223.36,201.50,197.55,191.61
1984-06-30 09:40:49+00:00,L5,216.38,198.22,185.88,191.11
1984-07-16 09:40:39+00:00,L5,,,,
1984-08-01 09:41:13+00:00,L5,199.80,217.06,214.85,51.49
1984-10-13 09:36:13+00:00,L5,220.39,197.50,193.00,195.97
1984-10-29 09:36:08+00:00,L5,227.55,209.31,191.84,204.26
1984-12-07 09:41:55+00:00,L5,231.39,209.15,190.07,308.88
1985-01-17 09:36:29+00:00,L5,,,,
1985-04-30 09:42:06+00:00,L5,202.71,177.23,184.85,308.84
1985-05-25 09:36:15+00:00,L5,211.83,201.55,197.00,194.84
1985-07-03 09:42:19+00:00,L5,,,,
1985-07-28 09:35:58+00:00,L5,,,,
1985-08-13 09:35:48+00:00,L5,224.91,203.67,198.19,196.96
1985-08-20 09:41:31+00:00,L5,224.82,199.00,196.15,195.02
1985-08-29 09:35:38+00:00,L5,,,,
1985-09-05 09:41:19+00:00,L5,208.40,197.95,199.97,201.03
1985-09-14 09:35:25+00:00,L5,221.57,200.97,195.65,198.12
1985-09-21 09:41:31+00:00,L5,227.29,204.80,198.89,200.82
1985-10-23 09:41:10+00:00,L5,222.22,197.74,195.45,203.78
1986-01-20 09:33:24+00:00,L5,219.83,193.43,197.78,306.51
1986-03-16 09:38:22+00:00,L5,232.33,207.93,197.38,308.93
1986-03-25 09:32:01+00:00,L5,,,,
1986-05-03 09:37:18+00:00,L5,224.83,196.51,187.61,192.03
1986-05-12 09:30:53+00:00,L5,232.73,205.20,197.93,202.68
1986-07-15 09:28:53+00:00,L5,214.41,201.59,197.93,200.89
1986-07-22 09:34:49+00:00,L5,218.74,193.22,193.90,191.33
1986-07-31 09:28:19+00:00,L5,221.54,196.24,197.38,308.80
