,dates,per0005-0000,per0005-0001,per0005-0002,per0005-0003,per0005-0004,per0005-0005,per0005-0006,per0005-0007,per0005-0008,per0005-0009,per0005-0010,per0005-0011,per0005-0012,per0005-0013,per0005-0014,per0005-0015,per0005-0016,per0005-0017,per0005-0018,per0005-0019,per0005-0020,per0005-0021,per0005-0022,per0005-0023,per0005-0024,per0005-0025,per0005-0026,per0005-0027,per0005-0028,per0005-0029,per0005-0030
0,1985-03-27 15:04:03+00:00,175.9136704609001,171.99870253996002,188.03746913572192,195.40039363453155,195.1709701199484,193.4571417911111,195.08794912627582,198.13196928449494,195.73365899635277,187.1917946169161,192.41339286728447,205.63559427029773,,,,,204.2054230232898,204.01398292341145,208.770796467107,205.91712347766867,213.4044041770335,223.21814766852285,219.29929177503752,224.41830020541857,223.05593957837073,221.21186044422245,215.05802122747411,,,198.2573127505214,
1,1985-09-03 15:03:06+00:00,,,,,,,,,,,,,,,,,197.4843855827852,193.86456366115286,192.32523702168194,194.98439980735833,203.7802198636813,220.91291481269639,209.66042082504327,211.00949031143554,215.60094697456353,,,,,,
2,1986-01-09 15:01:10+00:00,,,,,,,,,,,,,,,,,238.19318228993328,215.60908618104878,214.68670286503985,211.53237441201856,214.50499620670578,226.16278115900192,219.83720460075085,222.57438275760614,232.34273060320248,233.78167618066377,226.62612292590993,230.6081772050557,232.8233626749556,224.65912099771612,222.23250956936934
3,1986-03-14 14:59:46+00:00,168.95163773823867,165.05289472079698,188.31943992096333,195.27317617244037,199.61411992169243,187.3645257546928,189.46282498083846,193.94570923082722,192.21197307868195,182.58500929152143,185.15989378918192,206.43975219933307,206.1423962120429,204.3965704011758,207.7604568730539,218.39565904641773,205.46621274775873,208.19116004165113,211.3023847922501,212.71954959661568,213.66684667156554,228.52215089993075,219.34712533211098,218.4329132164143,219.9268994541358,215.3598680220593,217.66340497973812,211.4081737234754,207.81268518394518,204.74111262340588,202.40403292828194
4,1986-05-17 14:58:17+00:00,195.9450937058751,176.66645691423437,186.19389244538854,201.14990974825923,194.85303814600937,190.59306497922458,192.50559641589876,202.4297375638241,198.89615690896787,194.59796039559458,197.21130396540693,212.1002920426696,212.96765990310934,208.44757803290764,197.99568294151328,208.5942549516535,207.51496428398076,212.4721693589994,213.91043897859643,216.51709580010066,210.10162745656794,218.45014446952538,211.87596955064333,211.62093687489096,212.25324291359428,214.0511112340452,208.56896786499576,198.02038665815294,201.34180965600308,205.48867727682705,203.7039995074557
5,1986-07-04 14:56:48+00:00,197.23123631654605,180.98633232104,185.84981263031165,197.27298205950845,194.98928232831665,193.5196535929546,196.61604321248868,204.7291106834933,206.44404233255923,212.3317593985912,216.50957021055837,224.22321740364072,218.52821915150489,213.53204517038543,199.12165315368335,195.30324578712882,198.72110141145487,198.70218541134878,207.6698977212468,214.38052724774494,214.2503019890323,221.20403796590918,214.03762775208585,218.59848474992026,223.82170825798045,221.93127855618715,216.34780192807264,211.1755994775057,214.7689168239297,214.4675580536005,214.22839069207154
6,1986-07-20 14:56:15+00:00,198.59394771667087,183.0052588843097,188.5798315646623,202.10647819869308,195.9279953031449,194.78413955520043,193.09375741950598,204.55651042895371,211.19268284182732,213.9643074545371,217.72434925857542,224.70193064977153,219.26083459676707,214.2499162264629,198.8750352951924,204.21861075433688,200.83300748745566,201.75303546748052,201.10839547611076,205.99539013055465,213.69269412898558,223.57796385050182,220.41603008171734,225.2023798129723,226.26991851178775,221.54561680578814,219.24452861731373,216.49934909366021,215.19274924803827,212.36401532808074,211.8018885681789
7,1986-08-05 14:55:41+00:00,,,,,,,,,,,,,,,,,195.72936612362224,,,,,,,,,,,,,,
8,1986-09-06 14:54:29+00:00,188.8748246882462,176.45615205667175,174.0231010916777,189.09492115018406,185.46165000044192,185.8207107805453,198.1670648570577,208.77134190076478,219.1297571552195,220.81499275589903,223.52775125178562,224.13448136499116,221.98467735028825,215.73250042841167,208.23885286512098,201.23728776978547,200.973943699882,200.35229761026238,203.88018049304597,203.8977050090526,209.58410214665176,222.73650460773047,222.49196195728226,219.2707401732131,223.96220353442,224.79123784127304,229.5929546591138,220.27354095781965,221.6056473956015,222.52019649346744,216.1524346392909
9,1986-11-25 14:51:54+00:00,186.0539713577781,182.01594966608474,192.44944030454172,206.48084975771874,207.31591529787252,201.35995570126363,206.92799958884626,212.94607663141372,215.84935746458865,221.22873633315345,221.49298934447836,228.00739428361624,230.6324794636006,224.39780241054032,222.10792119583311,222.6723959839963,209.35706056746227,208.05536977130265,206.2886278288864,206.6092896383382,212.21308809141283,218.1048071329254,214.11457461227832,222.0789338698655,225.34359560059787,218.02913679193426,218.50011092132576,217.17133418996377,220.81367808153158,222.26005692839976,222.3264322912036
10,1986-12-11 14:52:20+00:00,184.0977575933595,170.40531056979856,186.44063124855472,194.75548218163846,198.6535901174788,198.65400361152948,202.51947716542975,208.70539062805963,215.63153579089095,216.4598400424064,222.66201358887105,230.63440828340688,223.1466457280519,218.95618558639796,210.79058899559794,216.0501873183644,208.42648639357756,206.91192591707684,205.893325735422,206.24301557578465,211.15489978855504,221.7039453870657,216.6369253408931,226.35576644369476,221.794009612602,219.84608989822448,218.83697981457115,219.98988900770874,218.24428670560866,219.09578257336617,222.60565619133
11,1986-12-27 14:52:50+00:00,173.70685003038054,169.11522573664504,188.67830122578323,198.6190582223005,190.40902185924435,187.9595203249605,190.35396673676573,200.65657386739016,203.93039867045897,200.28105752878596,207.64056843172946,222.2685589265116,221.4049952333123,220.64517185914124,216.7109339948991,216.38076786378596,207.02986148526674,200.41792356769562,205.54854101133125,200.6336146320606,206.8617674079233,217.12132655044888,214.53622682576167,217.06116819405125,217.2910693567154,218.47352741622242,217.33577907463393,211.46661131610236,213.81873219065162,210.07164586049328,210.55918732641473
12,1987-04-18 14:56:42+00:00,163.34542305393674,160.39474056950348,175.2969244827049,182.14582586701266,173.1667145901111,173.17675733358115,171.959708775477,174.9792251639205,171.8683753405702,167.07249753344732,178.52649379575755,183.8762967310135,186.83575090082306,187.69504275063608,178.7493996462903,188.4755555669541,180.66530067014222,188.40436393588584,194.49248005482843,188.37127122081932,196.78838093902004,203.05883261005872,197.68137487420557,192.96665840581355,196.4000618715521,198.2269880980672,179.33671207851307,173.22272002505622,182.638549035979,177.94616113238862,171.84829320007594
