dates,nzd0494-0000,nzd0494-0001,nzd0494-0002,nzd0494-0003,nzd0494-0004,nzd0494-0005,nzd0494-0006,nzd0494-0007,nzd0494-0008,nzd0494-0009,nzd0494-0010,satname
1999-08-26 22:07:32+00:00,321.17,348.15,344.62,348.66,346.32,338.14,345.70,343.00,338.47,348.70,338.75,L7
1999-09-27 22:07:36+00:00,329.45,343.80,341.08,345.73,346.60,330.58,328.89,339.63,342.07,347.26,328.62,L7
1999-10-13 22:07:36+00:00,342.85,348.35,340.95,345.34,337.79,327.79,327.96,330.57,344.81,346.88,337.64,L7
2000-02-18 22:07:16+00:00,334.44,345.82,349.86,351.34,356.40,347.25,352.68,351.47,350.16,344.04,355.35,L7
2000-02-25 22:13:25+00:00,322.81,314.83,318.92,322.42,318.38,325.79,339.43,340.59,344.87,359.03,364.06,L7
2000-03-21 22:07:12+00:00,,336.60,339.67,345.59,351.02,335.09,338.95,340.53,344.63,344.42,359.09,L7
2000-05-08 22:06:44+00:00,336.35,352.30,349.34,344.79,342.52,340.60,345.83,345.74,352.68,355.56,360.74,L7
2000-05-31 22:12:42+00:00,303.96,347.11,342.47,333.26,342.21,342.99,341.61,335.64,342.98,338.07,338.25,L7
2000-06-25 22:06:19+00:00,,348.58,357.36,353.51,348.60,351.58,345.38,345.57,362.21,377.86,,L7
2000-08-03 22:11:55+00:00,299.68,325.45,336.81,336.97,330.94,334.30,334.55,335.64,343.35,339.70,343.81,L7
2000-08-19 22:11:49+00:00,,,,,,,,,,385.98,,L7
2000-09-20 22:11:14+00:00,324.40,327.11,339.76,335.63,336.61,345.39,341.67,341.46,347.87,371.66,385.19,L7
2000-11-16 22:04:56+00:00,323.35,323.65,337.97,337.70,324.46,331.39,328.19,344.62,349.35,364.30,370.07,L7
2000-12-18 22:05:01+00:00,335.14,336.90,340.50,344.24,337.59,339.63,335.82,340.69,355.61,368.52,376.41,L7
2001-01-03 22:05:00+00:00,341.53,342.07,352.36,357.77,351.84,351.01,346.98,356.67,357.12,368.72,384.31,L7
2001-03-31 22:10:55+00:00,341.74,351.21,361.66,361.61,357.30,357.30,357.92,366.37,374.26,381.79,390.35,L7
2001-04-09 22:04:41+00:00,332.08,345.28,349.08,349.31,350.96,346.20,347.76,353.78,368.76,353.65,338.27,L7
2001-04-16 22:10:54+00:00,324.47,336.18,337.37,336.00,334.07,336.89,332.81,347.77,357.14,357.91,358.03,L7
2001-05-11 22:04:33+00:00,350.86,357.75,369.57,376.04,365.66,355.04,359.49,366.49,372.99,365.93,359.87,L7
2001-06-19 22:09:53+00:00,344.33,357.67,355.57,363.36,361.49,351.92,350.15,367.36,375.69,362.14,352.51,L7
2001-06-28 22:03:56+00:00,333.76,344.09,349.41,353.35,349.27,349.46,353.62,365.20,371.39,377.43,379.03,L7
2001-07-05 22:09:45+00:00,350.94,362.81,370.11,371.43,370.56,364.70,365.94,381.47,397.53,374.54,401.08,L7
2001-07-14 22:03:57+00:00,327.02,336.56,342.80,346.57,342.54,350.77,347.31,359.96,365.71,373.40,375.84,L7
2001-08-15 22:03:26+00:00,351.45,349.56,346.10,347.20,342.27,338.91,326.35,341.24,338.00,346.17,360.49,L7
2001-10-02 22:02:52+00:00,326.94,345.46,344.53,345.97,344.85,333.70,331.46,343.10,341.42,336.18,327.80,L7
2001-11-03 22:02:58+00:00,341.66,344.24,349.96,350.09,352.83,339.26,338.69,342.74,350.74,352.51,355.13,L7
2001-12-28 22:09:25+00:00,305.86,308.27,316.62,,,,,,,,,L7
2002-01-29 22:09:33+00:00,331.61,335.61,343.29,346.75,351.81,332.64,331.00,332.90,335.12,339.60,366.15,L7
2002-03-11 22:03:31+00:00,332.18,343.52,347.93,349.53,351.68,345.94,337.31,352.88,376.91,,335.31,L7
2002-04-12 22:03:25+00:00,346.38,357.80,350.81,348.74,344.01,334.37,334.66,340.54,340.52,342.09,,L7
2002-05-14 22:03:19+00:00,342.57,352.98,350.72,348.15,336.64,325.82,335.84,335.21,338.91,343.57,346.88,L7
2002-05-30 22:03:13+00:00,319.74,342.37,342.31,340.57,332.94,328.22,323.38,322.99,347.22,356.35,345.30,L7
2002-06-15 22:03:07+00:00,,343.32,346.66,342.18,333.49,336.11,323.78,324.67,354.24,354.16,352.24,L7
2002-06-22 22:09:15+00:00,315.12,342.47,338.44,335.66,328.23,337.16,331.24,332.02,345.55,342.85,339.95,L7
2002-08-18 22:02:45+00:00,324.14,325.78,338.49,341.08,335.27,320.48,319.50,332.35,338.30,341.32,349.79,L7
2002-09-10 22:08:43+00:00,307.00,329.76,334.12,329.60,329.49,316.79,320.10,324.26,325.63,322.36,320.19,L7
2002-12-24 22:02:57+00:00,330.85,334.77,336.84,334.62,335.19,337.42,338.25,334.76,342.82,345.03,337.45,L7
2003-08-05 22:02:59+00:00,329.42,340.42,354.59,352.32,351.43,346.92,347.85,352.47,357.05,367.74,379.70,L7
2003-08-13 21:51:32+00:00,342.29,363.27,361.53,366.66,367.93,359.76,357.11,371.13,376.09,347.89,365.62,L5
2003-10-16 21:52:31+00:00,354.43,355.81,361.00,357.50,347.43,353.09,349.28,348.60,356.47,370.40,374.84,L5
2003-11-17 21:52:57+00:00,352.40,346.27,354.04,357.13,348.54,359.25,357.80,346.03,355.30,379.87,383.70,L5
2003-12-10 21:58:53+00:00,,347.44,344.53,346.20,343.36,343.88,344.49,349.16,381.81,,,L5
2004-01-12 22:03:31+00:00,345.98,347.09,357.92,357.39,354.93,353.84,,,369.75,370.81,365.98,L7
2004-01-27 21:59:14+00:00,349.10,350.54,361.35,360.83,360.15,359.27,348.05,346.15,362.40,371.87,372.54,L5
2004-02-05 21:53:28+00:00,345.67,345.86,357.72,362.67,365.46,374.71,363.46,364.31,377.44,373.04,386.10,L5
2004-02-29 22:03:45+00:00,336.08,340.67,348.65,345.38,340.09,339.24,,353.52,361.47,365.79,360.82,L7
2004-04-01 22:03:52+00:00,,337.52,350.22,343.69,340.56,347.28,348.76,355.67,363.36,367.72,365.61,L7
2004-04-24 22:09:31+00:00,,,365.63,362.72,357.05,357.95,359.87,363.33,380.73,376.22,,L7
2004-04-25 21:54:35+00:00,,,,,,,,,365.33,,,L5
2004-05-03 22:03:47+00:00,326.88,348.55,,,356.05,355.85,353.49,361.01,367.30,347.80,348.59,L7
2004-05-26 22:09:33+00:00,,343.11,354.68,357.64,355.10,352.43,354.83,,,,,L7
2004-06-11 22:09:50+00:00,,349.47,,,,,,,375.86,381.10,373.88,L7
2004-06-12 21:55:59+00:00,341.88,358.30,373.81,,,,,,,,,L5
2004-06-27 22:09:24+00:00,,353.22,360.95,357.44,353.99,354.54,361.85,365.66,379.93,,,L7
2004-06-28 21:56:28+00:00,317.94,349.94,358.69,353.31,341.95,350.33,353.41,359.81,367.55,373.97,364.09,L5
2004-07-06 22:03:36+00:00,,336.77,343.10,337.98,335.80,,346.57,353.27,356.51,355.55,347.04,L7
2004-07-14 21:56:54+00:00,326.50,330.51,336.86,327.59,336.34,333.29,363.37,358.43,365.24,363.89,350.98,L5
2004-07-29 22:09:38+00:00,319.56,,,,,,,363.81,379.28,372.96,367.77,L7
2004-08-15 21:57:37+00:00,317.77,346.03,354.16,348.62,347.79,349.98,350.49,364.93,363.51,351.09,364.03,L5
2004-09-08 22:03:17+00:00,328.79,339.69,,,,353.00,348.65,342.35,352.70,367.51,376.45,L7
2004-09-24 22:03:12+00:00,336.88,345.98,345.11,340.82,336.92,347.99,348.04,344.49,355.50,375.09,368.63,L7
2004-10-18 21:59:11+00:00,353.30,348.44,349.02,346.82,350.08,349.31,349.75,353.80,371.85,366.25,359.01,L5
2005-01-13 22:06:52+00:00,332.42,349.03,345.86,344.10,344.31,348.04,356.11,359.17,361.58,369.65,365.13,L5
2005-01-29 22:06:41+00:00,,,,,,,,,396.15,,,L5
2005-02-14 22:07:21+00:00,342.73,341.01,343.83,342.71,341.44,339.42,345.89,354.16,355.40,356.80,359.96,L5
2005-03-03 22:04:17+00:00,336.38,,,,341.60,343.10,345.92,347.37,353.06,361.52,367.18,L7
2005-03-11 22:01:31+00:00,345.78,356.59,359.54,359.87,363.51,358.37,356.53,358.67,364.04,363.11,365.97,L5
2005-04-03 22:07:51+00:00,,,,,338.69,339.55,341.30,342.91,348.68,359.94,370.42,L5
2005-04-12 22:01:42+00:00,343.87,358.29,360.30,357.14,347.44,333.42,340.47,340.55,346.09,351.80,353.28,L5
2005-04-19 22:07:31+00:00,333.46,342.33,352.77,350.90,341.20,336.98,348.81,350.50,366.29,370.99,375.00,L5
2005-04-20 22:04:08+00:00,326.50,344.31,354.11,351.06,344.51,338.45,343.44,348.70,356.06,355.34,,L7
2005-04-27 22:10:21+00:00,,,351.51,351.82,347.13,342.08,346.86,346.16,358.49,366.95,361.57,L7
2005-05-05 22:08:01+00:00,351.51,362.11,371.05,366.93,361.36,358.33,358.15,360.38,385.47,382.97,360.97,L5
2005-05-21 22:08:08+00:00,358.87,374.24,397.54,384.68,358.10,345.36,348.87,348.62,353.37,389.60,359.80,L5
2005-05-29 22:09:57+00:00,,,,,,352.26,350.35,360.36,374.60,375.92,373.24,L7
2005-06-06 22:07:53+00:00,,,,,,324.79,,,,,,L5
2005-06-07 22:04:06+00:00,346.20,367.35,368.91,365.04,366.91,363.16,362.63,371.82,,,388.01,L7
2005-06-14 22:09:50+00:00,302.97,,,,,,,,365.21,366.69,374.18,L7
2005-06-15 22:02:10+00:00,317.29,344.11,353.07,348.00,348.86,338.08,346.28,355.96,370.90,376.63,385.41,L5
