dates,sar2176-0000,sar2176-0001,sar2176-0002,sar2176-0003,sar2176-0004,satname
1984-04-13 09:27:07+00:00,244.51,182.42,192.38,247.47,248.89,L5
1984-05-06 09:33:27+00:00,246.44,179.76,187.40,250.62,253.33,L5
1984-06-07 09:33:54+00:00,247.92,180.17,185.72,249.54,254.55,L5
1984-07-18 09:28:46+00:00,249.36,182.78,186.45,250.72,255.91,L5
1984-08-03 09:29:20+00:00,250.16,184.74,188.90,250.82,256.78,L5
1984-08-19 09:29:51+00:00,250.46,184.99,189.00,250.36,256.76,L5
1984-09-11 09:36:14+00:00,250.24,184.42,188.23,251.86,257.53,L5
1984-09-20 09:30:04+00:00,250.55,184.23,188.77,252.59,257.52,L5
1984-10-22 09:30:00+00:00,251.86,185.04,188.49,252.94,259.25,L5
1984-11-07 09:29:53+00:00,252.36,186.28,189.10,252.33,259.19,L5
1984-12-09 09:29:58+00:00,253.30,186.94,190.63,252.81,259.44,L5
1985-02-02 09:36:09+00:00,252.57,185.03,189.81,253.40,259.10,L5
1985-02-11 09:30:23+00:00,252.44,184.68,189.12,253.59,259.40,L5
1985-05-02 09:30:07+00:00,251.80,185.00,188.58,253.22,258.72,L5
1985-05-18 09:30:04+00:00,250.14,184.85,191.67,253.03,256.72,L5
1985-07-05 09:29:57+00:00,247.40,178.31,187.40,257.08,256.02,L5
1985-08-22 09:29:32+00:00,247.02,177.81,188.10,257.12,254.33,L5
1985-08-29 09:35:38+00:00,247.02,177.81,182.94,257.12,254.33,L5
1985-09-14 09:35:25+00:00,246.11,178.98,184.09,253.74,252.68,L5
1985-10-09 09:28:59+00:00,248.84,179.58,184.07,254.35,255.33,L5
1985-11-10 09:28:33+00:00,249.61,179.28,184.01,255.03,255.67,L5
1985-12-03 09:33:55+00:00,250.42,180.27,183.50,256.48,258.45,L5
1986-01-04 09:33:20+00:00,250.86,185.12,185.76,253.28,257.63,L5
1986-01-13 09:27:22+00:00,249.61,184.94,186.21,252.19,256.33,L5
1986-03-18 09:25:58+00:00,250.64,185.44,191.02,254.41,257.92,L5
1986-03-25 09:32:01+00:00,251.03,184.76,191.01,254.60,258.58,L5
1986-05-12 09:30:29+00:00,249.17,185.34,192.90,253.78,257.48,L5
1986-07-08 09:22:57+00:00,249.33,184.37,190.50,251.64,257.08,L5
1986-07-15 09:28:53+00:00,252.20,183.75,189.94,252.05,260.61,L5
1986-07-31 09:28:19+00:00,252.53,182.56,188.87,252.90,260.62,L5
1986-08-16 09:27:20+00:00,252.00,182.92,189.09,252.84,260.62,L5
1986-09-17 09:26:37+00:00,251.70,182.66,187.16,251.87,260.62,L5
1986-12-22 09:24:45+00:00,250.69,182.36,185.92,250.21,256.78,L5
1986-12-31 09:19:14+00:00,250.94,182.30,185.50,250.22,257.07,L5
1987-01-16 09:19:41+00:00,249.51,182.08,185.76,251.43,254.72,L5
1987-01-23 09:26:04+00:00,251.06,182.08,185.76,251.43,255.62,L5
1987-02-17 09:20:35+00:00,250.50,183.33,183.62,247.60,254.12,L5
1987-03-21 09:22:02+00:00,251.84,185.09,186.36,248.32,255.51,L5
1987-04-06 09:22:36+00:00,251.97,184.72,187.68,250.28,256.26,L5
1987-04-29 09:29:30+00:00,251.56,184.97,187.85,251.34,257.28,L5
1987-05-08 09:23:35+00:00,252.11,185.27,188.15,251.94,257.68,L5
1987-06-25 09:24:44+00:00,252.43,185.99,189.13,251.86,259.31,L5
1987-07-11 09:25:03+00:00,251.97,185.99,189.83,252.07,258.94,L5
1987-07-27 09:25:25+00:00,251.32,185.88,189.70,252.20,259.35,L5
1987-08-03 09:31:49+00:00,250.97,185.72,189.37,252.04,259.08,L5
1987-08-19 09:32:18+00:00,250.94,185.99,189.78,252.16,258.71,L5
1987-08-28 09:26:22+00:00,250.67,185.44,189.62,251.33,258.23,L5
1987-09-04 09:32:43+00:00,250.45,185.06,189.65,250.93,257.84,L5
