,dates,per0008-0000,per0008-0001,per0008-0002,per0008-0003,per0008-0004,per0008-0005,per0008-0006,per0008-0007,per0008-0008,per0008-0009,per0008-0010,per0008-0011,per0008-0012,per0008-0013,per0008-0014,per0008-0015,per0008-0016,per0008-0017,per0008-0018,per0008-0019,per0008-0020,per0008-0021,per0008-0022,per0008-0023,per0008-0024,per0008-0025,per0008-0026,per0008-0027,per0008-0028
0,1985-03-27 15:04:03+00:00,111.74138795838996,154.9433735242648,185.2882179828524,195.45677604003345,199.45096567866696,204.80366692221352,206.75928282944432,206.21065308523546,207.11193303294885,206.79661850436108,202.7476213427787,195.10371514248584,190.72653344375746,192.00114211344035,197.66435075230117,202.0405558608932,193.87772856133734,188.40329108345642,176.78681908078988,182.18652144351938,171.8217930792282,173.2689502913094,170.55975793025328,172.5641650013546,178.17719694376396,190.10063656941077,174.96369846885324,157.14563420398557,142.2582897895798
1,1985-09-03 15:03:06+00:00,94.43682283787332,129.56267540969378,181.96744463218155,206.1399925302841,199.060064685881,190.52800642961677,197.0651536281212,205.44663896115958,207.10304855209276,204.2436576460486,204.90603387686372,204.7289214950902,201.12445927689004,201.98150778240557,208.6975669737363,204.53174018092565,209.01123220425177,208.26956703569078,209.40304324841333,202.99780908147704,189.28257424913193,190.04497708101002,182.2412920288964,177.3941664232081,180.46255729088668,183.60095404586278,180.61301444297453,175.38602314245455,173.68299533594066
2,1985-12-08 15:01:45+00:00,98.8543305088048,133.03791419178614,175.4425274134224,193.9090081586045,197.01582359227612,188.91675763736805,197.69683849583814,195.84417614259502,197.8987979395773,194.37337432799296,192.0002558391561,191.8154248197461,185.60445144058608,189.96036241381196,198.51320098704647,198.17304707385145,196.93220924357584,201.9320890488176,197.89971219230833,193.5834699806064,187.31360159187957,178.92068987968685,176.98216411294356,173.8201140477771,177.9141293633151,184.52752026710436,176.6727928109787,170.51467188983978,168.96086028662086
3,1986-03-14 14:59:46+00:00,107.83368808443309,148.65459727936454,181.96931472587258,189.62773530691388,194.07734140417315,199.22044459030204,207.20218275768235,205.6772049212385,201.7540859597685,202.2821715593226,199.67756947189136,187.9471295709659,184.72396463080767,187.80755829798684,185.66094313555905,186.33301902005726,189.9556903615773,185.85159645415965,185.23998282786482,184.06219007647582,180.36955213511447,169.3361916307806,171.55280555301718,173.62037554771786,172.72337601598971,177.10296768685578,170.5342861581281,165.69323034651086,166.0955685869243
4,1986-05-17 14:58:17+00:00,101.49785225748775,135.9112006153951,170.54354162683114,197.32458809418716,188.14474227285842,190.41624779983349,204.42227437730463,205.97012094673033,198.6985697018498,200.46595596872177,189.10000884168224,188.74104277736305,187.28710575751353,189.6108246033044,189.41225055596124,194.16055535223285,191.87282496367058,191.82158143975929,186.03770938073373,184.10139626219237,178.68919353370276,175.81608970999093,171.9967400300265,172.12728262416888,174.0541060876471,174.77252523243092,172.6863446290844,159.14211332474784,159.49904498429214
5,1986-07-04 14:56:48+00:00,98.2214648519074,131.7462771030881,177.46909286233853,206.89669392784378,201.46996523003895,192.9255094903416,217.54079911815657,221.48074324495389,213.96494849947615,210.40226950006732,205.44668326529555,200.25850502246422,200.18569259084893,196.70747571303727,196.92076384027516,197.268576857003,196.86413629593352,190.81791425900755,189.00428968121443,197.2090632807941,184.22032795045564,183.02759523622072,189.5953269583866,190.7159168778337,192.9393472299064,199.86899631645554,174.6187070912923,167.08763691334792,155.0973566454121
6,1986-07-20 14:56:15+00:00,112.08732402135882,156.08213896671748,195.4697738669352,219.03460185201038,211.10359775485625,198.8752287531369,201.66965721031283,207.8647230390204,216.50460784736651,225.3967948332459,214.40679447318695,215.57585466509516,202.05983245104852,208.82300599581782,207.9792725865651,195.9253396022923,198.95512717141963,197.2338709209244,194.82864299077895,189.8494503286149,184.81516860535356,184.8140711111244,183.78069766220864,192.52001396520973,194.20723568496646,195.50739089373562,190.00681594054114,190.84857681801853,170.48596175402136
7,1986-08-05 14:55:41+00:00,102.98723386385264,144.19474094937695,179.43378833735167,212.3375305047853,212.70823762084953,200.35545296123124,189.88312870089814,198.4920072083114,207.33295099016087,205.87565415647228,199.74727489289506,204.22355915031673,212.6446557840112,211.15837590186683,197.65806075966913,199.2806856646831,200.07634614607892,190.39452273130644,188.37281646975802,180.955513556756,176.1939297988924,170.6421752423906,,,,,,,
8,1986-09-06 14:54:29+00:00,113.4577512000538,140.02383623589628,177.78741147514572,200.3461449812429,193.0090066527359,186.5789236187617,193.47271862608264,198.9645959018785,207.10349314455425,199.5180814562543,196.02863195107741,194.7218375412388,195.34770627698592,194.25994675671365,199.96248683189313,209.00002249308938,207.28390193833602,204.38695380102942,204.03756171729913,202.3286337571447,188.83781315546238,183.54918552782345,177.8417967622303,173.01875115689475,179.07242682073388,182.41383931897855,182.35883785997694,174.67982742029085,174.04431093226984
9,1986-11-25 14:51:54+00:00,133.67866416598181,162.68612349154688,191.65282038299256,201.7547446989081,202.18634801572364,199.14057902544002,208.44605623663753,203.61886132471136,208.4500184283045,205.5294311426698,208.75741196698985,203.66795781144322,203.54880665089183,198.79891615571682,205.26606712825955,207.8959031523343,210.01786155427766,202.0084200877642,201.4178620855409,200.5099122808463,194.62404899755973,191.19237507693842,193.7832214859613,187.67483212936432,184.00189143517443,188.24241371720515,179.50467599820087,173.83199686250248,169.89364162598304
