,dates,nzd0373-0000,nzd0373-0001,nzd0373-0002,nzd0373-0003,nzd0373-0004,nzd0373-0005,nzd0373-0006,nzd0373-0007,nzd0373-0008,nzd0373-0009,nzd0373-0010,nzd0373-0011,nzd0373-0012,nzd0373-0013,nzd0373-0014,nzd0373-0015,nzd0373-0016,nzd0373-0017,nzd0373-0018,nzd0373-0019,nzd0373-0020,nzd0373-0021,nzd0373-0022,nzd0373-0023,nzd0373-0024
0,1999-09-04 22:00:09+00:00,136.776739577136,125.14467909984629,122.22115007677218,118.95145504907681,124.26943887122117,131.7741174811514,135.80267635786484,143.19491149990805,136.64119492319057,134.83766718330716,164.1741316015081,165.29730773840643,171.0883091937002,154.80470333923105,149.4607113414187,169.2106303248325,126.46839125833054,144.30825812971744,143.55416612190453,122.2437492238313,139.54249401956554,124.46067362024505,130.5821060373504,135.06637420969764,135.3662172375447
1,1999-09-20 22:00:08+00:00,121.58375291284077,118.0880826254579,107.10574908042081,105.82166182215539,107.86136060369442,114.68932816511848,117.17349034319598,127.1260430271263,120.40679024995565,130.55351666719437,148.98336764422737,149.68340077017209,155.45037029542524,136.9509523333226,139.62137668046955,148.8424295542962,114.28648287510867,134.20068958920768,132.74615661013462,108.70802743451137,126.37834929332563,111.83808911355506,108.1423684876704,119.15457904889777,121.08249918807309
2,1999-10-22 22:00:04+00:00,165.37399565107356,114.98240325814223,110.27909606867505,108.29581318687566,115.66791016801774,123.24756053132367,124.00135121918969,126.12815867867585,117.93337934767688,129.45544786286223,169.48986809794164,176.9212273436947,184.60166325812062,146.12490329757404,,,116.68229029404009,145.06004833933176,152.2414554744549,119.37187853587542,134.64476897999904,113.94495172147995,79.7581985828415,129.1485922257942,122.87723179278075
3,1999-12-09 22:00:09+00:00,134.82522086201698,128.3116881780217,119.77908428466198,121.79700419746936,125.48393976916127,125.16354870743474,125.19076797992857,131.17835518568833,123.45799489221527,134.45038906191886,158.06314708266692,158.5225427462393,165.17679842156,148.85448793505276,149.3187483527645,159.90380954946062,122.54333617398561,139.64868593871554,148.40042586462027,126.54171000068163,140.81160133124382,121.61914538499558,125.84933958584337,131.32938562231394,134.7340157178508
4,1999-12-25 22:00:04+00:00,139.8987334204623,129.85719049824195,116.84775363263327,115.91222921607951,122.26358578471961,124.67283174573652,125.26786248944282,126.88325415628532,121.98155767456305,129.0125644689993,158.9538771562115,157.8712826488102,163.9948526497029,147.81628576997414,154.07310147840278,161.41938244132157,128.21047102155674,144.29948446060874,151.81812661299247,121.91444086575186,129.1232553702597,117.94040200225685,124.83816253806273,136.15693731300001,140.9642704712705
5,2000-01-26 22:00:02+00:00,152.18074264462732,143.48108786923018,132.1776617457065,125.99957726939823,131.48438550585,129.60948366015563,128.83790248297302,128.25551167739647,127.32921886459377,139.34723833343926,171.08750305210705,175.1010805148564,171.05694949360182,160.81132110590048,164.96092870765958,177.6158552456045,132.1714261723076,150.34223024428434,157.66127122500393,124.38795119003699,134.92328620718436,119.24393965373373,134.29666994980198,139.9964085733971,160.57255244818626
6,2000-02-11 21:59:57+00:00,149.6422375172829,130.39003393720594,123.44347005438588,124.85396350072067,129.52308772847556,133.66567768158006,133.4763303406071,135.5809575717168,123.33085443913286,133.36129830476204,163.00867324080914,166.38711950444812,177.48140941691508,155.42150364533748,159.21262780110516,177.31142833497455,131.23780823920802,154.9537831679653,159.17327507241734,135.22891444986783,145.15197282707493,128.3357807463701,132.09371490875603,132.6511139349694,139.83773985929088
7,2000-02-27 21:59:52+00:00,153.68606300716507,142.75508240667284,122.954012876884,122.75738273518365,127.77607522535236,132.15177505629254,129.10480098020938,134.36420863092496,124.91906690029235,138.47800460971834,160.08748768089063,157.8371353825012,165.04614640534797,150.49879714200426,153.30608747445848,161.2626633208375,128.1181390525861,150.48459181948616,151.69677577729888,125.02402158504822,134.51542623444354,117.27737885770415,127.64586215003996,137.99241875953763,135.79083502067942
8,2000-03-14 21:59:47+00:00,125.00944713497982,122.55941921441647,112.60662213236583,109.5419347589171,115.40305141601861,114.75812387680266,118.55136230302794,123.71128495141555,114.71993994611094,124.53207770937213,152.07016668458385,150.05841894087533,154.2484897741143,136.81156771404707,134.80205885954453,147.98531398743953,116.99157263752026,129.26610358542706,142.80956122227806,111.40769375059473,127.57521135050564,108.15975870112497,100.86789994349277,113.89862294873191,123.88341796027586
9,2000-03-30 21:59:45+00:00,173.3922529813637,146.6171783940662,140.98487619085654,127.75471779328879,129.1263870166373,129.3120662097652,131.95393579061275,143.31689777308847,137.8323856679682,149.51692522404397,174.28835184555535,179.31603392190036,185.01861851471247,153.34304725553682,158.16423378424184,166.6638830454831,129.10690954134105,145.19699607321547,152.01423603002857,129.07150446814578,141.65182223099146,127.7415602371677,135.7484572475545,142.6958767866467,144.75138231640733
10,2000-04-15 21:59:31+00:00,183.94950436009447,150.09809157089802,132.5136313090018,120.14715096324217,127.6099423523959,128.90650810967358,130.89474800056746,137.42353077235046,129.2080418241435,142.36008562584348,179.00295979769587,185.28381122433603,193.3972212887013,153.6624835115898,151.17786866215303,,127.46527013836678,,160.4366742762064,122.51226853657268,137.9586798030892,124.33830129034413,129.24434124079153,136.9202807265632,133.24727309849882
11,2000-05-01 21:59:30+00:00,166.17859173698028,149.70080623789923,134.4182795545468,113.86824674119796,121.36356675218072,127.247592495092,128.5711791228421,135.6173787191623,130.93666332305855,143.68920474358129,186.60092438012362,189.85842679472128,196.14703893647453,160.0963911759395,160.18055791711197,,125.65866842134437,150.54305359642177,152.90848134829295,121.8579074136586,138.22839344018942,123.23729908585166,132.9770361245916,142.03146008873475,135.51625080558986
12,2000-06-02 21:59:07+00:00,125.20971420110645,139.47390580334348,131.1854843732994,103.52199867691259,95.33861371065711,112.40477419995791,115.34032324973882,130.83703379079932,135.0123779951101,141.0621450378121,163.78568011754953,160.53931431615393,161.3226652693811,134.51870847343218,137.66671875865143,154.56111855378768,112.90125079936489,138.08191968916793,125.74607769988792,105.42758361368823,128.13581395382977,113.46836052319289,122.16238484950762,128.67275727924326,120.48434188116566
