dates,satname,nzd0523-0000,nzd0523-0001,nzd0523-0002,nzd0523-0003,nzd0523-0004,nzd0523-0005,nzd0523-0006,nzd0523-0007,nzd0523-0008,nzd0523-0009,nzd0523-0010,nzd0523-0011,nzd0523-0012,nzd0523-0013,nzd0523-0014,nzd0523-0015,nzd0523-0016,nzd0523-0017,nzd0523-0018,nzd0523-0019,nzd0523-0020,nzd0523-0021,nzd0523-0022,nzd0523-0023,nzd0523-0024,nzd0523-0025,nzd0523-0026,nzd0523-0027,nzd0523-0028,nzd0523-0029,nzd0523-0030,nzd0523-0031,nzd0523-0032,nzd0523-0033,nzd0523-0034,nzd0523-0035,nzd0523-0036,nzd0523-0037,nzd0523-0038,nzd0523-0039,nzd0523-0040,nzd0523-0041,nzd0523-0042,nzd0523-0043,nzd0523-0044,nzd0523-0045,nzd0523-0046,nzd0523-0047,nzd0523-0048,nzd0523-0049,nzd0523-0050,nzd0523-0051,nzd0523-0052,nzd0523-0053
1999-08-08 22:19:52+00:00,L7,331.77,328.39,323.28,329.59,336.31,345.26,345.26,349.98,344.27,343.88,336.72,328.19,334.99,334.72,330.01,322.57,325.78,326.55,327.39,330.94,330.25,320.73,331.23,338.03,338.27,333.61,317.84,315.29,317.26,313.16,315.33,319.10,324.00,322.89,323.26,324.39,319.46,328.13,324.15,325.57,326.48,324.43,221.35,227.29,221.97,268.67,269.85,260.35,261.23,281.02,278.13,281.59,309.70,
1999-09-16 22:25:58+00:00,L7,351.45,345.69,338.31,345.49,349.54,358.18,356.57,366.45,372.27,373.40,365.50,361.33,358.38,354.24,349.80,350.35,341.14,350.34,346.44,345.71,351.93,361.82,355.62,356.81,353.41,351.34,341.35,342.47,341.84,361.05,348.99,344.63,341.82,356.07,360.15,366.43,359.76,372.16,373.18,365.92,359.64,361.25,352.99,350.55,340.74,341.71,344.29,351.91,350.04,362.96,369.72,363.88,355.43,337.70
1999-10-02 22:26:11+00:00,L7,349.88,345.41,344.93,343.23,343.54,353.34,354.36,362.18,362.24,368.61,365.83,357.38,354.55,363.44,356.55,348.86,340.07,344.21,345.36,349.48,354.99,358.23,349.84,351.81,351.91,349.30,341.69,347.93,344.89,339.41,329.04,344.29,341.68,348.03,357.16,358.14,352.16,356.77,356.40,362.47,355.38,352.46,350.63,346.93,334.16,334.68,340.62,342.24,345.87,364.51,348.93,354.19,339.78,330.24
1999-12-30 22:19:45+00:00,L7,340.79,333.54,335.90,332.72,334.02,341.60,339.05,351.30,357.56,365.08,355.97,349.19,344.40,344.60,342.46,328.19,329.75,329.87,334.96,331.32,347.27,364.40,367.38,349.74,338.77,339.69,336.81,337.39,331.20,340.06,335.95,334.49,333.58,330.97,346.41,345.25,348.14,347.07,354.03,346.85,348.00,347.04,344.81,340.41,340.74,332.13,333.94,334.69,337.78,351.55,345.04,346.01,336.09,334.78
2000-04-20 22:19:15+00:00,L7,349.43,343.50,340.28,341.33,350.60,363.70,373.86,377.53,375.98,360.22,353.90,349.94,348.97,352.45,340.94,338.28,338.19,338.64,336.55,339.57,353.22,355.12,358.06,356.73,356.47,349.90,343.19,335.81,333.26,339.35,333.84,343.37,343.66,347.21,353.58,352.57,346.18,343.59,350.67,351.51,347.19,345.57,338.87,340.66,339.68,333.85,339.84,327.53,265.21,353.73,351.05,359.53,353.39,293.52
2000-04-27 22:25:27+00:00,L7,347.26,339.22,333.96,335.61,341.18,352.22,356.32,364.03,365.61,362.13,350.38,345.11,347.08,342.89,334.68,334.60,339.12,336.74,332.02,341.39,354.65,352.48,359.81,352.67,350.37,333.96,336.61,331.10,324.53,320.40,328.10,334.57,346.84,349.04,352.17,340.90,339.93,335.52,340.39,341.67,337.37,343.00,340.07,332.42,327.80,318.71,317.94,246.11,254.74,234.88,245.74,333.59,316.75,285.35
2000-05-22 22:18:57+00:00,L7,335.38,338.04,330.59,328.90,318.39,327.71,319.69,330.68,334.33,341.89,336.32,329.07,328.12,319.87,319.84,324.44,323.87,328.22,323.29,328.83,337.17,345.91,357.29,349.23,340.79,583.10,608.79,329.11,314.98,320.00,318.12,317.77,144.76,141.33,195.45,338.95,339.67,334.98,333.05,346.80,206.94,215.52,209.70,202.75,168.42,207.34,247.83,232.99,251.91,232.31,250.92,296.37,299.48,282.66
2000-06-07 22:18:48+00:00,L7,363.13,375.46,385.51,372.00,363.14,347.14,346.23,342.74,351.62,366.77,384.84,356.50,380.45,378.78,369.55,370.08,374.93,399.98,408.58,369.49,365.71,374.67,403.59,409.96,353.82,349.71,334.73,105.30,359.56,386.94,400.04,379.41,148.22,143.07,201.71,404.15,386.15,409.60,411.38,396.43,206.77,228.56,207.43,207.00,158.29,239.88,248.79,247.10,249.28,243.93,260.24,129.78,308.95,283.56
2000-06-30 22:24:48+00:00,L7,444.86,456.30,482.04,489.32,482.17,475.51,396.85,382.01,452.66,427.53,440.27,375.71,394.13,381.66,371.85,371.10,328.99,311.43,327.58,383.75,442.50,363.34,355.03,428.46,416.52,349.82,452.57,453.77,425.07,432.49,464.89,477.83,463.53,415.97,205.67,160.76,436.20,438.67,432.60,203.66,216.37,220.79,211.55,211.43,184.74,185.24,262.34,265.93,275.78,243.57,268.28,99.62,291.95,286.39
2000-08-01 22:24:18+00:00,L7,,101.21,138.47,160.16,342.62,339.55,343.75,344.63,358.27,358.22,347.02,342.48,340.19,335.87,333.66,333.99,339.20,327.85,334.00,339.55,365.96,350.91,333.81,352.01,349.21,341.65,341.29,338.56,327.92,323.81,323.28,351.74,363.13,367.88,341.86,346.32,332.24,358.24,373.22,371.83,357.38,204.92,211.11,198.14,206.28,223.11,255.91,246.34,260.56,237.54,260.15,208.76,299.05,282.49
