dates,nzd0523-0000,nzd0523-0001,nzd0523-0002,nzd0523-0003,nzd0523-0004,nzd0523-0005,nzd0523-0006,nzd0523-0007,nzd0523-0008,nzd0523-0009,nzd0523-0010,nzd0523-0011,nzd0523-0012,nzd0523-0013,nzd0523-0014,nzd0523-0015,nzd0523-0016,nzd0523-0017,nzd0523-0018,nzd0523-0019,nzd0523-0020,nzd0523-0021,nzd0523-0022,nzd0523-0023,nzd0523-0024,nzd0523-0025,nzd0523-0026,nzd0523-0027,nzd0523-0028,nzd0523-0029,nzd0523-0030,nzd0523-0031,nzd0523-0032,nzd0523-0033,nzd0523-0034,nzd0523-0035,nzd0523-0036,nzd0523-0037,nzd0523-0038,nzd0523-0039,nzd0523-0040,nzd0523-0041,nzd0523-0042,nzd0523-0043,nzd0523-0044,nzd0523-0045,nzd0523-0046,nzd0523-0047,nzd0523-0048,nzd0523-0049,nzd0523-0050,nzd0523-0051,nzd0523-0052,nzd0523-0053,satname
1999-08-08 22:19:52+00:00,336.87,333.49,331.44,336.39,341.41,350.49,352.29,358.48,349.37,348.98,341.82,333.29,340.09,339.82,335.11,327.67,330.88,331.65,332.49,336.04,335.35,325.83,336.33,343.13,343.37,338.71,322.94,320.39,322.36,,320.43,324.20,329.10,327.99,328.36,329.49,328.33,342.70,332.31,338.32,340.08,335.17,,,,,,,,,,,330.10,,L7
1999-09-16 22:25:58+00:00,342.81,338.24,332.72,339.14,344.12,352.95,352.57,360.22,359.47,359.84,352.31,345.96,347.88,345.68,341.11,337.66,334.66,339.64,338.12,339.52,342.29,342.48,344.62,348.62,347.04,343.67,330.79,330.08,330.75,358.35,333.36,333.06,334.11,340.68,342.90,346.61,341.69,353.57,350.59,348.75,346.26,345.37,346.64,345.64,337.26,334.96,338.89,346.23,341.04,352.16,359.90,357.13,337.37,327.88,L7
1999-10-02 22:26:11+00:00,344.60,340.06,335.88,339.75,343.36,352.50,352.39,359.93,359.83,362.20,356.25,349.20,349.54,351.03,345.69,340.83,335.90,340.60,339.96,342.28,345.96,347.16,345.80,349.12,348.10,344.98,333.86,335.46,334.90,348.03,331.35,336.24,336.07,342.56,347.09,349.89,344.20,353.02,351.62,351.90,347.79,346.54,346.63,344.74,334.62,332.69,338.06,342.45,340.62,354.94,351.32,353.53,335.90,325.97,L7
1999-12-30 22:19:45+00:00,343.59,338.37,335.78,337.91,340.96,349.71,348.97,357.67,359.20,362.86,356.12,349.13,348.19,349.36,344.82,337.61,334.30,337.86,338.65,339.48,346.22,351.41,351.13,349.21,345.70,343.60,334.53,335.88,333.91,345.29,332.44,335.74,335.38,339.60,346.86,348.67,345.07,351.36,352.12,350.49,347.68,346.53,345.83,343.15,336.55,332.30,336.52,339.68,339.40,353.47,348.93,350.82,335.70,328.60,L7
2000-04-20 22:19:15+00:00,344.59,338.00,337.25,336.32,341.78,352.11,355.74,363.54,366.25,362.12,354.41,349.04,346.16,348.00,341.17,332.71,333.44,333.73,335.23,334.92,349.72,359.24,362.19,352.71,347.10,344.27,339.48,336.07,331.70,339.18,334.37,338.40,338.10,338.57,349.47,348.38,346.25,343.83,351.51,347.87,346.19,345.20,340.61,339.58,339.53,331.68,335.84,330.00,299.75,350.54,346.13,351.45,342.64,312.24,L7
2000-04-27 22:25:27+00:00,345.34,338.27,335.94,335.91,341.45,352.01,355.75,363.48,365.90,361.99,352.93,347.60,346.33,346.16,338.88,333.21,335.20,334.60,334.03,336.94,351.23,356.85,361.27,352.56,348.05,340.70,338.39,334.28,329.18,332.79,332.15,336.99,340.88,341.92,350.24,345.76,343.91,340.68,347.59,345.47,342.90,344.19,340.11,336.95,335.45,327.02,329.61,301.76,284.30,311.45,312.19,345.17,333.48,302.79,L7
2000-05-22 22:18:57+00:00,342.10,337.46,333.40,333.16,334.94,345.16,355.75,354.03,357.26,356.22,348.03,342.21,341.03,338.84,333.37,330.26,331.62,332.25,330.59,334.16,346.97,353.37,359.52,350.98,345.49,340.70,338.39,332.24,324.88,328.84,327.89,331.44,340.88,341.92,350.24,343.31,341.55,337.11,342.75,343.93,342.90,310.44,305.75,302.04,292.73,295.23,307.66,282.99,273.70,288.67,294.14,345.17,321.98,295.03,L7
2000-06-07 22:18:48+00:00,345.38,344.13,333.40,333.16,334.94,344.61,351.76,350.22,355.20,357.40,348.03,344.14,341.03,338.84,333.37,330.26,339.35,332.25,330.59,340.30,349.78,356.70,367.41,350.98,346.22,341.79,336.31,332.24,324.88,328.84,327.89,331.44,340.88,341.92,350.24,343.31,341.55,337.11,342.75,343.93,342.90,292.11,283.89,281.34,264.64,281.83,294.03,273.85,265.72,276.00,283.98,345.17,315.65,289.36,L7
2000-06-30 22:24:48+00:00,346.59,346.84,332.70,333.41,335.32,345.42,356.12,350.06,354.67,355.54,345.47,350.60,339.99,337.00,330.42,331.04,340.35,329.08,330.19,351.94,350.48,357.63,366.09,351.48,348.15,345.76,336.23,330.61,322.86,325.18,325.29,330.50,344.65,347.52,352.27,342.74,339.49,334.03,339.13,343.16,340.68,269.28,259.95,257.64,234.92,255.33,282.01,262.52,257.15,259.00,272.81,345.06,311.42,283.86,L7
2000-08-01 22:24:18+00:00,346.59,346.84,332.70,333.41,337.00,344.12,352.82,348.77,355.27,355.96,345.71,349.14,339.89,336.57,331.08,331.63,340.06,328.72,330.83,349.77,353.45,356.41,360.61,351.46,348.24,344.82,337.34,332.44,323.97,324.69,324.63,335.66,350.61,354.11,348.60,343.49,337.42,339.65,339.13,349.95,345.71,258.34,251.57,247.54,230.02,249.71,277.46,259.62,257.38,255.03,270.34,345.06,308.96,283.27,L7
2000-09-02 22:23:58+00:00,346.82,345.21,331.42,336.76,341.58,346.36,352.93,348.38,354.07,353.56,346.20,350.75,341.09,336.43,332.62,332.55,340.91,332.19,334.19,350.72,355.35,358.90,361.30,352.07,350.26,348.53,343.99,340.06,323.97,324.69,324.63,343.19,354.81,359.85,355.45,349.42,341.42,347.06,339.13,357.88,356.37,258.34,251.57,247.54,230.02,249.71,288.34,259.62,257.38,255.03,270.34,345.06,308.96,283.27,L7
2000-09-18 22:23:38+00:00,344.09,342.43,329.78,336.78,341.32,344.98,349.87,346.10,352.03,352.94,345.23,349.67,341.04,335.10,330.55,329.51,337.04,330.99,333.44,348.45,351.95,356.23,358.10,349.83,347.41,345.93,340.19,337.12,322.40,320.74,318.69,337.40,348.70,353.10,347.77,344.53,337.72,344.51,341.00,354.80,348.64,258.34,259.61,255.67,240.79,255.18,291.79,266.74,265.35,263.46,277.93,338.02,308.15,280.94,L7
2000-09-27 22:17:24+00:00,343.48,341.60,331.43,336.90,342.05,344.47,348.90,345.82,352.03,352.49,345.51,349.54,341.56,335.89,330.33,328.79,335.61,330.32,332.96,347.15,349.75,354.81,356.23,349.52,347.48,344.20,339.46,336.72,323.62,321.40,320.27,338.44,347.37,351.04,345.62,343.23,338.25,345.20,342.46,354.96,349.13,270.83,270.65,266.01,251.71,264.53,296.52,274.56,274.81,273.77,286.45,338.60,311.42,286.31,L7
2000-10-20 22:23:22+00:00,343.47,342.75,331.88,338.35,341.59,342.81,344.51,342.43,349.71,352.17,345.10,349.59,341.15,335.91,328.84,328.28,334.88,330.56,332.57,347.09,348.46,354.07,354.94,348.14,345.50,342.89,338.52,336.47,322.69,320.21,320.10,338.01,348.25,350.11,341.50,340.25,336.56,344.19,343.15,354.44,348.05,270.17,270.99,265.38,249.61,263.09,295.67,274.11,282.74,270.82,284.74,333.31,307.74,290.46,L7
2001-04-07 22:17:01+00:00,345.59,347.85,340.79,344.69,345.15,347.19,347.41,348.15,355.72,352.85,348.84,348.97,345.56,348.29,334.90,333.38,330.63,333.72,328.62,337.04,337.90,343.40,344.42,346.44,339.19,336.77,336.12,334.44,330.74,329.33,329.35,336.34,343.05,346.10,339.27,335.75,335.45,336.64,348.19,347.53,343.44,340.50,339.75,335.47,324.26,322.84,327.88,321.90,307.25,332.88,334.68,333.49,325.50,316.08,L7
2001-09-05 22:21:44+00:00,346.90,339.34,341.62,346.49,351.50,352.09,359.33,351.17,351.08,346.95,349.55,350.64,349.00,343.96,339.87,331.34,332.79,329.23,332.65,336.12,337.93,342.56,346.17,349.01,348.08,341.08,336.76,340.88,338.23,334.81,331.13,339.62,340.04,348.98,351.39,347.99,345.76,348.06,356.09,355.56,348.71,341.98,337.70,338.86,330.17,324.86,325.56,324.96,307.65,344.33,342.55,323.27,329.58,298.70,L7
2001-09-30 22:15:18+00:00,346.90,339.34,341.62,346.49,351.50,352.09,359.33,351.17,351.08,346.95,349.55,350.64,349.00,343.96,339.87,331.34,332.79,329.23,323.18,336.12,337.93,342.56,346.17,349.01,348.08,341.08,336.76,340.88,338.23,334.81,331.13,339.62,340.04,344.67,349.70,348.20,344.80,347.66,352.23,354.51,351.26,344.70,341.32,338.97,331.25,328.88,329.29,326.65,307.65,344.33,342.55,323.27,329.58,298.70,L7
