dates,nzd0523-0000,nzd0523-0001,nzd0523-0002,nzd0523-0003,nzd0523-0004,nzd0523-0005,nzd0523-0006,nzd0523-0007,nzd0523-0008,nzd0523-0009,nzd0523-0010,nzd0523-0011,nzd0523-0012,nzd0523-0013,nzd0523-0014,nzd0523-0015,nzd0523-0016,nzd0523-0017,nzd0523-0018,nzd0523-0019,nzd0523-0020,nzd0523-0021,nzd0523-0022,nzd0523-0023,nzd0523-0024,nzd0523-0025,nzd0523-0026,nzd0523-0027,nzd0523-0028,nzd0523-0029,nzd0523-0030,nzd0523-0031,nzd0523-0032,nzd0523-0033,nzd0523-0034,nzd0523-0035,nzd0523-0036,nzd0523-0037,nzd0523-0038,nzd0523-0039,nzd0523-0040,nzd0523-0041,nzd0523-0042,nzd0523-0043,nzd0523-0044,nzd0523-0045,nzd0523-0046,nzd0523-0047,nzd0523-0048,nzd0523-0049,nzd0523-0050,nzd0523-0051,nzd0523-0052,nzd0523-0053,satname
1999-08-08 22:19:52+00:00,342.51,339.13,331.78,337.44,342.89,351.84,351.09,355.81,351.30,352.04,342.23,336.04,341.57,342.01,338.88,333.90,335.05,332.73,335.24,338.50,338.41,331.47,346.92,350.03,351.87,339.61,325.54,326.03,325.11,322.43,323.49,331.85,333.71,329.26,331.59,336.39,333.53,345.13,340.47,341.26,342.17,340.12,,,,,,,,,,,330.10,,L7
1999-09-16 22:25:58+00:00,345.77,340.01,333.81,341.34,346.06,354.70,353.48,363.36,368.55,369.08,362.58,357.18,354.90,350.38,345.10,344.35,336.23,347.07,342.29,341.71,347.61,356.14,347.31,350.46,346.21,348.16,337.27,336.79,337.69,356.14,344.67,337.88,336.68,352.69,355.74,360.08,352.31,363.16,364.54,357.61,351.33,352.94,344.68,342.84,333.54,334.96,336.29,342.09,338.87,350.00,354.29,351.17,344.63,326.90,L7
1999-10-02 22:26:11+00:00,346.30,341.83,342.10,340.61,341.35,351.15,352.42,360.24,359.90,365.89,363.99,354.76,352.36,361.01,353.59,345.08,336.98,342.15,342.74,346.96,352.27,354.65,344.61,347.81,347.38,347.30,339.12,344.35,342.27,336.32,326.32,340.04,338.44,345.90,354.38,354.14,347.47,351.10,350.96,357.24,350.15,347.23,345.40,342.07,329.63,330.43,335.58,336.06,338.84,356.35,339.22,346.19,332.98,323.44,L7
1999-12-30 22:19:45+00:00,340.26,333.01,335.48,332.34,333.70,341.28,338.76,351.01,357.22,364.68,355.70,348.81,344.08,344.24,342.03,327.63,329.30,329.57,334.58,330.95,346.87,363.87,366.61,349.15,338.10,339.40,336.43,336.86,330.82,339.61,335.55,333.87,333.10,330.66,346.00,344.66,347.45,346.24,353.23,346.08,347.23,346.27,344.04,339.70,340.07,331.50,333.20,333.78,336.75,350.35,343.61,344.83,335.09,333.78,L7
2000-04-20 22:19:15+00:00,347.75,341.82,338.95,340.10,349.57,362.67,372.95,376.62,374.88,358.94,353.04,348.71,347.94,351.31,339.55,336.50,336.74,337.67,335.32,338.38,351.94,353.44,355.60,354.85,354.34,348.96,341.98,334.13,332.03,337.90,332.56,341.37,342.14,346.21,352.27,350.69,343.97,340.92,348.11,349.05,344.73,343.11,336.41,338.37,337.55,331.85,337.47,324.62,261.90,349.89,346.48,355.77,350.19,290.32,L7
2000-04-27 22:25:27+00:00,346.42,338.38,333.29,334.99,340.66,351.70,355.86,363.57,365.06,361.49,349.95,344.49,346.56,342.32,333.98,333.71,338.39,336.26,331.40,340.80,354.01,351.64,358.58,351.73,349.30,333.49,336.01,330.26,323.91,319.67,327.46,333.57,346.08,348.54,351.52,339.96,338.83,334.19,339.11,340.44,336.14,341.77,338.84,331.28,326.73,317.71,316.75,244.66,253.08,232.96,,331.71,315.15,283.75,L7
2000-05-22 22:18:57+00:00,329.06,331.72,325.59,324.28,314.52,323.84,316.26,327.25,330.19,337.09,333.08,324.45,324.25,315.58,314.62,317.77,318.42,324.58,318.67,324.39,332.37,339.59,348.06,342.17,332.79,,,322.79,310.36,314.55,313.32,310.27,,,,331.89,331.39,324.98,323.45,337.57,,206.29,200.47,194.18,,199.84,,222.08,239.50,217.91,,,287.48,270.66,L7
2000-06-07 22:18:48+00:00,353.34,365.67,,,,341.14,340.92,337.43,345.21,359.33,,349.35,,,,,366.48,,,362.60,358.27,364.88,389.28,,341.42,344.24,327.71,,,,,,,,,,,,,,,214.25,193.12,193.71,,228.25,,230.19,230.04,221.61,,,290.35,264.96,L7
2000-06-30 22:24:48+00:00,,,,,,,,,,,,384.17,,,,,338.99,318.10,336.04,391.90,,374.92,371.95,,,356.29,,,,,,,,,,,,,,,,237.71,228.47,227.14,,198.99,278.64,,,269.97,,,313.95,308.39,L7
2000-08-01 22:24:18+00:00,,,,,341.85,338.78,343.06,343.94,357.44,357.26,346.37,341.56,339.42,335.01,332.62,332.66,338.11,327.12,333.08,338.66,365.00,349.65,331.96,350.60,347.61,340.94,340.38,337.30,327.00,322.72,322.32,350.24,361.99,367.13,340.88,344.91,330.58,356.24,,369.98,355.53,203.07,209.26,196.43,,221.61,254.13,244.16,258.08,234.66,,,296.65,280.09,L7
