dates,sar2010-0000,sar2010-0001,sar2010-0002,sar2010-0003,sar2010-0004,sar2010-0005,sar2010-0006,sar2010-0007,satname
1984-09-11 09:36:14+00:00,206.07,208.41,217.12,204.22,192.56,214.78,209.56,205.60,L5
1985-04-23 09:36:23+00:00,217.28,222.89,229.46,221.56,209.10,211.44,209.13,204.39,L5
1985-07-12 09:36:05+00:00,219.74,223.58,230.40,222.45,211.91,213.00,204.08,203.38,L5
1985-08-13 09:35:48+00:00,219.76,223.84,231.40,222.26,214.39,215.01,206.19,204.29,L5
1985-12-03 09:34:19+00:00,222.00,228.36,233.47,223.80,216.45,216.54,206.24,193.57,L5
1986-01-04 09:33:44+00:00,215.28,222.52,229.04,217.27,211.10,216.13,206.95,199.08,L5
1986-01-20 09:33:24+00:00,207.45,217.07,224.47,211.01,206.23,217.50,209.94,194.15,L5
1986-04-10 09:31:40+00:00,205.29,214.10,221.53,208.82,202.77,214.78,207.40,191.64,L5
1986-05-12 09:30:53+00:00,209.80,219.09,225.72,213.81,207.33,216.83,208.89,196.70,L5
1986-07-15 09:28:53+00:00,209.51,216.03,224.32,215.01,207.36,217.41,207.05,197.43,L5
1986-07-31 09:28:19+00:00,216.21,220.05,228.09,220.59,211.83,216.82,206.72,203.17,L5
1986-09-17 09:26:37+00:00,217.69,221.99,229.24,221.52,212.51,216.96,207.94,204.74,L5
1986-12-22 09:25:09+00:00,209.66,216.17,224.53,215.88,206.79,214.10,209.32,195.84,L5
1987-01-23 09:26:04+00:00,210.70,218.15,225.09,216.05,208.53,214.17,213.17,190.77,L5
1987-03-28 09:28:28+00:00,203.84,212.03,220.64,209.04,201.33,207.91,208.04,179.72,L5
1987-04-29 09:29:30+00:00,206.76,214.66,223.02,212.09,204.16,210.15,207.18,186.27,L5
1987-06-16 09:30:43+00:00,205.35,213.31,220.67,210.70,202.41,209.15,205.63,187.48,L5
1987-07-02 09:31:03+00:00,210.87,216.36,224.24,214.74,206.16,211.68,204.69,194.71,L5
1987-07-18 09:31:20+00:00,212.35,217.64,225.18,216.13,207.34,212.96,206.64,197.76,L5
1987-08-03 09:31:49+00:00,215.20,220.33,227.26,218.77,209.53,215.23,206.95,205.61,L5
1987-08-19 09:32:18+00:00,216.31,220.61,228.06,219.95,209.75,216.05,207.95,206.42,L5
1987-09-04 09:32:43+00:00,216.35,221.07,228.67,220.98,210.82,218.16,209.66,208.30,L5
1987-09-20 09:33:05+00:00,217.47,222.47,229.33,222.23,211.84,218.51,209.88,208.16,L5
1987-10-06 09:33:26+00:00,218.27,222.81,228.78,223.91,213.55,220.54,211.87,210.09,L5
1987-11-07 09:34:02+00:00,219.38,222.97,228.61,224.07,213.46,219.74,211.85,207.91,L5
1988-01-10 09:35:05+00:00,221.25,225.68,231.38,227.88,217.66,221.07,213.22,204.49,L5
1988-01-26 09:35:22+00:00,221.47,225.91,231.60,228.67,215.89,218.59,210.80,199.54,L5
1988-02-11 09:35:41+00:00,217.88,221.33,228.60,224.00,211.70,215.42,208.28,195.01,L5
1988-03-14 09:36:03+00:00,215.22,218.43,225.47,219.34,208.11,212.07,206.65,190.16,L5
1988-04-15 09:36:14+00:00,214.16,218.38,227.27,219.50,208.97,214.25,207.91,192.72,L5
1988-05-01 09:36:21+00:00,214.83,218.77,228.28,220.71,209.32,214.19,209.09,195.81,L5
1988-05-17 09:36:32+00:00,215.76,221.27,231.12,223.00,211.84,215.96,209.87,200.31,L5
1988-06-02 09:36:38+00:00,214.44,219.26,229.21,220.78,209.97,215.23,208.82,199.59,L5
1988-06-18 09:36:43+00:00,215.65,220.15,229.29,221.29,210.43,215.13,207.96,199.80,L5
1988-07-04 09:36:48+00:00,216.22,220.82,229.47,221.99,210.43,215.39,207.82,200.29,L5
1988-07-20 09:36:51+00:00,217.89,220.56,228.86,221.51,209.82,215.17,207.55,203.31,L5
1988-08-05 09:36:52+00:00,217.81,221.10,229.39,221.50,210.70,216.50,208.48,206.77,L5
1988-08-21 09:36:53+00:00,218.13,221.93,230.04,222.52,211.34,217.41,208.85,208.17,L5
1988-09-06 09:36:55+00:00,218.97,222.76,230.18,222.85,212.00,218.11,209.63,208.62,L5
1988-09-22 09:36:50+00:00,220.65,224.58,231.70,224.81,214.33,218.33,208.53,208.24,L5
1988-12-11 09:36:33+00:00,220.18,224.06,229.34,222.03,212.12,217.00,207.04,200.29,L5
1988-12-27 09:36:27+00:00,217.61,223.21,228.71,221.00,211.37,217.47,208.75,196.59,L5
1989-01-12 09:36:20+00:00,216.21,222.16,228.96,219.57,211.05,217.15,209.46,193.20,L5
1989-01-28 09:36:07+00:00,215.49,222.15,228.87,220.30,211.79,219.34,211.51,193.91,L5
1989-04-02 09:35:12+00:00,215.40,220.47,230.22,220.51,211.02,219.05,213.78,179.39,L5
1989-04-18 09:35:07+00:00,215.66,220.93,230.62,221.53,211.08,218.77,212.17,184.79,L5
1989-05-20 09:34:32+00:00,217.09,221.34,230.41,221.55,211.60,217.70,210.24,186.64,L5
1989-06-21 09:33:55+00:00,218.87,221.72,231.40,223.65,213.14,215.36,207.68,191.35,L5
1989-07-07 09:33:39+00:00,219.37,220.35,230.15,222.24,211.03,212.07,203.83,193.32,L5
1989-07-23 09:33:21+00:00,220.27,220.67,229.04,222.55,211.31,210.89,201.97,197.10,L5
1989-08-24 09:32:39+00:00,220.46,220.62,229.14,222.32,210.31,208.51,199.69,196.99,L5
1989-09-09 09:32:15+00:00,218.95,219.20,228.13,220.74,208.92,208.82,200.39,197.03,L5
1989-09-25 09:31:52+00:00,220.21,221.02,229.85,222.58,211.29,210.78,201.20,198.60,L5
1989-10-27 09:30:51+00:00,219.28,221.12,227.81,221.26,212.09,211.74,202.94,198.93,L5
1989-11-12 09:30:07+00:00,221.05,223.03,228.73,222.83,213.53,213.16,203.59,196.96,L5
1989-11-28 09:30:04+00:00,219.29,222.62,229.04,222.50,212.83,213.37,204.87,195.87,L5
1989-12-14 09:29:38+00:00,216.85,220.49,228.19,220.25,211.01,213.70,206.36,193.30,L5
1989-12-30 09:29:08+00:00,214.16,219.02,228.28,219.20,210.88,215.58,209.01,191.99,L5
1990-01-31 09:28:06+00:00,213.90,218.62,229.04,219.35,211.04,218.31,211.85,193.18,L5
1990-03-04 09:27:02+00:00,213.86,218.10,228.57,218.40,210.31,218.71,212.01,193.09,L5
1990-04-21 09:26:22+00:00,212.16,216.39,227.40,217.00,208.78,220.24,214.47,192.94,L5
1990-05-07 09:26:19+00:00,212.58,217.35,228.16,217.61,208.91,220.26,214.28,193.91,L5
1990-05-23 09:26:20+00:00,209.56,213.58,225.68,214.59,205.49,218.14,213.22,195.20,L5
1990-06-08 09:26:19+00:00,208.69,211.78,223.79,213.61,203.71,217.22,212.55,197.09,L5
1990-06-24 09:26:18+00:00,211.07,213.87,224.37,216.03,204.70,217.59,211.02,201.25,L5
1990-07-10 09:26:16+00:00,214.02,216.74,225.26,218.51,206.48,216.17,207.85,204.07,L5
1990-07-26 09:26:12+00:00,214.76,217.56,225.99,219.08,207.26,216.23,207.87,204.09,L5
1990-08-11 09:26:07+00:00,217.45,221.11,228.70,222.98,210.34,217.29,208.48,205.93,L5
1990-08-27 09:26:01+00:00,217.54,220.50,227.92,222.39,209.67,217.16,208.08,205.60,L5
1990-09-12 09:25:59+00:00,217.86,221.05,228.37,223.47,210.63,216.76,207.20,205.42,L5
1990-09-28 09:25:26+00:00,218.83,220.64,227.73,223.20,210.34,217.81,208.23,205.95,L5
1990-10-14 09:25:20+00:00,218.32,220.23,227.29,222.17,209.27,217.00,207.67,203.55,L5
1990-10-30 09:25:35+00:00,218.30,220.05,226.90,221.95,209.06,215.47,206.61,202.29,L5
1990-11-15 09:25:37+00:00,216.52,217.88,226.68,221.31,208.18,214.57,205.56,200.97,L5
1991-04-24 09:28:10+00:00,208.86,210.88,227.91,216.06,201.61,214.62,210.31,203.49,L5
1991-05-26 09:28:46+00:00,223.77,225.39,232.91,226.33,214.53,217.73,210.06,207.62,L5
1991-06-11 09:28:57+00:00,221.63,221.95,228.60,222.56,210.12,216.75,209.01,205.90,L5
1991-06-27 09:29:13+00:00,222.69,223.83,229.91,223.18,211.17,215.75,207.13,206.09,L5
1991-07-13 09:29:21+00:00,223.50,224.86,229.78,222.92,210.99,215.69,206.61,206.47,L5
1991-07-29 09:29:36+00:00,223.95,226.10,230.47,224.29,212.45,216.67,207.15,206.90,L5
1991-08-14 09:29:39+00:00,222.82,225.64,229.50,224.01,212.51,218.01,208.78,207.88,L5
1991-08-30 09:29:49+00:00,221.64,225.35,229.40,223.46,210.41,216.44,207.57,207.44,L5
1991-10-01 09:30:07+00:00,221.20,224.98,229.40,223.74,210.27,216.62,208.63,207.22,L5
1991-10-17 09:30:18+00:00,222.13,226.09,229.97,224.65,210.41,216.50,208.09,206.46,L5
1991-11-02 09:30:16+00:00,222.93,227.69,230.26,224.23,210.72,216.17,205.97,204.33,L5
1991-12-04 09:30:36+00:00,220.59,225.58,229.28,221.64,208.76,216.29,207.18,201.38,L5
1992-02-06 09:30:19+00:00,217.98,224.39,228.32,219.72,207.73,216.52,208.42,198.00,L5
1992-02-22 09:30:17+00:00,217.58,224.00,229.61,221.01,209.07,216.54,208.39,198.36,L5
1992-03-09 09:30:19+00:00,218.29,224.25,229.99,220.74,211.75,217.48,208.77,197.80,L5
1992-04-26 09:29:58+00:00,217.57,223.11,229.89,219.02,213.66,217.84,208.34,197.51,L5
1992-05-12 09:29:51+00:00,214.35,219.56,227.89,219.20,213.61,217.07,209.49,198.87,L5
1992-05-28 09:29:42+00:00,214.24,219.45,227.05,219.09,213.17,217.35,209.87,199.55,L5
1992-06-13 09:29:31+00:00,215.80,220.23,226.85,220.39,212.41,216.60,207.13,202.87,L5
1992-06-29 09:29:20+00:00,217.20,220.73,226.80,220.90,212.59,215.66,205.96,202.06,L5
1992-07-15 09:29:08+00:00,218.07,221.90,227.15,220.82,212.21,215.77,206.26,202.33,L5
1992-07-31 09:28:56+00:00,218.20,222.18,227.34,221.46,212.91,215.97,206.50,202.70,L5
1992-08-16 09:28:41+00:00,217.70,221.58,227.68,221.62,212.44,215.66,206.32,203.04,L5
1992-09-01 09:28:26+00:00,216.44,220.12,225.91,218.75,209.31,213.76,204.77,201.11,L5
1992-09-17 09:28:12+00:00,216.81,220.53,226.01,220.10,209.68,214.97,206.04,202.03,L5
1992-11-04 09:27:22+00:00,214.90,216.27,223.25,218.10,207.71,214.50,206.49,201.05,L5
1992-11-20 09:27:06+00:00,213.61,215.06,222.03,217.07,206.54,212.89,205.32,198.53,L5
1992-12-22 09:27:31+00:00,209.10,213.56,221.83,216.06,206.32,213.50,206.61,195.63,L5
1993-01-23 09:27:51+00:00,204.40,210.34,220.78,213.97,205.04,214.39,208.01,193.72,L5
1993-03-12 09:28:18+00:00,204.76,210.74,221.01,215.28,207.62,215.06,207.97,191.02,L5
1993-03-28 09:27:56+00:00,201.68,207.06,218.75,212.09,205.53,213.22,206.66,189.89,L5
1993-05-15 09:28:37+00:00,202.43,213.24,222.98,214.40,206.49,213.63,204.43,188.38,L5
1993-05-31 09:28:40+00:00,208.09,218.24,227.72,219.69,211.03,218.63,209.03,195.13,L5
1993-06-16 09:28:38+00:00,208.27,216.92,226.25,219.13,209.85,218.51,209.20,196.64,L5
1993-07-18 09:28:32+00:00,216.19,220.94,228.16,221.77,212.18,218.47,208.79,201.54,L5
1993-08-03 09:28:32+00:00,220.42,223.09,229.47,224.71,214.27,218.19,208.17,203.61,L5
1993-08-19 09:28:32+00:00,220.59,223.74,230.01,225.25,215.39,218.96,208.75,204.78,L5
1993-10-06 09:28:23+00:00,220.16,223.17,230.52,225.64,213.62,219.57,209.47,205.47,L5
1993-11-07 09:28:10+00:00,219.78,222.87,229.88,224.61,213.17,219.00,208.65,202.77,L5
1993-12-25 09:27:50+00:00,223.16,226.62,231.91,226.19,212.39,215.57,205.16,199.75,L5
1994-02-27 09:26:59+00:00,219.08,223.61,230.76,223.59,205.39,208.81,202.55,192.95,L5
1994-03-31 09:26:30+00:00,219.05,224.24,231.09,224.19,208.22,210.83,205.06,197.38,L5
1994-05-02 09:25:53+00:00,218.34,225.24,229.72,222.82,209.12,211.21,205.33,198.00,L5
1994-07-05 09:24:11+00:00,216.55,223.02,228.17,223.94,212.82,215.41,211.65,207.53,L5
1994-07-21 09:24:07+00:00,216.73,222.58,227.48,222.83,211.31,215.05,209.87,206.84,L5
1994-08-22 09:23:17+00:00,219.27,223.47,227.77,222.46,211.71,215.24,209.68,206.22,L5
1994-09-07 09:22:53+00:00,220.60,224.54,228.53,223.89,213.92,217.63,210.34,208.44,L5
1994-10-25 09:21:28+00:00,217.48,218.15,226.39,221.34,210.30,217.80,209.41,206.74,L5
1994-12-12 09:19:52+00:00,215.13,215.38,226.93,220.21,210.16,217.15,210.89,199.91,L5
1995-01-13 09:18:46+00:00,214.14,214.76,226.91,218.97,207.57,217.08,208.11,197.46,L5
1995-01-29 09:18:10+00:00,210.50,211.50,223.93,216.29,205.66,216.82,208.83,194.99,L5
1995-03-18 09:16:14+00:00,202.99,203.03,220.17,212.01,200.20,216.17,209.52,192.29,L5
1995-05-05 09:14:11+00:00,208.33,212.67,224.86,216.97,205.96,216.46,210.13,194.62,L5
1995-05-21 09:13:28+00:00,209.72,214.69,226.30,217.87,206.69,216.87,210.67,197.91,L5
1995-06-06 09:12:43+00:00,209.43,214.93,225.99,218.05,205.65,216.21,209.92,199.01,L5
1995-07-08 09:11:17+00:00,211.75,218.16,226.86,220.56,205.99,216.75,209.93,205.79,L5
1995-07-24 09:10:32+00:00,213.99,220.71,228.95,223.16,210.03,218.56,213.17,209.14,L5
1995-08-25 09:09:05+00:00,217.75,223.78,232.43,225.70,212.92,219.08,212.59,214.15,L5
1995-09-10 09:08:19+00:00,218.84,223.62,231.71,225.05,212.30,219.35,212.43,213.06,L5
1996-01-16 09:09:29+00:00,217.92,223.49,228.43,221.49,213.97,219.56,209.38,205.63,L5
1996-02-17 09:11:43+00:00,215.35,220.72,226.58,218.49,211.39,217.33,208.30,204.03,L5
1996-04-05 09:14:50+00:00,212.31,221.62,227.58,219.06,210.57,216.67,208.82,201.06,L5
