,dates,mex0246-0000,mex0246-0001,mex0246-0002,mex0246-0003,mex0246-0004,mex0246-0005,mex0246-0006,mex0246-0007,mex0246-0008,mex0246-0009
0,1985-01-04 16:48:49+00:00,215.10645977291335,204.51138229951317,232.9119489410079,231.64451240144072,240.22812837681212,234.55265836388384,241.6493641904617,273.08504767048817,278.7647031379227,268.4398364476427
1,1985-01-20 16:48:54+00:00,198.35081596732908,176.97883229353167,216.19205867722005,222.38437879751763,216.74288192382042,222.97942108121015,238.33430485806343,267.56938619780857,264.9444670310467,264.3655566195812
2,1986-01-07 16:46:05+00:00,211.2951624215714,193.5847444472509,234.89342130982888,232.9518428913627,234.5772294649682,229.12588648249874,230.16981862199913,244.41216321617247,257.73265948594826,253.02692660246132
3,1986-03-12 16:44:40+00:00,214.15797668615036,201.52992232261064,239.6974290419847,238.2655535180483,242.9700952314398,239.61450048449402,237.1848502798855,267.8295181655881,284.5080416002729,283.62167050475244
4,1986-03-28 16:44:21+00:00,207.57629865639225,190.5809006210992,237.3511606174206,235.16854309536257,240.19149921367924,238.58155288083236,230.25711319037435,253.70547435913448,282.0481225392141,283.0316750276985
5,1986-04-13 16:44:01+00:00,211.5033415005487,204.54764442342025,234.19046239183513,232.5619587228438,235.99764222528455,234.4464107097326,233.5730724381734,268.87269168557737,281.7435132243654,279.7578007095332
6,1990-02-03 16:40:25+00:00,,221.68613591765313,241.3339955019055,231.44345481794724,232.23545864734353,224.0673856443123,230.48182847402566,263.9923231278164,269.4607935157046,254.5938152289263
7,1990-02-19 16:39:55+00:00,,209.40681277731903,242.81100684938815,232.13538125468673,234.6959586451328,231.22522722551284,232.77708074269833,271.5087331222969,286.09055139869827,279.1087454952133
8,1990-03-07 16:39:20+00:00,204.20860748413799,218.35312584363257,237.8011976200508,239.3614936832236,236.86730524195968,234.71980235430144,237.22961860390893,267.04971730490166,272.3183644050046,269.0835799291365
9,1990-03-23 16:38:48+00:00,201.79156262795078,218.64575842116022,236.1858319522667,232.68294416605448,234.88489158461627,229.45739273150224,236.21779648190895,264.8332089013032,268.6644471253737,264.5400461824574
10,1993-01-10 16:40:08+00:00,,,,237.63631911008451,232.44833093609444,225.58429779371107,228.48411787427122,264.4544303119707,276.87468628402235,264.58646263156686
11,1993-02-11 16:40:28+00:00,199.66321357520613,,,228.76304060285798,220.51718141971247,211.74958653736795,220.34309229336216,268.51761153346064,282.20777668369493,266.5868430168622
12,1993-02-27 16:40:33+00:00,208.822666800575,247.73324407260887,239.53956311206284,231.17382376810446,227.2319338840137,224.01666534299434,231.39398687453794,265.88737271220964,283.70591204696706,282.3066485200368
13,1993-03-15 16:40:43+00:00,219.52281403227548,257.7366157878547,238.1879286727267,232.79500357837202,231.71935620396735,229.9343276565009,241.64792290977786,270.10535220795117,280.14475410925,281.47044879419275
14,1993-03-31 16:40:46+00:00,218.40161755227547,255.9447094104759,,228.96961510438456,218.30938314113303,213.0693933384187,218.8424905558941,246.58489583855626,255.61917721946628,268.9510481133294
15,1993-04-16 16:40:54+00:00,213.82188522490185,261.10850027462357,,232.22186269738677,239.23075794235027,232.87414786929915,235.8512334495945,264.2720894871074,282.5018570261131,283.2082377173717
16,1993-05-02 16:40:59+00:00,227.64401520920657,262.3307255218013,,232.43721706639457,233.33691343287052,236.06755629466787,237.67393771938265,266.05156813934315,284.7462155754812,288.84181155617676
17,1993-05-18 16:41:01+00:00,234.56092284228106,262.29888437590034,242.41837391988403,237.21718058752765,232.36855007261957,224.37957907794382,232.91655611033272,257.20428360869096,278.160166154883,282.83528333215116
18,1993-09-23 16:40:50+00:00,217.4168194355332,200.10871599369116,248.08555014569126,243.15505668706766,243.90893744775607,236.16364180185937,227.56371053045822,240.8942426864634,252.23680557506074,242.9057058657916
