dates,satname,nzd0491-0000,nzd0491-0001,nzd0491-0002,nzd0491-0003,nzd0491-0004,nzd0491-0005,nzd0491-0006,nzd0491-0007,nzd0491-0008,nzd0491-0009,nzd0491-0010,nzd0491-0011,nzd0491-0012,nzd0491-0013,nzd0491-0014
1999-11-03 22:26:00+00:00,L7,363.96,365.02,380.71,393.37,384.15,376.08,368.16,367.59,365.33,367.49,373.07,393.44,401.94,409.83,415.06
1999-11-19 22:25:59+00:00,L7,368.02,370.24,384.91,388.77,383.55,375.32,371.88,372.50,372.30,369.73,391.19,393.53,402.84,411.53,417.08
1999-11-28 22:19:44+00:00,L7,236.88,225.04,,,,,,362.17,419.01,90.26,127.26,,,,
1999-12-30 22:19:45+00:00,L7,,,,,,,,,,137.98,191.52,213.21,219.65,213.93,199.20
2000-01-06 22:25:59+00:00,L7,376.81,378.52,386.11,380.82,378.65,372.57,368.01,364.43,384.69,634.32,629.27,599.40,634.68,,
2000-01-15 22:19:46+00:00,L7,,,,224.72,222.10,146.90,114.41,262.47,282.30,261.37,372.20,397.84,620.36,628.03,599.03
2000-01-31 22:19:45+00:00,L7,641.46,518.56,530.80,630.35,481.26,451.63,,,141.56,576.09,639.92,343.12,355.27,313.36,598.97
2000-02-16 22:19:40+00:00,L7,,,,,,,,,,,,,,,
2000-04-27 22:25:27+00:00,L7,590.87,548.97,627.78,425.76,417.98,410.60,397.37,366.84,363.11,376.45,392.09,395.11,402.48,408.72,401.65
2000-06-30 22:24:48+00:00,L7,363.50,368.64,378.27,375.38,368.19,363.08,366.97,330.55,106.85,,,,,,
2000-07-16 22:24:35+00:00,L7,374.04,376.26,386.22,382.45,368.71,371.91,373.71,364.42,359.27,341.79,269.97,,,,
2000-08-01 22:24:18+00:00,L7,384.37,389.27,404.37,385.71,380.19,376.42,379.86,373.69,371.78,376.19,384.03,376.96,379.54,346.73,260.88
2000-08-26 22:17:55+00:00,L7,,,,,,,,,,,,,,,
2000-12-16 22:17:23+00:00,L7,405.22,402.68,398.84,405.83,409.92,400.77,385.65,376.38,419.73,396.94,388.89,390.84,396.58,427.97,428.42
2001-01-01 22:17:21+00:00,L7,496.00,639.52,639.42,597.24,632.34,,,,,,486.89,510.82,511.54,552.09,578.11
2001-02-18 22:17:22+00:00,L7,373.10,375.26,383.32,386.49,385.23,386.87,390.58,383.09,382.65,383.23,376.15,368.06,370.19,381.67,400.04
2001-02-25 22:23:29+00:00,L7,372.67,380.68,397.26,385.09,388.78,387.16,386.80,374.69,376.49,377.34,369.90,369.81,377.91,392.79,404.33
2001-06-10 22:16:35+00:00,L7,,,,450.65,625.87,432.69,,,,,,,,,
2001-06-17 22:22:41+00:00,L7,385.67,379.74,390.67,389.97,391.98,381.70,,329.34,,,,,,,
2001-07-19 22:22:27+00:00,L7,,,,,,,,632.51,568.22,361.92,393.39,362.73,363.77,378.05,363.32
2001-09-05 22:21:44+00:00,L7,385.56,385.86,388.77,394.25,389.74,377.52,379.57,383.05,387.17,380.07,365.15,389.15,386.94,385.71,383.68
2001-09-30 22:15:18+00:00,L7,508.05,272.75,57.50,,,,,,,,,,,603.95,623.22
2001-10-23 22:21:25+00:00,L7,397.65,401.47,400.91,396.49,403.19,411.89,411.58,390.02,384.39,397.19,403.27,394.62,396.43,416.84,425.63
2001-12-19 22:15:37+00:00,L7,404.18,399.39,401.50,396.73,395.53,396.97,391.94,383.93,380.33,400.88,394.57,391.90,402.91,411.32,424.03
2002-01-11 22:21:55+00:00,L7,382.74,380.69,377.29,371.44,369.64,379.99,376.43,369.18,378.46,380.01,378.19,388.29,394.55,393.53,399.31
2002-01-27 22:21:58+00:00,L7,388.36,386.78,383.67,377.75,382.52,384.15,383.92,378.70,382.73,390.45,384.39,379.38,396.99,397.20,411.84
