,dates,usa_HI_0016-0000,usa_HI_0016-0001,usa_HI_0016-0002,usa_HI_0016-0003,usa_HI_0016-0004,usa_HI_0016-0005,usa_HI_0016-0006,usa_HI_0016-0007,usa_HI_0016-0008,usa_HI_0016-0009,usa_HI_0016-0010,usa_HI_0016-0011,usa_HI_0016-0012,usa_HI_0016-0013,usa_HI_0016-0014,usa_HI_0016-0015,usa_HI_0016-0016,usa_HI_0016-0017,usa_HI_0016-0018,usa_HI_0016-0019,usa_HI_0016-0020,usa_HI_0016-0021,usa_HI_0016-0022,usa_HI_0016-0023
0,1991-11-10 20:18:16+00:00,,,,,,,,,,,,,,,,,,174.38499403793926,183.1993524111101,185.82783822794568,181.46397244222365,168.10027140590597,174.41070074349844,183.78248887056685
1,2000-02-12 20:46:47+00:00,185.20137768420744,192.5661063632053,187.06916630124311,192.87892072858196,189.89776043647052,188.9941181034435,192.67358134834532,179.79793818354045,173.68490330559933,183.94672660565337,189.53151328859437,186.51231952796877,222.62780185714112,196.9758794269981,196.97878264386443,199.45586058101722,197.49918549603075,185.4988142843397,194.97337258913106,193.05787794996735,199.93460516492343,202.5760431811047,198.67805154980468,214.3162652172997
2,2000-02-28 20:46:42+00:00,,,,,,,,,,,191.57685048429354,,,,,,,,,194.93762448489235,194.3202661967293,207.44369659698378,206.14830137176196,223.882385295014
3,2000-06-03 20:45:56+00:00,200.1642218887551,203.4862111067213,197.30441433436545,194.96278003213305,176.00110244094765,163.9796754181049,190.23112038650547,181.21199237635017,175.9664135321751,172.8851235038542,182.3149257798227,187.69247490184583,229.0247747987795,215.29349067818256,199.82199544581394,200.51661784056407,193.324588062887,187.23462435401913,191.12640804473833,200.69436854167012,203.95437772573604,204.97620805358372,203.29954580791608,207.83275348353183
4,2000-09-23 20:44:31+00:00,221.7461513347249,,,,,,,,,,176.32080968076173,197.0878780773573,232.75745421279555,220.6177237687109,216.59151486892017,201.85690782362988,192.59288694840333,178.3032776557338,183.01839520821642,184.20766067688078,183.00329703429293,190.94531824887352,196.44801083900097,201.68324803980778
5,2000-11-10 20:44:23+00:00,211.3479230959989,221.68775615837615,216.62561813757017,224.68119202455716,218.18635093600608,187.06181060602572,194.642408834766,180.14667876169656,176.65961647155552,181.1588274568175,179.92662360158903,183.19075372891606,220.4384554574143,210.0497077482181,216.2169640177307,210.3531297046706,197.1221065099038,179.64679002933235,189.03006664491923,184.25786508482184,177.477137957251,184.99709224248005,190.89679238979463,196.51557156750584
6,2000-12-28 20:44:30+00:00,205.17751566389128,210.56558666225305,206.08416393628693,210.5540894837598,207.108559933103,196.44474326563747,191.96950211640103,182.7823896961909,172.43499846726675,178.63510502716042,189.7739879892396,182.46252813519152,210.93063343476572,183.51169783078316,198.52869557058588,204.39234312003856,191.02433619493937,184.94557312853777,190.18409145754572,192.78612698266448,193.27924582107264,185.35244242961366,179.97302622949024,187.56322115404103
7,2001-03-18 20:44:17+00:00,193.32065702152548,197.2139327272524,203.8549569551996,197.64533333325323,188.21946142715518,163.60797728293426,189.38872604081195,178.73898414448135,193.34772825269326,195.44334323452327,191.5234009671576,181.38996974971832,217.05004059866505,205.5741655664166,193.72137414555925,188.51500285669238,189.98729743946976,189.73111525316918,196.1882887166754,198.46565101726614,191.45266019682143,194.54975866673806,195.8254567626901,206.5771050956954
8,2001-09-10 20:42:38+00:00,218.8294519270314,237.06989915362132,229.86263537326977,228.671482687448,209.8910652222143,187.75024427717042,193.3627077498219,179.6731521711733,174.2449915448762,165.05555799662264,169.39109549731074,178.43417537393057,221.7019470781485,212.11081708302174,203.98889056152643,205.3727239212117,183.89560792167632,179.07375952745141,180.05060869218917,178.70156129332864,172.32632624207986,184.79759477622846,184.38416716245132,195.5647408470013
9,2001-12-31 20:42:36+00:00,191.27429173024035,196.2382139299593,184.29361450644092,193.53746657587553,183.42013814323238,179.4701078552461,188.50730396485477,173.60481452908584,166.16100032995334,148.53852106801827,159.07164357836706,165.86536221090898,192.9926237132897,,169.76925231047187,178.95657911165048,170.1966004508034,165.1713009755677,168.0780560600277,159.70688538120837,159.7993763091695,164.70152711508166,168.34673571525974,176.47933728779677
