,dates,mex0563-0000,mex0563-0001,mex0563-0002,mex0563-0003,mex0563-0004,mex0563-0005,mex0563-0006,mex0563-0007
0,1984-10-22 17:47:12+00:00,220.2748424554084,216.4266323204559,209.5542393925586,201.50471671909776,205.32304859206647,210.19308305280032,214.45913850162654,212.53128479942552
1,1984-11-23 17:47:03+00:00,206.57017623566767,199.3635764273461,192.31761005790275,191.33621638639897,186.12689838724316,184.7389509587718,201.8290591077149,196.5166519515661
2,1984-12-18 17:41:06+00:00,,,,,,,,
3,1985-01-03 17:41:15+00:00,220.35080119930177,210.99833931414943,202.41047859772758,200.53441947829208,200.2076389915524,200.11148369223525,202.139785963231,195.72350790472854
4,1985-01-19 17:41:20+00:00,195.59153246661026,201.92556785733538,191.40062501985244,187.42335858082419,187.88120747353193,187.80530835613308,194.01942571642715,185.8918186833812
5,1985-07-30 17:40:47+00:00,210.8503875540676,203.88668667616017,203.4321683251323,210.6512702475851,215.6290662901028,214.17815563264566,213.36560666165965,211.01797783953495
6,1985-08-15 17:40:38+00:00,222.22996865660508,213.3928530455716,215.23470098359223,214.42789624654637,213.7626731858152,206.92457579793415,203.5697714738381,202.71304429302884
7,1985-10-02 17:40:05+00:00,203.55102053565525,202.44950999739135,203.64945445734998,197.33851830255944,188.46259204553067,191.06975316527937,208.89270558434922,213.77476860837413
8,1985-10-18 17:39:54+00:00,204.6376505316644,207.90823119688213,207.6893748682907,211.2050899613702,211.6942727176297,208.91055187974777,208.40255639209386,209.57492599948796
9,1985-11-03 17:39:41+00:00,205.53371210813438,203.851969149696,204.45550672376575,206.98118037194703,202.80289677957558,204.1441825950723,209.52863551745298,206.20961924270978
10,1986-01-22 17:38:12+00:00,210.51585247793656,205.4326138098206,193.28992287011087,193.52349415955734,210.73967566404295,215.2193135293045,216.53937727958754,209.35340260922277
11,1986-02-23 17:37:28+00:00,216.17062827606048,214.8938446455556,204.13088682249196,194.76545383720463,192.51120376298206,188.6535722654301,196.71712024040488,190.17127321290064
12,1986-04-03 17:42:51+00:00,225.8597887538146,214.73331216905444,209.53411294873618,214.99016338640155,223.0285186828916,221.8271856167193,223.53247755715353,221.2021860546944
13,1986-04-19 17:42:29+00:00,228.14575918615458,221.18414071671185,217.16812144718415,218.92328205487888,221.3753484360654,222.48095741385265,224.44217284375515,218.36387765260696
14,1986-04-28 17:36:05+00:00,223.75099603358316,221.92200785771226,207.7578484334717,210.30998360310568,217.36181420936578,214.01547116310525,218.43990111411742,214.16038179981234
15,1986-05-05 17:42:06+00:00,212.60940440893876,203.3120193328084,195.62255633585244,198.5918155138736,208.46968250699726,209.4254013543538,211.94518628717714,206.65464345309368
16,1986-09-10 17:37:51+00:00,220.83442974436701,214.68519326743683,216.60509834358177,224.21422126554026,218.67137393431915,214.26430854441753,218.8993991777852,215.73166438580256
17,1987-02-17 17:38:03+00:00,209.94303806425873,196.44076073774906,191.60028038800817,193.86200504528387,193.90263262428317,200.9357021339244,204.8908904821086,205.07850079000957
18,1987-04-06 17:39:49+00:00,228.6801343510129,215.10739315329835,207.89394811543607,212.98603587542016,216.00704550587903,219.28936818377713,224.55594916057618,218.85357953530732
19,1987-04-22 17:40:20+00:00,227.12914519524605,218.1636686563507,209.8534036908707,218.08385489173168,221.15371850553743,222.7206796167636,229.576628469747,219.02526549102856
20,1987-05-08 17:40:48+00:00,216.29936842381312,209.63866672307853,207.38183349712037,205.98615291111693,214.45134079690612,210.29061621561348,217.4159893674547,217.4522843213653
21,1987-08-12 17:43:08+00:00,215.5916063529863,210.10420731849143,201.98828960911567,198.41525342330635,204.6900664197264,203.0872267809943,209.81518753887295,205.08405195547883
22,1987-08-28 17:43:35+00:00,212.01864808199957,210.08448054936463,200.05159948573544,195.86207243334022,208.54379900241545,204.18105655850292,210.2331739659476,205.55106656628868
23,1987-09-13 17:43:59+00:00,216.98333338636797,213.78313456307097,206.70826623626033,209.26511243945646,212.7312895883906,210.15613929436137,212.97575984865526,212.06966211079913
24,1987-09-22 17:38:00+00:00,,,,,,,,
25,1987-09-29 17:44:20+00:00,212.62687432013496,208.08049681368183,203.91409061432933,197.85418739085017,201.78065313230667,206.44561692466993,211.43721094639506,210.02125267223488
26,1988-04-01 17:41:02+00:00,214.17386277143459,213.10268888675006,195.92673734435803,192.83837042518485,195.82023172566113,197.72484017991133,198.06302497767095,202.57323197861265
27,1988-05-03 17:41:14+00:00,225.01740791672236,214.13901177372256,208.37098558045943,202.93610104984316,208.22095238907804,210.2413709750091,208.15728153995425,206.9217117499953
28,1988-05-19 17:41:24+00:00,212.19923276430362,207.0857825184293,198.85943378061447,202.57314432922442,205.4613875421175,205.98687384938967,208.59015765220346,205.64168213934857
29,1988-06-20 17:41:35+00:00,223.7229350321074,212.97652305268596,211.08341699222154,206.68372483620612,211.50848481842792,215.25364119379716,218.70638413287392,219.85348222790685
30,1988-07-06 17:41:39+00:00,211.95920989463818,205.82714195167608,201.416802025599,199.75360493088337,204.27879868736545,206.703324811734,211.7162356883159,217.91445681215075
31,1988-07-22 17:41:42+00:00,208.69336176416402,204.60867914336052,206.61133101701137,205.82473921536396,202.881839302591,205.55032580483385,210.66603603011822,210.54382921191495
32,1988-08-07 17:41:42+00:00,218.96611587060673,206.64782215852279,214.8986819307455,214.08152411594523,211.86258109547293,213.8803211630481,218.65935518956226,214.9969653061151
33,1988-08-23 17:41:45+00:00,210.5263334711729,203.2230123822078,196.09134301869994,198.87983932525253,205.3736635211224,206.09722965838967,211.31236790255784,212.38763672227162
34,1988-09-24 17:41:39+00:00,213.45627725752036,203.94750281299355,205.67483153115504,210.45522150998767,200.3501830577377,206.7333876405285,207.73360320549895,211.8885595494482
35,1989-05-06 17:39:42+00:00,209.18616273054144,202.1968417640984,193.7254716205859,197.69527857646142,200.04311520194923,204.40875127079443,209.01929017339103,205.9928526904087
36,1989-06-23 17:38:44+00:00,209.9577293944596,203.02441130729812,196.49274124837086,196.11569367334653,211.49635424109843,205.30996097781852,208.44763174047418,202.60562313300397
37,1989-08-10 17:37:47+00:00,210.75317143391715,206.1901361209289,199.0143738832115,209.69137588554403,212.75565099605893,215.4749695302409,217.84713221272594,214.2197938790397
38,1989-08-26 17:37:27+00:00,218.53873319786135,212.69102365347163,209.17962113192027,211.8920161844415,212.2942065236316,216.6376473293306,215.4768244761548,208.39191417169633
39,1989-10-29 17:35:43+00:00,210.7687413613754,207.09818640720013,206.33261437108166,211.2587135795278,205.29637394784763,198.1486651439244,206.30098303104268,200.20324508452993
40,1990-04-14 17:37:23+00:00,222.64816260254076,216.96668036508981,205.181618295871,213.8326026674157,221.15977577665444,216.08306260873286,215.9107941228529,210.75022275513896
41,1990-04-30 17:37:13+00:00,217.98802231908383,212.07796062087127,211.3627939682569,218.48488135848285,224.61771560368967,221.66104874694702,225.05916421214965,219.8675635630211
42,1990-05-25 17:31:09+00:00,211.97439652791596,206.13025372331225,200.66211607665372,203.13243918726408,200.81124734715138,204.0773823603846,206.41783598434188,201.51561364041083
43,1990-06-10 17:31:10+00:00,200.9505097368994,190.9118468938955,186.3044787827975,174.6269978043712,186.33697300719675,202.26438233107416,205.46784034055077,
44,1990-06-26 17:31:09+00:00,211.63802584029156,208.8084684405451,199.41177014237243,203.37274927594615,205.9753513341612,207.69990777315883,209.23632115943929,207.59345275234426
45,1990-09-14 17:30:50+00:00,220.5679264232336,214.278520060696,208.05032134600083,217.27069841797936,215.5432140012902,213.15039953748317,221.1994630622789,219.82612071086737
46,1991-03-25 17:32:35+00:00,211.44561369222032,207.2480592908044,196.0998582689398,192.05385715760787,195.01155811756905,201.61181442268753,195.87953519599554,199.25761560425642
47,1991-04-26 17:33:04+00:00,215.68018785908106,212.0437903204279,202.3406862611989,196.56591861812845,200.48376677380267,204.6051655305074,206.94206602659926,199.36775700185495
48,1991-05-28 17:33:38+00:00,213.08878507977624,204.96352620750747,201.81472914601062,196.68379147817507,199.09227716736225,205.03436914791422,208.64642331712156,205.3936481382275
49,1991-06-29 17:34:06+00:00,214.46569577286098,212.58690486726653,206.7498392117027,207.68263305640517,205.18527187289322,206.20168823501496,211.92523133481868,215.61880975504715
50,1991-12-06 17:35:28+00:00,204.00655076100946,192.81546742873965,185.92124764707592,177.4822124824197,186.8666557420711,184.93592208069782,195.58619506177666,195.04522439838595
51,1991-12-22 17:35:19+00:00,205.15197027769057,200.24685299285085,194.79879411705267,187.56969084560507,185.83757924848348,184.6294202755469,197.63170905152413,189.80795210128642
52,1991-12-29 17:41:29+00:00,207.46039660179042,203.27849595654806,197.1461933905236,192.09702188316754,194.6099761831988,196.30682331082897,205.25006528361394,195.7437101467725
53,1992-01-07 17:35:14+00:00,196.80131125569986,187.15268356613507,177.87178801977842,168.0555553194804,175.64148017694643,168.07744342476727,182.06551361851842,176.53012274614903
54,1992-01-14 17:41:25+00:00,223.49137012042996,210.48318003005767,202.48733638701276,197.29429304745912,200.69267069248448,202.3809222858842,206.62154238023786,196.8278243510463
55,1992-01-23 17:35:14+00:00,203.26997487715425,201.68408699747226,192.11147462957558,188.710613124373,196.32567624205453,191.48428506878017,194.76154482533386,188.91862855715345
56,1992-01-30 17:41:30+00:00,207.2145825749737,201.7902570773856,198.81190751306906,194.2686760240705,199.50263161486163,191.60193710875043,195.87777589873838,187.6585814365719
57,1992-02-08 17:35:10+00:00,218.676352158999,206.19126740891863,193.41156915862632,179.03112063576157,185.992022322188,186.51191993085487,192.11049590031456,188.1244811757686
58,1992-02-15 17:41:17+00:00,211.15973778826142,201.12008075787296,189.24620847608557,180.33116145882622,188.10925224359522,181.26985477280968,183.6434784970392,182.05877438198667
