,dates,jap0012-0000,jap0012-0001,jap0012-0002,jap0012-0003,jap0012-0004,jap0012-0005,jap0012-0006,jap0012-0007,jap0012-0008,jap0012-0009,jap0012-0010,jap0012-0011,jap0012-0012,jap0012-0013,jap0012-0014,jap0012-0015,jap0012-0016,jap0012-0017,jap0012-0018,jap0012-0019,jap0012-0020,jap0012-0021,jap0012-0022,jap0012-0023,jap0012-0026,jap0012-0027,jap0012-0029,jap0012-0030,jap0012-0033,jap0012-0034,jap0012-0035,jap0012-0036,jap0012-0037,jap0012-0038,jap0012-0039,jap0012-0040
0,1984-05-23 00:22:43+00:00,147.00437881665576,,,,,,127.88572298202016,121.98458868510829,111.94539901445134,120.4248310092061,116.25181312328272,,,,,,,,,109.22771968270509,114.66637856208857,,110.8761733673487,105.39327239970832,,,110.56903235579216,,137.50609930476867,150.84852711584523,156.57664675585758,166.5096812021134,182.0543864028371,,149.0003204069917,136.82120018720585
1,1985-08-14 00:24:34+00:00,150.60423623114048,,,,161.91300505698368,160.10462639949714,149.4444902248336,144.40677215227427,135.9857654952921,140.53747446714797,129.10078464607093,133.90760218449037,101.72521618884741,84.10625777509088,,131.76193491980226,,133.87060160772717,,,,,123.97853017972537,124.88945480859911,,136.45095502928606,,135.17055018246805,,165.04293290859192,168.91246556737488,180.68881571090404,200.7366975224189,187.3788469883884,177.9868864096833,132.4697042954848
2,1986-05-13 00:19:38+00:00,140.1218062019928,135.0626898640777,136.0180673964526,131.68834185243892,,,,,119.17964359380866,123.99580894904136,123.70563938195875,108.21038717198171,95.91169585750977,48.396698010406446,,,,,,109.5264505061281,108.30637658823525,,114.54262934961085,117.17960004019677,97.54693212982022,,120.65964661802019,,135.2270494913518,151.17719398411919,148.30207146457602,,,,,142.31290210143501
3,1986-10-20 00:14:19+00:00,154.2175971114607,155.58402638282587,161.86011855245945,,154.4480074422169,,145.6148795887733,144.93894770513853,,138.7648309160118,138.20796034264762,123.59820425011411,,95.79796110319135,,,,131.40463290546793,123.39569155705007,123.94219278117487,113.81918136903592,,127.71244656030314,128.97142382320172,120.78971740000374,,127.39648475023965,147.9955100708714,,170.30842973549548,168.93460594526957,182.14466643521,197.00079692165713,188.59287406576644,166.5222545807231,149.2057999653736
4,1987-06-01 00:19:08+00:00,151.06678807705202,156.4549264222345,151.22453841044154,155.95708616435797,155.7485632902654,149.31144015942584,143.37982681268403,,133.96269779041313,131.522192181099,127.7095203006278,115.67205631765857,99.07294140269182,,,,123.12871958428887,125.85591952607938,117.99989519523037,117.91954593221467,,,119.96059688212038,120.58041757283867,115.25267658370512,115.33105756033412,130.59452022440178,132.6057894769349,,157.97309062450944,184.1916365575654,193.6790465542025,213.28752156511757,214.53384576506983,,178.9470357976324
5,1987-07-03 00:19:49+00:00,,,,,,,126.40632510338942,120.29559572403585,121.76560183501408,109.03803210927637,,,,,,,100.29222965233888,107.87092200686764,,94.83675807457492,,46.71120809552567,,,,,,,114.51414714099057,,,147.20768015420077,186.46037367205793,175.27753067666674,,
6,1988-09-07 00:25:41+00:00,147.6430125939064,153.67734122373886,154.64619916752423,159.44054762946857,144.51939553622287,149.5274182112756,144.62902923009258,139.62465457148375,137.5114781283158,133.5993183416778,133.97110900541892,122.52265158537007,103.8500900586141,87.28498405576386,,,,126.70697357335602,114.06349073685696,116.99259304361713,116.57686428601619,,128.61953242871792,125.90616502121138,114.35518855106993,,123.28687167263828,130.96021200531894,,,174.0532370797223,171.1506623786618,193.67362680598774,176.29668735016077,177.32677157302103,169.8096078772737
7,1989-01-13 00:25:03+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1989-11-29 00:18:49+00:00,150.0832410833389,135.3027755498815,,134.9906223491695,146.82272181835003,142.13601094447168,130.8999544784357,125.39212286695883,111.84690607648159,119.91428338136592,119.49026623768785,103.57666691066271,87.9186787049307,90.55666442346919,,,102.94626084926522,,106.0246542708664,106.45981181343014,101.90447495743012,26.430879880602898,,,,83.90667830012845,101.02350891350295,,,,,168.64660929961266,,,,
9,1990-05-24 00:15:04+00:00,161.66425051260555,152.15643491371367,157.45167051105625,,,144.28379683105697,,145.87084091682627,134.14960642246228,,127.78908115243846,127.47896179213959,106.71095761991494,64.26052090830987,,121.36270813467698,,124.42112542015508,115.81810405814782,105.00732702038812,105.25635598250948,43.177417197412026,124.35490178402324,,135.09573306593538,109.86569041339608,,144.60237804318297,,181.87694060692795,187.67469629825987,184.4914507973915,,,,179.6952691214237
