,dates,aus0337-0000,aus0337-0001,aus0337-0002,aus0337-0003,aus0337-0004,aus0337-0005,aus0337-0006,aus0337-0007,aus0337-0008,aus0337-0009,aus0337-0010,aus0337-0011,aus0337-0012,aus0337-0013,aus0337-0014,aus0337-0015,aus0337-0016,aus0337-0017,aus0337-0018,aus0337-0019,aus0337-0020,aus0337-0021,aus0337-0022,aus0337-0023,aus0337-0024,aus0337-0025,aus0337-0026,aus0337-0027,aus0337-0028,aus0337-0029,aus0337-0030,aus0337-0031,aus0337-0032,aus0337-0033,aus0337-0034,aus0337-0035,aus0337-0036,aus0337-0037,aus0337-0038,aus0337-0039,aus0337-0040,aus0337-0041,aus0337-0042,aus0337-0043,aus0337-0044,aus0337-0045,aus0337-0046,aus0337-0047,aus0337-0048,aus0337-0049,aus0337-0050,aus0337-0051,aus0337-0052,aus0337-0053,aus0337-0054,aus0337-0055,aus0337-0056,aus0337-0057,aus0337-0058
0,1987-05-22 23:08:56+00:00,213.0610916576169,210.54918851771006,206.802393116756,203.84905352250735,199.66760150703743,193.61129621740096,191.0777045256636,192.24331298360022,195.46534879847195,190.1561882725362,190.70086327142923,192.86619430536007,186.18913474513658,190.57211569857657,187.4489438979549,188.40560280137882,180.19101882436368,185.42389448644488,188.94722595419304,183.2139883770432,188.19140275244078,192.2850093352269,191.73683890916084,198.47894069063076,203.30087299800707,190.52848471672888,185.06917697429387,186.01952283471485,189.15426479969562,190.5042044951852,190.8487946988871,195.7553679197493,196.0870848500324,200.99563667260918,203.46784682396395,199.6467723935648,196.15326750315344,204.5438923435916,196.96072849771716,196.9408873165254,193.61959299239913,201.23899779522537,197.4373437397615,199.90880807864303,205.8399250075157,205.94886280331121,202.91510054545387,202.14740003627054,205.03164411193302,204.04245640831618,205.69268594134792,209.37744516514533,211.28217307358443,202.79352724946233,200.5740871135515,205.50960668334528,208.41424369262074,207.06910178837018,216.95165685456857
1,1987-05-29 23:14:53+00:00,211.99599631135214,199.9814196491783,197.2930151404933,196.58101038453577,190.54368605943648,183.38083711102297,186.88551650298814,184.5098429701271,185.8454162170809,182.30362752839096,178.2898909301241,188.4965555864111,188.86913711352992,183.37983563984358,180.43397845765102,169.00451080126152,170.854251411632,173.45993047912927,174.09043258372094,173.2697533654144,172.41582245492646,175.75876318057269,177.02952573421072,186.34164579146727,185.23257093749518,179.89475243197322,177.77748753483405,181.5735396743055,184.00601081548098,182.17422973133432,184.76018413722386,185.25881564133886,190.91310723199922,190.30762301444045,193.3798846037244,189.21708765339488,193.856640972246,195.92657923310827,192.11331091743986,186.86801060977575,184.55769936752927,186.91917776152133,183.0621790731465,182.95735568683588,193.33220033055574,191.29099725238024,189.45349392551776,189.3195477552297,190.65183873439452,190.0093967131071,190.9723395910187,192.47690098698718,192.17444392172462,190.39088975943994,188.53786428897126,192.50593390029042,190.32226761288769,187.19315666491704,193.40939522965311
2,1987-08-17 23:16:48+00:00,206.55275553198155,218.58846774733968,218.92820839196108,210.48109441592942,205.25574588553872,189.66313974822074,196.5450687548577,199.02258394216665,199.85600019271968,199.23108266805417,199.3012546958097,189.87554233693322,196.67044700211477,194.9640015271022,188.9340969845482,192.91954126701904,183.9840072333169,191.34238853431066,192.45023112227813,189.45532658289767,196.371508352254,190.23999906996875,196.30341835965334,199.3315675893901,203.5323413045273,203.87911781196027,195.57100527633233,194.68324586296853,195.25134887711306,194.90236276149693,197.13438756886057,196.71204975410734,200.00439518053605,207.28969530871478,204.35918308821994,201.23675724316024,205.9523364800993,209.9049968351943,202.5476504953907,201.9452292407335,197.26001485880334,194.51311658586278,198.4050685838979,195.65470893646105,197.50601462479162,204.76329171029272,199.2537667629751,202.76977138685854,203.6326439546945,201.83194243567635,208.21811800702386,206.91577527525268,201.8321158119595,199.47236993610193,200.50880590703713,199.3320034411857,203.65587952387472,205.1159142196966,205.0720928045966
3,1987-09-18 23:18:02+00:00,201.42979719101595,216.16689606642885,219.67286521586948,216.37198263251747,218.24255326998335,206.26750236973325,205.3135244191142,206.34172420295423,210.88214992805797,212.14370831863204,211.1886031690957,200.5519988462745,202.01813011162324,192.9124810566446,198.24675565527303,195.68363099015733,198.15854878086722,202.05136404916828,200.7901406778793,203.11543511945135,204.6731890296561,202.4683321026462,206.29205504808445,210.382311474493,212.20803212251604,205.4229575237449,204.69755137712218,201.83535778735921,200.94444782268306,204.15309986876102,207.62270671165402,204.47448019043813,209.8033834852224,213.96496407430817,208.98631124867404,214.8859240942677,214.6467323057147,213.49499275182964,211.06857634162864,207.56190712229935,202.132918723035,200.58379176151178,203.83555729229468,201.00218801463868,204.06077560187475,207.52682182408972,205.10266893782835,204.10997763787967,207.24999021490902,207.21552819043168,210.44692525994824,210.2900363800063,207.3400060455951,207.24502844330695,202.84747567412404,204.49248675309258,205.72251389440143,206.1664144741439,211.91436236695458
4,1987-09-27 23:12:03+00:00,198.04708570079382,215.11342753778263,216.66402633853295,214.7185900993249,214.05162966870648,208.4087665956215,207.45591961674808,205.95282583130015,205.12628666701772,206.15130752784955,206.37411763799676,205.94737765755053,197.74830135069533,194.86683270656124,193.8273840333843,192.13965493554755,190.90880132401884,195.3516316558925,201.67940144726836,202.1193212760699,200.41127034581555,198.39946812117813,199.62110207880238,202.50777966819953,207.87507034373516,196.98801208159375,193.84372933681374,194.00727733949185,195.89653094953047,198.3289010459756,196.87177844556183,200.06074801702,203.24142009541762,210.69885023812031,205.6616418460288,207.66910762551808,207.92935983035304,212.0078573520643,208.01119159782527,203.259847227897,201.77531691761948,200.73061386220903,194.73540721847428,203.02191351334127,197.15754645705542,202.61351110886434,197.22587662216114,201.73714118079218,202.73534284564477,206.55822335431657,207.50712853095857,204.60753245740705,202.44787841195168,201.81588379884693,198.50968502502508,199.21154767757216,197.06948275527554,196.46352307368906,201.05834581686716
5,1987-10-04 23:18:22+00:00,193.34997570874987,214.45582987682445,215.13923559724577,208.6357634886561,211.00100752821731,203.77661540832207,202.1083170230852,197.92361804955877,198.60689801567617,199.26062389395474,196.9941757871643,195.63713536522621,198.1918080241157,193.96168832935098,191.09540102956893,192.3641593820229,186.84206690352696,192.7921891370678,190.05752527807832,194.92727458116036,189.32151742748164,191.31787386821856,197.64174286499656,198.96017501661146,200.09932409999553,195.0973623293346,191.77850487177494,190.4362085564366,188.8974074511856,195.68325780420992,190.38875003614348,192.25027811016122,198.21877231188293,205.10350235300055,202.08503731410713,199.56987990742317,196.7110503759296,205.32441976064524,203.2323557131613,198.6560480845251,193.62777450955667,194.7808015597252,198.92118097751197,198.3598899836354,195.36669909536025,200.3965079176669,199.27951003289667,197.27703887642485,198.74420477859698,200.4996264604021,200.08773459891856,196.16597008249232,200.58757004572402,199.5518475011425,198.87916220260246,195.18515453075548,197.2473570685363,197.5137051412666,198.34884962677822
6,1987-10-13 23:12:21+00:00,196.06742323695687,213.05171592216473,210.88754955444963,208.8546792905098,208.90195698269946,202.53717556605858,202.4590546849446,200.83502926173543,203.2315611084861,199.74912979347863,203.34578105578115,201.10360775374153,200.99595307135067,199.9935752547467,199.46521102751922,193.36230975491557,196.4023001345105,194.72111557091188,200.5831664191574,195.21082627162363,203.2781578190702,196.60115351436735,205.7047750112223,211.2516481728014,213.3115516935595,203.6475653626427,200.85259147956555,198.20168905681118,199.68064475821015,199.80140432178365,205.71323586036704,198.9396292021332,209.24491341585153,213.5484549577839,213.29456962439758,208.76150189410527,208.18095792958349,210.8732733744556,209.89517570236043,202.48716053288345,204.42271420149234,196.14462089839907,199.24156895935835,202.08841963983235,205.12080817606903,201.71913890095607,204.75463689559479,206.28855118433717,209.3536574954669,208.25904030273267,209.24157780555353,208.12387364128165,209.42041612165906,210.4349267490291,,212.81525105291541,203.3326710351419,204.84663074619277,212.24578185526093
7,1987-10-20 23:18:15+00:00,176.73735632551214,198.46492062256021,201.7331671140529,201.09880458011858,203.49332941853388,194.3391976883778,188.29886804852654,189.84930868316667,191.5202587671567,193.74579871379183,189.71775572334627,197.27877585403394,185.2468302909632,189.15520053668683,182.65731777230815,181.24710569918543,182.05703720657962,182.52132192472789,188.9508959972209,185.5645775777543,188.51346286373803,185.54620416601338,183.77450779233493,191.1601627013354,187.7023866757499,183.3665128134467,181.58572428276716,183.38772837172328,180.87006469086998,183.56430475685536,185.48569049516001,181.85893678378108,184.46968041755616,195.66527048740124,189.0388457229955,184.41568982647846,191.89943407181605,195.6141124692951,190.81675611165002,197.49229126358676,190.0451484911178,181.37632653717964,,180.84125983944057,180.13072706172886,180.53425515884206,179.36773416458004,187.41328318137107,184.2855461980169,185.40165859043168,184.76759603102894,186.399260582561,183.88909723524034,179.6712820929815,180.56016970825397,181.51887240608488,178.90605883044617,183.08461927931623,183.3217788337746
8,1987-10-29 23:12:37+00:00,191.16082216210307,207.6559373806972,217.77171388553,216.0118881912008,219.23449844906253,212.76753313414235,212.29669544787208,211.4723311495793,206.31426708560133,206.10908705192045,207.12948469359162,209.80410905953408,210.58121066828863,202.73190703395466,198.84432845058137,201.77022283489532,194.75251077184964,200.86243151691724,197.6870337914578,194.48224642635358,194.10305087557407,198.2485559665381,195.558190404463,208.00814434891873,209.98362954200735,202.3326974371249,195.32610686022988,194.9697731749302,197.6957709457976,198.6120228326585,198.51773321537922,196.13493781320437,204.9961868385561,208.15858591831025,205.22156773655348,204.50782059284631,208.8406761434942,206.15315202360435,206.06500137063827,199.96789748821732,194.85556767845992,196.79390137253125,195.26374431033156,201.89675506352307,198.1966031546363,196.2243904819938,198.76949401093927,200.57871510304722,202.3405287357375,202.93777133504437,204.55110757621333,200.57522127422942,199.67772678790323,199.38677305116985,200.57641520396686,201.86172609870795,203.43689822151856,202.53982286959058,202.94366888521517
9,1987-11-14 23:12:59+00:00,176.96238272317467,200.4357854083475,213.96513356676127,213.20843847953412,214.57708417774654,209.3266922044836,211.136938179072,209.59407412482568,207.15702318674167,208.91286852558255,207.59310291490442,212.87045069987346,210.37498611968402,206.81933026021275,205.67473579687334,198.09607844138105,203.56378149469884,198.85445098347617,204.1295983046629,194.3860981285018,203.62407196206402,196.4944125098067,205.95991367009952,204.43765871653653,208.3505403397245,199.15302232692108,197.1154645908628,193.3280810567499,198.68746989208836,196.71114281538974,204.0929818010475,198.61815323395126,204.73634349069758,214.42811963052847,213.18512894820563,208.2237160817345,210.2333688899123,212.41626158927033,207.7250627396483,201.98738294615418,203.36511197669796,198.55284424373957,200.306535863646,206.92601871155136,203.50462126522405,202.66088339424866,207.11182810065074,210.19674816221357,207.28013407373754,202.0784249856334,208.17746126992554,205.6286908018539,202.72169247336228,205.52306342540675,201.39386264131338,207.2190991719658,203.04229129170008,203.26423439315795,206.58694105264277
