,dates,aus0249-0000,aus0249-0001,aus0249-0002,aus0249-0003,aus0249-0004,aus0249-0005,aus0249-0006,aus0249-0007,aus0249-0008,aus0249-0009,aus0249-0010,aus0249-0011,aus0249-0012,aus0249-0013,aus0249-0014,aus0249-0015,aus0249-0016,aus0249-0017,aus0249-0018
0,1987-05-22 23:08:08+00:00,146.91302132120774,165.39414435438496,166.88558424661488,169.46270721735536,170.9638239390098,179.81019961893864,187.28301259604837,186.79233280360026,198.72424875729416,199.68918937438207,214.16292178948328,205.0128733403852,221.63181980809767,210.6672790785195,211.71895121281318,207.06222409649905,211.07238787325474,197.47681944449067,216.09808585284847
1,1987-07-16 23:15:29+00:00,161.33088905427437,189.25766019866296,186.94540495006078,186.58979416414357,194.28472962832075,195.75444119478962,200.01625759486095,205.3699393459657,219.4647659521408,215.35679747356195,229.0742769537046,228.52563732151302,230.84044408036073,221.38067372964514,210.44339083196277,210.03285821583364,203.27124390972477,190.36105071944775,217.383302008187
2,1987-10-04 23:17:34+00:00,,,,,,,,,,,,,,,,,,,
3,1987-10-13 23:11:33+00:00,204.42303487679948,222.41492258909182,212.04889693158756,211.31800460558293,212.16837696455136,218.38629615275022,221.68412225345227,224.19534277822856,226.73328495251465,223.95039364357072,228.0997413485873,222.2073666624644,219.2843175891242,217.65926393625682,200.90054381320448,198.94427086812746,198.89107515625548,184.44825122478625,217.13927543755443
4,1987-10-29 23:11:49+00:00,190.66742653839984,217.84171669222292,208.29865832926092,217.91393630272296,212.0567970145883,212.67646993866475,205.14159193957224,207.2082973586903,216.59482306897564,209.33842238693748,217.39397293970376,210.95219317104326,205.91711323504808,205.72044116734466,197.91996126616445,200.16158064980317,194.13400747920744,181.1468082412501,218.04465288545336
5,1987-11-14 23:12:11+00:00,177.37671849357244,204.36013247077864,200.6320686639873,207.1499873832775,209.085925712973,196.94970291670484,195.36406758784986,198.56047633794716,209.59565369950798,204.65868709332835,207.275123655435,206.49235810028281,207.93673695727318,203.07203223998962,190.76808917107843,186.73759504219808,190.6901330465215,175.3324412421157,208.49475080258762
6,1987-11-21 23:18:29+00:00,,,,,,,195.5135120803023,196.66866946502233,199.87042160581134,198.65165595236897,202.1411379364775,199.48677317394757,200.97159649343956,204.60750419284142,186.16207979413193,192.76472822917438,195.35820530092414,183.86521404643315,
7,1988-01-08 23:19:14+00:00,208.3333117663322,206.1293764457698,201.75743337579118,205.04907605555067,205.92041909049348,208.02373041708532,214.91598630160104,213.60085425905453,209.67633873267138,217.13240796812715,220.22574210304003,211.63294983874246,212.2235731515425,213.1761672593113,208.8917308775942,215.1462614393251,211.276913807124,197.71243975858158,212.42183357513687
8,1988-01-17 23:13:14+00:00,170.86130633054688,187.8788593110507,186.1778227719152,184.20043908092111,188.39000342059595,191.31434211785037,193.47748613677126,188.71567506707106,195.20650817609967,192.25587125867196,200.00361078228275,192.53784010743374,194.68274489645614,194.8097984988915,195.79609909588555,198.2498664879148,195.32386087695753,181.73328120382916,196.1190044475751
9,1988-01-24 23:19:32+00:00,,,,,,,,,,,,,,,,,,,
10,1988-04-13 23:20:23+00:00,,,,,,,,,,,,,,,,,,,
11,1988-04-22 23:14:16+00:00,149.5174727260581,185.53385980434248,187.8800015284786,187.51037381731874,188.25274526206871,191.7764546818583,188.89513405927866,197.78661846888676,208.627478610091,198.17053510221513,203.22706513183365,208.32496066037342,211.57523546869996,212.73108142063066,225.66582623624484,213.16859185383223,204.07519405357868,193.03853532149762,216.67103660903229
