,dates,nzd0296-0000,nzd0296-0001,nzd0296-0002,nzd0296-0003,nzd0296-0004,nzd0296-0005,nzd0296-0006,nzd0296-0007,nzd0296-0008,nzd0296-0009,nzd0296-0010,nzd0296-0011,nzd0296-0012,nzd0296-0013,nzd0296-0014,nzd0296-0015,nzd0296-0016,nzd0296-0017,nzd0296-0018,nzd0296-0019,nzd0296-0020,nzd0296-0021,nzd0296-0022,nzd0296-0023,nzd0296-0024,nzd0296-0025,nzd0296-0026,nzd0296-0027,nzd0296-0028,nzd0296-0029,nzd0296-0030,nzd0296-0031,nzd0296-0032,nzd0296-0033,nzd0296-0034,nzd0296-0035,nzd0296-0036,nzd0296-0037,nzd0296-0038,nzd0296-0039,nzd0296-0040,nzd0296-0041,nzd0296-0042,nzd0296-0043,nzd0296-0044,nzd0296-0045,nzd0296-0046,nzd0296-0047,nzd0296-0048,nzd0296-0049,nzd0296-0050,nzd0296-0051,nzd0296-0052
0,1999-08-05 21:47:23+00:00,159.727308763254,151.84593218928455,143.51151830232158,133.65927246707867,123.54220950057018,114.83255606016715,108.94039170445464,103.95883474978886,104.02543091623777,107.97964642412138,115.27333874672513,123.84860518588063,122.10880631785305,116.04423040333087,113.97031408146655,104.96333647199546,100.91063561387637,100.71442933642541,101.7537373701405,103.57219737163902,,96.2539654822896,103.55815311570313,110.75261467923475,111.46523119114086,110.39900790296501,110.33644598168736,118.7485355043724,116.98426629885327,125.91524061926401,126.14352097164051,127.74409599338864,126.80408005141493,130.47406180131642,135.72034028384383,136.68017369314006,,,122.0763151681241,119.16158003098943,114.28519374721475,113.16667842446503,106.57946525309988,99.14124677142564,103.43345175700976,98.03240631479377,102.21869741230526,97.88170269424822,112.0600926548081,122.45575895740534,133.87543483556823,138.54719795630953,138.6150085267572
1,1999-08-12 21:53:08+00:00,169.02029109106775,160.0769272863343,152.26682696423603,145.02173797008814,140.7894363113912,131.16686095425575,126.45850767755056,119.5360001555116,124.62455557516901,132.70953105414173,140.4076540513936,137.81503072269686,124.83036585037333,126.35961232710588,120.10208280170366,117.93877623051334,117.15084380652205,114.62326422515218,111.52098865866373,116.19172252059337,121.49310112629452,120.63111074002174,125.44462520494383,123.66336732041934,115.22566389461612,113.25374369971165,118.25477404584974,124.09449721549605,128.94304261572861,134.80417407749147,135.95236161568963,141.09625738787446,136.93090233644094,144.80189317183405,150.80260126126606,152.2203472850439,162.81617294680578,173.91216250737492,149.6904585525775,140.04917383944897,124.45808391410844,116.17148434324987,114.31242050125954,110.59618232956524,110.68960437065185,106.50691870563438,107.32600355808916,110.4802041842042,127.10767510474295,143.94228560529626,152.9510183875001,152.54823354078275,155.86137562246918
2,1999-08-21 21:47:20+00:00,170.82917469582233,158.23323670997812,155.4789807547757,146.06027139623683,136.1162582175077,128.64513827028424,119.73703748625753,115.95840912623605,126.56830578127914,126.43428072832533,126.38297890030438,138.14351823544055,120.59961122353262,120.77305210470116,120.06302278230514,120.77350051056416,112.00209701009749,112.5852875711717,115.46247525976456,112.41735253627398,112.89543388125327,112.81646495596138,115.24792452812359,112.04825369783586,111.24195296182921,110.21662168880951,116.11871971173402,122.08243210304464,126.51829906044125,128.6763614499303,132.2344437902897,136.391197187706,137.34525037577438,137.08284445029182,144.3534200482872,149.53611314787867,151.79044759577675,157.83179534465916,143.79382721804328,136.84399222885514,121.100168999229,109.1608127343036,108.57966933708292,107.26941639577663,102.11225832872942,106.21886340659111,98.96531803277362,109.09130329359631,121.20180068843096,132.54445585717286,140.80794073795465,142.8474269061106,149.80482218793622
3,1999-09-22 21:47:24+00:00,176.63788735030056,172.12724452256387,158.24302709507532,152.1418741824928,143.66558028191932,153.9709357441469,142.08804997899605,134.26291566349394,130.59955323201083,128.03727093144843,148.86541472994733,144.24452906145245,135.68772584826067,132.42801848397747,130.12165600711054,128.2382680078069,123.20166681028603,122.08125371956282,124.30603287653788,120.40065970789547,131.13664430432027,123.75739271187325,134.55824278474438,136.87910086172428,,,128.27090594915154,131.4691158074679,142.18356727239797,155.44124647438005,158.40538443343502,150.2442207861762,155.01798825398254,154.1536615336111,149.9202784508978,161.58425828240627,175.70484901511193,176.1585375398902,155.27553118511915,154.43289841335078,135.9331233717828,127.03957289291561,122.75033628692977,122.57306374191003,115.97805287016766,114.45377782877375,117.33062710586275,124.76966252739747,123.42298793148535,129.0576590547768,161.2800068458227,172.00646852250003,
4,1999-09-29 21:53:40+00:00,172.0647878024614,170.36367527644833,157.34684074125133,140.62924444580526,133.20743337548043,,,,120.93518900493586,124.0329315588072,,136.40911671736782,128.8873454397839,125.85047298466806,119.8324433179339,,,,116.32390364212314,,,,,,126.98358359680225,127.06238213330403,,127.09005874103052,,,,,,,150.08961545951388,,,,,,,123.30301466919227,117.73522675810594,,117.02312035692059,110.06662113019938,111.4243774112294,,121.56221019111891,136.4543662467591,147.00397227196203,,161.03110086155206
5,1999-10-24 21:47:20+00:00,178.6346216810818,165.9321982576886,162.7804903861934,171.7508738929169,153.07818106489523,151.978582949262,142.7224795308377,157.36309774185932,,146.29209934466527,148.82725731983913,145.63530068428415,147.88866556375575,138.6231818547495,133.79155193454775,130.28443079685155,131.7313876003095,156.88308817521934,,119.69362905966521,144.20622015061466,141.39298970496003,156.97280650406853,160.00748919621822,,,156.36791599506572,,170.23238971328104,174.1328022389852,178.6532530659261,169.60684861105744,163.6011864411894,168.1230268531791,,189.83418604549294,195.04691471515403,,184.69695578013597,189.15250867119556,168.3557827608345,,,140.1785251168448,118.66419441891075,118.19453524023352,125.33126996028558,124.3394571760577,126.5927400915085,139.19897595368946,152.39719683850984,167.64829938561476,
6,1999-10-31 21:53:08+00:00,175.1028252301899,168.8407350531017,170.56202711964494,167.28273374191332,157.14570516657687,145.84165448360886,143.09431507776577,,141.65502100210628,145.48258891291488,143.9174266826725,151.48894852681786,143.21303537027663,139.70018707320924,131.39241060032708,127.47536203557546,123.60421200703121,,135.7918775076723,130.82081401877616,,,134.5242743857852,,137.57144989858898,131.89559998680917,,138.75116376650053,,,,157.19969831931894,,,158.7060308429822,,,,152.5762749873487,148.53442330877738,,129.11017780936865,130.36748404141596,127.3419211944566,118.73776439341013,114.37055916901372,114.59877051946238,120.63706682814,132.9305500604112,138.66408151958115,150.190249768998,161.21356242005098,175.50472767375504
7,1999-11-16 21:53:32+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2000-01-19 21:53:25+00:00,171.01068920111595,167.81488493235673,158.4620987742677,152.27325463527092,170.24408903755875,,,168.67167046016382,,,155.660915662667,148.52977133499564,162.7287439796272,,,142.3109883287302,,132.11446043663236,111.36599405174695,,170.8412305609375,153.38238086355824,137.26828775434893,150.19139992014692,144.14821394372922,,169.2068657169378,164.9961143703843,172.44661872851532,176.4435862404927,181.78645482060793,156.39793309382642,187.18244725225392,,,201.95614815279916,186.45127159838805,186.32094296143688,,135.21654714509359,164.3735706755543,159.3922775557444,136.43693257372178,123.93684094426729,119.65523293574736,122.66815562622693,124.85598288973239,128.8987259053183,122.20649766663959,133.94424117613121,158.0464453173955,169.00743470688948,
9,2000-02-20 21:52:53+00:00,173.05966077795796,164.75809229141998,161.83411844544466,156.9126515993662,149.1013568252009,148.10871881484692,139.81528695831906,135.76276048294574,138.65762440117211,140.0677848915796,148.0727289172423,148.78001418575877,141.01808359940483,139.80503757191445,131.73681463412598,130.41322166948717,125.2153369370082,123.6071195901273,129.07584414335665,137.815129461905,142.58842048614127,142.055476915112,133.25847180925336,131.2682595915757,136.65048106258087,141.69607631413265,145.94419971510615,146.33937621874875,152.7317516141659,157.75726564984393,161.51401633392516,158.92464220128602,160.19647734669712,158.5218192259835,163.07654766145086,164.4900683202527,166.65692852764113,169.13612337296675,155.16196615885303,153.45002783052348,143.3454648604149,141.9354332303165,131.5206192952773,127.04973877366555,123.34593233376296,118.99160600648688,119.67894509717448,120.85259119868766,126.69118640455024,136.21866411314912,147.3815523813579,155.1807318557258,167.14820762389687
