,dates,jap0070-0000,jap0070-0001,jap0070-0002,jap0070-0003,jap0070-0004,jap0070-0005,jap0070-0006,jap0070-0007,jap0070-0008,jap0070-0009,jap0070-0010,jap0070-0011,jap0070-0012,jap0070-0013,jap0070-0014,jap0070-0015,jap0070-0016,jap0070-0017,jap0070-0018,jap0070-0019,jap0070-0020,jap0070-0021,jap0070-0022,jap0070-0023,jap0070-0024,jap0070-0025,jap0070-0026,jap0070-0027,jap0070-0028,jap0070-0029,jap0070-0030,jap0070-0031,jap0070-0032,jap0070-0033,jap0070-0034,jap0070-0035,jap0070-0036,jap0070-0037,jap0070-0038,jap0070-0039,jap0070-0040,jap0070-0041,jap0070-0042,jap0070-0043,jap0070-0044,jap0070-0045,jap0070-0046,jap0070-0047,jap0070-0048,jap0070-0049,jap0070-0050,jap0070-0051,jap0070-0052,jap0070-0053,jap0070-0054,jap0070-0055,jap0070-0056,jap0070-0057,jap0070-0058,jap0070-0059,jap0070-0060,jap0070-0061,jap0070-0062,jap0070-0063,jap0070-0064,jap0070-0065,jap0070-0066,jap0070-0067,jap0070-0068,jap0070-0069,jap0070-0070,jap0070-0071,jap0070-0072,jap0070-0073,jap0070-0074
0,1984-10-10 00:50:30+00:00,52.42625888540568,59.162286970786724,61.008205124367564,63.380153741225406,65.90402144985448,68.95760503132124,75.75654326576709,79.77255479820447,91.76871129427553,91.93411526912136,93.64894379090802,94.39806595377094,91.86412248531964,103.09177249586638,106.84212960501479,110.9730060246215,112.5095665611243,113.77305333188085,113.03901303102506,113.45042638158532,107.11987464613327,116.37285672959666,121.15496067452153,114.1601933478131,104.97668339687853,111.38178743267329,120.20115937971482,120.01811676864264,124.96752277425276,119.66882576843503,125.76957207810973,127.4247008700683,123.92911967727784,119.53739260851725,114.9332674425313,122.2480916495656,123.28672044030786,124.1489254446182,122.74357612210395,126.26613776073017,128.53201366047006,126.57386723439197,125.59817306472813,133.49953293148494,132.19115702450603,135.6477011250926,132.96369509374873,142.45063818161773,142.95235136145965,134.6576186123294,142.60808192679892,144.49416000339124,148.1441533497468,145.311089361739,154.47015456881192,156.96800365424207,157.0871908219082,158.02737585190968,163.06605548190237,164.04391438451728,167.5510996587311,164.45471197254238,177.24293347822345,184.0981350108753,179.56575301601026,184.42170234832918,181.53544302135393,184.68083540176673,186.39252030249318,187.2019402293658,193.08070095295488,193.70137788536152,195.45263436323572,192.83710991736305,190.978330994628
1,1985-09-27 00:49:33+00:00,70.46088935246694,68.17062947406248,70.38952484649414,81.0658334962793,80.98891744381277,85.28270633878739,86.60509357104672,98.44187102420668,97.91264226568644,96.59725021808109,95.13693246806096,95.32854598602148,100.13986882609107,118.15846057508269,116.66158542306468,119.77020294399323,123.41392315523989,125.86463705505064,122.76017941841006,123.13267566079152,125.559944877318,125.58786237504673,128.45841663058482,131.540948587066,118.58475520494041,123.53906500068342,120.47899991579776,125.06132388665583,126.5609001118028,136.72952093026097,140.16927595016736,135.5889190616671,135.88830105916978,130.42754626619674,128.34499242476474,133.01711204124544,134.47425745544388,131.4048409853761,134.7310517639626,132.80532289463594,137.88773979537046,137.33918991465092,143.11261908783794,148.68108642961477,149.7361561419053,153.3051654729313,155.31603066869204,157.7092370328921,157.3968290195668,150.53712476842256,156.86699251521256,157.1470706291263,158.0660825701287,157.59009908143966,165.18955382799106,169.57773869470591,173.24077978663678,172.39523917544216,176.3731162525891,177.34846744128998,180.24650912447115,182.3999704464658,181.0254653511985,185.07845505760855,182.57149148938842,182.4834289083207,179.90104997396358,186.14727509221964,187.64248792817102,191.54311467671621,192.71906268637778,194.00971272306631,194.80112450003836,201.8481394243832,201.09242718973206
2,1985-10-29 00:49:11+00:00,77.27966109552199,79.33524352192345,84.80743396653303,84.50161317661275,90.48948712206901,90.01311247368865,93.23651444958419,99.70373540749708,103.59632852269463,102.71946931201221,102.78845524328754,103.6257073184441,103.7561562894472,123.38585274857543,121.77005998252076,122.8319002868024,125.8726938867107,127.51691111712326,127.30129028001076,128.81447972780958,135.52734266912137,140.3115041415234,143.79231355404193,136.45596655968166,129.1147089271618,130.67275936325237,136.28901454872644,137.80028704027333,136.42530500479285,139.555199327743,141.75424595250422,144.39807904629168,139.43626108097575,144.77198520877099,141.49023159267284,142.5477011668262,144.60923223830883,139.76372196950948,143.75768312214333,144.15339185563224,142.83889844206345,147.09136946909834,154.20022138305748,153.19473208135463,155.5135695426999,162.3287138290755,165.60133543457636,167.53404678371106,166.11414453277916,153.48991165910132,163.1106601534473,164.49895091290924,167.45592457674002,168.43476714707128,171.3259151489887,176.13532383701164,178.86266789842023,181.991416541644,182.67607359815716,189.21335678761335,190.2594866864414,190.0535786136156,186.15223603147228,189.81464483630725,192.35276305711022,190.61833772908113,181.57987480691907,186.67795134945027,195.00215885080414,194.48566840717382,190.67248398009082,196.10504806778212,197.77651417121632,207.74983070491857,210.35740877228523
3,1986-06-10 00:44:19+00:00,71.28102402816049,72.40685010501659,76.29860286865454,84.01817877744755,77.49819447713205,86.86470316143773,87.8497414547237,95.05565345538834,101.46128483456316,98.65308785523885,95.16270566755766,88.22789349648532,96.9890025495064,120.83314662247963,114.5483057236825,113.89348554939255,115.43415534809074,115.13856174480193,113.65576294665952,109.67553319363466,111.33603464241827,119.15288445037358,125.34423655703355,122.27973302573447,119.35861820078551,124.8251888951835,134.13421788668,139.902890885064,138.1266445700153,136.21657551363285,137.9958553355656,132.16565741404807,128.9287933725662,127.88674236364415,130.96381603514286,136.8624239430789,131.9092382344121,135.72489709410632,135.70562430492853,140.70869851840092,141.82365233733134,139.77481286520583,141.67767141457628,152.37668885446453,151.61946427581316,156.7019523675348,155.83308930162414,159.45656315725796,157.29987137800615,148.45639845155492,155.93877379650314,154.8088061187894,161.00002950640504,159.7076884354908,164.88490129710232,172.34215854658035,171.2202591374855,169.80164601189114,170.92028094964084,172.01231392728158,174.12202659691366,179.60918402379244,177.23849949039237,180.5473069806817,182.24238849688777,178.46150680552915,176.0165480742183,178.6683664340002,182.67312824888904,190.26315221614053,187.8659201217354,190.42062881137412,191.09653654311788,196.4531374514046,194.56835600206156
4,1986-06-26 00:43:49+00:00,57.993486640769675,68.50072338237229,69.38380950813226,70.53031978069929,70.9667224130914,79.27345448524221,83.45586461147786,86.40840712461511,87.3405282010927,91.67248681948105,84.42429727985028,84.68560903478107,89.07625477634164,117.4678683591614,115.93533957738623,117.14822338540172,115.33395802041953,116.49645995021139,118.04320276767224,113.96717036417738,114.84605629530415,119.69081361645738,123.2013305521291,119.99747013378432,118.90683428781122,119.06590723635324,136.64799735381936,130.87161069427293,136.5388569863633,138.45058860204935,133.2613204436084,133.80574113757305,132.2226772090418,129.27850317099546,122.90100041027311,121.05164617324594,121.26710734771305,126.44639790455389,121.42196888698375,127.07088616902942,127.8340078153089,130.67622264523277,136.7965329035394,144.24169832389686,142.49770335591145,151.61288555306672,150.4576025621149,149.63926540450288,145.5117321364623,136.60977276224568,143.83865997378933,147.84101270491493,149.029099386634,150.3265463969635,155.82915872856924,161.86111719267672,165.88855275835692,161.07124039638717,166.0647317656202,162.59727164141282,167.66834030600094,169.0640915370511,172.65929919842088,178.5630142329366,174.21885783557863,172.7718425335913,169.69970895744194,172.97316307876073,178.36765992522567,179.15239274796977,178.43050078036427,181.52527702467535,180.1511663013272,183.94410770910142,176.31311310888168
5,1987-11-04 00:48:14+00:00,,,,,,,,,,,,,89.29088104987288,106.00684685306938,125.28525048039818,125.85294936130656,136.03982778345605,132.04274027875604,,137.14081042036182,103.73901014350757,105.45566807394155,110.91002577109381,112.5696656853978,106.9610521355101,112.16895407357259,131.1886604473415,135.69040497499822,136.4593945141506,142.80900970878395,141.32606698042454,141.46850656287137,141.23327663034996,135.6250636335852,133.74582914600308,139.19693159896613,137.08713987600242,132.63489327022538,136.8195380335465,140.39248850348096,144.17562850202233,140.7872967208067,139.63592134210757,142.14992145177743,143.4085757851388,150.8945507708661,146.9050717061183,149.2488726983577,151.6245734600394,156.40637870638068,156.23792664490205,154.59839595374916,163.54052458245292,159.54358361628397,171.5838017056842,168.53547931734136,175.3560903116087,172.799446043627,170.75174757379276,186.36386938310753,143.5413499699531,150.66259770277483,168.39474660118503,175.23340656063957,172.7696649904552,180.39415304773897,174.60645496347797,174.02736619350253,167.45859675028646,163.85419355465137,154.8609277952047,154.6608919172683,164.13834526064534,179.7918674306598,181.8174667447872
6,1988-05-14 00:50:47+00:00,54.21446131527847,66.65476991724174,65.83183443205695,69.03850067936158,63.18100798846941,73.63089711318989,81.04611948665254,81.86082729328669,84.15083311563002,87.08406698414285,86.93247603492266,86.78490477126002,89.23891446306862,101.13878710684504,107.72446201984584,109.31882457591213,103.256786875559,105.84383877996412,101.59950817107755,99.5205825216511,97.21079161050102,101.75717957262687,101.51371197641774,88.23340849148117,,100.97623745409155,97.64900383892244,113.71477312873174,120.45849006661183,124.22061634213227,126.45204197299157,124.73204152890236,122.22054345950663,121.16557673802245,108.4748488991652,123.68508893140418,122.14659482949392,126.32889320088512,131.6234338827275,132.13059485367253,133.85376058571381,128.38160723824038,129.68248817720635,135.31545927262388,131.14262868194382,137.74957636775346,140.76826594450424,138.8388852071079,139.76822794519435,124.31358643233824,135.3328915769404,145.5866172827787,151.86807630334562,151.23174555486716,166.13974134045597,183.60911460891467,168.66645369751438,155.9622772775937,158.1946637330117,161.09872207005,161.20656352916558,166.89507419835607,174.32734155037008,176.77282455622566,174.44981756726955,175.63645490072693,170.09754664885037,168.53187456705703,174.99293413603252,179.5151488223058,180.73854695901468,183.4637821313295,180.05724598572678,184.60461389552688,177.5860209733764
7,1988-05-30 00:50:53+00:00,63.23731361913454,68.81455296851345,69.31731309557452,74.17997319477588,74.45655902376183,79.74646291095675,85.12323209347329,86.4123710777033,96.41801467636806,95.55131405460214,95.66442909303909,91.19483916687705,96.84339538063784,109.44038693850486,110.86138123508468,115.59471272292753,114.26866708200869,115.24909294286459,111.21502442896303,111.67801692559661,112.72223086458872,113.82944052906281,121.61171086220678,114.79174107615579,108.07278320955973,111.43619512098948,116.24619249990708,118.99450353414892,121.46256445333692,128.53879028929703,131.87937097526336,129.1153546975246,128.9269789230305,126.5709561957887,129.65624071185422,131.36077725565016,130.89925384773562,132.63990666332302,133.10207133261233,131.2723720248323,134.82449568703757,133.8919890608426,135.65543654126736,142.64812775012516,143.33458181589668,144.95195368708178,140.34546279238984,144.05077471604739,139.0695207465376,131.92411330104648,138.84436633912128,145.65175316037445,141.10977242963966,143.818457772157,146.77371242960706,151.05404238050855,151.68606352468365,154.59261125428952,158.85036465524612,157.7407961846399,161.43764216805903,167.07300207235082,167.07674301331008,170.61950279641397,167.63839009054496,160.70248907948286,156.2300949141358,161.76259130261568,167.53705913199946,170.32534713346442,173.65473800764283,172.22720553632757,177.75815623337513,185.73759905505634,187.13286254258486
8,1988-10-05 00:51:03+00:00,80.39044967802252,83.73955403079165,89.8684930498346,86.5706390995275,90.14601197504048,95.94846644143328,98.49041401291376,105.63358866348159,107.40024409029293,106.94273519146634,105.39427618545375,105.3669908324003,109.19525943791561,126.0594393862024,123.50799581363503,122.62675477516328,122.89937925860956,125.89554974364769,127.1672941977813,129.25152432603167,130.4129301246573,134.45435652731996,130.47602515480858,135.18487898106247,131.42463233303764,136.65889546074897,147.94990827550674,144.73559955492726,144.49759401787077,147.41471199657934,146.88920315128928,149.04135470982456,147.2353104620563,140.8372164286902,137.08044685063126,145.99643541727403,143.43537159202234,139.87361315214204,140.5766717842661,142.64882871475217,146.7065935772275,145.95220789962903,148.41133653033074,153.6881748513584,155.26334753684313,156.52693935557537,158.39949278472477,160.35260984617733,159.3387399206049,153.27231476530028,161.32260320828183,161.77913594353475,160.55121252542662,161.74764575495146,166.73760562969068,167.73308870043456,171.37903635685882,173.17736472964853,178.27758891369308,175.43226788721972,176.34073770474544,177.7782821596281,183.19541566101663,186.6374653174758,182.11891583369953,179.06350650417755,178.68300365789264,183.67524470734844,185.33658978042976,187.44909782300513,194.5297038501294,199.4164677674935,202.94236654237005,199.05574908348515,207.03785702760365
9,1989-10-24 00:45:13+00:00,,,,95.83250697552108,98.34368123404691,101.25607013512912,100.56972405775339,107.87950081493712,110.77767912924335,108.95833967336617,110.79816673486705,110.99694639782267,112.4547614303424,133.29985448893618,127.43068122747415,134.99532246280862,137.35169205671193,,,173.0924335612465,,,,,,119.5006797351252,139.9380021288711,134.66605143781263,145.64461939639946,150.71923459682557,143.4534015816191,147.93757470823988,145.3886100649849,142.86856692570925,136.49575166666634,122.37217823261165,119.04975755160373,103.97772344602139,131.69826904356526,144.537306946497,138.7279404256888,130.11863309752835,143.34364463267121,149.96130549086448,139.31029978645967,154.71442164061506,142.12150197566308,155.84148546125326,156.95754305456282,150.44628184801198,158.90050605533165,,,,,166.3286150081866,176.29516863751712,174.3973976474813,170.7968394432927,171.40709769922287,173.44317233138642,180.30813042955216,185.52577054147753,184.5289231294327,183.9842539051063,177.89108415231985,175.10971119120674,180.0793593762866,187.07349623439367,189.34467949088722,195.3888652453925,195.7139689528301,192.3767844807704,204.37016650723612,200.88462901605405
