,dates,aus0341-0000,aus0341-0001,aus0341-0002,aus0341-0003,aus0341-0004,aus0341-0005,aus0341-0006,aus0341-0007,aus0341-0008,aus0341-0009,aus0341-0010,aus0341-0011,aus0341-0012,aus0341-0013,aus0341-0014,aus0341-0015,aus0341-0016,aus0341-0017,aus0341-0018,aus0341-0019,aus0341-0020,aus0341-0021,aus0341-0022,aus0341-0023,aus0341-0024,aus0341-0025,aus0341-0026,aus0341-0027,aus0341-0028
0,1987-05-22 23:08:56+00:00,245.2877435505878,242.5940784536279,228.52261514058074,229.4545878478449,221.52512922362786,221.85815060951862,224.5517164300681,221.8518189079404,217.91751078724388,218.0445549255808,221.61397186997047,218.88632822220825,217.77707646735388,217.10545437743895,209.25573916045306,204.45724652972305,202.67400552805864,204.7069093802018,208.34240426406714,215.0244634152769,210.80301957662346,212.4421008964351,204.78335011694026,196.16237448691518,202.1245137075869,206.39912117426667,192.1595329901108,204.2416045679762,199.0737449210082
1,1987-05-29 23:15:17+00:00,222.70004847739426,230.58743537820456,221.84398315711235,223.20921601393883,216.70044316311356,218.24115224399787,216.08134857909874,210.83753209142927,214.07699059429376,210.26308157578939,207.68168719398165,212.25964770740435,209.57569016708783,206.52481658373603,199.2342697992281,200.450066244553,192.59696027755336,196.5044027338043,206.20004510636568,208.5671822577479,202.27589796807075,205.82591299391308,199.69861865119088,192.54430278261606,194.40164064876703,201.1861669142853,189.56180056683314,197.92512421043966,196.85595113518053
2,1987-08-17 23:17:12+00:00,253.60391293072036,255.2044563264491,254.76258382676187,243.96522190030686,244.2522958674387,241.36528418635262,242.20062068496844,232.05578344811312,227.72119627135118,229.76229825233037,225.668839119616,223.98127103388256,231.7699941088556,221.4042649961235,219.10248385784072,209.815574746783,207.08632799335876,199.38339925415517,208.71311972013686,212.28155434397848,199.38006082373636,204.52592048586115,198.10377911463394,192.18737745935016,187.04159104913884,194.3499066690846,182.5235205334315,188.69406214399902,207.63380176503517
3,1987-09-18 23:18:02+00:00,278.5261495210974,276.03368777103094,267.4188734208526,260.7153822646894,256.200821679415,255.0079353836237,250.00878412048425,247.2793230882503,243.2941055758472,240.32389650007033,239.6184449975645,239.54474060488153,236.62717017483834,233.816818315527,228.93184534450546,216.7149626421385,207.0662614819856,206.03274207625736,214.62111507781984,214.21756703423182,206.9746391982547,211.90573047054266,203.89957684259235,191.27246629085113,191.61599938528497,196.36269288626693,188.94173203262943,198.6490282499853,191.6082415559026
4,1987-09-27 23:12:03+00:00,,,,,,,,246.67852832049715,240.32331816943525,238.10310718437148,232.4124378011034,235.8593693973512,236.10581474960478,231.34156890625283,224.32521170004324,217.22927322647104,212.53896992534544,210.22049495536535,211.5163524713762,209.6098211354613,202.79044375557407,204.99023076973424,196.18995533000205,193.6581973842707,194.62626390571515,200.29608326221341,186.0934367187579,196.65065081861255,194.1377987725499
5,1987-10-04 23:18:22+00:00,268.98812325611254,271.82439424816505,266.1362586430399,252.28770277580358,255.1689471653916,249.02965934173704,246.5220582674686,246.96562963341594,245.4839324226691,237.82805669757215,234.9463547749081,237.7082179307837,236.89551282098978,226.89196030327702,226.09601424949642,212.16906028814768,205.23819297229724,203.13601935970922,213.5222485591491,211.4382445636381,208.66478515138428,204.9555396016618,193.97823421864868,189.61676757885,188.3929024453923,191.7549574471546,182.66940965020714,193.50506730038072,189.31109766663124
6,1987-10-13 23:12:21+00:00,275.9103013130579,272.2358980170909,261.292985067121,254.9167434661637,246.93807924814894,242.2658066182597,239.15307016004613,240.7979643526017,241.5388855649228,233.44030835463627,229.80302389780832,230.28730070977596,230.09591838889304,225.6763081327718,222.38147694835078,211.508920365117,208.15308768389954,201.9133742489481,207.1711023916285,215.26940341282796,208.26363898463904,206.19301317513947,203.59965811520453,191.48635896664896,192.2933659083604,202.41989196850366,195.56863394400233,211.53128620126776,209.5272212093634
7,1987-10-20 23:18:39+00:00,244.78648162154983,237.11965487041783,231.44998855616166,227.86827442914648,223.0137780405988,222.32824475353746,218.48702394200905,217.85550203207066,215.4355342000624,210.40882978430275,205.84297216025806,199.76895652400097,200.73094541010633,201.66068607874678,189.64452270304704,187.61867191970765,160.57272261933642,158.09933226380608,167.2171673643747,,174.38816799415562,183.15592062617935,169.53769305972614,153.13564218811416,164.18367776101312,160.3068236171738,163.59873520283824,169.43751256509756,192.50234968783718
8,1987-10-29 23:12:37+00:00,255.4711170403553,252.7876370259078,246.39018974572633,243.12669695007892,236.27949694937138,236.09887051624602,230.53817750396541,229.0441756241177,225.8116512831517,223.83688780702087,220.30318119569318,220.51828220414617,218.91736516642646,218.17831275601264,211.43085991375943,200.43663960057026,194.63755301878976,194.8263119342121,202.05327643825402,208.09651556271515,196.22766927318034,200.95424859137273,194.3260387502387,187.84333528108834,189.54297191862747,198.35029641171934,189.79032704854257,202.04433922706056,208.65617346048825
9,1987-11-14 23:12:59+00:00,248.69109009510998,249.2888536475821,246.0361333638125,241.49350950122638,234.61526853659421,232.5788895576575,231.28963310060257,228.02882639223157,221.51658866972136,223.5591301310633,225.75592928080235,222.9945359623645,222.25651068635483,218.4446466265939,212.94922381966427,207.06977948436634,203.96906524700387,196.2252568252991,205.46956054137746,206.36007074334228,198.01912649557218,203.57482367527285,198.2568243528844,188.29028896693444,190.82280011682997,202.23769285262392,182.68010754716454,202.04837631926972,204.51301008612947
10,1987-12-23 23:19:46+00:00,228.5972508230123,232.38845951152675,220.78352537401602,213.24849877688735,216.5479491096071,213.67032331505243,207.0908532521242,215.60350417613705,202.4611533647761,203.77593281832768,199.79549245783048,198.88322724927372,199.26650731687502,196.8928839618443,189.45609887388545,180.62897831108774,175.79588469342733,173.6868439933952,177.65981746261804,186.54167843745543,178.9179750687271,179.92116948756626,171.20720339595783,167.93392252682844,164.98490392419097,181.4232885314487,167.7625173964171,170.85797920318979,179.46828485828794
11,1988-01-08 23:20:02+00:00,238.91491684130915,241.15352037898435,236.20337058235575,221.04075507008625,218.44378684515155,222.60392715931022,218.4279337642905,215.69973338085225,213.69762834041987,210.5127574247653,211.60443940931017,207.8259825180556,204.15530869096966,200.80882349464989,198.7383312305456,195.4809793187643,189.5109110605874,189.07216645789475,193.2303868216166,195.13060367661888,189.4249748359538,191.83717419985885,182.97527971870358,181.4981861563361,183.06728228725171,189.24207542095942,179.16291647401647,177.0477175924609,180.56951901422218
12,1988-01-24 23:20:20+00:00,238.77251298648264,236.26014281623608,235.00467572044636,222.3827756251529,223.1399994107548,219.7145848545234,218.57345906595225,217.87901639412985,212.83411198269465,210.06099565667367,210.85212885059263,211.4529388720071,211.4522553918897,207.8015472584298,205.9787130671346,198.06024442726016,188.8058097968194,197.2215126415325,206.02527920192904,206.4595627058759,201.59846735787482,204.13899098778847,196.38139388012877,194.8989234392845,194.46006070352905,201.97556987355478,191.0490086840355,190.06293736264192,199.8574774361155
13,1988-02-18 23:14:35+00:00,,,,,,,,,,,185.10046260948087,185.3823221181613,186.3109516153334,168.93049322535103,172.70812597902093,182.3201418438337,174.6286394661416,168.0643956042182,177.76962107188967,174.81955544998533,178.15650481850076,184.66994472255058,174.51480806519493,169.61542115232663,167.9172356349141,170.70592833416674,160.92777116347085,169.2027123176553,169.18487042605148
14,1988-02-25 23:20:50+00:00,244.78777820778907,237.41528283386998,228.84255501888887,220.61993834522096,214.74045099380103,213.52416113398147,201.25372794313273,206.82879786733957,204.27499594033873,201.18106192603528,207.41411812060227,199.91756362461442,200.98920613021104,199.5540472863501,194.66541174882013,185.85127933467868,181.2582748645366,185.14556052283393,201.3462987655421,198.79605547351153,190.90664937062644,198.48760941472213,193.89200370455234,185.52161213152806,196.93388591681844,199.79086209618333,194.80590257556156,197.3708057236739,193.69442269044623
15,1988-03-12 23:21:00+00:00,,217.38690103261882,,,,,,,,,,,184.71833968635022,188.40641388771422,174.2285490739811,174.046794592073,179.17449950988424,172.55198376035233,174.91708612330393,168.6890029140884,175.60553460540507,177.06351465811775,183.3422336984703,195.35569000114398,191.6581493702672,197.0062777748185,190.2809901090224,199.13064184276254,185.60139216247433
16,1988-03-21 23:14:53+00:00,238.19362509289846,238.82870498037667,240.40051876659035,234.31508028082283,226.15568063953535,224.4957072425521,225.10149478899353,218.33368757106456,215.60616035646183,213.4568467768063,218.0046553268246,221.41928942698235,219.7540441875361,210.51685156357013,208.78355759173832,206.68999739546186,214.62068982229496,,212.48346257424728,205.62564425987824,205.24814871273895,220.4458593831102,200.26313176641622,193.11155909753927,192.55348253428684,205.64448539738748,193.77910864328032,206.9958772458413,199.6916980760219
17,1988-04-13 23:21:11+00:00,235.41053900334353,242.19556765926913,235.8512053710958,229.60869222388146,221.7679073537876,219.0583309493695,221.3459937878011,218.33956270927413,210.37494385902738,214.81086896991457,208.52147897558282,210.5436835422527,211.57439009865573,201.57207926795058,201.13503569963774,195.45096283837412,186.2405395225635,192.82479331586575,198.3388046358728,200.56676734196927,196.0908607679659,198.68941519338526,195.7816890132605,189.4659116619722,192.83859678629543,200.2572352561752,188.19089451748002,199.415025455492,210.3994197054643
18,1988-04-22 23:15:04+00:00,232.66833617779352,231.52193847451278,233.6989086769659,233.7328295477874,235.04097599313582,228.11805244933348,223.4245843530048,221.45055047472056,208.17174402620617,204.41960153194785,206.2199542498424,204.15744314996206,200.51284565581204,197.42065346168286,203.41238393000435,196.1168225247382,194.19097160105244,187.0446039397353,196.6795187506022,203.05445898889857,197.73813726765422,196.87984042202515,190.66028661989134,191.34346660580954,190.01423676522396,207.11711304605046,195.80770308718857,204.27847888210732,
19,1988-05-31 23:21:35+00:00,225.8010874676146,226.44213094262437,221.25047515574863,213.39032618639808,210.6374135052702,205.87224249683007,202.48397210421183,200.45153426732958,197.62177120036137,199.7552707651289,203.25721162007892,202.02005397415294,199.06584027777618,199.40287545452665,192.6997597789604,190.9380345077411,184.05911533501933,184.3786748172932,194.13533043669327,191.77198571495734,188.5185887271059,196.69291845212183,182.8560599096669,176.29540385417994,180.8449039466127,191.29655022747556,178.04970420250294,197.45877630947916,212.5429687302106
20,1988-06-09 23:15:27+00:00,231.51209339112313,226.7425164174206,226.03365999562442,216.17352833591633,214.93950054786617,210.2456770044583,209.26614865655472,212.05340074123256,210.8290296345351,206.4694263096976,203.56756845986658,205.20165312539015,207.09418309043951,204.13128855836467,204.26010635266243,197.0428091973685,191.6900450768015,194.30583600080953,201.1428679218443,206.29940314313052,204.7118679575234,202.0285379266826,196.67765989802868,192.64479448465286,193.30111890653524,198.8243877041968,192.5881369834535,198.02550640841798,215.52784007671232
21,1988-07-27 23:15:38+00:00,247.92671139261964,243.77027267135725,229.2549979890158,218.81211405649057,215.48985058352,213.76627261433168,215.47860578936783,211.0827293960536,208.38216014026614,207.24243156640708,207.23895497616917,210.61009627535762,206.04159883517326,203.79846242432242,203.7897358112608,197.082341051353,189.55162498574026,190.87354210687909,196.7389635499634,205.81657612296524,197.24180222185208,198.60624708975973,184.69057714894922,178.8050885689792,190.2171117584365,190.54889226869386,182.6936024124094,192.55394324239057,202.99040415305583
22,1988-08-03 23:21:49+00:00,253.03188105387238,248.6416146948332,238.42296036300195,226.2034525598286,221.25001444635106,220.20227978726302,220.16658729549494,219.43246408917224,216.19823061361825,212.382106580431,211.89805328332093,208.11552540688362,207.8612178514442,203.8730618580394,200.63713339377236,197.11961071965726,196.13048686562854,187.89056780748973,204.59674912842388,204.94082653415637,199.14401006917856,203.88159581076278,191.34307617669694,176.37505584622573,182.69549832432475,187.9595744470446,177.55499773962975,188.57118282919637,205.10622151489065
23,1988-08-12 23:15:37+00:00,239.68191731256246,241.4059478978965,227.06681791485127,212.99449743719757,208.93717187881444,207.27401349402885,205.20990426957056,197.43697101117453,195.76892334700088,198.10739616014678,199.46492421596952,193.9062208803532,191.42743524148588,193.06793976797258,185.71501538027908,181.88024297230575,182.59139300117462,179.11541021167386,181.77093897463848,189.18461107653653,177.44058160890387,182.32374708501015,168.41012018974237,160.21454202518245,160.3407442279683,176.53448684118254,169.01708401596375,182.9721507369453,201.35458516994532
24,1988-08-28 23:15:42+00:00,234.76030970119947,238.36902980125464,224.71428623851486,208.39615970380945,211.699557130925,202.5985507621108,203.27839623738018,191.36056770994307,191.38625942050547,198.3507744081466,195.83678510959402,193.84600675710738,192.7639986690228,188.7048418096855,183.8806122530354,182.96029551015883,175.0295912616839,179.83011025958592,190.5832142991819,193.05779037350766,181.46631822538498,183.77490257499295,184.41507172965163,167.15526508062487,161.738817291948,173.87908306301415,163.35249500424376,172.7503115049932,184.32813475647595
25,1988-09-04 23:21:53+00:00,230.57293891597027,244.14213005753834,230.76367518858692,221.59499907150771,222.57907559545743,221.42417993180808,217.5265437178811,209.60438725416878,209.3303527960787,212.40901119766284,198.96702240912035,193.90883684373813,200.9526546693294,198.19287174370572,193.67753461984387,186.1746769435768,182.82890570534147,175.98492879920553,185.81533179086688,189.44076941207913,185.12676464963602,189.68214713328808,177.73948838345692,175.25630032208204,172.95414387445757,180.42374808281312,168.60509460268338,179.1800230781503,203.16538876605603
26,1988-09-13 23:15:40+00:00,220.36484981624108,225.35072909287544,230.7097374428365,215.8993766951344,213.6611169198206,210.20540778405467,206.1331378835142,201.74840491728992,197.86879135776107,201.61791475683637,203.08783451911768,190.41958007049067,192.13256248193204,195.11873968458434,185.45999239894545,180.14211117108078,173.35478626851665,170.50521427570555,173.6073443797414,185.83687235944757,173.27044160724904,178.1266306484894,165.99482123454652,163.96309788367253,166.75617540456363,172.93621743826787,163.6445003260335,174.67941868175112,187.8150116451512
27,1988-09-20 23:21:49+00:00,233.58595587683592,231.45348667122047,231.2292368956979,221.73684555012946,210.01762309734897,213.3981059118506,215.1900085417767,212.96351379599218,210.5274143807559,198.88328714585862,203.40484361888298,208.48355073321784,190.08233201971984,197.96030619716208,194.53514203035334,184.17833554355227,181.94906262165415,181.03690214749162,187.16608533225192,193.10862026590758,186.75046611026607,187.29645766047082,178.68180249695496,172.53614798937934,173.43867001266628,182.10194428679011,176.13373103350852,181.97276770514458,198.31048632096105
28,1988-09-29 23:15:32+00:00,232.16752883139736,232.35165988375047,230.22572838556238,219.70126428997395,212.1063602378418,211.45912356465504,215.0297822474501,206.04490266103,203.71035110615236,202.3253645778177,204.4389697385374,201.5756495369924,192.35850871505636,199.24704668245624,194.936525688296,188.7585407627268,187.95291773578765,181.2096017599889,185.6479028022739,192.56109476139733,187.44189453736925,188.53689309246778,180.86264867632852,172.2132607685338,177.48176623157022,181.88292044689888,168.37665459514716,172.39915677333195,193.38591839028155
29,1988-10-06 23:21:44+00:00,226.0762963060723,230.65199248856797,227.21009573715725,217.32108280688703,217.9662188602906,214.81163690457555,215.48565004023243,207.5463361571651,201.00489070445076,204.9596015020645,205.3393024574732,204.3206926370372,198.13869359217853,197.61557536002303,196.2936173668997,184.31206117972894,184.73170586249896,184.8231535510256,189.53696406243495,198.67117527897602,189.30462808501767,197.13074360185266,184.05426527898547,177.91807629870326,176.89661143053223,194.72886212297504,179.04906292195653,186.45739909073515,200.07326514646127
30,1988-10-22 23:21:38+00:00,234.39950092367218,237.4364040456445,228.33711615938392,222.8424935349276,216.83720500204964,214.84492663860811,215.184699411189,213.98881094106892,199.94298314968782,200.51178335705723,200.90501267398167,204.64713233264814,194.75375120857177,191.74972722386065,192.36676208967557,178.12106033396196,176.03788651587092,171.55691511261134,180.71437279590313,188.69776336024967,181.7623659182011,190.44965447435422,176.04137235007397,169.5264510614566,168.7272146737736,175.2459599451537,166.08691943304825,179.78856745836094,208.97726248190358
31,1988-11-23 23:21:41+00:00,196.34234626670622,208.58951647902126,206.72071958538922,197.94843855798177,191.93426761925986,193.3211547771441,189.9599690270101,185.50182615375644,174.14009845529336,169.6284143573825,180.9987964332713,174.61544668409726,182.34357805889175,173.08283880429929,166.66001991846167,166.99340214034547,156.48443015397612,155.22342483725038,174.68614458296543,177.35924315555155,172.41854755435406,177.2596747016956,169.53044870991505,157.91838769795996,158.09331488995272,159.1406554025009,159.65874038680573,163.90357931239078,177.41731237008463
32,1989-01-03 23:15:14+00:00,214.8297467275194,218.26449173502385,218.260342784368,211.51753243763963,205.93759971463615,205.65832486960898,206.92276861932743,199.66242256451895,192.5991571395219,200.17513389159524,198.61295825279848,200.75109435333775,191.73987286234896,193.76238911675011,192.16068583883953,186.10800943104613,175.31740117307857,183.3309262436828,190.62639231154662,192.32757416285858,186.89222530566394,195.69467542315226,178.12763850972584,176.72004189900946,177.45611517790456,177.3079575830576,173.6433761716776,182.58360932848575,186.35602388432733
33,1989-01-26 23:21:03+00:00,232.3909843884642,223.11644357097921,212.80463475201825,212.3590349217081,215.49056691455112,211.7402914359663,215.158355956051,201.5002529369421,197.3103953606481,214.42304228035988,202.19229952548153,209.46774024629875,211.3644697002795,204.0655642903967,181.07610664945898,194.31981145645125,179.76002754144352,175.42997880660837,170.40530682639422,186.25947228077538,183.18658836596788,176.0043490554732,169.34704314598275,172.18238871605968,180.4216799841627,186.22534674840128,177.55212425951834,194.91895629192115,
34,1989-02-27 23:20:53+00:00,243.7863775467914,235.79213479955695,240.90323895683062,229.97489168431537,222.36058849125746,216.8410696620663,214.60721480623562,218.15282158413746,218.85765703019328,216.0188410243249,213.81059298079822,215.9654533180231,214.99574095342712,214.75840201948358,215.49792324081935,205.92718327083492,197.42333800293864,194.0818299224327,206.93239949793588,212.77896702256814,201.08154558221383,208.88370843639126,198.4859348350118,194.2517521311581,187.9280028821881,194.44347059512148,182.62986243820797,197.71710383981682,199.8410468160193
