dates,satname,nzd0232-0000,nzd0232-0001,nzd0232-0002,nzd0232-0003,nzd0232-0004,nzd0232-0005,nzd0232-0006,nzd0232-0007,nzd0232-0008,nzd0232-0009,nzd0232-0010,nzd0232-0011,nzd0232-0012,nzd0232-0013,nzd0232-0014,nzd0232-0015,nzd0232-0016,nzd0232-0017,nzd0232-0018,nzd0232-0019,nzd0232-0020,nzd0232-0021,nzd0232-0022,nzd0232-0023,nzd0232-0024,nzd0232-0025,nzd0232-0026,nzd0232-0027,nzd0232-0028,nzd0232-0029
1999-12-25 21:58:52+00:00,L7,336.26,337.32,334.65,325.67,318.55,326.07,337.54,333.87,341.50,342.71,340.49,337.57,329.35,327.01,330.02,331.41,329.35,331.17,329.96,326.45,325.85,318.58,313.39,316.59,327.65,329.27,318.26,325.91,330.45,332.48
2000-01-10 21:58:52+00:00,L7,353.37,353.76,345.33,336.74,337.36,346.53,348.27,346.76,347.26,356.42,352.69,342.30,310.51,326.85,347.99,348.05,347.75,347.71,342.32,340.22,335.82,320.93,319.55,316.89,331.11,334.20,332.05,343.75,349.55,343.52
2000-03-30 21:58:33+00:00,L7,377.33,372.12,356.80,351.25,360.14,361.70,364.58,363.67,364.14,365.73,360.59,359.51,361.03,361.22,355.40,351.53,348.65,348.85,350.67,353.24,350.11,347.30,343.85,347.87,348.20,350.31,349.16,363.97,372.74,372.34
2000-05-17 21:58:07+00:00,L7,302.27,315.28,322.23,311.51,298.01,155.47,311.05,304.38,306.26,313.10,324.53,311.05,163.88,177.90,152.87,170.86,155.08,144.17,153.56,161.99,199.20,305.34,289.53,289.63,304.20,304.36,289.45,300.66,304.90,
2000-07-04 21:57:38+00:00,L7,356.38,353.37,342.58,,328.62,343.83,346.00,343.84,349.71,338.36,325.86,125.11,172.65,171.45,151.20,165.30,152.39,143.38,151.55,152.12,338.66,320.02,317.91,311.15,316.86,320.67,317.88,334.82,343.45,
2000-08-05 21:57:08+00:00,L7,380.30,363.22,350.53,349.58,348.77,384.77,367.63,376.17,382.55,363.33,351.74,,,,,,,,,,,,,,353.85,342.56,349.32,371.09,383.08,380.44
2000-11-09 21:56:21+00:00,L7,342.43,339.26,344.76,349.91,340.42,349.67,350.60,339.40,334.81,322.18,320.68,329.37,345.34,342.79,338.31,326.38,318.26,314.33,321.88,322.54,317.92,308.24,286.20,261.26,310.19,342.82,344.76,338.87,332.36,339.75
2001-03-01 21:56:21+00:00,L7,,,,,,,,,,,,,,385.54,379.55,350.71,355.53,355.59,359.69,380.19,372.64,360.32,383.95,387.79,383.71,380.46,364.84,385.56,390.42,389.86
2001-03-17 21:56:16+00:00,L7,389.91,377.04,377.68,379.97,381.04,394.45,393.76,402.83,399.52,396.08,391.37,395.97,387.72,376.10,373.57,370.74,354.34,347.56,366.47,378.17,373.35,360.60,377.88,383.12,399.33,398.24,385.67,385.10,389.17,401.69
2001-06-05 21:55:40+00:00,L7,317.42,324.75,,,255.20,286.37,309.00,318.57,313.44,328.35,316.25,317.72,319.11,308.83,301.18,304.30,303.45,295.42,294.47,311.47,375.77,336.24,337.39,321.97,334.42,327.40,307.00,323.89,324.71,325.36
2001-08-24 21:54:48+00:00,L7,381.87,375.78,372.66,376.63,322.79,348.70,347.44,334.45,359.98,363.28,345.80,338.84,340.42,337.57,342.47,350.49,359.20,360.83,356.88,354.88,352.82,353.96,364.13,346.64,355.53,357.41,346.21,356.47,362.68,341.12
2001-09-09 21:54:36+00:00,L7,403.01,392.48,405.07,387.20,404.52,410.24,400.59,410.57,403.90,390.93,371.48,349.31,346.93,363.03,382.10,387.29,379.55,382.86,382.57,372.36,366.48,372.52,402.05,405.66,406.22,407.51,388.07,390.35,380.63,372.07
2001-09-25 21:54:28+00:00,L7,405.41,390.66,384.42,,401.85,409.28,396.71,242.33,,,151.02,166.35,320.02,374.50,381.80,391.32,390.50,385.74,377.99,348.52,364.89,366.31,,,,,,,,387.27
2002-02-16 21:54:54+00:00,L7,375.22,370.92,382.11,370.47,376.99,375.13,373.89,392.56,391.05,388.95,387.79,388.15,392.17,393.99,387.18,373.70,360.75,363.45,371.71,366.08,368.21,374.19,377.87,369.55,371.42,372.24,372.25,378.28,378.65,379.08
2002-06-24 21:54:28+00:00,L7,308.65,341.23,333.85,,292.67,308.74,177.50,191.00,169.88,,236.97,146.79,167.71,177.35,172.65,,,,149.05,149.22,185.62,190.32,197.84,,,241.74,,,,
2002-08-27 21:54:00+00:00,L7,343.42,341.74,344.14,328.50,309.86,319.77,331.13,290.65,340.97,355.94,344.84,336.89,347.69,339.18,344.91,332.05,328.87,341.89,346.65,344.00,342.81,347.02,344.95,337.18,350.34,342.68,328.48,352.32,359.59,353.01
2002-10-14 21:53:43+00:00,L7,375.52,367.56,371.59,389.55,372.83,390.05,392.30,389.51,391.41,379.82,366.90,373.18,359.42,345.74,350.17,376.19,386.04,380.85,367.87,366.82,365.59,360.93,380.01,375.48,364.59,361.55,377.00,399.27,402.41,393.58
2002-12-01 21:54:16+00:00,L7,,,,,,,,,,,,,,,,,,,,334.11,329.33,320.59,319.81,327.05,334.51,335.45,327.90,342.03,356.46,356.08
2003-01-18 21:54:30+00:00,L7,315.08,330.20,333.08,292.77,299.12,320.96,319.77,300.44,303.45,306.61,308.90,309.64,319.07,324.53,332.40,330.56,321.34,318.86,321.28,323.28,315.56,308.41,294.54,287.26,305.82,312.20,308.35,322.79,333.45,342.20
2003-04-08 21:54:47+00:00,L7,,,,,,,,,,,,,,,346.80,348.33,361.34,363.93,358.67,355.59,355.27,349.74,355.94,365.92,367.27,352.77,350.58,377.73,375.83,370.12
2003-04-24 21:54:46+00:00,L7,361.14,326.47,364.75,,355.89,363.49,368.13,367.11,363.85,370.86,357.27,354.70,356.35,346.95,343.70,363.29,367.44,361.98,360.77,357.56,359.50,354.72,356.58,357.98,355.36,350.65,353.88,366.33,370.22,369.10
2003-07-21 21:42:33+00:00,L5,382.09,373.31,374.65,,393.25,386.63,343.33,341.72,337.59,365.52,374.72,376.34,167.98,158.78,151.81,156.71,146.39,140.77,155.43,156.76,343.32,348.89,368.56,355.97,383.86,378.93,378.16,388.09,379.59,378.33
2003-08-06 21:42:51+00:00,L5,,,,,,,,,,,,359.26,350.02,175.51,162.31,180.37,165.46,163.01,165.53,341.37,349.59,343.96,357.62,379.04,369.46,369.00,366.52,381.35,382.06,369.01
2003-10-25 21:44:04+00:00,L5,307.56,313.32,323.83,302.97,305.03,305.95,302.36,298.82,297.44,300.46,304.10,298.45,295.21,298.78,298.35,313.80,325.24,317.59,309.03,300.32,297.40,297.99,291.95,286.20,303.26,298.85,296.33,299.35,304.04,314.62
2003-11-18 21:54:39+00:00,L7,,367.22,390.63,357.55,397.65,377.67,369.58,381.65,372.83,375.13,372.18,352.65,,,,382.07,377.62,357.66,338.61,327.58,323.35,343.59,358.02,376.78,366.15,369.16,370.65,,,
2003-12-04 21:54:43+00:00,L7,,,,344.34,365.65,353.42,341.51,336.87,340.77,343.18,341.61,327.90,319.62,322.66,,,,343.42,330.06,304.04,302.66,312.27,323.80,329.72,331.28,340.61,340.47,349.35,351.44,
2004-03-01 21:45:02+00:00,L5,,,,,359.41,355.37,351.34,347.44,350.75,353.72,351.81,362.18,360.05,357.62,351.17,338.59,338.21,351.13,348.89,340.99,336.18,351.43,359.90,366.39,369.62,365.18,,,,
2004-03-09 21:55:15+00:00,L7,337.13,334.42,332.17,305.95,316.00,315.75,287.24,314.55,317.81,,,341.14,334.76,332.34,329.06,322.13,318.81,319.87,320.28,314.71,317.57,322.47,322.43,,,,319.28,323.25,322.78,328.71
2004-03-17 21:45:08+00:00,L5,330.06,335.25,336.36,304.00,293.47,299.15,273.92,286.25,306.30,313.87,327.49,340.39,339.24,333.37,328.90,325.58,320.54,323.95,321.00,313.44,315.73,326.03,316.99,324.00,327.44,331.17,316.80,321.13,324.33,330.21
2004-03-25 21:55:18+00:00,L7,334.30,333.70,333.01,307.24,317.13,320.95,,,,313.06,324.28,330.73,335.48,335.04,330.25,331.30,327.52,330.17,319.63,306.62,,,,336.14,335.91,334.35,324.74,328.71,324.14,328.84
2004-04-18 21:45:49+00:00,L5,336.46,330.34,323.40,306.57,290.16,293.63,292.58,300.60,307.02,315.84,315.23,320.80,328.12,325.15,326.70,319.12,317.03,313.56,302.69,302.99,307.44,315.77,318.04,318.73,328.49,335.15,328.64,334.08,327.01,329.35
2004-05-04 21:46:16+00:00,L5,291.57,305.87,303.69,265.33,177.39,160.12,161.58,171.36,,,265.25,120.46,125.06,141.55,244.12,279.29,173.22,162.72,164.46,160.76,200.01,217.06,,281.90,295.96,282.38,284.12,293.61,300.03,300.07
2004-05-12 21:55:13+00:00,L7,,,341.68,,175.67,324.71,286.61,273.93,,334.56,331.83,356.15,364.46,354.48,,273.44,353.44,344.85,329.58,332.98,337.97,340.43,356.58,,372.32,364.60,346.44,371.07,,
2004-06-05 21:47:12+00:00,L5,339.67,418.88,,,,,,,,,,,,,,281.84,309.82,325.03,313.02,319.81,313.49,309.56,309.82,,,,,,,
2004-07-23 21:48:33+00:00,L5,,,,,,,,,,,,148.06,177.88,168.95,160.01,163.92,149.02,141.64,154.12,152.75,311.79,317.67,325.14,356.82,359.97,357.33,,369.47,381.26,359.75
2004-07-31 21:54:51+00:00,L7,323.43,329.00,326.83,307.31,290.84,,166.98,269.82,291.18,295.96,303.78,293.04,166.65,176.68,153.64,174.26,157.95,149.81,,,,291.10,292.86,283.52,298.58,291.96,293.47,305.75,313.65,305.68
2004-09-09 21:49:43+00:00,L5,361.49,347.33,349.82,365.33,376.23,367.36,352.36,371.99,358.09,336.44,351.30,372.77,379.33,374.91,365.74,361.37,346.58,333.37,328.64,326.39,322.36,332.93,348.89,369.50,362.63,356.94,358.30,362.99,366.93,360.82
2004-09-25 21:50:07+00:00,L5,316.84,315.11,316.27,324.16,326.52,336.04,325.99,330.51,325.26,326.79,330.96,336.65,336.23,334.76,328.78,323.84,319.37,319.95,309.65,296.54,298.07,314.80,325.30,317.68,322.75,322.35,314.66,328.43,329.45,327.60
2004-10-27 21:50:47+00:00,L5,300.23,294.63,302.95,302.59,292.52,286.71,278.01,277.28,290.19,288.16,295.94,307.80,310.76,311.76,310.66,304.22,300.11,296.06,290.98,285.77,293.05,294.92,289.59,283.12,295.24,299.07,292.17,300.38,303.97,301.79
2004-11-04 21:54:55+00:00,L7,,,,390.67,409.91,402.37,394.87,377.66,357.73,351.67,357.37,368.38,367.49,370.90,372.47,,,343.70,328.84,326.15,339.15,346.79,364.66,376.73,385.01,388.84,365.29,381.02,375.54,
2005-01-15 21:52:09+00:00,L5,383.33,355.20,345.05,345.65,352.73,350.63,355.20,341.20,330.85,319.72,324.83,337.44,361.32,342.14,321.96,327.80,337.09,344.55,340.60,334.87,334.34,329.10,,,,,,,,
2005-01-23 21:55:25+00:00,L7,,334.23,320.75,299.54,277.89,309.39,265.62,296.46,306.98,308.76,313.05,321.72,,,,304.06,306.56,312.06,314.05,317.02,315.78,308.15,298.31,298.11,325.21,325.72,,,,328.77
2005-02-08 21:55:35+00:00,L7,313.61,311.29,,,273.60,286.91,222.79,284.97,285.66,285.98,292.21,303.10,305.66,301.85,297.51,293.15,,,,292.91,288.08,285.43,279.05,282.34,296.04,302.84,291.39,295.06,301.86,307.42
2005-02-24 21:55:41+00:00,L7,,,,318.64,307.93,314.64,302.90,308.20,308.66,302.86,302.66,308.37,318.68,317.71,,,,309.30,315.34,310.33,303.68,300.13,300.01,293.46,310.30,318.59,308.09,312.22,,
2005-03-12 21:55:44+00:00,L7,337.47,340.01,338.30,328.77,,,210.70,278.70,311.03,312.87,301.46,292.94,,,,301.99,296.35,302.61,,,,307.28,296.53,287.88,297.44,298.66,298.84,,,
