dates,nzd0232-0000,nzd0232-0001,nzd0232-0002,nzd0232-0003,nzd0232-0004,nzd0232-0005,nzd0232-0006,nzd0232-0007,nzd0232-0008,nzd0232-0009,nzd0232-0010,nzd0232-0011,nzd0232-0012,nzd0232-0013,nzd0232-0014,nzd0232-0015,nzd0232-0016,nzd0232-0017,nzd0232-0018,nzd0232-0019,nzd0232-0020,nzd0232-0021,nzd0232-0022,nzd0232-0023,nzd0232-0024,nzd0232-0025,nzd0232-0026,nzd0232-0027,nzd0232-0028,nzd0232-0029,satname
1999-12-25 21:58:52+00:00,353.76,350.05,352.15,345.67,346.55,349.40,360.87,353.87,357.06,358.27,353.22,347.57,349.35,347.01,350.02,348.91,349.35,348.67,349.96,343.95,339.85,332.58,333.39,339.92,345.15,346.77,335.76,343.41,347.95,348.04,L7
2000-01-10 21:58:52+00:00,358.56,355.54,353.74,346.92,349.96,354.63,361.24,356.03,356.61,361.79,356.59,347.79,335.64,342.64,354.72,353.48,354.26,353.19,351.86,347.09,341.84,330.75,332.19,335.07,343.13,345.49,338.90,348.58,353.75,350.23,L7
2000-03-30 21:58:33+00:00,363.74,360.28,353.68,347.13,351.62,355.54,360.91,357.34,358.15,362.14,357.14,351.08,342.87,347.60,353.71,351.75,351.16,350.66,350.22,348.05,343.73,335.40,334.84,337.89,343.74,346.01,341.24,352.63,359.00,356.63,L7
2000-05-17 21:58:07+00:00,356.50,354.94,353.94,347.51,351.22,355.54,359.27,353.38,352.40,357.10,354.89,345.71,342.87,347.60,353.71,351.75,351.16,350.66,350.22,348.05,343.73,334.39,332.80,336.66,341.98,343.72,336.42,347.76,353.60,356.63,L7
2000-07-04 21:57:38+00:00,361.21,358.73,355.61,348.12,353.23,360.91,360.98,355.52,354.18,355.74,351.01,345.09,339.63,347.89,355.56,353.16,352.06,351.65,350.36,350.11,347.66,334.50,333.57,334.88,338.97,341.26,336.01,349.68,356.53,360.93,L7
2000-08-05 21:57:08+00:00,361.07,356.09,350.03,341.92,345.08,361.44,356.65,355.01,356.88,351.35,345.77,343.63,357.32,357.51,351.69,348.28,344.94,345.60,346.96,349.99,349.59,336.35,334.43,336.44,337.78,336.48,333.45,349.63,358.04,367.16,L7
2000-11-09 21:56:21+00:00,357.72,351.78,352.40,349.67,341.80,366.98,360.32,355.09,354.33,345.24,339.70,334.71,366.20,363.65,359.17,344.63,339.12,332.58,342.74,340.79,342.09,329.07,323.40,332.89,333.65,339.98,337.73,348.74,353.32,360.43,L7
2001-03-01 21:56:21+00:00,360.68,352.53,363.01,370.77,,374.00,374.93,360.26,351.03,338.40,333.95,339.80,366.20,367.74,362.50,341.67,340.47,338.08,344.36,354.49,347.78,336.78,338.65,371.79,350.07,364.76,357.92,365.34,364.51,367.58,L7
2001-03-17 21:56:16+00:00,368.17,359.61,363.22,367.23,358.24,374.73,374.85,373.40,368.94,360.90,333.95,339.80,368.81,365.10,360.76,346.61,339.66,336.49,346.30,357.63,352.50,340.92,346.30,367.96,361.74,371.17,362.42,367.18,367.98,374.73,L7
2001-06-05 21:55:40+00:00,362.92,357.62,363.43,363.68,358.24,375.45,363.72,371.27,386.85,370.44,340.07,336.43,363.99,359.30,353.91,344.08,340.25,335.02,342.69,358.78,362.50,354.12,368.88,367.18,374.65,370.87,354.67,367.02,370.27,374.23,L7
