,dates,aus0142-0000,aus0142-0001,aus0142-0002,aus0142-0003,aus0142-0004,aus0142-0005,aus0142-0006,aus0142-0007,aus0142-0008,aus0142-0009,aus0142-0010
0,1987-05-22 23:07:20+00:00,,153.10035413553345,150.06514594269294,149.4242499254986,157.15556807693076,155.96070405532794,169.43604877393534,,204.95060177809594,200.99373933735274,217.23999472509317
1,1987-09-11 23:10:05+00:00,207.60639999687842,173.20462818013343,174.6085609458123,155.50579514059393,161.6275141737297,172.40843158689876,173.53584977206162,,209.49485884765457,202.21646926924572,215.1852151426666
2,1987-09-27 23:10:27+00:00,201.96677207130256,180.8476752011189,172.4814844911584,168.37115629874103,171.43153082794052,176.90632736676397,185.3187487619779,,214.011878144373,203.99310688640122,210.02146433307104
3,1987-10-06 23:04:27+00:00,215.99693685280397,176.31994001841952,171.79348389232874,161.32727647095373,166.22299444507243,169.63923922124675,176.59242048036438,,216.54873974920653,211.73351084855588,218.665689595115
4,1987-10-22 23:04:43+00:00,203.31879021394695,178.3341682518592,167.44870452190293,158.52743904835435,164.41602914967777,169.24544804821167,176.39333575287188,197.8153538673759,210.01771453480742,200.76656731851497,204.26693409049105
5,1987-10-29 23:11:01+00:00,204.27087399988343,163.57145710596564,159.62054917238157,152.66987473893636,163.8763237074536,163.35289710186572,179.2730576384546,,,219.73851339407048,
6,1987-12-16 23:11:53+00:00,211.6912764133957,173.85295979783524,167.1147511674248,165.1110094770466,166.5951182897241,164.5752917140419,182.3271371653135,,,202.93581141387358,217.12942916840262
7,1988-02-18 23:12:59+00:00,188.1860552813324,149.78284856914198,147.86887434459163,137.1225062546832,152.98464389647887,156.61705835678896,167.73880498722383,194.6882576690112,210.27767186074703,197.66636537936472,204.76856141880344
8,1988-04-15 23:07:14+00:00,208.26938663914032,152.12665240882006,150.08738232617685,149.77256679241043,165.05820830209615,165.16061576007593,177.72099439879378,208.89441474825907,226.33827055857654,218.9231006841917,222.69669355980227
9,1988-04-22 23:13:28+00:00,191.02221979174686,147.97895462315373,150.2726538334735,144.34067359059742,158.16167024555142,161.8629626083856,169.67575601912853,,235.23461022325327,210.05165882484323,220.01962785970684
10,1988-05-08 23:13:38+00:00,190.85321695088783,145.08416648283253,154.5863465352611,143.79418516714907,147.20411753615997,153.71200244580336,171.84296182414698,,227.9690131083299,195.45554380348915,216.7037972510395
11,1988-06-09 23:13:51+00:00,179.50902859178223,144.2178565094526,149.48578931030704,136.81285485105815,140.6145970253212,146.2156121679858,165.64234316239953,,222.48220359420563,213.6205856727828,217.77337696556916
12,1988-06-18 23:07:44+00:00,193.42604037834136,149.22008589164656,153.87676211496085,143.14312516843182,144.84413652536617,147.65686286999383,175.6268089729896,225.4831692555664,,206.37662829033735,212.41527637072437
13,1988-06-25 23:13:57+00:00,163.63315703534298,157.75821962752676,159.491290574477,154.42273599230458,160.61270030598428,154.77909563189664,187.46815907305304,,230.7533838486948,217.56712804261034,227.69560196436007
14,1988-07-27 23:14:02+00:00,176.83706755380402,138.79825000028566,129.9121615634006,128.8790161481228,133.64913022656475,134.61989379145035,156.19850358500665,,191.9035724346409,209.10214228275106,208.84528863863852
15,1988-08-12 23:14:01+00:00,162.30605115904999,160.52319371690186,154.49886834876708,148.10865183069538,140.85177871676768,144.27007374348455,167.5951504528058,200.06667754918908,199.49510379562287,208.0508286577628,222.5959030197069
16,1988-08-28 23:14:06+00:00,196.5455176498245,162.59245397536117,163.8817380060157,152.12301976958602,150.6773320146728,152.92894062145393,176.4082591648707,207.14964863326918,211.6663361090691,210.59595574354367,219.98674221906018
17,1988-09-22 23:07:50+00:00,207.68711448679815,159.8582580546728,154.5431305132996,145.34827567398534,145.27268841298914,150.25322277159262,171.10151102376554,,,208.59808495269775,216.99088340937564
18,1988-09-29 23:13:57+00:00,208.2139251376664,165.6308039574649,156.30378928799615,148.30007159034113,151.0501446922385,160.91713802381227,171.7098404782706,208.75948207374637,217.4917496159051,203.3407258822411,209.4008680083161
19,1988-10-08 23:07:45+00:00,206.81255815780787,166.17137395873664,159.3541992154585,146.15626317175852,149.2325283376742,159.70984564054592,181.1874577535058,219.13907297108906,209.8957370575267,207.6233764715017,208.45262010840665
20,1988-10-15 23:13:52+00:00,,162.43142402556842,161.86447355704658,148.27016084614704,151.9876106522471,163.1994137446617,171.44042644388938,,225.942614493612,206.09758604294402,209.05104831382505
21,1988-12-02 23:13:51+00:00,207.96037242448622,161.74317887849767,157.4061962096592,147.76208608319337,153.76963839421947,165.8850561744506,183.21025605159807,,232.7391589983338,203.58497070353866,216.0799905479669
22,1989-01-19 23:13:18+00:00,199.40568145448253,129.05068151677781,133.78858085749005,139.09867178466655,136.71783070262597,152.29918615663388,,192.0329022009492,,198.52285942644284,
23,1989-03-08 23:12:51+00:00,211.5324152978166,154.0933603516702,151.48730634124937,148.77016073481647,154.49784767719106,154.05442530708908,,199.19850492090475,,198.90295956617913,219.09732123348778
24,1989-06-12 23:11:17+00:00,,,149.04577440416512,144.17925923107327,152.92207578752414,154.14436742483082,178.06135085555363,,235.06700948003362,,238.18109486059336
25,1989-07-07 23:04:39+00:00,213.74451037768821,149.11494009036528,161.43747166676607,149.39280607648163,149.40691455264235,157.7000384738642,187.32068972431375,,243.9031883209639,220.81211588818425,232.66938473083394
26,1989-07-14 23:10:41+00:00,199.89231012665692,133.35897938051966,149.22887451552583,146.0706545450475,138.5299687119474,149.78356774250068,179.40376249937324,,233.8358348929253,223.5919791733431,220.4055864379376
27,1989-07-23 23:04:20+00:00,211.87708150782296,148.25119040224828,165.61241007111298,158.35997203817564,146.29767872742264,159.25192575480403,187.04523852400357,,249.20654523601712,220.23691265174023,236.19545232299242
28,1989-08-08 23:04:00+00:00,211.97803994010016,147.32061090373222,153.3007085956649,145.3660771376039,142.7009257239638,151.52439581226145,179.69549235692156,221.0141728640783,232.1531199638049,205.65322011606668,217.27384534249842
29,1989-08-15 23:10:00+00:00,194.1491565034621,141.4141337182045,141.35602240307287,142.6342257051704,138.95302622929722,151.01865712773184,181.5300199483202,,210.9534696824357,211.669688586497,218.70744990518892
30,1989-09-09 23:03:14+00:00,209.2107906800471,147.8804482593236,161.767173881502,152.87707767618267,148.05605973661534,151.0418323896667,183.40931698309856,,231.9831606379872,210.92440166272925,216.9546001850332
31,1989-09-16 23:09:08+00:00,224.98249641896663,152.51520490974448,151.98680715232618,142.95729695269912,146.06997970233772,153.25563936172946,179.774208416551,212.868072937849,222.43488953001756,210.06969508763208,218.37269627132724
32,1989-10-02 23:08:59+00:00,208.9409582370889,148.46488806637797,143.6701030561824,134.54617242841962,131.13885028714827,139.10856705111297,162.74888307253406,,216.225934208039,203.6997524051033,206.69166625810334
33,1989-10-18 23:08:16+00:00,223.26357009410623,154.80264425431886,152.0735709854994,141.20248396243633,131.9004014090396,149.86324295320767,174.1050009602198,201.75970010326952,214.40648547689017,200.99896634299463,209.7443020879906
34,1989-11-03 23:07:59+00:00,,,,,,,174.68461574069252,,218.02665607675135,215.90173786273965,214.48662254419733
35,1989-11-19 23:07:18+00:00,195.3981319404652,149.1654236756391,145.73819432178064,138.9509678455053,139.71680329457834,146.64579368923523,158.65060558062137,,193.67890066729433,203.5005827729411,210.89215590260523
36,1990-02-23 23:04:33+00:00,199.41590258607036,150.28641938612444,153.42099813655227,137.25880291370845,140.98742591498453,150.43208909906565,170.45140961381261,,212.19539027053168,208.50625850201362,216.14567892657772
37,1990-04-12 23:03:30+00:00,192.78589569361486,151.12402602762162,159.1379177969552,140.75377219149908,143.3250644967291,165.09708789448945,183.83274259218837,218.86517032727886,235.37152678195974,207.90712448295815,212.4814191014201
38,1990-04-21 22:57:23+00:00,185.77432861040367,141.51304769406968,153.01346815196206,132.29787157577633,131.0802677365033,154.98525388747254,170.57571904212224,,196.25896266551698,201.89831172539485,208.9244642634559
39,1990-05-23 22:57:19+00:00,186.00783664168657,157.4927153232997,158.09390992995327,139.93227437855933,136.0720935026321,153.96238615439538,164.85598516776943,190.8512246384175,198.785617341487,195.92823934334479,202.75805556021675
40,1990-05-30 23:03:29+00:00,,,146.8393824113213,129.5104903669103,138.8407149294348,151.44288461885645,168.07876831100143,,217.43836667911754,215.63087684335767,216.1494783989789
41,1990-06-15 23:03:28+00:00,147.83235272021082,141.97924898347677,152.1759891249449,143.25388987514572,150.02925084628677,159.4692320412567,179.5249108597581,,233.4872245396989,216.2762286826111,224.9273241615548
42,1990-07-01 23:03:28+00:00,191.95740544718964,168.03999326136184,165.76899982244478,155.1779923104518,158.721143031154,161.55319095197035,178.74652816392575,,225.38302566735024,204.35223439815027,218.06319681922758
43,1990-07-10 22:57:16+00:00,177.51140659100486,169.56164455835477,163.51715888730845,144.00761357717906,149.3721673752164,158.1849266291606,167.14166765223672,197.99063995792255,,195.2797752503497,204.04066209013328
44,1990-08-11 22:57:07+00:00,188.32516827810696,173.96855954820788,160.2710461206673,139.95593399155143,152.61909204269224,156.6611073909491,178.73866780737927,,241.3500102154034,211.57347286783377,219.1464210543287
45,1990-08-18 23:03:16+00:00,164.78763755458257,155.10538205106903,152.13977879227306,136.2557965713405,144.02356911711345,144.402133336627,163.98730658688288,193.2896544060191,191.61730621329286,191.34053572596977,199.50073256476384
46,1990-09-03 23:03:09+00:00,199.5779111088538,168.64574547789033,164.11191104159303,146.68400910174705,147.43366484671765,147.5334473103182,169.90447779041665,,200.53465754291364,196.99109260380143,203.67063234743588
47,1990-09-19 23:03:06+00:00,198.5968613278979,172.41656866682195,162.63237526136615,154.35349056118605,152.7243506941247,149.85590034941944,169.71858284301297,205.0978276991734,213.20367683007012,203.33079274905688,216.64904117790564
48,1990-10-14 22:56:43+00:00,205.0273327833406,147.2528985237004,149.71755613288136,137.1246524244164,133.25757135058916,144.76641144572616,171.6987778413119,,,202.4559556093323,207.79327055701285
49,1990-10-21 23:02:51+00:00,197.98049659213385,160.53853577673254,159.24578763258648,146.16316068293708,144.60149915145308,144.920544654837,175.03872003404166,207.49099277188992,203.69607856993196,205.32995602850207,203.91461619159762
50,1990-11-06 23:02:47+00:00,193.349988523491,159.77303376093593,160.17002703823835,148.07779581189837,140.21679740598987,140.56900974502162,163.39465266386165,201.11547011196828,205.73077588427446,200.610326490488,201.97756137112472
51,1990-12-08 23:02:36+00:00,208.81208945925042,166.5909160398025,156.5978635317159,151.94021901710482,158.34902461626558,155.94989521848703,177.3801225182611,,,201.54260919430078,212.95954368348023
52,1990-12-17 22:56:36+00:00,224.81875586438505,176.015849807701,164.65281449999318,158.30460760253874,155.9311137861649,164.7547132369176,178.27310455184264,210.4802513558484,220.26244143320298,207.0067801937039,219.04402772422554
53,1991-01-09 23:03:22+00:00,178.87189235918103,168.57888410930755,157.243681573672,155.38264376785952,163.41701245090485,167.35135900525722,180.39575285085644,201.68811438557375,214.01568203734274,193.332489958132,200.70392574852553
54,1991-01-25 23:03:50+00:00,209.46089236875628,171.06940455093863,157.29862359175786,153.37108069061765,160.81058368394264,163.23771823096277,182.86716386480472,,216.29901772464845,189.6715335008833,203.26843754319944
55,1991-03-07 22:58:21+00:00,192.4154686307338,149.01430035353272,150.91097062208402,147.90335773003326,143.25150569789488,151.4402112004087,171.87965022114045,219.5239179058436,193.84890768319465,209.45595800050538,213.52789832014503
56,1991-03-14 23:04:40+00:00,194.62950929516796,154.8952557224033,150.03673509208446,146.65353378440727,148.6796942137571,160.98002127737968,172.0862085173058,203.74335259280616,216.44194913755473,199.04238729488264,200.91882580783852
57,1991-03-23 22:58:43+00:00,203.59579316075153,146.5422983691535,157.2864510824864,140.77929724410816,141.21459877859178,152.4214601767662,167.29291599403916,,223.4533500061397,196.42671173642543,204.38619441791454
