dates,nzd0312-0000,nzd0312-0001,nzd0312-0002,nzd0312-0003,nzd0312-0004,nzd0312-0005,nzd0312-0006,nzd0312-0007,nzd0312-0008,nzd0312-0009,nzd0312-0010,nzd0312-0011,nzd0312-0012,nzd0312-0013,nzd0312-0014,nzd0312-0015,nzd0312-0016,nzd0312-0017,nzd0312-0018,nzd0312-0019,nzd0312-0020,nzd0312-0021,nzd0312-0022,nzd0312-0023,nzd0312-0024,nzd0312-0025,nzd0312-0026,nzd0312-0027,nzd0312-0028,nzd0312-0029,nzd0312-0030,nzd0312-0031,nzd0312-0032,nzd0312-0033,nzd0312-0034,nzd0312-0035,nzd0312-0036,nzd0312-0037,nzd0312-0038,nzd0312-0039,nzd0312-0040,nzd0312-0041,nzd0312-0042,nzd0312-0043,nzd0312-0044,nzd0312-0045,nzd0312-0046,nzd0312-0047,nzd0312-0048,nzd0312-0049,nzd0312-0050,nzd0312-0051,nzd0312-0052,nzd0312-0053,nzd0312-0054,nzd0312-0055,nzd0312-0056,nzd0312-0057,nzd0312-0058,nzd0312-0059,nzd0312-0060,nzd0312-0061,nzd0312-0062,nzd0312-0063,nzd0312-0064,nzd0312-0065,nzd0312-0066,nzd0312-0067,nzd0312-0068,nzd0312-0069,nzd0312-0070,nzd0312-0071,nzd0312-0072,nzd0312-0073,nzd0312-0074,nzd0312-0075,nzd0312-0076,nzd0312-0077,nzd0312-0078,nzd0312-0079,nzd0312-0080,nzd0312-0081,nzd0312-0082,nzd0312-0083,nzd0312-0084,nzd0312-0085,nzd0312-0086,nzd0312-0087,nzd0312-0088,nzd0312-0089,nzd0312-0090,nzd0312-0091,nzd0312-0092,nzd0312-0093,nzd0312-0094,nzd0312-0095,nzd0312-0096,nzd0312-0097,nzd0312-0098,nzd0312-0099,nzd0312-0100,nzd0312-0101,nzd0312-0102,nzd0312-0103,nzd0312-0104,nzd0312-0105,nzd0312-0106,nzd0312-0107,nzd0312-0108,nzd0312-0109,nzd0312-0110,nzd0312-0111,nzd0312-0112,nzd0312-0113,nzd0312-0114,nzd0312-0115,nzd0312-0116,nzd0312-0117,nzd0312-0118,nzd0312-0119,nzd0312-0120,nzd0312-0121,nzd0312-0122,nzd0312-0123,nzd0312-0124,nzd0312-0125,nzd0312-0126,nzd0312-0127,nzd0312-0128,nzd0312-0129,nzd0312-0130,nzd0312-0131,nzd0312-0132,nzd0312-0133,nzd0312-0134,nzd0312-0135,nzd0312-0136,satname
1999-09-22 21:47:24+00:00,317.50,293.02,276.62,279.28,291.96,287.42,280.61,282.48,282.18,277.48,288.80,291.95,310.67,333.49,340.29,299.51,308.27,307.25,308.20,310.75,313.20,329.43,316.09,297.73,306.75,,,294.03,288.87,299.92,314.65,317.75,318.62,327.79,342.93,343.36,344.72,356.20,364.43,348.35,354.98,370.34,378.18,368.61,358.46,,345.58,355.29,340.53,338.87,324.04,305.13,306.06,325.46,337.96,334.08,330.20,330.42,336.19,326.40,327.38,323.69,317.62,343.04,343.82,336.40,336.54,344.68,343.27,357.18,362.70,360.13,357.25,356.67,347.41,333.84,332.12,346.36,355.18,347.11,351.79,362.86,357.88,360.08,361.26,351.72,354.99,352.34,339.08,340.55,333.03,343.39,346.87,353.75,348.91,354.82,368.67,363.93,369.88,363.78,359.49,345.86,347.21,348.44,366.59,384.13,372.37,347.38,313.32,313.74,316.74,309.35,307.58,310.34,316.20,334.85,347.69,365.74,379.76,379.65,,352.24,345.22,340.74,334.80,343.28,358.82,381.64,392.19,380.78,376.53,401.43,,,385.15,371.26,361.26,L7
1999-09-29 21:53:40+00:00,315.21,288.56,281.81,281.79,280.75,277.35,284.55,288.31,287.08,280.02,281.74,289.23,299.36,320.27,324.70,302.06,311.72,317.01,310.38,311.14,311.69,320.31,314.58,300.50,306.75,,,300.46,297.54,307.00,313.81,314.06,318.94,326.63,333.72,335.22,337.64,350.31,354.68,353.54,357.25,362.89,370.83,363.66,358.07,,325.79,339.03,340.52,331.32,319.56,306.30,305.61,328.98,337.08,334.61,332.28,333.63,328.52,325.85,325.95,324.38,325.39,338.08,339.70,337.99,339.51,344.60,350.36,356.07,359.01,358.43,355.86,355.20,341.59,331.45,334.71,347.00,352.08,347.80,350.56,359.71,358.63,356.18,354.38,352.08,354.11,346.56,334.62,335.17,330.87,332.67,337.71,341.81,341.07,348.06,357.67,354.41,357.87,353.41,351.19,342.67,342.30,342.22,359.21,373.81,357.71,332.69,310.96,310.35,306.28,304.85,299.03,300.89,310.00,323.48,333.69,355.37,365.69,371.25,359.83,344.51,336.67,331.37,329.89,337.35,351.31,372.08,382.53,375.55,371.86,387.26,383.67,372.58,369.91,358.14,349.34,L7
1999-10-24 21:47:20+00:00,309.21,292.09,287.36,288.87,287.66,281.58,279.08,280.79,283.23,283.99,285.36,287.03,297.63,321.05,318.25,298.24,307.68,309.15,315.28,309.48,310.63,317.45,311.66,301.45,305.19,,,301.67,302.29,306.37,311.80,312.65,318.42,326.66,332.17,334.16,340.21,353.16,358.45,354.31,358.36,365.60,369.64,363.36,357.56,345.99,331.62,336.20,334.10,331.68,323.01,315.18,315.24,329.24,335.36,329.93,329.55,328.36,327.02,326.24,328.19,326.26,325.90,338.45,337.01,339.36,341.93,348.50,348.78,354.06,356.94,358.60,354.23,353.12,344.24,338.00,338.62,346.27,352.07,350.19,355.45,356.99,360.26,356.18,354.38,362.92,356.38,347.83,344.42,343.67,338.75,339.39,342.55,346.11,350.01,352.04,358.14,357.22,365.03,361.17,355.78,345.61,344.17,340.86,357.51,375.71,364.61,338.20,314.95,315.69,313.69,307.17,300.14,307.12,314.36,324.52,335.42,356.26,364.54,369.75,363.43,346.13,341.84,332.28,329.47,339.45,353.43,373.02,383.65,376.41,372.84,390.03,399.08,388.81,375.45,362.54,353.51,L7
2000-01-19 21:53:25+00:00,302.68,289.77,282.54,284.24,286.05,282.09,269.78,269.03,272.46,283.99,278.48,280.58,294.43,315.06,310.29,290.60,297.69,296.05,308.77,301.20,300.90,307.06,301.10,293.33,296.11,283.68,,294.19,297.02,301.45,306.94,308.19,314.54,321.57,326.12,328.89,333.78,348.60,353.04,347.61,351.89,359.49,361.22,356.89,357.56,329.39,327.69,331.88,326.79,327.49,315.43,312.65,314.22,325.10,335.36,329.93,329.55,328.36,327.02,326.24,328.19,326.26,325.90,338.45,337.01,339.36,341.93,342.33,340.06,347.21,348.00,358.60,354.23,353.12,339.24,338.00,334.32,340.10,346.18,343.52,349.38,351.16,351.59,349.88,343.34,352.50,348.83,337.69,333.91,331.66,329.29,331.87,336.15,338.55,342.56,346.14,350.17,352.05,359.00,355.17,347.34,337.89,337.48,335.55,352.58,371.65,351.88,330.52,309.88,305.72,305.22,300.56,298.15,306.96,311.30,318.64,329.11,349.73,358.31,362.79,353.70,339.77,334.89,326.32,324.85,334.15,348.31,368.53,379.28,373.09,370.19,386.13,393.30,383.20,370.58,358.20,346.03,L7
2000-05-03 21:46:43+00:00,283.07,282.80,268.08,270.32,281.22,283.62,241.88,233.76,240.13,,257.86,261.25,284.83,297.10,286.41,277.88,267.70,273.01,292.92,291.33,286.28,292.40,269.43,268.95,277.96,283.68,,271.77,281.20,286.68,292.37,294.80,302.89,313.22,318.32,323.03,328.57,339.81,344.56,338.64,332.50,341.16,335.96,337.50,,312.80,315.89,318.90,304.86,314.90,292.69,305.07,311.17,312.66,,,,,,,,,,,,,,323.84,324.75,335.43,332.49,343.28,343.42,341.14,334.91,352.43,327.86,330.62,339.05,329.53,332.19,332.98,328.16,338.00,332.64,334.25,338.06,320.73,313.62,306.74,309.10,313.31,321.01,321.98,324.69,329.20,330.90,339.31,344.30,343.84,325.26,320.76,326.92,329.90,341.36,362.99,325.93,311.39,300.14,288.16,288.15,290.56,295.23,300.15,301.63,305.65,315.57,334.15,339.60,341.91,334.25,320.70,314.03,308.44,310.98,318.23,332.98,355.05,366.16,362.65,363.68,371.25,384.64,371.40,356.79,347.75,327.32,L7
2000-05-19 21:46:31+00:00,283.07,282.80,268.08,270.32,281.22,283.62,241.88,233.76,240.13,,257.86,261.25,284.83,297.10,286.41,277.88,267.70,273.01,292.92,291.33,286.28,292.40,269.43,268.95,277.96,283.68,,271.77,281.20,286.68,292.37,294.80,302.89,313.22,318.32,323.03,328.57,339.81,344.56,338.64,332.50,341.16,335.96,337.50,,312.80,315.89,318.90,304.86,314.90,292.69,305.07,311.17,312.66,,,,,,,,,,,,,,323.84,324.75,335.43,332.49,343.28,343.42,341.14,334.91,352.43,327.86,330.62,339.05,329.53,332.19,332.98,328.16,338.00,332.64,334.25,338.06,320.73,313.62,306.74,309.10,313.31,321.01,321.98,324.69,329.20,330.90,339.31,344.30,343.84,325.26,320.76,326.92,329.90,341.36,362.99,325.93,311.39,300.14,288.16,288.15,290.56,295.23,300.15,301.63,305.65,315.57,334.15,339.60,341.91,334.25,320.70,314.03,308.44,310.98,318.23,332.98,355.05,366.16,362.65,363.68,371.25,384.64,371.40,359.42,348.20,330.37,L7
2000-05-26 21:52:36+00:00,283.07,282.80,268.08,270.32,281.22,283.62,241.88,233.76,240.13,,257.86,261.25,284.83,297.10,286.41,277.88,267.70,291.63,292.92,305.69,286.28,304.09,269.43,268.95,301.98,283.68,,300.11,304.36,307.40,312.55,315.64,321.72,323.89,328.62,333.73,338.82,349.58,354.65,350.23,356.75,361.85,360.54,358.81,379.01,312.80,315.89,347.41,332.59,335.13,321.76,324.19,328.69,328.82,346.05,349.42,347.86,350.85,348.52,348.53,342.85,338.58,348.38,350.95,350.35,358.82,369.01,343.81,334.03,345.14,344.99,355.49,356.92,356.40,344.72,357.99,339.68,339.18,343.43,340.48,341.38,341.97,338.95,345.64,341.58,343.53,345.59,330.55,326.52,320.95,319.38,319.98,325.31,326.88,329.85,335.17,335.40,342.18,347.12,345.23,332.38,330.17,332.76,333.48,345.45,366.14,334.79,319.97,311.30,300.72,298.72,298.06,299.09,304.44,305.18,310.49,319.22,339.25,347.12,351.38,345.82,331.13,314.03,308.44,319.83,326.79,340.49,359.28,370.23,365.39,365.80,372.84,384.64,371.40,361.46,348.65,332.38,L7
2000-06-20 21:46:16+00:00,283.07,282.80,268.08,270.32,281.22,283.62,241.88,233.76,240.13,,257.86,261.25,284.83,297.10,286.41,277.88,267.70,291.63,292.92,305.69,286.28,304.09,269.43,268.95,301.98,283.68,,300.11,304.36,307.40,312.55,315.64,321.72,323.89,328.62,333.73,338.82,349.58,354.65,350.23,356.75,361.85,360.54,358.81,379.01,312.80,315.89,347.41,332.59,335.13,321.76,324.19,328.69,328.82,346.05,349.42,347.86,350.85,348.52,348.53,342.85,338.58,348.38,350.95,350.35,358.82,369.01,343.81,334.03,345.14,344.99,355.49,356.92,356.40,344.72,357.99,339.68,339.18,343.43,340.48,341.38,341.97,338.95,345.64,341.58,343.53,345.59,326.92,323.33,320.35,315.44,319.08,325.21,326.88,330.39,336.02,337.19,343.35,346.70,342.69,330.83,328.27,332.76,333.48,345.45,366.14,334.79,319.97,311.30,300.72,298.72,298.06,299.09,304.44,305.18,310.49,319.22,339.25,347.12,351.38,345.82,331.13,314.03,308.44,319.83,326.79,340.49,359.28,370.23,365.39,365.80,372.84,384.64,371.40,361.46,346.25,332.38,L7
2000-07-13 21:52:07+00:00,283.07,282.80,268.08,270.32,281.22,283.62,241.88,233.76,240.13,,257.86,261.25,284.83,297.10,286.41,277.88,267.70,291.63,292.92,305.69,285.77,304.09,274.95,276.24,300.83,293.44,,301.94,303.15,304.76,307.50,312.24,317.33,322.35,327.54,335.35,340.42,349.51,350.74,350.23,354.87,364.30,361.28,358.06,364.49,328.03,329.62,346.65,330.06,333.59,320.34,321.77,325.42,321.90,325.94,327.26,329.73,334.33,333.71,327.04,326.92,329.62,335.75,338.34,337.43,338.74,347.63,340.07,332.37,341.20,340.02,345.36,345.17,344.17,338.51,346.88,336.15,337.09,341.29,340.09,341.59,339.82,338.39,343.04,340.50,342.02,342.06,325.68,321.19,319.38,316.02,320.10,326.42,328.92,332.55,338.35,340.18,345.05,348.28,343.99,332.62,330.85,333.07,331.89,344.76,362.25,335.67,316.45,306.24,298.23,296.05,295.79,296.13,302.74,304.87,311.57,320.46,341.05,352.24,355.92,349.41,334.78,323.30,312.42,320.41,329.55,343.77,361.68,371.72,366.30,367.35,375.04,384.64,371.40,362.38,347.88,335.58,L7
2000-07-29 21:51:50+00:00,,,,,,,,,,,,,,,,288.07,,309.06,296.61,320.36,292.78,318.20,280.47,283.53,300.04,303.19,,307.27,305.94,302.83,303.64,311.44,315.05,320.50,328.98,337.60,344.28,354.38,355.39,361.61,366.05,375.86,373.94,368.34,364.49,343.27,343.36,360.52,342.67,342.93,334.16,321.70,326.03,316.85,317.49,314.50,316.46,326.25,327.30,317.14,318.34,322.76,325.94,330.18,328.97,328.60,337.41,340.00,333.21,340.76,335.26,335.11,336.26,336.24,335.01,338.34,331.56,333.51,338.34,338.55,337.51,334.98,335.47,337.63,340.02,340.99,339.87,323.26,322.08,320.41,316.15,322.28,330.65,333.63,333.79,337.01,339.96,346.39,350.37,342.67,333.52,332.52,333.46,333.22,344.72,357.45,339.02,319.44,300.80,297.46,294.99,295.21,295.21,299.53,303.15,313.12,320.71,342.60,354.71,360.57,354.10,333.49,317.91,309.61,319.65,330.16,345.42,361.24,370.05,364.20,364.27,372.28,387.53,370.84,357.60,344.64,335.34,L7
